"table","instrument","language","instructions","section_id","section_prompt","item","item_text","correct_response","resp","option_text"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS4","Because of the special feeling of love that develops between a parent and a child.",NA,1,"Not important at all"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS4","Because of the special feeling of love that develops between a parent and a child.",NA,2,"Not very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS4","Because of the special feeling of love that develops between a parent and a child.",NA,3,"Moderately important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS4","Because of the special feeling of love that develops between a parent and a child.",NA,4,"Important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS4","Because of the special feeling of love that develops between a parent and a child.",NA,5,"Very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS5","Because raising children helps you to learn about life and yourself.",NA,1,"Not important at all"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS5","Because raising children helps you to learn about life and yourself.",NA,2,"Not very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS5","Because raising children helps you to learn about life and yourself.",NA,3,"Moderately important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS5","Because raising children helps you to learn about life and yourself.",NA,4,"Important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS5","Because raising children helps you to learn about life and yourself.",NA,5,"Very important"
