"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","option_text","resp"
"namprb_siwiak_2024_gcbs","main","GCBS_11","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd ukrywa swoją aktywność przestępczą, przedstawiając ludzi w roli kozłów ofiarnych.","The government uses people as patsies to hide its involvement in criminal activity","Nie mam pewności / nie mogę zdecydować",3
"namprb_siwiak_2024_gcbs","main","GCBS_11","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd ukrywa swoją aktywność przestępczą, przedstawiając ludzi w roli kozłów ofiarnych.","The government uses people as patsies to hide its involvement in criminal activity","Prawdopodobnie prawdziwe",4
"namprb_siwiak_2024_gcbs","main","GCBS_11","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd ukrywa swoją aktywność przestępczą, przedstawiając ludzi w roli kozłów ofiarnych.","The government uses people as patsies to hide its involvement in criminal activity","Prawdopodobnie nieprawdziwe",2
"namprb_siwiak_2024_gcbs","main","GCBS_11","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd ukrywa swoją aktywność przestępczą, przedstawiając ludzi w roli kozłów ofiarnych.","The government uses people as patsies to hide its involvement in criminal activity","Zdecydowanie prawdziwe",5
"namprb_siwiak_2024_gcbs","main","GCBS_11","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd ukrywa swoją aktywność przestępczą, przedstawiając ludzi w roli kozłów ofiarnych.","The government uses people as patsies to hide its involvement in criminal activity","Zdecydowanie nieprawdziwe",1
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events","Zdecydowanie nieprawdziwe",1
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events","Prawdopodobnie nieprawdziwe",2
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events","Nie mam pewności / nie mogę zdecydować",3
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events","Prawdopodobnie prawdziwe",4
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events","Zdecydowanie prawdziwe",5
"namprb_siwiak_2024_gcbs","main","GCBS_13","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne obserwacje lub pogłoski na temat UFO są pozorowane w celu odwrócenia uwagi społeczeństwa od prawdziwego kontaktu z obcą cywilizacją.","Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact","Prawdopodobnie nieprawdziwe",2
"namprb_siwiak_2024_gcbs","main","GCBS_13","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne obserwacje lub pogłoski na temat UFO są pozorowane w celu odwrócenia uwagi społeczeństwa od prawdziwego kontaktu z obcą cywilizacją.","Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact","Nie mam pewności / nie mogę zdecydować",3
"namprb_siwiak_2024_gcbs","main","GCBS_13","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne obserwacje lub pogłoski na temat UFO są pozorowane w celu odwrócenia uwagi społeczeństwa od prawdziwego kontaktu z obcą cywilizacją.","Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact","Prawdopodobnie prawdziwe",4
"namprb_siwiak_2024_gcbs","main","GCBS_13","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne obserwacje lub pogłoski na temat UFO są pozorowane w celu odwrócenia uwagi społeczeństwa od prawdziwego kontaktu z obcą cywilizacją.","Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact","Zdecydowanie prawdziwe",5
"namprb_siwiak_2024_gcbs","main","GCBS_13","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne obserwacje lub pogłoski na temat UFO są pozorowane w celu odwrócenia uwagi społeczeństwa od prawdziwego kontaktu z obcą cywilizacją.","Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact","Zdecydowanie nieprawdziwe",1
"namprb_siwiak_2024_gcbs","main","GCBS_14","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Powszechnie przeprowadza się eksperymenty z wykorzystaniem nowych technologii lub substancji chemicznych na nieświadomym społeczeństwie.","Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent","Zdecydowanie nieprawdziwe",1
"namprb_siwiak_2024_gcbs","main","GCBS_14","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Powszechnie przeprowadza się eksperymenty z wykorzystaniem nowych technologii lub substancji chemicznych na nieświadomym społeczeństwie.","Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent","Prawdopodobnie nieprawdziwe",2
"namprb_siwiak_2024_gcbs","main","GCBS_14","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Powszechnie przeprowadza się eksperymenty z wykorzystaniem nowych technologii lub substancji chemicznych na nieświadomym społeczeństwie.","Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent","Nie mam pewności / nie mogę zdecydować",3
"namprb_siwiak_2024_gcbs","main","GCBS_14","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Powszechnie przeprowadza się eksperymenty z wykorzystaniem nowych technologii lub substancji chemicznych na nieświadomym społeczeństwie.","Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent","Prawdopodobnie prawdziwe",4
"namprb_siwiak_2024_gcbs","main","GCBS_14","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Powszechnie przeprowadza się eksperymenty z wykorzystaniem nowych technologii lub substancji chemicznych na nieświadomym społeczeństwie.","Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent","Zdecydowanie prawdziwe",5
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","A lot of important information is deliberately concealed from the public out of self-interest","Zdecydowanie nieprawdziwe",1
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","A lot of important information is deliberately concealed from the public out of self-interest","Prawdopodobnie nieprawdziwe",2
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","A lot of important information is deliberately concealed from the public out of self-interest","Nie mam pewności / nie mogę zdecydować",3
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","A lot of important information is deliberately concealed from the public out of self-interest","Prawdopodobnie prawdziwe",4
