# item-text tables in the Redivis shards as of 2026-09-26
# status=published: a reader can fetch it. status=draft: uploaded, not released yet.
# generated -- do not hand-edit; rerun itemtext/refresh_live_tables.py (irw#1828)
# draft not listable by this token (needs data.edit) for irw_text_2, irw_text_3; its draft rows carried forward from the snapshot taken 2026-09-25
table,shard,status
abukhalaf_2025_housing_risk,irw_text_3,published
act_kay_2025,irw_text_3,published
ada_boredom_bieleke2022,irw_text,published
aestheticfluency_cotter2023,irw_text,published
afaya_2020_complications_knowledge,irw_text_2,published
afaya_2020_diet_knowledge,irw_text_2,published
afaya_2020_exercise_knowledge,irw_text_2,published
afaya_2020_footcare_knowledge,irw_text_2,published
afaya_2020_general_knowledge,irw_text_2,published
afaya_2020_medication_knowledge,irw_text_2,published
afaya_2020_monitoring_knowledge,irw_text_2,published
afps_vangsness_2019,irw_text,published
agn_kay_2025,irw_text_3,published
agogue_2020_self_perceived_creativity,irw_text,published
aguirre_camacho_2021_champion,irw_text,published
aguirre_camacho_2021_shai,irw_text,published
ahmed_2019_food_consumption,irw_text,published
ahmed_2019_wellbeing,irw_text,published
aip_vangsness_2019,irw_text,published
aiquipa_2026_dgs,irw_text_2,published
ajaykumar_2023_experience,irw_text_3,published
ajaykumar_2023_nasa_tlx,irw_text,published
ajlan_2025_stemcell_knowledge,irw_text_3,published
alan_2018_student_gender_attitudes,irw_text,published
alan_2018_teacher_extrinsic_motivation,irw_text,published
alan_2018_teacher_gender_attitudes,irw_text,published
alan_2018_teacher_growth_mindset,irw_text,published
alan_2018_teacher_modern_teaching,irw_text,published
alasmari_2025_ai_trust_compare,irw_text,published
alasmari_2025_ai_trust_confidence,irw_text,published
albeitawi_2025_preceptor_needs,irw_text,published
alcoholhealthwarninglabel_brennan_2022_awareness_harms_followup,irw_text,published
alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup,irw_text,published
alcoholhealthwarninglabel_brennan_2022_intentions_postexposure,irw_text_2,published
alcoholresearch_sumscore,irw_text,published
alcoholstroop_jones2024,irw_text,published
alexander_2017_dsi,irw_text,published
algner2022_cse,irw_text,published
algner2022_mimi16,irw_text,published
algner2022_oss,irw_text,published
ali_2021_gad7,irw_text,published
ali_2021_iesr,irw_text,published
ali_2021_isi,irw_text,published
ali_2021_phq9,irw_text,published
ali_2021_spfi,irw_text,published
alkouri_2025_coping,irw_text,published
alkouri_2025_icu_stressors,irw_text,published
allen_2025_delaydiscount,irw_text,published
almuqbil_2022_epds,irw_text,published
alqerem_2024_diabetic_health_literacy,irw_text_2,published
alsecypiamh_wu_2022_cps,irw_text,published
alsecypiamh_wu_2022_empathy,irw_text,published
alsecypiamh_wu_2022_nei,irw_text,published
alsecypiamh_wu_2022_pei,irw_text,published
alsecypiamh_wu_2022_pil,irw_text,published
alsecypiamh_wu_2022_swemwbs,irw_text,published
alsuhibani_2022_consp_s1,irw_text,published
alsuhibani_2022_gcbs,irw_text,published
alsuhibani_2022_gcbs_extra_s2,irw_text_3,published
alsuhibani_2022_loc,irw_text,published
alsuhibani_2022_npi_s3,irw_text,published
alsuhibani_2022_pads_s1,irw_text,published
alsuhibani_2022_pads_s2,irw_text,published
alsuhibani_2022_paranoia_s3,irw_text_3,published
alsuhibani_2022_sers,irw_text,published
altman_2020_capq,irw_text,published
alves_2017_hamd17,irw_text,published
amarilla_2020_barthel,irw_text,published
amarilla_2020_eq5d,irw_text,published
amarilla_2020_lawton_brody,irw_text,published
amarilla_2020_sf12,irw_text,published
amatus_cipora_2024_amas,irw_text,published
amatus_cipora_2024_arithmetic,irw_text,published
amatus_cipora_2024_bfi_n,irw_text,published
amatus_cipora_2024_fsmas_se,irw_text,published
amatus_cipora_2024_gad,irw_text,published
amatus_cipora_2024_pisa_me,irw_text,published
amatus_cipora_2024_sdq_l,irw_text,published
amatus_cipora_2024_sdq_m,irw_text,published
amatus_cipora_2024_stai,irw_text,published
amatus_cipora_2024_tai,irw_text,published
american_multiracial_face,irw_text,published
amiot_2022_ucla_loneliness,irw_text_2,published
an_2020_efl_self_regulated,irw_text,published
andrich_mudfold,irw_text,published
anh_2026_ai_adoption,irw_text,published
anh_2026_digitaltrust,irw_text,published
anh_2026_finbehavior,irw_text,published
anh_2026_finliteracy,irw_text,published
anh_2026_finsocialization,irw_text,published
anh_2026_finwellbeing,irw_text,published
anjum_2022_gad7,irw_text,published
anxiety_gastro_symptoms,irw_text_2,published
aps_vangsness_2019,irw_text,published
arabaci_2025_skill_diversity,irw_text_3,published
arabaci_2025_turnover_intention,irw_text_3,published
argentina_2012_aging_ageism,irw_text_3,published
argentina_2012_aging_change,irw_text_3,published
argentina_2012_aging_dependence,irw_text_3,published
argentina_2012_aging_health,irw_text_3,published
argentina_2012_aging_instrumental,irw_text_3,published
argentina_2012_tobacco_harm,irw_text_3,published
argentina_2012_tobacco_policy,irw_text_3,published
argentina_2013_reproductive_awareness,irw_text_3,published
argentina_2013_reproductive_transmission,irw_text_3,published
arnulf_2022_general_knowledge,irw_text,published
arora2025_blueq_pedagogical,irw_text,published
arora2025_blueq_synchronous,irw_text,published
art,irw_text,published
artistic_preferences,irw_text,published
arzamoncunill_2023_epq_admin,irw_text,published
arzamoncunill_2023_epq_clinical,irw_text,published
aslec_insomnia_wang2025,irw_text,published
assessment_time_fournier_2025_bscs,irw_text,published
assessment_time_fournier_2025_gad,irw_text,published
assessment_time_fournier_2025_phq,irw_text,published
assessment_time_fournier_2025_pmpuq,irw_text,published
assessment_time_fournier_2025_upps,irw_text,published
audit_BrummerHoffman_2021,irw_text_2,published
audretsch_2021_entrepreneurial_ecosystems,irw_text,published
autonomysupport_mokken,irw_text,published
avilatamayo_2022_empl_stab,irw_text_2,published
avilatamayo_2022_skills_dev,irw_text_2,published
avilatamayo_2022_work_envir,irw_text_2,published
avilatamayo_2022_work_life,irw_text_2,published
avilatamayo_2022_workf_div,irw_text_2,published
avilesgonzalez2019_ces,irw_text,published
baaziz_2023_sms2,irw_text,published
bae_boredom_bieleke2022,irw_text,published
bailon_2020_covidaffect,irw_text_2,published
baka2023_jcs,irw_text,published
baka2023_olbi,irw_text,published
baka2023_uwes,irw_text,published
bakker_2020_rses,irw_text,published
bakumenko_2023_adyghe_values,irw_text,published
balmas2018_leader_attitudes,irw_text,published
balmas2018_leader_personality,irw_text,published
bang_2023_self_esteem,irw_text,published
baquerotomas_2026_gad7,irw_text,published
baquerotomas_2026_phq9,irw_text,published
bartoli_2022_badge_notifications,irw_text,published
baumgaertner_2018_vaccine_trust,irw_text_3,published
beck_2021_iesr,irw_text,published
beh_boredom_bieleke2022,irw_text,published
benitezsillero_2021_bullying,irw_text,published
bentall_2021_over_purchasing,irw_text_2,published
bfi_goldberg_1992_agreeableness,irw_text_2,published
bfi_goldberg_1992_conscientiousness,irw_text_2,published
bfi_goldberg_1992_extraversion,irw_text_2,published
bfi_goldberg_1992_neuroticism,irw_text_2,published
bfi_goldberg_1992_openness_to_experience,irw_text_2,published
bitew_2020_lte,irw_text,published
bitew_2020_osss3,irw_text,published
bitew_2020_phq9,irw_text,published
bitew_2020_self_efficacy,irw_text,published
bled_2021_imagery_phenomenology,irw_text_3,published
bled_2021_imagery_use,irw_text_3,published
boudreau_2022_police_reform,irw_text,published
boyd_prism_2024,irw_text,published
bps_boredom_bieleke2022,irw_text,published
brain_hemisphere,irw_text,published
brand_raffaelli_2024_familiarity_24,irw_text,published
brand_raffaelli_2024_liking_20,irw_text,published
brand_raffaelli_2024_liking_24,irw_text,published
brand_raffaelli_2024_recognition_20,irw_text_2,published
brederecke_2020_phq4,irw_text,published
brederecke_2020_sis,irw_text,published
broadband_inventories,irw_text,published
bscs_fadplus_goto2021,irw_text,published
buczel_2022_inoculation_belief,irw_text,published
bukhori_2024_dass,irw_text_2,published
bukurov_2022_sf36,irw_text,published
burgess_2025_soas,irw_text,published
busch_2022_course_alleviate,irw_text,published
busch_2022_course_exacerbate,irw_text_2,published
busch_2023_stigma,irw_text,published
butt_2022_actual_usage,irw_text,published
butt_2022_cognitive_absorption,irw_text,published
butt_2022_institutional_factors,irw_text,published
butt_2022_performance_impact,irw_text,published
butt_2022_task_tech_fit,irw_text,published
butt_2022_user_satisfaction,irw_text,published
buzgova_2023_gai,irw_text,published
buzgova_2023_gds,irw_text,published
buzgova_2023_lsita,irw_text,published
buzgova_2023_qol,irw_text_3,published
buzgova_2023_rses,irw_text,published
buzgova_2023_soc,irw_text,published
cacciatore_2021_crisis_care_satisfaction,irw_text,published
cacciatore_2021_isel,irw_text,published
cacciatore_2021_ongoing_satisfaction,irw_text,published
campos_2023_oes,irw_text,published
campos_2023_pidaq,irw_text,published
carney_2023_substance_use,irw_text,published
carver_2017_puggs_pilot1_attitudes,irw_text,published
carver_2017_puggs_pilot1_det_core,irw_text_2,published
carver_2017_puggs_pilot1_genom_know,irw_text,published
carver_2017_puggs_pilot1_traits,irw_text,published
carver_2017_puggs_pilot2_attitudes,irw_text,published
carver_2017_puggs_pilot2_det_core,irw_text,published
carver_2017_puggs_pilot2_genom_know,irw_text_2,published
carver_2017_puggs_pilot2_traits,irw_text,published
cavalini_mokken,irw_text_2,published
cbi_rodriguez_2021,irw_text,published
ccapsvtskhpacr_mercedes_2023_beck,irw_text,published
ccapsvtskhpacr_mercedes_2023_hada,irw_text,published
ccapsvtskhpacr_mercedes_2023_physical,irw_text,published
ccapsvtskhpacr_mercedes_2023_sf,irw_text,published
ccapsvtskhpacr_mercedes_2023_tsk,irw_text,published
cdm_mentalhealth_tan_2023_bsi,irw_text,published
cdm_mentalhealth_tan_2023_rapi,irw_text,published
celik_2026_academic_motivation,irw_text_3,published
celik_2026_tipi,irw_text_3,published
cf_kay_2025,irw_text,published
cfq_ruiz_2025_dass,irw_text_2,published
chatton2024_honos13,irw_text,published
che_mood_2024_pvhs,irw_text_2,published
chen2022_cls,irw_text,published
chen2022_ses,irw_text,published
chen2022b_psychabuse,irw_text,published
chen2022b_selfesteem,irw_text,published
chen2022b_socsupport,irw_text,published
chen_2021_acculturation,irw_text,published
chen_2021_enculturation,irw_text,published
chen_2022_sasc,irw_text,published
chile_2023_children-adolescents-survey_aa,irw_text_2,published
chile_2023_children-adolescents-survey_cp_a,irw_text_2,published
chile_2023_children-adolescents-survey_cp_c,irw_text_2,published
chile_2023_children-adolescents-survey_g,irw_text_2,published
chile_2023_children-adolescents-survey_n,irw_text_2,published
chile_2023_social-welfare-survey_a,irw_text_2,published
chile_2023_social-welfare-survey_ee,irw_text,published
chile_2023_social-welfare-survey_f,irw_text,published
chile_2023_social-welfare-survey_g,irw_text,published
chile_2023_social-welfare-survey_h,irw_text,published
chile_2023_social-welfare-survey_oo,irw_text,published
chile_2023_social-welfare-survey_rr,irw_text_2,published
chile_2023_social-welfare-survey_ss,irw_text_2,published
chile_2023_social-welfare-survey_u,irw_text_2,published
chile_2023_social-welfare-survey_vv,irw_text_2,published
chile_2023_social-welfare-survey_yy,irw_text_2,published
chinvararak_2021_phq15,irw_text,published
choy_2022_extraneous_events,irw_text,published
christensen_2018_wsssf_2171,irw_text_2,published
christensen_2018_wsssf_5831,irw_text_2,published
chuemchit_2024_nonpartner_violence,irw_text,published
chuemchit_2024_partner_violence,irw_text,published
cinar_tanriverdi_2023_gad7,irw_text,published
clipa_2025_mslq,irw_text_2,published
cmq_kay_2025,irw_text,published
coach_chen_2022_hdrs,irw_text,published
coach_chen_2022_phq9,irw_text,published
codella_2020_school_efficacy,irw_text_2,published
cogcontrol_gyurkovics_2019_flanker,irw_text,published
cogcontrol_gyurkovics_2019_mwprobe,irw_text_2,published
cogcontrol_gyurkovics_2019_sart,irw_text,published
cogcontrol_gyurkovics_2019_simon,irw_text,published
cognitive_children_2026,irw_text_2,published
coh_goodman_2023_racial_comp,irw_text,published
colomer_perez_2021_soc13,irw_text,published
condon_2024_sapa_personality,irw_text,published
conner_2017_cesd,irw_text,published
conner_2017_curiosity,irw_text,published
conner_2017_lot,irw_text,published
conner_2017_vitality,irw_text,published
consideration_future_consequences,irw_text,published
conspiracy_asd__cognitive_flexibility,irw_text,published
conspiracy_asd__conspiracy_gcbs,irw_text,published
conspiracy_asd__schizotypy,irw_text,published
conspiracy_asd__thinking_styles,irw_text,published
content_literacy_intervention_g1,irw_text,published
cooper_2018_funny_topics,irw_text,published
cooper_2018_offensive_topics,irw_text,published
cordova2019_clinical_edu_environment,irw_text,published
cormier_2024_cognitive_decline,irw_text,published
cormier_2024_phq4,irw_text,published
coroiu_2018_phq9,irw_text_3,published
coroiu_2018_scs,irw_text_3,published
corti_2023_academic_adaptation,irw_text,published
covid_travel_mackenzie_2021,irw_text_2,published
cox_2024_feedback_perceptions,irw_text,published
criticalperiod_syntax,irw_text,published
cucchi_2018_kims,irw_text,published
cucchi_2018_rfq,irw_text,published
cucchi_2018_scoff,irw_text,published
cugmas_2021_elderly_social_support,irw_text,published
dahlstrom_2022_scoare,irw_text,published
daiku_2021_dirty_dozen,irw_text,published
dalichaouche_2026_covid_attitudes,irw_text_2,published
dalichaouche_2026_covid_knowledge,irw_text_2,published
dalichaouche_2026_covid_practices,irw_text_2,published
dalky_2020_sf36,irw_text,published
dasilva_2019_hexaco24,irw_text,published
dass21_medical_graduates_bangladesh,irw_text_2,published
dass_Thiyagarajan2022,irw_text,published
dd_rotation,irw_text,published
de_vries_2022_bat_burnout_core,irw_text,published
de_vries_2022_bat_secondary,irw_text,published
de_vries_2022_eudaimonic_wellb,irw_text_3,published
debacker_2018_decisionjustification,irw_text,published
decamp_2022_online_discussion,irw_text,published
deilkas_2019_patient_safety_climate,irw_text,published
dejesus_2017_lequesne,irw_text,published
dejesus_2017_sf36,irw_text,published
den_kay_2025,irw_text_3,published
depression_anxiety_stress,irw_text,published
derubeis_2017_arsq,irw_text,published
di_riso_2025_contact_behavior,irw_text_2,published
di_riso_2025_mask_emotion,irw_text,published
dinic_2025_shortdarktriad,irw_text,published
direkvand_2022_mjsi,irw_text,published
disgust_berger2014,irw_text_2,published
doherty_2023_dass21,irw_text_3,published
donati_2021_cfq7,irw_text,published
dong_2025_teacher_leadership,irw_text,published
dopmeijer_2022_performance_pressure,irw_text_3,published
dou2025_ans,irw_text_2,published
dou2025_area,irw_text,published
double_marking_steele_2022,irw_text,published
doustmohammadian_2017_fnlit,irw_text,published
dpt_noncog__emotional_intelligence,irw_text,published
dpt_noncog__intolerance_of_uncertainty,irw_text,published
dss_mouta_2021,irw_text_2,published
duckmayr_2023_immigration,irw_text,published
dudasova_2021_cpc12,irw_text,published
dudasova_2021_cpc12_study3,irw_text,published
dudasova_2021_gratitude,irw_text,published
dulger2024_wordcompletion,irw_text,published
dumas_Organisciak_2022,irw_text,published
dussel_2022_pcl17,irw_text,published
dvivdtws_ppmial_marcatto_2023_dtw,irw_text_2,published
dwyer_2019_clinton_activist,irw_text_2,published
dwyer_2019_clinton_cesd,irw_text,published
eammi_grahe_2018_american_dream,irw_text,published
eammi_grahe_2018_belong,irw_text,published
eammi_grahe_2018_disability_identity,irw_text,published
eammi_grahe_2018_efficacy,irw_text,published
eammi_grahe_2018_exploit,irw_text,published
eammi_grahe_2018_idea,irw_text,published
eammi_grahe_2018_marriage_attitudes,irw_text,published
eammi_grahe_2018_marriage_identity_allocation,irw_text_3,published
eammi_grahe_2018_marriage_timing,irw_text,published
eammi_grahe_2018_moa1,irw_text,published
eammi_grahe_2018_moa2,irw_text,published
eammi_grahe_2018_npi,irw_text,published
eammi_grahe_2018_physsx,irw_text_3,published
eammi_grahe_2018_socmedia,irw_text,published
eammi_grahe_2018_support,irw_text,published
eammi_grahe_2018_swb,irw_text,published
eammi_grahe_2018_transgressions,irw_text,published
ecps_sahm_2024_distrust,irw_text,published
ecps_sahm_2024_dtl,irw_text,published
ecps_sahm_2024_emotion,irw_text,published
ecps_sahm_2024_ia,irw_text,published
ecps_sahm_2024_identity,irw_text,published
ecps_sahm_2024_moral,irw_text,published
ecps_sahm_2024_sscd,irw_text,published
ecps_sahm_2024_stress,irw_text,published
ecps_sahm_2024_support,irw_text,published
ecps_sahm_2024_trust,irw_text,published
ecps_sahm_2024_vaccine,irw_text,published
eeedprm_bulut_2021,irw_text,published
ees_sarling_2024,irw_text_2,published
ehealth_rioux_2025_gad,irw_text_2,published
ehealth_rioux_2025_mssps,irw_text,published
ehealth_rioux_2025_phq,irw_text_2,published
ehealth_rioux_2025_rse,irw_text,published
eldor_2022_anomie,irw_text_3,published
eldor_2022_collective_anger,irw_text_3,published
eldor_2022_political_resilience,irw_text_3,published
eldor_2022_realistic_threat,irw_text_3,published
eldor_2022_relative_deprivation,irw_text_3,published
eldor_2022_symbolic_threat,irw_text_3,published
eldor_2022_violent_intentions,irw_text_3,published
ellis_2016_calc_instrprac,irw_text,published
ellis_2016_calc_instrqual,irw_text,published
emidy2024_fevs,irw_text,published
emobank_buechel_2017,irw_text,published
emsc_kuan-chin_2023,irw_text,published
enem_2013_1mil_ch,irw_text,published
enem_2013_1mil_cn,irw_text,published
enem_2013_1mil_lc,irw_text,published
enem_2013_1mil_mt,irw_text,published
enem_2015_1mil_ch,irw_text,published
enem_2015_1mil_cn,irw_text,published
enem_2015_1mil_lc,irw_text,published
enem_2015_1mil_mt,irw_text,published
enem_2016_1mil_ch,irw_text,published
enem_2016_1mil_cn,irw_text,published
enem_2016_1mil_lc,irw_text,published
enem_2016_1mil_mt,irw_text,published
enem_2017_1mil_ch,irw_text,published
enem_2017_1mil_cn,irw_text,published
enem_2017_1mil_lc,irw_text,published
enem_2017_1mil_mt,irw_text,published
enem_2018_1mil_ch,irw_text,published
enem_2018_1mil_cn,irw_text,published
enem_2018_1mil_lc,irw_text,published
enem_2018_1mil_mt,irw_text,published
enem_2019_1mil_ch,irw_text,published
enem_2019_1mil_cn,irw_text,published
enem_2019_1mil_lc,irw_text,published
enem_2019_1mil_mt,irw_text,published
enem_2020_1mil_ch,irw_text,published
enem_2020_1mil_cn,irw_text,published
enem_2020_1mil_lc,irw_text,published
enem_2020_1mil_mt,irw_text,published
enem_2021_1mil_ch,irw_text,published
enem_2021_1mil_cn,irw_text,published
enem_2021_1mil_lc,irw_text,published
enem_2021_1mil_mt,irw_text,published
enem_2022_1mil_ch,irw_text,published
enem_2022_1mil_cn,irw_text,published
enem_2022_1mil_lc,irw_text,published
enem_2022_1mil_mt,irw_text,published
enem_2023_1mil_ch,irw_text_2,published
enem_2023_1mil_cn,irw_text_2,published
enem_2023_1mil_lc,irw_text_2,published
enem_2023_1mil_mt,irw_text_2,published
enem_2024_1mil_ch,irw_text,published
enem_2024_1mil_cn,irw_text,published
enem_2024_1mil_lc,irw_text,published
enem_2024_1mil_mt,irw_text,published
enem_2025_1mil_ch,irw_text,published
enem_2025_1mil_cn,irw_text,published
enem_2025_1mil_lc,irw_text,published
enem_2025_1mil_mt,irw_text,published
enkavi_2019_ant_flanker,irw_text,published
enkavi_2019_gonogo,irw_text,published
enkavi_2019_navon,irw_text,published
enkavi_2019_simon,irw_text,published
enkavi_2019_stopsignal,irw_text,published
enkavi_2019_stroop,irw_text,published
envirisk_lalot_2025,irw_text_2,published
environment_ltm,irw_text,published
esiason_2024_ace,irw_text,published
esiason_2024_cfq,irw_text,published
estcrm_epia,irw_text,published
estcrm_selfeff,irw_text_2,published
estevezlopez_2016_panas,irw_text,published
eurpar2_mudfold,irw_text,published
evans_2023_vaccination_norms,irw_text,published
evans_2023_vaccine_hesitancy,irw_text,published
evpromisi_stone_2021_cdiag,irw_text,published
extremera_2016_ei,irw_text,published
extremera_2016_sbq,irw_text,published
faces_spanish_vegas_2022_faces,irw_text,published
faces_spanish_vegas_2022_fss,irw_text,published
facit_yount_2021_crqsasx,irw_text,published
facit_yount_2021_hadsx,irw_text,published
fad_dataset1,irw_text,published
fad_dataset2,irw_text,published
falih_2026_dass21,irw_text,published
falih_2026_mds16,irw_text,published
famous_melodies,irw_text_2,published
fatima_2025_mslq,irw_text,published
fcv19s_hossain_2022_anxiety,irw_text,published
fcv19s_hossain_2022_fear,irw_text,published
fedsp_trzcinska_2023_prd,irw_text,published
fedsp_trzcinska_2023_pspcsa,irw_text,published
fedsp_trzcinska_2023_smsd,irw_text,published
ffm_agr,irw_text,published
ffm_csn,irw_text,published
ffm_est,irw_text,published
ffm_ext,irw_text,published
ffm_opn,irw_text,published
firstborn_personality,irw_text,published
fisher_2019_belonging,irw_text,published
fisher_2019_preparedness,irw_text,published
fisher_2019_structure,irw_text,published
fisher_temperment,irw_text,published
fitz_2024_numeracy,irw_text_2,published
fitz_2024_polknow,irw_text_2,published
fivpei_perrig_2023_pxi,irw_text,published
florida_twins_auth,irw_text,published
florida_twins_behavior_cads,irw_text,published
florida_twins_behavior_cadsyv,irw_text,published
florida_twins_behavior_ecs,irw_text,published
florida_twins_behavior_friends,irw_text,published
florida_twins_behavior_panas,irw_text,published
florida_twins_behavior_rcads,irw_text,published
florida_twins_behavior_tas,irw_text,published
florida_twins_cads,irw_text,published
florida_twins_chaos,irw_text,published
florida_twins_class,irw_text,published
florida_twins_dbi,irw_text,published
florida_twins_dweck,irw_text,published
florida_twins_friends,irw_text,published
florida_twins_grades,irw_text,published
florida_twins_grit,irw_text,published
florida_twins_hwk,irw_text,published
florida_twins_leq,irw_text,published
florida_twins_media,irw_text,published
florida_twins_nes,irw_text,published
florida_twins_pals,irw_text,published
florida_twins_panas,irw_text,published
florida_twins_par,irw_text_2,published
florida_twins_read,irw_text,published
florida_twins_sch,irw_text,published
florida_twins_tech,irw_text,published
frac20,irw_text,published
fraijo_2022_mslq,irw_text_2,published
franco_2024_unfolding,irw_text_2,published
fredrickson_2015_mhcsf,irw_text,published
friedman_2018_risks_discrimination,irw_text_3,published
friedman_2018_risks_government,irw_text_3,published
frikha_2023_pe_acrs,irw_text,published
frikha_2023_pe_ms,irw_text_2,published
ftna_kasper_2022,irw_text,published
fukuda_2021_health_literacy,irw_text_2,published
fukuda_2021_info_reliability,irw_text_2,published
fukuda_2021_withholding_behavior,irw_text_2,published
gabriel_2026_knowledge_confidence,irw_text_2,published
gabriel_2026_knowledge_correct,irw_text_2,published
gabriel_2026_media_use,irw_text_2,published
gad_BrummerHoffman_2021,irw_text_2,published
gan_2015_cesd,irw_text_2,published
gan_2015_ucla_loneliness,irw_text_2,published
gan_2024_depression,irw_text,published
ganbat_2022_pollution_disease_risk,irw_text_2,published
ganbat_2022_pollution_leave_type,irw_text_2,published
ganbat_2022_pollution_symptoms,irw_text_2,published
gao2025_attachment_anxiety,irw_text_2,published
gao2025_spiritual_wellbeing,irw_text_2,published
gao_2022_emotional_resilience,irw_text_3,published
garciabatista_2021_erq,irw_text_2,published
gcb5_2025,irw_text,published
gcbs_brotherton_2013,irw_text_3,published
gcbs_brotherton_2013_tipi,irw_text_3,published
gcbs_brotherton_2013_vcl,irw_text_2,published
genpsych_russell_2024_gemma,irw_text_2,published
genpsych_russell_2024_gpt3_5,irw_text_2,published
genpsych_russell_2024_gpt4o,irw_text_2,published
genpsych_russell_2024_llama3,irw_text_2,published
genpsych_russell_2024_mixtral,irw_text_2,published
geography,irw_text,published
gerard_2018_metatraits,irw_text_2,published
gerber_2022_altruism,irw_text_2,published
gerber_2022_eas_temperament,irw_text_2,published
germann_2026_environment,irw_text_2,published
germann_2026_immigration,irw_text_2,published
germann_2026_redistribution,irw_text_2,published
germann_2026_state_intervention,irw_text_2,published
gesbert_2021_tdeq,irw_text_2,published
