"table","instrument","language","instructions","instructions_translated","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ3","Porque valoro los beneficios que tiene el ejercicio físico","I value the benefits of exercise",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ3","Porque valoro los beneficios que tiene el ejercicio físico","I value the benefits of exercise",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ3","Porque valoro los beneficios que tiene el ejercicio físico","I value the benefits of exercise",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ4","Porque creo que el ejercicio es divertido","I exercise because it’s fun",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ4","Porque creo que el ejercicio es divertido","I exercise because it’s fun",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ4","Porque creo que el ejercicio es divertido","I exercise because it’s fun",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ4","Porque creo que el ejercicio es divertido","I exercise because it’s fun",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ4","Porque creo que el ejercicio es divertido","I exercise because it’s fun",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ5","Porque está de acuerdo con mi forma de vida","I exercise because it is consistent with my life goals",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ5","Porque está de acuerdo con mi forma de vida","I exercise because it is consistent with my life goals",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ5","Porque está de acuerdo con mi forma de vida","I exercise because it is consistent with my life goals",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ5","Porque está de acuerdo con mi forma de vida","I exercise because it is consistent with my life goals",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ5","Porque está de acuerdo con mi forma de vida","I exercise because it is consistent with my life goals",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ6","No veo por qué tengo que hacerlo","I don’t see why I should have to exercise",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ6","No veo por qué tengo que hacerlo","I don’t see why I should have to exercise",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ6","No veo por qué tengo que hacerlo","I don’t see why I should have to exercise",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ6","No veo por qué tengo que hacerlo","I don’t see why I should have to exercise",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ6","No veo por qué tengo que hacerlo","I don’t see why I should have to exercise",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ7","Porque mis amigos/familia/pareja me dicen que debo hacerlo","I take part in exercise because my friends/family/partner say I should",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ7","Porque mis amigos/familia/pareja me dicen que debo hacerlo","I take part in exercise because my friends/family/partner say I should",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ7","Porque mis amigos/familia/pareja me dicen que debo hacerlo","I take part in exercise because my friends/family/partner say I should",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ7","Porque mis amigos/familia/pareja me dicen que debo hacerlo","I take part in exercise because my friends/family/partner say I should",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ7","Porque mis amigos/familia/pareja me dicen que debo hacerlo","I take part in exercise because my friends/family/partner say I should",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ8","Porque me siento avergonzado si falto a la sesión","I feel ashamed when I miss an exercise session",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ8","Porque me siento avergonzado si falto a la sesión","I feel ashamed when I miss an exercise session",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ8","Porque me siento avergonzado si falto a la sesión","I feel ashamed when I miss an exercise session",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ8","Porque me siento avergonzado si falto a la sesión","I feel ashamed when I miss an exercise session",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ8","Porque me siento avergonzado si falto a la sesión","I feel ashamed when I miss an exercise session",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ9","Porque para mí es importante hacer ejercicio regularmente","It’s important to me to exercise regularly",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ9","Porque para mí es importante hacer ejercicio regularmente","It’s important to me to exercise regularly",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ9","Porque para mí es importante hacer ejercicio regularmente","It’s important to me to exercise regularly",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ9","Porque para mí es importante hacer ejercicio regularmente","It’s important to me to exercise regularly",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ9","Porque para mí es importante hacer ejercicio regularmente","It’s important to me to exercise regularly",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ10","Porque considero que el ejercicio físico forma parte de mí","I consider exercise part of my identity",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ10","Porque considero que el ejercicio físico forma parte de mí","I consider exercise part of my identity",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ10","Porque considero que el ejercicio físico forma parte de mí","I consider exercise part of my identity",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ10","Porque considero que el ejercicio físico forma parte de mí","I consider exercise part of my identity",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ10","Porque considero que el ejercicio físico forma parte de mí","I consider exercise part of my identity",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ11","No veo por qué tengo que molestarme en hacer ejercicio","I can’t see why I should bother exercising",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ11","No veo por qué tengo que molestarme en hacer ejercicio","I can’t see why I should bother exercising",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ11","No veo por qué tengo que molestarme en hacer ejercicio","I can’t see why I should bother exercising",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ11","No veo por qué tengo que molestarme en hacer ejercicio","I can’t see why I should bother exercising",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ11","No veo por qué tengo que molestarme en hacer ejercicio","I can’t see why I should bother exercising",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ12","Porque disfruto con las sesiones de ejercicio","I enjoy my exercise sessions",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ12","Porque disfruto con las sesiones de ejercicio","I enjoy my exercise sessions",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ12","Porque disfruto con las sesiones de ejercicio","I enjoy my exercise sessions",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ12","Porque disfruto con las sesiones de ejercicio","I enjoy my exercise sessions",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ12","Porque disfruto con las sesiones de ejercicio","I enjoy my exercise sessions",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ13","Porque otras personas no estarán contentas conmigo si no hago ejercicio","I exercise because others will not be pleased with me if I don’t",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ13","Porque otras personas no estarán contentas conmigo si no hago ejercicio","I exercise because others will not be pleased with me if I don’t",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ13","Porque otras personas no estarán contentas conmigo si no hago ejercicio","I exercise because others will not be pleased with me if I don’t",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ13","Porque otras personas no estarán contentas conmigo si no hago ejercicio","I exercise because others will not be pleased with me if I don’t",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ13","Porque otras personas no estarán contentas conmigo si no hago ejercicio","I exercise because others will not be pleased with me if I don’t",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ14","No veo el sentido de hacer ejercicio","I don’t see the point in exercising",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ14","No veo el sentido de hacer ejercicio","I don’t see the point in exercising",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ14","No veo el sentido de hacer ejercicio","I don’t see the point in exercising",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ14","No veo el sentido de hacer ejercicio","I don’t see the point in exercising",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ14","No veo el sentido de hacer ejercicio","I don’t see the point in exercising",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ15","Porque veo el ejercicio físico como una parte fundamental de lo que soy","I consider exercise a fundamental part of who I am",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ15","Porque veo el ejercicio físico como una parte fundamental de lo que soy","I consider exercise a fundamental part of who I am",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ15","Porque veo el ejercicio físico como una parte fundamental de lo que soy","I consider exercise a fundamental part of who I am",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ15","Porque veo el ejercicio físico como una parte fundamental de lo que soy","I consider exercise a fundamental part of who I am",NA,4,NA,NA
