wave,deposit,table,verdict,instrument,wording_source,evidence,rights,rights_sha256,old_agrees,old_disagree_reason,effort,slice,retry,redo_note
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_assault,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 11 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_bankfraud,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 5 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_banking,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 3 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_bribes,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 4 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_carabineros,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 7 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_context,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 5 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_cyberbullying,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 3 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_cyberbullyingcharacterization,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 7 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_disturbances,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 15 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_dwelling,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 5 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_dwellingburglary,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 13 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_dwellingvandalism,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 7 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_extortion,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 3 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_extortioncharacterization,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 12 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_fear,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 15 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_hacking,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 3 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_hackingcharacterization,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 6 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
