deposit,stratum,n_tables,slice
10.1371/journal.pone.0336220,UNAVAILABLE,1,3
10.1371/journal.pone.0324486,UNAVAILABLE,2,4
10.31219/osf.io/p93df,never_assessed,2,5
10.1371/journal.pone.0146050,BLOCKED,4,1
table:Forthmann-2024-cleverness_ratings,never_assessed,1,2
10.1371/journal.pone.0316937,UNAVAILABLE,1,3
10.6084/m9.figshare.16900393,BLOCKED,2,4
10.1038/s41597-024-04100-7,never_assessed,15,5
10.48550/arxiv.2602.0007,never_assessed,1,1
10.17632/xd27t4g547,never_assessed,4,2
10.17632/w5f55333p4.2,never_assessed,1,3
10.3758/s13428-025-02708-0,never_assessed,11,4
https://dataverse.harvard.edu/dataset.xhtml?persistentid=doi:10.7910/dvn/fn8rzk&version=3.0,never_assessed,1,5
10.6084/m9.figshare.30093970,UNAVAILABLE,3,1
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,never_assessed,9,2
https://www.cis.es/es/estudios/calidad-de-la-democracia-iii-?charttype=bar&cuestionario=17943&muestra=26188&pregunta=654441&variable=1079828,never_assessed,8,3
10.1038/s41598-024-84829-8,UNAVAILABLE_copyright,3,4
10.7910/dvn/ibfk5h,UNAVAILABLE_copyright,2,5
10.1371/journal.pone.0266711,never_assessed,5,1
10.1037/pspp0000548,never_assessed,1,2
10.18637/jss.v058.i01,UNAVAILABLE,1,3
10.7717/peerj.18134,UNAVAILABLE_copyright,3,4
10.1017/s1755048322000256,never_assessed,1,5
10.1371/journal.pone.0159386,UNAVAILABLE_copyright,3,1
10.1371/journal.pone.0237710,never_assessed,7,2
10.1080/10705510902751416,UNAVAILABLE_copyright,1,3
table:rdatasets_gssabortion,never_assessed,1,4
10.7717/peerj.20310,never_assessed,1,5
