deposit,table,verdict,instrument,wording_source,evidence,rights,old_agrees,old_disagree_reason,effort,slice
10.1007/s11136-023-03348-7,uti_newlands_2023_psq,NEEDS_HUMAN,"Patient Satisfaction Questionnaire Short Form (PSQ-18), RAND",,"The deposit has no wording. The PSQ-18 is a public RAND survey, but rand.org returned 403 to both curl and WebFetch, so the terms were not read. The SF-36 register row (RAND grant, ship) suggests the same RAND terms apply. Decision: confirm the PSQ terms page.",unread: rand.org 403; analogous register:RAND SF-36 (ship),na,,low,1
10.1037/pspp0000547,talaifar_2025_study1_lifestyle_survey,OBTAINABLE,"Lifestyle Survey (authors' own behaviour-frequency list, 93 items)","https://osf.io/download/6k2cp/ (Survey Materials/Handbook_ Fall 2016 Survey measures.pdf, ls_1..ls_93) and https://osf.io/download/3mtxr/ (Spring 2017)","The OSF handbook lists ls_1..ls_93 with the behaviour wording (e.g. ls_1 ""Cook a meal at home""), and footnote markers *1..*4 point to the response-format stems. IRW items are ls_1..ls_93, so they map directly. The Fall and Spring handbooks should be checked for differences.",silence,na,,medium,1
10.1037/1040-3590.4.1.26,bfi_goldberg_1992_agreeableness,OBTAINABLE,"IPIP Big-Five Factor Markers (50-item, Goldberg 1992), not the BFI","https://openpsychometrics.org/_rawdata/BIG5.zip (codebook.txt, A1-A10)","The BIG5 codebook gives the full text of A1-A10, and n=19,719 matches. The table name says ""bfi"", but these are IPIP markers, not the (blocked) BFI-44.",register:International Personality Item Pool (IPIP) (ship),na,,low,1
10.1037/1040-3590.4.1.26,bfi_goldberg_1992_conscientiousness,OBTAINABLE,"IPIP Big-Five Factor Markers (50-item, Goldberg 1992), not the BFI","https://openpsychometrics.org/_rawdata/BIG5.zip (codebook.txt, C1-C10)","The BIG5 codebook gives the full text of C1-C10, and n=19,719 matches. The table name says ""bfi"", but these are IPIP markers, not the (blocked) BFI-44.",register:International Personality Item Pool (IPIP) (ship),na,,low,1
10.1037/1040-3590.4.1.26,bfi_goldberg_1992_extraversion,OBTAINABLE,"IPIP Big-Five Factor Markers (50-item, Goldberg 1992), not the BFI","https://openpsychometrics.org/_rawdata/BIG5.zip (codebook.txt, E1-E10)","The BIG5 codebook gives the full text of E1-E10, and n=19,719 matches. The table name says ""bfi"", but these are IPIP markers, not the (blocked) BFI-44.",register:International Personality Item Pool (IPIP) (ship),na,,low,1
10.1037/1040-3590.4.1.26,bfi_goldberg_1992_neuroticism,OBTAINABLE,"IPIP Big-Five Factor Markers (50-item, Goldberg 1992), not the BFI","https://openpsychometrics.org/_rawdata/BIG5.zip (codebook.txt, N1-N10)","The BIG5 codebook gives the full text of N1-N10, and n=19,719 matches. The table name says ""bfi"", but these are IPIP markers, not the (blocked) BFI-44.",register:International Personality Item Pool (IPIP) (ship),na,,low,1
10.1037/1040-3590.4.1.26,bfi_goldberg_1992_openness_to_experience,OBTAINABLE,"IPIP Big-Five Factor Markers (50-item, Goldberg 1992), not the BFI","https://openpsychometrics.org/_rawdata/BIG5.zip (codebook.txt, O1-O10)","The BIG5 codebook gives the full text of O1-O10, and n=19,719 matches. The table name says ""bfi"", but these are IPIP markers, not the (blocked) BFI-44.",register:International Personality Item Pool (IPIP) (ship),na,,low,1
10.1111/j.1471-6402.1998.tb00158.x,feminist_perspectives,OBTAINABLE,"Feminist Perspectives Scale (Henley et al. 1998), 60 attitude items","https://emerge.ucsd.edu/r_1lid8sa3r3yrkh3/ (Items section, 1-60 by subscale)","The openpsychometrics codebook says the text is only in Henley 1998, which is closed (OpenAlex). UCSD EMERGE prints all 60 items numbered 1-60. The risk is that EMERGE groups items by subscale, so its numbering may not match the administered/paper order that FPS columns follow.",silence,no,The old audit found no open copy. UCSD EMERGE reproduces all 60 items.,medium,1
10.1371/journal.pone.0310351,idemudia_2025_d101,UNREACHABLE,"Acculturative Stress Scale for International Students (ASSIS, Sandhu & Asrabadi 1994)",,"The block is identified by 36 items at 1-5 and the 7 ASSIS subscale composites in S1 (Perceived_discrimination..Miscellaneous). The paper names the ASSIS but gives no items. The original (Psychol Rep, SAGE) is paywalled, and no open full reproduction was found (academia.edu copy not tried).",n/a,yes,,medium,1
10.1371/journal.pone.0310351,idemudia_2025_e201,UNREACHABLE,"East Asian Acculturation Measure (EAAM, Barry 2001), adapted to Germany/SA host",,"The block is identified by 29 items at 1-7 and the Assimilation/Separation/Integration/Marginalization composites. The paper gives no items, and Barry 2001 is paywalled. The Myanmar validation (PMC10900054) does not list the items. The administered wording substitutes the host country, so even the original would need adaptation.",n/a,yes,,high,1
10.1371/journal.pone.0310351,idemudia_2025_s101,NEEDS_HUMAN,"probably MSPSS (Zimet 1988), inferred",,"12 items at 1-7, and S1 carries Significant_other/Family/friends composites, which fits the MSPSS. The paper never names it, and the data have SoSci codes only. Decision: is inferring the instrument from composite columns enough to attach MSPSS wording? MSPSS rights were not checked.",n/a (identity unconfirmed),no,The old audit said no instrument is described. The composite columns in S1 point to the MSPSS.,medium,1
10.1371/journal.pone.0310351,idemudia_2025_s201,NOT_PUBLISHED,unidentified 4-item block (1-5),,"Not named in the paper, and S1 has codes only. It is possibly the financial/institutional support items behind the Financial_support/Institutional_support composites, but nothing confirms that.",n/a,yes,,high,1
10.1371/journal.pone.0310351,idemudia_2025_t101,RIGHTS_BLOCK,GHQ-12 (+ PHQ-4) inferred,,"16 items at 1-4. S1 composites GHQ_TOTAL, Social_Dysfunction, Anxiety_Depression, Loss_of_Confidence (GHQ-12 factors), GAD_total and PHQ_total fit GHQ-12 + PHQ-4 = 16. The paper does not name them. At least 12 items fall under the GHQ register block.",register:General Health Questionnaire family (block),no,"The old audit said no instrument is described. The S1 composite columns identify the GHQ-12, which is register-blocked.",medium,1
10.1371/journal.pone.0310351,idemudia_2025_t201,NEEDS_HUMAN,"probably Psychological Capital Questionnaire PCQ-12 (Mind Garden), inferred",,"12 items at 1-6, and S1 has Self_efficacy/Hope/Resilience/Optimism composites, which fits the PCQ-12 (6-point). The paper does not name it. The PCQ is sold by Mind Garden, and the register's Mind Garden rows (STAI, BSRI) block, so this likely ends as RIGHTS_BLOCK. Decision: confirm the identity and quote Mind Garden's PCQ terms.",likely Mind Garden restriction (unquoted),no,"The old audit said no instrument is described. The composites point to the PCQ-12, a likely rights block.",medium,1
table:Karim2022_tmoca_subscales_longitudinal,Karim2022_tmoca_subscales_longitudinal,RIGHTS_BLOCK,Telephone MoCA (T-MoCA) subtest scores,,"Items are MoCA subtest scores (VF, Or, Me, DS, SA, SS, SR, Ab, N, TM, CD, CC). The wording would be the MoCA task instructions, and the MoCA reserves reproduction. The table has no biblio or refs.","quote:""MoCA(c) may be used, reproduced, and distributed WITH permission... If you would like to print the MoCA in a book or in another source, please request permission"" https://mocacognition.com/permission/",na,,medium,1
10.1037/xge0000698,cogcontrol_gyurkovics_2019_mwprobe,OBTAINABLE,SART thought probe (Gyurkovics et al.),"https://eprints.whiterose.ac.uk/152525/3/CogControlManuscript_Revision_Round2_ChangesAccepted.pdf (Method, SART with thought probes)","The green OA manuscript quotes the probe: ""Please choose the one option below that best describes your experience with the task just now"" with 4 options. The same probe is used for all 10 items (probe_01..10 are occasions), and resp is recoded to binary MW, so the options do not map 1:1 to resp.",silence,no,The old audit said BLOCKED on the APA paywall. OpenAlex lists green OA copies containing the verbatim probe.,low,1
10.3389/fpsyg.2022.1014794.s001,chen2022_sasc,NOT_PUBLISHED,"Social Anxiety Scale for Children (SASC, La Greca 1988), Chinese (Ma 1993)",,"The figshare CSV has codes A1..A48 only. The paper (PMC9679498) gives 2 example items and calls the SASC a 10-item scale, but IRW has 14 items (A35-A48), so the table may include non-SASC columns. The Chinese version (Ma 1993 manual) is not open.",n/a,na,,high,1
table:Zanesco_2023_Golleretal2020,Zanesco_2023_Golleretal2020,OBTAINABLE,"SART thought probe, on/off-task 5-point (Goller et al. 2020 data, via Zanesco et al.)","https://pmc.ncbi.nlm.nih.gov/articles/PMC11362314/ (Method: Goller et al. 2020 dataset, second probe)","Items T1-T36 are 36 probe occasions of the same question. Zanesco et al. (BRM 2024, CC BY) describe the probe as rating on-/off-task from 1 (completely on-task) to 5 (completely off-task), which matches the 5 categories. The verbatim stem should be confirmed in Goller et al. 2020 or the OSF (osf.io/shxb6). There is no biblio in IRW.",silence,na,,low,1
10.3389/fpsyg.2020.590276,pellerin2020_3dws,OBTAINABLE,3D-WS-12 (Thomas et al. 2017; Ardelt),https://people.clas.ufl.edu/ardelt/files/Instructions-for-the-3D-WS-12-Questionnaire.pdf (items 1-12 tagged c/r/a),"The originator's page hosts the English 3D-WS-12 with dimension tags, 4 each for c/r/a, which matches Cog_1-4/Refl_1-4/Aff_1-4. The order within each dimension and the French administration need checking.",silence (Ardelt page offers the file; no reservation stated),no,The old audit said the development paper is paywalled. The originator hosts the 12 items openly.,medium,1
10.3389/fpsyg.2020.590276,pellerin2020_asti,OBTAINABLE,"Adult Self-Transcendence Inventory, self-transcendence dimension (Koller, Levenson & Glueck 2017)","https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5318383/fullTextXML (Table 3B, SELF-TRANSCENDENCE rows I02,I04,I07,I13,I16,I24,I25)","Koller et al. 2017 (Frontiers, CC BY) Table 3B lists the 7 ST-dimension items verbatim, which matches IRW ST_1..7. French administration.",silence,no,The old audit found no open item source. Koller 2017 (OA) prints the 7 ST items.,medium,1
10.3389/fpsyg.2020.590276,pellerin2020_mwbs_gratbeing,UNREACHABLE,"Minimalist Well-Being Scale (Kan, Karasawa & Kitayama 2009), gratitude-for-being facet (4)",,"The Pellerin paper gives one example item. OSF 45aq3 has only the data CSV and an R script. The Kan et al. 2009 source (Self & Identity) is paywalled, and no open reproduction was found within budget.",n/a,yes,,high,1
10.3389/fpsyg.2020.590276,pellerin2020_mwbs_pd,UNREACHABLE,"Minimalist Well-Being Scale (Kan, Karasawa & Kitayama 2009), peaceful-disengagement facet (7)",,"The Pellerin paper gives one example item. OSF 45aq3 has only the data CSV and an R script. The Kan et al. 2009 source (Self & Identity) is paywalled, and no open reproduction was found within budget.",n/a,yes,,high,1
10.3389/fpsyg.2020.590276,pellerin2020_serenity_acceptance,NEEDS_HUMAN,"Brief Serenity Scale, Acceptance factor (Kreitzer et al. 2009)",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_json/PMC2818779/unicode (Table: Factor 1 Acceptance),"The Kreitzer 2009 author manuscript (PMC2818779) lists the Acceptance-factor items verbatim, but its 2-factor text says 10 Acceptance items while Pellerin used 8, in French. Decision: which 8 items, and is the English source acceptable for a French administration.",silence,no,The old audit said the Kreitzer text is not locatable. It is in the PMC author manuscript.,medium,1
10.31234/osf.io/jfgvr,xue_2024_full_dataset,NOT_ITEM_TEXT,content-coded open-ended threat categories (Study 1),,"The 19 items are counts of coded categories (""1. Physical and Mental State of self..."", etc.) from 10 free-text answers per person (Full-dataset and coding.xlsx). They are coding categories, not administered items.",n/a,na,,low,1
10.31234/osf.io/jfgvr,xue_2024_study2_efa,NEEDS_HUMAN,COVID-19 Multifaceted Threat pool (108 items) + Schwartz PVQ-style values items (Q29-Q31),https://osf.io/download/8r2fw/ (Table S2 - Original 100 Items) + SAV variable labels for Q29-31,"Table S2 plus the SAV give wording for the threat items (Health_1..Political_11). The same table also holds 22 Q29-Q31 values items (""How much like you is this person?... It is important to him to listen to people who are different..."") that fall under the Schwartz register block. Decision: ship partial item text or split the table.",mixed: threat items silence; Q29-31 register:Schwartz value instruments (block),na,,high,1
10.31234/osf.io/jfgvr,xue_2024_study3_cfa,NEEDS_HUMAN,"mixed: CovTh 30-item threat scale + VALUE(21, PVQ-21) + cope_pers(28) + growth, wellbeing, prosocial, govt items",https://osf.io/download/kb2gw/ (30-item threat scale),"CovTh1-30 wording is in the OSF docx, and the prosoc/govtsoli items carry SAV labels. VALUE1-21 (likely PVQ-21, register block), cope_pers (28, likely Brief COPE), pgrowth, sgrowth, perswb (5, possibly WHO-5, block) and socwb (15) are unlabelled. Decision: split, block and source per instrument.",mixed; VALUE register:Schwartz (block); perswb possibly register:WHO-5,na,,high,1
10.1371/journal.pone.0208438,wesselmann_2018_drri,OBTAINABLE,DRRI-2 Deployment Concerns (12),https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0208438.s001 (SAV variable labels drri1-12); also https://osf.io/download/ujfw6/,"The SPSS variable labels carry the full item wording for drri1-12 (e.g. drri1 ""I was concerned about getting an infectious disease.""; ost1 ""In general, others leave me out of their group."").",silence (VA/NCPTSD instrument),no,The old audit could not reach NCPTSD. The S1/OSF SAV carries full item labels.,low,1
10.1371/journal.pone.0208438,wesselmann_2018_social_support,OBTAINABLE,DRRI Post-Deployment Social Support (15),https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0208438.s001 (SAV variable labels social1-15); also https://osf.io/download/ujfw6/,"The SPSS variable labels carry the full item wording for social1-15 (e.g. drri1 ""I was concerned about getting an infectious disease.""; ost1 ""In general, others leave me out of their group."").",silence (VA/NCPTSD instrument),no,The old audit said the OSF could not be retrieved. The PLOS S1 SAV (and OSF ujfw6) label every item.,low,1
10.1371/journal.pone.0208438,wesselmann_2018_ostracism,OBTAINABLE,Ostracism Experience Scale (10),https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0208438.s001 (SAV variable labels ost1-10); also https://osf.io/download/ujfw6/,"The SPSS variable labels carry the full item wording for ost1-10 (e.g. drri1 ""I was concerned about getting an infectious disease.""; ost1 ""In general, others leave me out of their group."").",silence,no,The old audit chased the paywalled validation paper. The deposit SAV labels all 10 items.,low,1
10.1371/journal.pone.0208438,wesselmann_2018_state_anxiety,RIGHTS_BLOCK,STAI-6 (Marteau & Bekker 1992),,"The paper cites the Marteau & Bekker STAI short form, and the SAV labels its items (state1 ""I feel calm.""). The register block applies.",register:State-Trait Anxiety Inventory (STAI / STAI-6) (block),yes,,low,1
10.1371/journal.pone.0146050,wang_2016_study1_authalien,OBTAINABLE,"Authenticity Scale, self-alienation (Wood et al. 2008)","https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8218545/fullTextXML (Frontiers 2021 Russian AS validation, item table with original English + subscale tags)","The deposit SAVs are unlabelled (A_aliennation1, A_a2..4). A CC BY Frontiers paper prints all 12 original English AS items tagged SA/AL/AEI, giving 4 SA items. The within-subscale order is assumed to be the original order.",silence,no,The old audit went to midss.org (403) and the paywalled original. An OA paper reprints all 12 items.,medium,1
10.1371/journal.pone.0146050,wang_2016_study1_authexternal,OBTAINABLE,"Authenticity Scale, accepting external influence (Wood et al. 2008)","https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8218545/fullTextXML (Frontiers 2021 Russian AS validation, item table with original English + subscale tags)","As for self-alienation: the 4 AEI items are in the Frontiers table, and the SAV columns A_other1, A_o2..4 are unlabelled.",silence,no,The old audit went to midss.org (403). An OA paper reprints the items.,medium,1
10.1371/journal.pone.0146050,wang_2016_study1_relationship,UNREACHABLE,"Relationship Satisfaction Scale (Burns 1993, 7 items)",,"The SAV is unlabelled (Relationship1, R2..R7), and the paper gives one sample item. The Burns RSAT is distributed in his commercial Therapist's Toolkit. No open copy was found and the rights were not checked.",n/a,yes,,high,1
10.1371/journal.pone.0146050,wang_2016_study3_social_desirability,UNREACHABLE,"SDRS-5 (Hays, Hayashi & Stewart 1989), Chinese admin.",,"The s003 SAV has no labels (sd1-5), and the paper quotes 1 item. The 1989 original is paywalled, and an open copy was not located within budget. The processing notes also flag corrupted binary value labels.",n/a,yes,,medium,1
10.48550/arxiv.2602.0007,foundationalassist_worden_2026,NEEDS_HUMAN,ASSISTments problems (FoundationalASSIST),,"HF dataset (gated: manual approval) ships Data/Problems.csv, which likely holds problem text. The card licence is cc-by-nc-4.0, and here the depositor is the platform holding the problems, so NC would block. Many ASSISTments problems originate upstream in open curricula (e.g. Illustrative Mathematics, CC BY). Decision: whose terms govern, and whether to request gated access.","quote:""license: cc-by-nc-4.0"" (HF dataset card) https://huggingface.co/datasets/ASSISTments/FoundationalASSIST",na,,high,1
10.6084/m9.figshare.30093970,chen2025_activity_motivation,NOT_PUBLISHED,unnamed 15-item PA motivation scale,,"figshare API: the single SAV has unlabelled BI1-23/MOT1-15/PS1-5/SE1-10. The description names no instruments, and an OpenAlex search found no linked paper. Also: the deposit holds respondent IP addresses with city geolocation (column 来自IP).",n/a,yes,,high,1
10.6084/m9.figshare.30093970,chen2025_body_image,NOT_PUBLISHED,unnamed 23-item body image scale,,"figshare API: the single SAV has unlabelled BI1-23/MOT1-15/PS1-5/SE1-10. The description names no instruments, and an OpenAlex search found no linked paper. Also: the deposit holds respondent IP addresses with city geolocation (column 来自IP).",n/a,yes,,high,1
10.6084/m9.figshare.30093970,chen2025_peer_support,NOT_PUBLISHED,unnamed 5-item peer support scale,,"figshare API: the single SAV has unlabelled BI1-23/MOT1-15/PS1-5/SE1-10. The description names no instruments, and an OpenAlex search found no linked paper. Also: the deposit holds respondent IP addresses with city geolocation (column 来自IP).",n/a,no,"The old audit said BLOCKED on a figshare 403. The API is reachable, and it shows a codes-only SAV.",high,1
10.1371/journal.pone.0266711,avilatamayo_2022_empl_stab,OBTAINABLE,"Internal CSR questionnaire (Mory et al. 2016), Spanish validation, Employment stability",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0266711.s002 (S1 Appendix: Spanish + English by subscale),"The S1 Appendix docx lists the administered Spanish items and the English originals under ""Employment stability"". Map by order within the subscale.",silence,na,,low,1
10.1371/journal.pone.0266711,avilatamayo_2022_skills_dev,OBTAINABLE,"Internal CSR questionnaire (Mory et al. 2016), Spanish validation, Skills development",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0266711.s002 (S1 Appendix: Spanish + English by subscale),"The S1 Appendix docx lists the administered Spanish items and the English originals under ""Skills development"". Map by order within the subscale.",silence,na,,low,1
10.1371/journal.pone.0266711,avilatamayo_2022_work_envir,OBTAINABLE,"Internal CSR questionnaire (Mory et al. 2016), Spanish validation, Working environment",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0266711.s002 (S1 Appendix: Spanish + English by subscale),"The S1 Appendix docx lists the administered Spanish items and the English originals under ""Working environment"". Map by order within the subscale.",silence,na,,low,1
10.1371/journal.pone.0266711,avilatamayo_2022_work_life,OBTAINABLE,"Internal CSR questionnaire (Mory et al. 2016), Spanish validation, Work-life balance",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0266711.s002 (S1 Appendix: Spanish + English by subscale),"The S1 Appendix docx lists the administered Spanish items and the English originals under ""Work-life balance"". Map by order within the subscale.",silence,na,,low,1
10.1371/journal.pone.0266711,avilatamayo_2022_workf_div,OBTAINABLE,"Internal CSR questionnaire (Mory et al. 2016), Spanish validation, Workforce diversity",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0266711.s002 (S1 Appendix: Spanish + English by subscale),"The S1 Appendix docx lists the administered Spanish items and the English originals under ""Workforce diversity"". Map by order within the subscale.",silence,na,,low,1
10.1371/journal.pone.0159386,rowe_2016_bai,NEEDS_HUMAN,Beck Anxiety Inventory (Pearson),,"The paper names the BAI (21 items) without wording, and the SI is data only. The BAI is sold and licensed by Pearson, but the Pearson permissions page returned 404, so no reservation clause was captured. Decision: capture the Pearson clause; this is expected to end as RIGHTS_BLOCK.",unquoted: Pearson licensing,no,"The outcome likely matches, but the old audit blocked on ""commercially licensed"" (retired test) with no quoted clause.",low,1
10.1371/journal.pone.0159386,rowe_2016_mfi20,RIGHTS_BLOCK,"Multidimensional Fatigue Inventory (MFI-20, Smets et al. 1995)",,"The paper names the MFI (20 items) without wording. The holder statement reserves a fee for commercial use. The quote is second-hand (CamCOPS citing EULAR OML), not the originator's own page.","quote:""The MFI is free for academic use, charges apply for commercial use."" https://camcops.readthedocs.io/en/latest/tasks/mfi20.html",yes,,low,1
10.1371/journal.pone.0159386,rowe_2016_symptoms,NOT_PUBLISHED,5 symptom-intensity ratings (0-10),,"The paper says only that fatigue, body pain, lightheadedness, concentration difficulty and headache were each rated verbally 0-10. No question stem is given in the text or the SI.",n/a,yes,,low,1
10.1371/journal.pone.0164630,iwasa_2016_stai_trait,RIGHTS_BLOCK,"State-Trait Anxiety Inventory, Japanese trait form",,Register settles it: STAI has a block row. The paper uses the Japanese STAI trait form as a convergent measure; I did not look for the wording because the block decides the outcome.,register:State-Trait Anxiety Inventory (STAI / STAI-6),yes,,n/a,2
10.7910/dvn/lxkjiv,goldberg_2018_bri_bri,OBTAINABLE,"Behavioral Report Inventory (BRI; Goldberg ESCS), 400 acts","https://dataverse.harvard.edu/api/access/datafile/3137962 (BRI_items.txt, SPSS variable labels)",BRI_items.txt labels BRI1..BRI400; the count matches.,silence,na,,low,2
10.7910/dvn/lxkjiv,goldberg_2018_bri_curio,NEEDS_HUMAN,"Curious Experiences Survey (31 items; derived from the Dissociative Experiences Scale, Bernstein & Putnam)","https://dataverse.harvard.edu/api/access/datafile/3137962 (BRI_items.txt, SPSS variable labels)","BRI_items.txt labels CURIO1..31 (count matches), and CURIO1 is DES item 1. The wording is obtainable, but the originator is upstream (DES) and I did not read its terms. Decision: check the DES rights holder's terms before shipping.",n/a,na,,low,2
10.7910/dvn/lxkjiv,goldberg_2018_bri_feel,OBTAINABLE,CES-D (20) plus 4 added items,"https://dataverse.harvard.edu/api/access/datafile/3137962 (BRI_items.txt, SPSS variable labels)","BRI_items.txt labels FEEL1..24; FEEL1 is CES-D item 1. The CES-D is not in the register, and no restriction was found.",silence,na,,low,2
10.7910/dvn/lxkjiv,goldberg_2018_bri_food,OBTAINABLE,Food habits items (20),"https://dataverse.harvard.edu/api/access/datafile/3137962 (BRI_items.txt, SPSS variable labels)","BRI_items.txt labels FOOD1..20, e.g. ""When eating chicken, take off the skin?""; the count matches.",silence,na,,low,2
10.7910/dvn/lxkjiv,goldberg_2018_bri_ofood,OBTAINABLE,Food frequency items (29),"https://dataverse.harvard.edu/api/access/datafile/3137962 (BRI_items.txt, SPSS variable labels)",BRI_items.txt labels OFOOD1..29; the count matches.,silence,na,,low,2
10.1080/13674676.2020.1850666,PeSCBCSCe_Novak_2020_SCBCS,UNREACHABLE,"Santa Clara Brief Compassion Scale (Hwang, Plante & Lackey 2008), Czech",,"The OSF preprint and data_share.csv give no item wording (columns SCBCS_1-5 only), and the published paper is closed access. The English original is in Hwang et al. 2008 (Pastoral Psychology, paywalled, no OA copy found). The administered Czech wording is unpublished.",n/a,na,,medium,2
10.1080/13674676.2020.1850666,PeSCBCSCe_Novak_2020_SPIRIT,RIGHTS_BLOCK,"Daily Spiritual Experience Scale, modified 15-item Czech version",,"The preprint identifies SPIRIT as the modified 15-item DSES (Underwood & Teresi), which the register blocks. Note that the data has 15 SPIRIT columns while IRW holds only 5 items, a possible processing defect (typo headers SIPRIT_8/SPRIT_14).",register:Daily Spiritual Experience Scale (DSES),na,,n/a,2
10.1016/j.crbeha.2021.100039,dss_mouta_2021,OBTAINABLE,"Decision Styles Scale (Hamilton, Shih & Mohammed 2016), Brazilian Portuguese",https://osf.io/download/vuk48/ (dss_brasilian_pt.pdf),"The OSF instrument PDF prints all 10 items in Portuguese, numbered to match v1..v10 per READ_ME.txt.",silence,na,,low,2
