"instrument","family","verdict","rule","clause","source_url","source_sha256","fetched","match_item_text","match_item_code","notes"
"Brief Family Relationship Scale (Fok et al. 2014), adapted from the Family Environment Scale (Moos; Mind Garden)","","block","2026-09-25 irw#2382 re-audit triage (waves 6); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","License to Administer $2.75 Minimum purchase of 50 ... includes one copy of the FES (all forms), scoring key, and permission to administer the FES up to the quantity purchased","https://www.mindgarden.com/96-family-environment-scale","bf44c3b23e97b5409e9c048d0d407ef548781e04fbca91d7f6688011cbf4a9b5","2026-09-25","","","2 table(s): c19prc_uk_mcbride_2021_family_duringlockdown c19prc_uk_mcbride_2021_family_prelockdown"
"Beck Depression Inventory (21 items, 0-3; version not stated)","","block","2026-09-25 irw#2382 re-audit triage (waves 2); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Permission granting requests, such as: Reproduction of materials - request to reproduce a test form ...","https://www.pearsonassessments.com/footer/permissions---licensing.html","a3c99ff873cedd85720722ba4f1cca1385b03a0dc0090ab831c686a97d07e050","2026-09-25","","","2 table(s): rrca_mcneish_2025_bdi yao_2020_bdi"
"Youth Psychopathic Traits Inventory - Child Version (YPI-CV, 18-item), Chinese translation; derivative of the YPI (Andershed et al.)","","block","2026-09-25 irw#2382 re-audit triage (waves 1); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Please acknowledge that the YPI is for research purposes only... a written permission from the first author of the YPI, Henrik Andershed, is needed before actual use of the YPI.","https://www.oru.se/english/research/research-environments/hs/caps/ypi/","381d28565f3e5473a5ac9c1a85acb82416f1ee189d11949b33294d0ba3af55f3","2026-09-25","","","2 table(s): ren2019_ypic ren_2019_ypic"
"Short Negative Acts Questionnaire (S-NAQ, Notelaers et al. 2019; Italian Balducci et al. 2010), perpetrator-worded adaptation, 9 items","","block","2026-09-25 irw#2382 re-audit triage (waves 1,8); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The NAQ is free to use for non-commercial research projects. ... That the use of the NAQ is for research purposes only (non- profit). That each permission is for one project only.","https://www.uib.no/en/rg/bbrg/44045/naq","229af929194d8b2e414bd782125bdf0d6f3e18d91edd554fdf5cb9284a5c76ab","2026-09-25","","","2 table(s): dvivdtws_ppmial_marcatto_2023_snaq kabir_2023_snaq"
"Maslach Burnout Inventory - Human Services Survey (MBI-HSS), 22 items","","block","2026-09-25 irw#2382 re-audit triage (waves 5,6); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Available with MBI License to Administer ... MBI-HSS & MBI-HSS (MP) Copyright ©1981, 2016 by Christina Maslach & Susan E. Jackson ... All rights reserved in all media. Published by Mind Garden","https://www.mindgarden.com/117-maslach-burnout-inventory-mbi","5b48075a24b396f5851e53569893ced03c34f3cc3a9335a81e77cf602bdfc74d","2026-09-25","","","2 table(s): lee_2020_burnout ysladomendez_2023_mbi"
"Barthel Index (10-item ADL; Mahoney & Barthel 1965), Chinese version","","block","2026-09-25 irw#2382 re-audit triage (waves 4,7); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The Maryland State Medical Society holds the copyright for the Barthel Index. It may be used freely for noncommercial purposes with the following citation...","https://www.sralab.org/sites/default/files/2017-07/barthel.pdf","e73ad86c44a803c0cff3ca2c14102cccc0fa4fb04654f77bb4438205d752610e","2026-09-25","","","2 table(s): nguyen_2026_barthel ren_2024_adl"
"Burnout Assessment Tool (BAT, 33 items; Schaufeli, Desart & De Witte)","","block","2026-09-25 irw#2382 re-audit triage (waves 6,8); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The BAT is non-proprietary and may be used free of charge without requesting permission from the authors. Please note, however, that the instrument should not be modified","https://burnoutassessmenttool.be/start_eng/","e7ddbc972d3f234d08ce2188fe92c04cf6417a04f2bebd2952e6cfb2c2b1f130","2026-09-25","","","2 table(s): basinska_2023_bat23 burnout_assessment_tool_teachers"
"12-Item Grit Scale (Duckworth et al. 2007)","","block","2026-09-25 irw#2382 re-audit triage (waves 2); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Researchers and educators are welcome to use the scales developed by Angela's lab for non-commercial purposes.","https://angeladuckworth.com/research/","9a77013bc04a632f521914a5962aa02965962362149346a8f8c7f00bc6f12ea5","2026-09-25","","","1 table(s): grit"
"ASQ:SE-2 per-item concern flags (con1..con39), Brookes Publishing","","block","2026-09-25 irw#2382 re-audit triage (waves 5); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","No, posting ASQ-3 or ASQ:SE-2 questionnaires on any website, password protected or otherwise, is not permitted.","https://support.agesandstages.com/kb/article/279-can-i-post-asq3-or-asqse2-questionnaires-on-my-website-or-my-organizations-website/","0239eb98b24cb74cb3aedd04f6fbd5af49d869871b86a6f964d3a5b0426a2898","2026-09-25","","","1 table(s): development_delay_anunciacao_concerns"
"Body Esteem Scale (Franzoi & Shields 1984), Polish adaptation (Lipowska & Lipowski 2013)","","block","2026-09-25 irw#2382 re-audit triage (waves 1); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The Body Esteem Scale, adapted by Małgorzata Lipowska and Mariusz Lipowski, is a tool open to the public in Poland. Nevertheless, we do not have permission to make its original version available in scientific publications.","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0249397","371394a0a082cbe39c5948f8453148d2b1d5e1aa5d4033c1db3d01afcd094419","2026-09-25","","","1 table(s): kowal_2021_kidney_donor_body_image"
"Clear goals (flow); Chinese/English adapted items, Chen et al. 2025 PeerJ 10.7717/peerj.19684","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","distributed under the terms of the Creative Commons Attribution License, which permits using, remixing, and building upon the work non-commercially","https://creativecommons.org/licenses/by-nc/4.0/","4d5fb70d12bf38f6ab5aafa3a6d347a2ed113359067b407f170002a4a0192f8b","2026-09-25","","","1 table(s): chen_2024_cg"
"Chinese S-PASES (8 items), Chen, Dai & Gao 2019, J Sport Health Sci (revision of Motl et al. 2000 PASES)","","block","2026-09-25 irw#2382 re-audit triage (waves 7); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","quote: article licensed CC BY-NC-ND 4.0 (PMC6349578); the translated wording originated there","","","2026-09-25","","","1 table(s): zhou_2025_exercise_self_efficacy"
"Coach creativity; Chinese/English adapted items, Chen et al. 2025 PeerJ 10.7717/peerj.19684","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","distributed under the terms of the Creative Commons Attribution License, which permits using, remixing, and building upon the work non-commercially","https://creativecommons.org/licenses/by-nc/4.0/","4d5fb70d12bf38f6ab5aafa3a6d347a2ed113359067b407f170002a4a0192f8b","2026-09-25","","","1 table(s): chen_2024_cr"
"Cognitive Emotion Regulation Questionnaire (CERQ-36), Argentinean Spanish","","block","2026-09-25 irw#2382 re-audit triage (waves 3); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","You are welcome to use the CERQ for free for research purposes. In case you decide to use our questionnaire, we do however ask you to fill out and send back to us a form concerning a request for the use of the CERQ. ... By signing and sending back this form, the university/research institute to which you belong obtains permission of the authors to make reprints of the CERQ for use in the present research project.","https://web.archive.org/web/2025id_/https://www.universiteitleiden.nl/en/research/research-projects/social-and-behavioural-sciences/cognitive-emotion-regulation-questionnaire-cerq","c1f9f5abc43a09406b5c1ad4c62cea2e342e80f51c1edc33ee1bdb782ef63a6f","2026-09-25","","","1 table(s): floreskanter_2021_cerq"
"Cognitive Fusion Questionnaire (CFQ-7 + 2; Gillanders et al. 2014), Chinese","","block","2026-09-25 irw#2382 re-audit triage (waves 6); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The CFQ is free to use for clinical and research purposes, permission is not needed. ... If you wish to translate the CFQ into a non English language, please do contact David Gillanders","https://contextualscience.org/cognitive_fusion_questionnaire_cfq","30b94472fdee647f168701a84cb7cbd6e5e44d28c15f5a2f785ddf584e3a0190","2026-09-25","","","1 table(s): wang_2025_cognitive_fusion"
"Clance Impostor Phenomenon Scale (CIPS, 20 items) -- INFERRED","","block","2026-09-25 irw#2382 re-audit triage (waves 6); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","For persons wanting to use the IP test for commercial, professional (e.g., publication, presentation, or website) or for research purposes, permission for use must be obtained through me.","https://paulineroseclance.com/impostor_phenomenon.html","9a4aa95db4d2b72e3aaa51d92b7074c2869149962de78a7856bd918faf42dc62","2026-09-25","","","1 table(s): ye_2025_mm"
"CURE survey (Lopatto, Grinnell College): Reasons, Benefits and Science-attitude items","","block","2026-09-25 irw#2382 re-audit triage (waves 2); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","These works are licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License. Copyright 2005-18 Grinnell College.","https://sure.sites.grinnell.edu/cure-survey/","beb444eab3c2214bc7614be74b926161a100d1f633789b613100a1d912586c04","2026-09-25","","","1 table(s): cure_data"
"Authentic Leadership Questionnaire (Walumbwa et al. 2008), 14-item education adaptation; Mind Garden","","block","2026-09-25 irw#2382 re-audit triage (waves 5); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The downloadable PDF file includes one copy of the ALQ, scoring key, and permission to administer the ALQ up to the quantity purchased.","https://www.mindgarden.com/69-authentic-leadership-questionnaire","11cada5fa72dab8a268c5b24e94bb234bdff1599cc32f169a55767cee35dbe92","2026-09-25","","","1 table(s): shao_2025_authentic_leadership"
"Autotelic experience (flow); Chinese/English adapted items, Chen et al. 2025 PeerJ 10.7717/peerj.19684","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","distributed under the terms of the Creative Commons Attribution License, which permits using, remixing, and building upon the work non-commercially","https://creativecommons.org/licenses/by-nc/4.0/","4d5fb70d12bf38f6ab5aafa3a6d347a2ed113359067b407f170002a4a0192f8b","2026-09-25","","","1 table(s): chen_2024_ae"
"Beck Anxiety Inventory (BAI), Chinese version","","block","2026-09-25 irw#2382 re-audit triage (waves 2); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Research license requests (non-pharmaceutical companies), including the right to translate if needed ... Please complete and submit this online form to initiate a Research License Request.","https://www.pearsonassessments.com/footer/permissions---licensing.html","71575b71e81815ee364e9fa3b9e6740f8a8db1e6e49b2a66981793bdb8fcc12d","2026-09-25","","","1 table(s): yao_2020_bai"
"Beck Hopelessness Scale (BHS), Argentine adaptation (Mikulic et al. 2009) + 4 suicidal-ideation items","","block","2026-09-25 irw#2382 re-audit triage (waves 1); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","printing or reproducing copyright-protected materials or content, whether the reproductions are sold or furnished free for use, including reproduction of test items ... is strictly prohibited","https://www.pearsonassessments.com/footer/terms-of-sale---use.html","58ed03a1f99624752fbfb372000586b312b7883da5733591d8639fcae8c63be3","2026-09-25","","","1 table(s): bhs_floreskanter2021"
"Beck Depression Inventory-II (BDI-II), Czech version, 21 items","","block","2026-09-25 irw#2382 re-audit triage (waves 1); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Permission granting requests, such as: Reproduction of materials - request to reproduce a test form ... Research license requests (non-pharmaceutical companies), including the right to translate if needed","https://www.pearsonassessments.com/footer/permissions---licensing.html","71575b71e81815ee364e9fa3b9e6740f8a8db1e6e49b2a66981793bdb8fcc12d","2026-09-25","","","1 table(s): figalova_2021_bdi"
"Areas of Worklife Survey (AWS, Leiter & Maslach), 28 items","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","License to Administer $2.75 Minimum purchase of 50 ... permission to administer the AWS up to the quantity purchased","https://www.mindgarden.com/274-areas-of-worklife-survey","3472c5ff29782ab295a558cb2271baffb8b2c054740d281e67db12c20df2a971","2026-09-25","","","1 table(s): teo_2021_worklife"
"Attitude Scale for Healthy Nutrition (SBITO, Tekkursun Demir & Cicioglu 2019), 21 items, Turkish","","block","2026-09-25 irw#2382 re-audit triage (waves 3); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Bu dergi içerisinde yer alan eserler aksi belirtilmedikçe Creative Commons Atıf-GayriTicari 4.0 Uluslararası Lisansı ile lisanslanmıştır.","https://dergipark.org.tr/tr/pub/gaunjss/issue/45377/559462","8bb7503055b746bcee62154c81f1ca7ca1eb447dc5ee174b8121a32155abc255","2026-09-25","","","1 table(s): kilic_2024_nutrition_attitude"
"Difficulties in Emotion Regulation Scale, Spanish 28-item adaptation (Hervás & Jódar 2008)","","block","2026-09-25 irw#2382 re-audit triage (waves 1); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Todo el contenido de esta revista, excepto dónde está identificado, está bajo una Licencia Creative Commons","https://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742008000200001","b9f54f5f7b62312207d22878bfd1c8ce2d2aad7ca13c39f97e2ebba47c3ac138","2026-09-25","","","1 table(s): baquerotomas_2026_ders"
"Deprivation sensitivity (5DC curiosity); Chinese/English adapted items, Chen et al. 2025 PeerJ 10.7717/peerj.19684","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","distributed under the terms of the Creative Commons Attribution License, which permits using, remixing, and building upon the work non-commercially","https://creativecommons.org/licenses/by-nc/4.0/","4d5fb70d12bf38f6ab5aafa3a6d347a2ed113359067b407f170002a4a0192f8b","2026-09-25","","","1 table(s): chen_2024_ds"
"Digital Burnout Scale, emotional exhaustion (Erten & Ozdemir 2020), Vietnamese adaptation","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","All articles published in the journal are freely and permanently accessible ... Content is distributed under the Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) license ... Commercial use is strictly prohibited unless prior permission is obtained from the copyright holder.","https://dergipark.org.tr/en/pub/inuefd/page/19349","ab680793d0677b2d0f60e9cc8d2f157d530121c2234088cfed67dba0b51786a4","2026-09-25","","","1 table(s): pham_2026_ktscx"
"Digital Burnout Scale, digital aging (Erten & Ozdemir 2020), Vietnamese adaptation","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","All articles published in the journal are freely and permanently accessible ... Content is distributed under the Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) license ... Commercial use is strictly prohibited unless prior permission is obtained from the copyright holder.","https://dergipark.org.tr/en/pub/inuefd/page/19349","ab680793d0677b2d0f60e9cc8d2f157d530121c2234088cfed67dba0b51786a4","2026-09-25","","","1 table(s): pham_2026_ktslh"
"Dispositional Flow Scale-2 (Jackson & Eklund), Brazilian-Portuguese DFS-BR","","block","2026-09-25 irw#2382 re-audit triage (waves 3); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The instrument may not be made available via the open web ... Compensate Mind Garden, Inc. for each administration.","https://www.mindgarden.com/flow-scales/756-flow-license-to-administer.html","346071d270ef8accda973e47c499e168e9f262b0e0172b05300a1fc1b5534b66","2026-09-25","","","1 table(s): bittencourt_2021_dfs2"
"Dutch Sensory Gating Inventory (D-SGI), translation of Hetrick et al.'s SGI, 36 items","","block","2026-09-25 irw#2382 re-audit triage (waves 1); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Licence: CC BY-NC","https://cris.maastrichtuniversity.nl/en/publications/0609f111-b593-4ab7-ac5c-442106ec7a0f","f9e7d92404c7e6dd0728e9d2c0893bf5561894510e2742dca7f52e0f65176faa","2026-09-25","","","1 table(s): dsgi_brinkmann_2022"
"ELLIPSE analytic scoring rubric (7 dimensions) applied by raters to essays","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The data is provided under a CC BY-NC-SA 4.0 DEED Attribution-NonCommercial-ShareAlike 4.0 International license","https://raw.githubusercontent.com/scrosseye/ELLIPSE-Corpus/main/README.md","181fe4d9d6ebbce4a64de2a56f1a0afc9df19989e453dcf7f36db55614da0fed","2026-09-25","","","1 table(s): Ellipse_Corssley_2024"
"Digital Burnout Scale, digital deprivation (Erten & Ozdemir 2020), Vietnamese adaptation","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","All articles published in the journal are freely and permanently accessible ... Content is distributed under the Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) license ... Commercial use is strictly prohibited unless prior permission is obtained from the copyright holder.","https://dergipark.org.tr/en/pub/inuefd/page/19349","ab680793d0677b2d0f60e9cc8d2f157d530121c2234088cfed67dba0b51786a4","2026-09-25","","","1 table(s): pham_2026_ktsth"
"EQ-5D-3L descriptive system (mobility, self-care, usual activities, pain/discomfort, anxiety/depression), EuroQol, as fielded in INDEC ENFR 2005-2018","","block","2026-09-25 irw#2382 re-audit triage (waves 8); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The EuroQol Office team will determine if a license agreement needs to be drawn up and whether a license fee is applicable, in accordance with our EQ-5D User License Policy.","https://euroqol.org/faq/","b24f5fceb2b1e93c36baa0c629803415ca118167fd6a9eb0900605e794ad25b7","2026-09-25","","","1 table(s): argentina_2018_risk_problems"
"Eedi diagnostic maths questions (NeurIPS 2020 Education Challenge, tasks 3/4)","","block","2026-09-25 irw#2382 re-audit triage (waves 6); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","The question images have been shared solely for the purpose of this competition and must not be used for any other purpose. The question images must not be printed or shared with anyone outside of the competition. The question wording is contained in the images but will not be made available as text.","https://arxiv.org/pdf/2007.12061","94f9107c5dbeefd14f30bf60cd0d729bec3d0a69b471a1f4d272b6d71ef4cff7","2026-09-25","","","1 table(s): neurips_2020_task34"
"Effort-Reward Imbalance questionnaire, 16-item short version (Siegrist), Chinese version","","block","2026-09-25 irw#2382 re-audit triage (waves 8); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","They must not be used for any commercial reason (e.g., selling questionnaires for profit) ... You are not allowed to use single items only or to substantially change the word content of items.","https://www.uniklinik-duesseldorf.de/fileadmin/Fuer-Patienten-und-Besucher/Kliniken-Zentren-Institute/Institute/Institut_fuer_Medizinische_Soziologie/Forschung/Siegrist/Website_complete20220530.pdf","a67c7f565d5d47c24b1e0e7dea826b16b65a53d781efac9b3c83031dbc0c7ddd","2026-09-25","","","1 table(s): ge_2021_eri"
"Empathy Quotient 8-item short form (EQ-8; from Baron-Cohen & Wheelwright's EQ, Autism Research Centre)","","block","2026-09-25 irw#2382 re-audit triage (waves 8); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","You can download them below provided that they are used for research purposes and not for commercial use ... You may not adapt or modify any of these tests, unless permission has been given by the Autism Research Centre.","https://www.autismresearchcentre.com/research/tests/","","2026-09-25","","","1 table(s): enders_2022_eq8_empathy"
"Empathy Quotient-Short (22 items; Wakabayashi et al. 2006, from Baron-Cohen EQ)","","block","2026-09-25 irw#2382 re-audit triage (waves 5); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","You can download them below provided that they are used for research purposes and not for commercial use ... You may not adapt or modify any of these tests, unless permission has been given by the Autism Research Centre.","https://www.autismresearchcentre.com/research/tests/","674f8c744aa3eda150204bed6c81d984411d87bcf5538710e0e63dc71698e4b7","2026-09-25","","","1 table(s): parentalempathy_gonzalez_2021_eqs_pilot"
"Enthusiastic commitment; Chinese/English adapted items, Chen et al. 2025 PeerJ 10.7717/peerj.19684","","block","2026-09-25 irw#2382 re-audit triage (waves 4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","distributed under the terms of the Creative Commons Attribution License, which permits using, remixing, and building upon the work non-commercially","https://creativecommons.org/licenses/by-nc/4.0/","4d5fb70d12bf38f6ab5aafa3a6d347a2ed113359067b407f170002a4a0192f8b","2026-09-25","","","1 table(s): chen_2024_ec"
"Environmental management accounting (adapted from Chaudhry, Asad & Hussain 2020)","","block","2026-09-25 irw#2382 re-audit triage (waves 6); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Pakistan Journal of Commerce and Social Sciences by Johar Education Society, Pakistan is licensed under a Creative Commons Attribution-Non Commercial 4.0 International License","https://jes.ac.pk/index.php/jes/about","2fe17f0183e02a84a927aa1c2d8ebfb01276c4767991cef8a3772ffbda4fcb5d","2026-09-25","","","1 table(s): liem_2024_env_mgmt_acct"
