deposit,table,stratum,old_audit,n_items,n_participants,DOI__for_data_,DOI__for_paper_,URL__for_data_,Reference_x
10.1002/ab.22145,BPAQ_Christopher_2024_OBSI,never_assessed,,16.0,170,,10.1002/ab.22145,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145."
10.1002/ab.22145,BPAQ_Christopher_2024_PCL5,never_assessed,,20.0,109,,10.1002/ab.22145,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145."
10.1002/ab.22145,BPAQ_Christopher_2024_PROMIS,never_assessed,,24.0,170,,10.1002/ab.22145,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145."
10.1002/ab.22145,BPAQ_Christopher_2024_PSS10,never_assessed,,10.0,109,,10.1002/ab.22145,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145."
10.1002/ab.22145,BPAQ_Christopher_2024_SCSS,never_assessed,,12.0,170,,10.1002/ab.22145,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145."
10.1002/jocb.70094,bicb-j_ishiguro_2025,never_assessed,,35.0,1974,,10.1002/jocb.70094,https://osf.io/ravcq/overview,"Chiaki, I., MATSUMOTO, K., Agata, T., Hiroyuki, N., & Takeshi, O. (2026, January 3). BICB-J for adults and children:Development of the Japanese version of biographical inventory of creative behaviors. Retrieved from osf.io/ravcq
"
10.1002/pits.23591,anunciacao_2025_emotional_management,never_assessed,,9.0,8100,,10.1002/pits.23591,https://osf.io/9dps4/overview,"Anunciacao, L., Marques, L., Gomes, A., de Marca, R., Lima, A., Oliveira, B. and Murray, C. (2025), An Initial Evaluation of a Measure of Social-Emotional Skills Among Brazilian Children and Adolescents. Psychology in the Schools, 62: 4000-4011. https://doi.org/10.1002/pits.23591"
10.1002/pits.23591,anunciacao_2025_emotional_relationships,never_assessed,,10.0,8100,,10.1002/pits.23591,https://osf.io/9dps4/overview,"Anunciacao, L., Marques, L., Gomes, A., de Marca, R., Lima, A., Oliveira, B. and Murray, C. (2025), An Initial Evaluation of a Measure of Social-Emotional Skills Among Brazilian Children and Adolescents. Psychology in the Schools, 62: 4000-4011. https://doi.org/10.1002/pits.23591"
10.1002/pits.23591,anunciacao_2025_emotional_responsibility,never_assessed,,8.0,8100,,10.1002/pits.23591,https://osf.io/9dps4/overview,"Anunciacao, L., Marques, L., Gomes, A., de Marca, R., Lima, A., Oliveira, B. and Murray, C. (2025), An Initial Evaluation of a Measure of Social-Emotional Skills Among Brazilian Children and Adolescents. Psychology in the Schools, 62: 4000-4011. https://doi.org/10.1002/pits.23591"
10.1002/pits.23591,anunciacao_2025_emotional_self-awareness,never_assessed,,4.0,8100,,10.1002/pits.23591,https://osf.io/9dps4/overview,"Anunciacao, L., Marques, L., Gomes, A., de Marca, R., Lima, A., Oliveira, B. and Murray, C. (2025), An Initial Evaluation of a Measure of Social-Emotional Skills Among Brazilian Children and Adolescents. Psychology in the Schools, 62: 4000-4011. https://doi.org/10.1002/pits.23591"
10.1002/pits.23591,anunciacao_2025_emotional_social-awareness,never_assessed,,8.0,8100,,10.1002/pits.23591,https://osf.io/9dps4/overview,"Anunciacao, L., Marques, L., Gomes, A., de Marca, R., Lima, A., Oliveira, B. and Murray, C. (2025), An Initial Evaluation of a Measure of Social-Emotional Skills Among Brazilian Children and Adolescents. Psychology in the Schools, 62: 4000-4011. https://doi.org/10.1002/pits.23591"
10.1007/1-4020-3076-2_18,psychtools_blot,UNAVAILABLE_copyright,UNAVAILABLE (copyrighted),35.0,150,,10.1007/1-4020-3076-2_18,https://cran.r-project.org/web/packages/psychTools/index.html,"T.G. Bond. BLOT:Bond’s Logical Operations Test. Townsville, Australia: James Cook University. (Original work published 1976), 1995"
10.1007/bf02291262,lsat,UNAVAILABLE,UNAVAILABLE,5.0,1000,,10.1007/BF02291262,https://cran.r-project.org/web/packages/ltm/index.html,"Bock, R. and Lieberman, M. (1970) Fitting a response model for n dichotomously scored items. Psychometrika, 35, 179–197."
10.1007/s00184-015-0542-z,immer09_immer,UNAVAILABLE,UNAVAILABLE,20.0,57,,10.1007/s00184-015-0542-z,https://cran.r-project.org/web/packages/immer/index.html,"Kuhlisch, W., Roos, M., Rothe, J., Rudolph, J., Scheuermann, B., & Stoyan, D. (2016). A statistical approach to calibrating the scores of biased reviewers of scientific papers. Metrika, 79, 37-57."
10.1007/s10775-024-09704-4,tang_2024_entrepreneurial_intention,UNAVAILABLE,UNAVAILABLE,28.0,271,,10.1007/s10775-024-09704-4,https://figshare.com/articles/dataset/24081459,"Tang, S.; Cui, T. (2024). Will transformational leadership still affect the entrepreneurial intentions of higher vocational college students after COVID-19? Moderating role of perceived creativity and economic confidence. International Journal for Educational and Vocational Guidance 26(1): 335-356. DOI: 10.1007/s10775-024-09704-4"
10.1007/s10826-022-02497-6,cbq_huczewska2022,never_assessed,,64.0,2742,,10.1007/s10826-022-02497-6,https://osf.io/f73jq/,"Huczewska, I., Leśniak, J., Mynarska, M. et al. A Short Measure of Childbearing Motivations: Development and Psychometric Evaluation in Polish Samples of Adults and Adolescents. J Child Fam Stud 32, 1823–1838 (2023). https://doi.org/10.1007/s10826-022-02497-6"
10.1007/s10926-024-10174-2,presenteeism_golz_2024,never_assessed,,6.0,487,,10.1007/s10926-024-10174-2,https://osf.io/wh483/overview,"Golz, C., Kilcher, G., Gerlach, M. et al. Translation and Psychometric Testing of the Hägerbäumer Presenteeism Scale in English. J Occup Rehabil 34, 863–872 (2024). https://doi.org/10.1007/s10926-024-10174-2"
10.1007/s11136-023-03348-7,uti_newlands_2023_fsdsr,never_assessed,,13.0,198,,10.1007/s11136-023-03348-7,https://osf.io/q2svk/files/uh8qm,"Newlands, A. F., Roberts, L., Maxwell, K., Kramer, M., Price, J. L., &amp; Finlay, K. A. (2023). Development and psychometric validation of a patient-reported outcome measure of recurrent urinary tract infection impact: the Recurrent UTI Impact Questionnaire. Quality of Life Research, 32, 1745-1758. https://doi.org/10.1007/s11136-023-03348-7"
10.1007/s11136-023-03348-7,uti_newlands_2023_gad,never_assessed,,7.0,240,,10.1007/s11136-023-03348-7,https://osf.io/q2svk/files/uh8qm,"Newlands, A. F., Roberts, L., Maxwell, K., Kramer, M., Price, J. L., &amp; Finlay, K. A. (2023). Development and psychometric validation of a patient-reported outcome measure of recurrent urinary tract infection impact: the Recurrent UTI Impact Questionnaire. Quality of Life Research, 32, 1745-1758. https://doi.org/10.1007/s11136-023-03348-7"
10.1007/s11136-023-03348-7,uti_newlands_2023_phq,never_assessed,,9.0,240,,10.1007/s11136-023-03348-7,https://osf.io/q2svk/files/uh8qm,"Newlands, A. F., Roberts, L., Maxwell, K., Kramer, M., Price, J. L., &amp; Finlay, K. A. (2023). Development and psychometric validation of a patient-reported outcome measure of recurrent urinary tract infection impact: the Recurrent UTI Impact Questionnaire. Quality of Life Research, 32, 1745-1758. https://doi.org/10.1007/s11136-023-03348-7"
10.1007/s11136-023-03348-7,uti_newlands_2023_psq,never_assessed,,18.0,240,,10.1007/s11136-023-03348-7,https://osf.io/q2svk/files/uh8qm,"Newlands, A. F., Roberts, L., Maxwell, K., Kramer, M., Price, J. L., &amp; Finlay, K. A. (2023). Development and psychometric validation of a patient-reported outcome measure of recurrent urinary tract infection impact: the Recurrent UTI Impact Questionnaire. Quality of Life Research, 32, 1745-1758. https://doi.org/10.1007/s11136-023-03348-7"
10.1007/s11136-023-03348-7,uti_newlands_2023_rutiiq,never_assessed,,42.0,240,,10.1007/s11136-023-03348-7,https://osf.io/q2svk/files/uh8qm,"Newlands, A. F., Roberts, L., Maxwell, K., Kramer, M., Price, J. L., &amp; Finlay, K. A. (2023). Development and psychometric validation of a patient-reported outcome measure of recurrent urinary tract infection impact: the Recurrent UTI Impact Questionnaire. Quality of Life Research, 32, 1745-1758. https://doi.org/10.1007/s11136-023-03348-7"
10.1007/s11136-023-03348-7,uti_newlands_2023_uclals,never_assessed,,20.0,240,,10.1007/s11136-023-03348-7,https://osf.io/q2svk/files/uh8qm,"Newlands, A. F., Roberts, L., Maxwell, K., Kramer, M., Price, J. L., &amp; Finlay, K. A. (2023). Development and psychometric validation of a patient-reported outcome measure of recurrent urinary tract infection impact: the Recurrent UTI Impact Questionnaire. Quality of Life Research, 32, 1745-1758. https://doi.org/10.1007/s11136-023-03348-7"
10.1007/s11136-023-03348-7,uti_newlands_2023_wpai,never_assessed,,6.0,240,,10.1007/s11136-023-03348-7,https://osf.io/q2svk/files/uh8qm,"Newlands, A. F., Roberts, L., Maxwell, K., Kramer, M., Price, J. L., &amp; Finlay, K. A. (2023). Development and psychometric validation of a patient-reported outcome measure of recurrent urinary tract infection impact: the Recurrent UTI Impact Questionnaire. Quality of Life Research, 32, 1745-1758. https://doi.org/10.1007/s11136-023-03348-7"
10.1007/s11145-019-10014-3,GART_Grolig_2020,never_assessed,,75.0,120,,10.1007/s11145-019-10014-3,https://osf.io/4hcwt/,"Grolig, L., Tiffin-Richards, S. P., & Schroeder, S. (2020). Print exposure across the reading span. Reading and Writing, 33, 1423–1441."
10.1007/s11469-023-01231-7,cud_stone2024,never_assessed,,44.0,413,,10.1007/s11469-023-01231-7,https://osf.io/nswbk/?view_only=,"Stone, B.M., Gray, K.M., Tomko, R.L. et al. Differential Mechanisms of Behavior Change in Cannabis Use Disorder Treatments: Functional Improvements and Clinical Implications. Int J Ment Health Addiction (2024). https://doi.org/10.1007/s11469-023-01231-7"
10.1007/s12144-020-01299-7,sris_silvia2022,never_assessed,,20.0,221,,10.1007/s12144-020-01299-7,https://osf.io/qsa5w/,"Silvia, P. J. (2022). The self-reflection and insight scale: Applying item response theory to craft an efficient short form. Current Psychology, 41(12), 8635-8645."
10.1007/s12144-023-04963-w,steinberg_2023_mentalizing_momentary,never_assessed,,3.0,20,,10.1007/s12144-023-04963-w,https://osf.io/9cm75/,"Steinberg, N., Moshe-Cohen, R., Sheena, L. et al. Capturing a mentalized moment: A pilot study of the psychometric properties of a novel assessment method of mentalizing in daily life. Curr Psychol 43, 7596–7611 (2024). https://doi.org/10.1007/s12144-023-04963-w"
10.1007/s12144-026-09064-y,social_media_godard_2026_msfu,never_assessed,,12.0,646,,10.1007/s12144-026-09064-y,https://github.com/ben-domingue/irw/issues/1411,"Godard, R., Draper, Z.A., Holtzman, S. et al. (De)construction on the road ahead: Item response theory and psychometric analysis of self-report measures of active and passive social media use. Curr Psychol 45, 498 (2026). https://doi.org/10.1007/s12144-026-09064-y"
10.1007/s12144-026-09064-y,social_media_godard_2026_paum,never_assessed,,16.0,646,,10.1007/s12144-026-09064-y,https://github.com/ben-domingue/irw/issues/1411,"Godard, R., Draper, Z.A., Holtzman, S. et al. (De)construction on the road ahead: Item response theory and psychometric analysis of self-report measures of active and passive social media use. Curr Psychol 45, 498 (2026). https://doi.org/10.1007/s12144-026-09064-y"
10.1007/s12671-023-02144-1,paampsmartsud_saba_2023_pss,never_assessed,,10.0,100,,10.1007/s12671-023-02144-1,https://osf.io/9jgxs/,"Saba, S. K., & Black, D. S. (2024, September 4). Psychometric Assessment of the Applied Mindfulness Process Scale (AMPS) Among a Sample in Residential Treatment for Substance Use Disorder. Retrieved from osf.io/9jgxs"
10.1007/s12671-025-02516-9,selfcompassionscale_shortform_fuochi_2025,never_assessed,,12.0,1816,,10.1007/s12671-025-02516-9,https://osf.io/hfvxd/?view_only=51c67658f98149eead09887de0fc9467,"Fuochi, G., Voci, A., & Moè, A. (2025). Quick Self-Compassion: Italian validation, network analysis, item response theory analysis, and correlates of the Self-Compassion Scale short form. Mindfulness. https://doi.org/10.1007/s12671-025-02516-9"
10.1007/s13158-026-00488-y,development_delay_anunciacao_asqse,never_assessed,,39.0,25733,,10.1007/s13158-026-00488-y,https://osf.io/n5ksw/overview,"Anunciacao, L. (2026, February 21). Socio-Emotional Profiles of Young Children With and Without Developmental Delay. Retrieved from osf.io/n5ksw"
10.1007/s13158-026-00488-y,development_delay_anunciacao_concerns,never_assessed,,39.0,25733,,10.1007/s13158-026-00488-y,https://osf.io/n5ksw/overview,"Anunciacao, L. (2026, February 21). Socio-Emotional Profiles of Young Children With and Without Developmental Delay. Retrieved from osf.io/n5ksw"
10.1007/s41811-024-00214-3,SCS_Suh_2023_SIAPS,BLOCKED,BLOCKED,12.0,361,,10.1007/s41811-024-00214-3,https://osf.io/wsjkb/,"Suh, D. E. (2024, April 24). The 10-Item Version Singelis’s Self-Construal Scale (SCS-Short Version) for Korean Adults: Psychometric Properties, Measurement Invariance with European Americans, and Associations with Social Anxiety. Retrieved from osf.io/wsjkb"
10.1016/j.appet.2021.105790,curiosity_stone_2022_fns,never_assessed,,10.0,481,,10.1016/j.appet.2021.105790,https://osf.io/5f9sp/overview,"Stone, H. J., FitzGibbon, L., Millan, E., & Murayama, K. (2021, April 28). Curious to Eat Insects? Curiosity as a Key Predictor of Willingness to Try Novel Food. https://doi.org/10.17605/OSF.IO/5F9SP"
10.1016/j.appet.2021.105790,curiosity_stone_2022_invol,never_assessed,,13.0,481,,10.1016/j.appet.2021.105790,https://osf.io/5f9sp/overview,"Stone, H. J., FitzGibbon, L., Millan, E., & Murayama, K. (2021, April 28). Curious to Eat Insects? Curiosity as a Key Predictor of Willingness to Try Novel Food. https://doi.org/10.17605/OSF.IO/5F9SP"
10.1016/j.appet.2021.105790,curiosity_stone_2022_var,never_assessed,,8.0,481,,10.1016/j.appet.2021.105790,https://osf.io/5f9sp/overview,"Stone, H. J., FitzGibbon, L., Millan, E., & Murayama, K. (2021, April 28). Curious to Eat Insects? Curiosity as a Key Predictor of Willingness to Try Novel Food. https://doi.org/10.17605/OSF.IO/5F9SP"
10.1016/j.asw.2024.100895,det_naismith_2023,never_assessed,,3.0,573,,10.1016/j.asw.2024.100895,https://osf.io/zy8fb/,"Naismith, B., Attali, Y., & LaFlair, G. T. (2024, March 8). DET Task Duration dataset (DET-duration). Retrieved from osf.io/zy8fb"
10.1016/j.crbeha.2021.100039,dss_mouta_2021,never_assessed,,10.0,1218,,10.1016/j.crbeha.2021.100039,https://osf.io/4xz8s/,"G.S. Mouta, A.L.C.B. Pinto, L.F. Malloy-Diniz, R.S. Pasian, Cross-cultural adaptation, and factor structure of the decision styles scale for Brazil, Current Research in Behavioral Sciences, Volume 2, 2021,100039, ISSN 2666-5182."
10.1016/j.csda.2013.05.018,naep_multilcirt,BLOCKED,BLOCKED,12.0,1510,,10.1016/j.csda.2013.05.018,https://cran.r-project.org/web/packages/MultiLCIRT/index.html,"Bartolucci, F., Bacci, S. and Gnaldi, M. (2014), MultiLCIRT: An R package for multidimensional latent class item response models, Computational Statistics and Data Analysis, 71, 971-985."
10.1016/j.dib.2020.106395,kfcovid_pss_Li2020,never_assessed,,4.0,110,,10.1016/j.dib.2020.106395,https://osf.io/m2v3h/,"Li, D. C. Y., & Leung, L. (2020). Psychometric data on knowledge and fear of coronavirus disease 2019 and perceived stress among workers of filipino origin in Hong Kong. Data in brief, 33, 106395."
10.1016/j.endm.2013.05.145,pks_probability,never_assessed,,24.0,504,,10.1016/j.endm.2013.05.145,https://cran.r-project.org/web/packages/pks/index.html,"Wickelmaier, F., Heller, J., & Mollenhauer, J. (2011). pks: Probabilistic Knowledge Structures [Dataset]. https://doi.org/10.32614/cran.package.pks"
10.1016/j.heliyon.2023.e16009,trang_2023_vocabulary_beliefs,never_assessed,,10.0,722,,10.1016/j.heliyon.2023.e16009,https://europepmc.org/article/PMC/PMC10176061,"Trang, N., Truong, D., & Ha, H. (2023). Quantifying vocabulary learning belief and strategy - A validation study of the Vietnamese version of Gu's (2018) vocabulary learning questionnaire. Heliyon, 9, e16009. https://doi.org/10.1016/j.heliyon.2023.e16009"
10.1016/j.heliyon.2023.e16009,trang_2023_vocabulary_strategies,never_assessed,,52.0,722,,10.1016/j.heliyon.2023.e16009,https://europepmc.org/article/PMC/PMC10176061,"Trang, N., Truong, D., & Ha, H. (2023). Quantifying vocabulary learning belief and strategy - A validation study of the Vietnamese version of Gu's (2018) vocabulary learning questionnaire. Heliyon, 9, e16009. https://doi.org/10.1016/j.heliyon.2023.e16009"
10.1016/j.intell.2013.04.005,test_taking_patterns_over_time,UNAVAILABLE,UNAVAILABLE,284.0,1802,,10.1016/j.intell.2013.04.005,https://openpsychologydata.metajnl.com/articles/10.5334/jopd.ab,"Must, O., & Must, A. (2014). Data from “Changes in test-taking patterns over time” concerning the Flynn Effect in Estonia. Journal of Open Psychology Data, 2(1)."
10.1016/j.jcbs.2025.100954,cfq_ruiz_2025_cfq,never_assessed,,7.0,3389,,10.1016/j.jcbs.2025.100954,https://osf.io/sv9c3/overview,"Ruiz, F. J. (2025, October 2). Measurement invariance and discriminant validity of the Cognitive Fusion Questionnaire across five Spanish-speaking countries. Retrieved from osf.io/sv9c3"
10.1016/j.jcbs.2025.100954,cfq_ruiz_2025_dass,never_assessed,,21.0,3389,,10.1016/j.jcbs.2025.100954,https://osf.io/sv9c3/overview,"Ruiz, F. J. (2025, October 2). Measurement invariance and discriminant validity of the Cognitive Fusion Questionnaire across five Spanish-speaking countries. Retrieved from osf.io/sv9c3"
10.1016/j.lindif.2010.03.002,janssen2_tam,never_assessed,,20.0,346,,10.1016/j.lindif.2010.03.002,https://cran.r-project.org/web/packages/TAM/index.html,"Janssen, A. B., & Geiser, C. (2010). On the relationship between solution strategies in two mental rotation tasks. Learning and Individual Differences, 20(5), 473-478."
10.1016/j.neuron.2012.06.022,fullscaleiq_memory,UNAVAILABLE,UNAVAILABLE,6.0,3194,,10.1016/j.neuron.2012.06.022,https://openpsychometrics.org/_rawdata/,"Hampshire, A., Highfield, R. R., Parkin, B. L., & Owen, A. M. (2012). Fractionating human intelligence. Neuron, 76(6), 1225-1237."
10.1016/j.neuron.2012.06.022,fullscaleiq_mentalrotation,UNAVAILABLE,UNAVAILABLE,6.0,3194,,10.1016/j.neuron.2012.06.022,https://openpsychometrics.org/_rawdata/,"Hampshire, A., Highfield, R. R., Parkin, B. L., & Owen, A. M. (2012). Fractionating human intelligence. Neuron, 76(6), 1225-1237."
10.1016/j.neuron.2012.06.022,fullscaleiq_vocab,UNAVAILABLE,UNAVAILABLE,7.0,3194,,10.1016/j.neuron.2012.06.022,https://openpsychometrics.org/_rawdata/,"Hampshire, A., Highfield, R. R., Parkin, B. L., & Owen, A. M. (2012). Fractionating human intelligence. Neuron, 76(6), 1225-1237."
10.1016/j.paid.2023.112339,mft_validationandreplication,never_assessed,,36.0,835,,10.1016/j.paid.2023.112339,https://osf.io/2pkaw/,"Zakharin, M., & Bates, T. C. (2023). Moral Foundations Theory: Validation and replication of the MFQ-2. Personality and Individual Differences, 214, 112339."
10.1016/j.paid.2025.113343,ders16_xiong_2025,never_assessed,,16.0,9506,,10.1016/j.paid.2025.113343,https://osf.io/wg568/files/osfstorage?view_only=3b9ee6f978a648deb17d81d244d6c158,"Xiong, X., Zhan, N., Zou, J., Xu, F., & Geng, F. (2025). Factor structure, measurement invariance, and psychometric properties of the brief version of difficulties in emotion regulation scale (DERS-16) across four Chinese samples. Personality and Individual Differences, 246, 113343. https://doi.org/10.1016/j.paid.2025.113343"
10.1016/j.paid.2025.113343,lec5_xiong_2025,never_assessed,,17.0,9506,,10.1016/j.paid.2025.113343,https://osf.io/wg568/files/osfstorage?view_only=3b9ee6f978a648deb17d81d244d6c158,"Xiong, X., Zhan, N., Zou, J., Xu, F., & Geng, F. (2025). Factor structure, measurement invariance, and psychometric properties of the brief version of difficulties in emotion regulation scale (DERS-16) across four Chinese samples. Personality and Individual Differences, 246, 113343. https://doi.org/10.1016/j.paid.2025.113343"
10.1016/j.paid.2025.113343,pcl5_xiong_2025,never_assessed,,20.0,9506,,10.1016/j.paid.2025.113343,https://osf.io/wg568/files/osfstorage?view_only=3b9ee6f978a648deb17d81d244d6c158,"Xiong, X., Zhan, N., Zou, J., Xu, F., & Geng, F. (2025). Factor structure, measurement invariance, and psychometric properties of the brief version of difficulties in emotion regulation scale (DERS-16) across four Chinese samples. Personality and Individual Differences, 246, 113343. https://doi.org/10.1016/j.paid.2025.113343"
10.1016/j.paid.2025.113343,phq9_xiong_2025,never_assessed,,9.0,9506,,10.1016/j.paid.2025.113343,https://osf.io/wg568/files/osfstorage?view_only=3b9ee6f978a648deb17d81d244d6c158,"Xiong, X., Zhan, N., Zou, J., Xu, F., & Geng, F. (2025). Factor structure, measurement invariance, and psychometric properties of the brief version of difficulties in emotion regulation scale (DERS-16) across four Chinese samples. Personality and Individual Differences, 246, 113343. https://doi.org/10.1016/j.paid.2025.113343"
10.1016/j.paid.2025.113621,sadism_west_2026_cast,never_assessed,,18.0,1513,,10.1016/j.paid.2025.113621,https://osf.io/mqp7e/overview,"West, S. J. (2025, September 21). Testing Item Level Random Slopes in the Sadism-Psychopathy Relationship. Retrieved from osf.io/mqp7e"
10.1016/j.paid.2025.113621,sadism_west_2026_srp,never_assessed,,64.0,1268,,10.1016/j.paid.2025.113621,https://osf.io/mqp7e/overview,"West, S. J. (2025, September 21). Testing Item Level Random Slopes in the Sadism-Psychopathy Relationship. Retrieved from osf.io/mqp7e"
10.1016/j.psychres.2020.113410,smpi_lorenzoluaces_2020_smpi,never_assessed,,24.0,487,,10.1016/j.psychres.2020.113410,https://osf.io/69nwe/,"Lorenzo Lorenzo-Luaces, Lauren A. Rutter, Matthew D. Scalco, Carving depression at its joints? Psychometric properties of the Sydney Melancholia Prototype Index, Psychiatry Research, Volume 293,2020, 113410, ISSN 0165-1781."
10.1016/j.yebeh.2019.106530,aappss_malpas_2019_scl,never_assessed,,90.0,611,,10.1016/j.yebeh.2019.106530,https://osf.io/3ba2z/,"Malpas, C. B., De Wei Wang, A., Leong, M. M. Y., Johnstone, B., Rayner, G., Kalincik, T., … Velakoulis, D. (2019, October 31). Abbreviated assessment of psychopathology in patients with suspected seizure disorders. https://doi.org/10.17605/OSF.IO/3BA2Z"
