"table","section_id","item","instrument","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,120000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,130000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,150000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,180000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,200000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,220000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,230000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,249000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,250000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,260000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,270000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,280000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,290000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,295000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,300000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,320000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,330000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,350000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,375000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,380000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,390000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,395000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,399000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,400000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,406000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,408000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,410000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,420000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,430000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,440000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,447000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,449000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,450000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,460000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,470000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,480000,"Spanish"
