"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","correct_response","option_text","resp"
"megart_tonkovic_2021","megart_tonkovic_2021_1","adazi","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adazi",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","adazi","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adazi",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","adbudrata","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adbudrata",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","adbudrata","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adbudrata",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","aditiv","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"aditiv",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","aditiv","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"aditiv",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","adlenkozija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adlenkozija",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","adlenkozija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adlenkozija",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","adlenostija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adlenostija",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","adlenostija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"adlenostija",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","advetiguk","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"advetiguk",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","advetiguk","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"advetiguk",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","aerodrom","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"aerodrom",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","aerodrom","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"aerodrom",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","aeruzent","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"aeruzent",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","aeruzent","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"aeruzent",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","agencija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agencija",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","agencija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agencija",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","agent","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agent",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","agent","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agent",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","agins","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agins",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","agins","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agins",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","agnostik","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agnostik",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","agnostik","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agnostik",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","agonija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agonija",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","agonija","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agonija",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","agregat","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agregat",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","agregat","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"agregat",1,"Correct",1
