source,journal,doi,title,url,pmcid,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,screports,10.1038/s41598-020-71061-3,Hydrocortisone decreases metacognitive efficiency independent of perceived stress.,https://europepmc.org/article/PMC/PMC7445749,PMC7445749,unknown,download_failed,"via Data Availability link https://osf.io/g6xnf/?view_only=9d8f7a87f6f940f88db44395a91025d2 | HTTPSConnectionPool(host='osf.io', port=443): Max retries exceeded with url: /download/9nxme/?view_only=9d8f7a87f6f940f88db44395a91025d2&view_only=9d8f7a87f6f940f88db44395a91025d2 (Caused by ProxyErro",Data availability Dataset is available at the Open Science Framework at: https://osf.io/g6xnf/?view_only=9d8f7a87f6f940f88db44395a91025d2 .,https://osf.io/g6xnf/?view_only=9d8f7a87f6f940f88db44395a91025d2,data_meta_long.csv,,,,,
pmc,screports,10.1038/s41598-026-53737-4,Impact of sleep and psychological flexibility on young adults' physical and mental well-being.,https://europepmc.org/article/PMC/PMC13392371,PMC13392371,cc-by,human_assistance,"via Data Availability link https://zenodo.org/records/15043139 | Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confide",Data Availability Statement The data that support the findings of this study are openly available in Zenodo at[https://doi.org/10.5281/zenodo.15043139](https:/doi.org/10.5281/zenodo.15043139).,https://doi.org/10.5281/zenodo.15043139,trisleep_hexaflex_physical_mental_well-being_adolescents_data.csv,,,,,0
pmc,screports,10.1038/s41598-026-57946-9,Professional learning supports teacher well-being through needs-supplies fit and control-value processes.,https://europepmc.org/article/PMC/PMC13493979,PMC13493979,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['SUPPORTING INFORMATION: SI Statistics', 'Unnamed: 1']",,,41598_2026_57946_MOESM2_ESM.xlsx,,,,,0
pmc,screports,10.1038/s41598-026-59695-1,Economic development and emotional well-being: longitudinal evidence from 33 European countries.,https://europepmc.org/article/PMC/PMC13333869,PMC13333869,unknown,download_failed,"via Data Availability link https://osf.io/5gkp6/overview? | HTTPSConnectionPool(host='osf.io', port=443): Max retries exceeded with url: /download/6a257b1b30b2c81ad6b218eb/ (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: ","Data availability The data that support the findings of this study are openly available from the European Social Survey (ESS) at www.europeansocialsurvey.org. This study uses data from ESS Round 3 (2006), Round 6 (2012), Round 7 (2014), and Round 11 (2023). GDP per capita data are publicly available",https://osf.io/5gkp6/overview?,full_country_round_analysis_panel_v12.csv,,,,,
pmc,screports,10.1038/s41598-026-63059-0,"Enhancing resilience, flexibility, and well-being through cognitive-emotional training: behavioral and neural evidence.",https://europepmc.org/article/PMC/PMC13487198,PMC13487198,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-025-99056-y,Digital selfie editing shows sex specific associations between processing biases and life satisfaction.,https://europepmc.org/article/PMC/PMC12022245,PMC12022245,unknown,download_failed,"via Data Availability link https://osf.io/ea9kd/ | HTTPSConnectionPool(host='osf.io', port=443): Max retries exceeded with url: /download/jghdq/ (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))","Data availability The datasets generated and analyzed during the current study are available in the Open Science Framework (OSF) repository, https://osf.io/ea9kd/ .",https://osf.io/ea9kd/,selfie_editing_lm1.csv,,,,,
pmc,screports,10.1038/s41598-024-84482-1,The mediating effect of emotional schemas in the relationship between online gaming addiction and life satisfaction.,https://europepmc.org/article/PMC/PMC11695994,PMC11695994,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-024-70067-5,Statistical analysis of the effect of socio-political factors on individual life satisfaction.,https://europepmc.org/article/PMC/PMC11344825,PMC11344825,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2024_70067_MOESM1_ESM.docx,Data Availability Statement The data set used in this research is available at https://www.worldvaluessurvey.org/WVSDocumentationWV7.jsp .,,,,,,,
pmc,screports,10.1038/s41598-024-73298-8,Effect of internet usage on the life satisfaction of the elderly spousal caregivers of disabled elderly.,https://europepmc.org/article/PMC/PMC11436698,PMC11436698,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-65304-y,Loneliness and social isolation as predictors of pain medication use transitions in older adults.,https://europepmc.org/article/PMC/PMC13562570,PMC13562570,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_65304_MOESM1_ESM.docx,"Data Availability Statement The datasets analysed during the current study are available in the HRS repository and the RAND Center for the Study of Aging, (https://hrs.isr.umich.edu). Analysis scripts are available at https://github.com/alexandre-piot/HRS-pain-medication-msm.",,,,,,,
pmc,screports,10.1038/s41598-025-06541-5,Loneliness and depressive symptoms in institutionally isolated Polish adolescents explored through network psychometrics.,https://europepmc.org/article/PMC/PMC12214851,PMC12214851,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2025_6541_MOESM1_ESM.docx,Data availability The research data and statistical analysis codes supporting the findings of this manuscript are available from the corresponding author upon reasonable request.,,,,,,,
pmc,screports,10.1038/s41598-025-07890-x,Illness acceptance and community self-efficacy mediate the relationship between social isolation and loneliness among elderly people with parkinson's disease.,https://europepmc.org/article/PMC/PMC12218897,PMC12218897,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-025-02293-4,Nationwide longitudinal study reveals impact of both national restriction levels and genetic risk factors on loneliness during the COVID-19 pandemic.,https://europepmc.org/article/PMC/PMC12092588,PMC12092588,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-60270-x,Sequential mediation linking perceived government autonomy support and public-sphere water conservation intentions via autonomy satisfaction and intrinsic motivation in karst regions.,https://europepmc.org/article/PMC/PMC13538588,PMC13538588,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-58289-1,Convolutional neural network and AI technology for colleges and universities students' achievement performance prediction.,https://europepmc.org/article/PMC/PMC13547348,PMC13547348,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-53164-5,Latent profiles of apathy in the general population and their associations with psychopathology and functioning.,https://europepmc.org/article/PMC/PMC13503793,PMC13503793,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-56802-0,"Influence of menstrual cycle on autonomic nervous system, muscular strength and mood states.",https://europepmc.org/article/PMC/PMC13558600,PMC13558600,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-56852-4,Neighborhood disorder impacts cognitive processing during navigation on a novel virtual reality paradigm.,https://europepmc.org/article/PMC/PMC13493969,PMC13493969,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_56852_MOESM1_ESM.docx,"Data Availability Statement The datasets generated during and/or analyzed during the current study are available from the corresponding author on reasonable request. In addition, the NET standalone application and task code is available for download via https://www.dropbox.com/scl/fo/clq6upma4im80kr",,,,,,,
pmc,screports,10.1038/s41598-026-61868-x,Adaptive pathways for multimodal community-based detection of cognitive impairment: the CogScreen I study.,https://europepmc.org/article/PMC/PMC13392269,PMC13392269,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_61868_MOESM1_ESM.docx,Data availability The datasets generated and analysed during the current study are not publicly available due to privacy and ethical restrictions but are available from the corresponding author (CK) on reasonable request.,,,,,,,
pmc,screports,10.1038/s41598-026-57036-w,Big five and higher-order personality traits matter for climate-risk perception among moroccan farmers.,https://europepmc.org/article/PMC/PMC13503745,PMC13503745,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_57036_MOESM1_ESM.docx,"Data Availability Statement Data will be made available upon request and approval by the International Water Research Institute, Mohammed VI Polytechnic University Benguerir, Morocco.",,,,,,,
pmc,screports,10.1038/s41598-026-51676-8,Music therapy integrated virtual reality education for preoperative anxiety in gynecological surgery.,https://europepmc.org/article/PMC/PMC13351033,PMC13351033,cc-by,no_usable_file,no tabular-format file among 2 supplementary file(s): 41598_2026_51676_MOESM1_ESM.docx; 41598_2026_51676_MOESM2_ESM.docx,Data availability The datasets generated and/or analyzed during the present study are available from the corresponding author upon reasonable request. All shared datasets will be fully de-identified and provided together with a data dictionary. The statistical code used for the analyses will also be,,,,,,,
pmc,peerj,10.7717/peerj.15869,Research on the coupling coordination and driving role of urbanization and ecological resilience in the middle and lower reaches of the Yangtze River.,https://europepmc.org/article/PMC/PMC10519198,PMC10519198,cc-by,no_usable_file,no tabular-format file among 4 supplementary file(s): peerj-11-15869-s003.docx; peerj-11-15869-s002.docx; peerj-11-15869-s001.docx; peerj-11-15869-s004.docx,,,,,,,,
pmc,screports,10.1038/s41598-026-67088-7,Efficacy of a self-guided online resilience intervention for improving mental health among university students: A randomized controlled trial.,https://europepmc.org/article/PMC/PMC13538386,PMC13538386,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_67088_MOESM1_ESM.pdf,Data Availability Statement The datasets generated during and/or analysed during the current study are available from the corresponding author on reasonable request.,,,,,,,
pmc,screports,10.1038/s41598-026-50735-4,Evaluating investments in electricity resilience: evidence from California's Public Safety Power Shutoff (PSPS) events.,https://europepmc.org/article/PMC/PMC13569834,PMC13569834,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_50735_MOESM1_ESM.docx,"Data availability As identified in the links provided in the methods section, all geospatial and quantitative data used in this analysis are publicly available. Below is a list of the key sources, including their ownership, intended use case, and working links as of the time of publication (please s",,,,,,,
pmc,screports,10.1038/s41598-026-63690-x,"The relative importance of resilience factors prior, during, and after stress-inducing exams in medical students.",https://europepmc.org/article/PMC/PMC13400740,PMC13400740,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_63690_MOESM1_ESM.docx,Data availability Data and a codebook (excluding descriptive data) are available at the University of Cambridge repository: https://www.repository.cam.ac.uk/items/e7ac65b9-da6a-44a3-a233-0ade9296fba8 .,,,,,,,
pmc,behavsci,10.3390/bs16081327,The Relationship Between Chronotype and Depression Among Adolescents: The Mediating Role of Bedtime Procrastination and the Moderating Role of Parental Psychological Control.,https://europepmc.org/article/PMC/PMC13510148,PMC13510148,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): behavsci-16-01327-s001.zip,Data Availability Statement Data are available from the corresponding author upon reasonable request.,,,,,,,
pmc,behavsci,10.3390/bs12020038,Procrastination during the COVID-19 Pandemic: A Scoping Review.,https://europepmc.org/article/PMC/PMC8868816,PMC8868816,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): behavsci-12-00038-s001.zip,Data Availability Statement The study protocol is also accessible through ResearchGate ( https://www.researchgate.net/project/Procrastinacion-durante-la-pandemia-por-COVID-19-un-scoping-review ) (accessed on 20 January 2022). All other information is included in the article.,,,,,,,
pmc,bmcpubhealth,10.1186/s12889-025-23405-9,"Exploring associations between problematic technology-dependent behaviors, physical and mental health, sleep quality, and academic procrastination among medical students.",https://europepmc.org/article/PMC/PMC12220172,PMC12220172,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,bmcpubhealth,10.1186/s12889-025-22769-2,Burnout among VET pathway university students: The role of academic stress and school-life satisfaction.,https://europepmc.org/article/PMC/PMC12010583,PMC12010583,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,behavsci,10.3390/bs16081351,Perceived Helicopter Parenting and Learning Burnout in Chinese Adolescents: Intelligence Mindsets and Psychological Capital as Mediators.,https://europepmc.org/article/PMC/PMC13509824,PMC13509824,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): behavsci-16-01351-s001.zip,Data Availability Statement The data that support the findings of this study are available on request from the corresponding author.,,,,,,,
pmc,bmcpubhealth,10.1186/s12889-024-19611-6,Perceived impacts of a school-based growth mindset programme 'Mindset Teams' in Scotland: a qualitative study.,https://europepmc.org/article/PMC/PMC11321148,PMC11321148,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 12889_2024_19611_MOESM1_ESM.docx,Data availability The datasets generated during the current study are not currently publicly available due to wider publication plans but are available from the corresponding author on reasonable request.,,,,,,,
pmc,bmcpubhealth,10.1186/s12889-024-21199-w,"The relationship between perceived stress and job burnout of police officers during the COVID-19 pandemic: the mediating role of social support, sleep quality and resilience.",https://europepmc.org/article/PMC/PMC11770918,PMC11770918,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,heliyon,10.1016/j.heliyon.2021.e06681,"Growth mindset, delayed gratification, and learning outcome: evidence from a field survey of least-advantaged private schools in Depok-Indonesia.",https://europepmc.org/article/PMC/PMC8099761,PMC8099761,cc-by,no_usable_file,no tabular-format file among 2 supplementary file(s): mmc2.zip; mmc1.docx,Data availability statement Data included in article/supplementary material/referenced in article.,,,,,,,
