"table","instrument","language","instructions","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q4","学英语时，即使精神疲劳，我也能很快恢复。","When studying English, I can recover quickly even when I am mentally tired.",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q4","学英语时，即使精神疲劳，我也能很快恢复。","When studying English, I can recover quickly even when I am mentally tired.",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q4","学英语时，即使精神疲劳，我也能很快恢复。","When studying English, I can recover quickly even when I am mentally tired.",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q4","学英语时，即使精神疲劳，我也能很快恢复。","When studying English, I can recover quickly even when I am mentally tired.",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q5","早上一起床，我就乐意去上英语课","When I get up in the morning, I feel like going to my English class",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q5","早上一起床，我就乐意去上英语课","When I get up in the morning, I feel like going to my English class",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q5","早上一起床，我就乐意去上英语课","When I get up in the morning, I feel like going to my English class",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q5","早上一起床，我就乐意去上英语课","When I get up in the morning, I feel like going to my English class",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q5","早上一起床，我就乐意去上英语课","When I get up in the morning, I feel like going to my English class",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q5","早上一起床，我就乐意去上英语课","When I get up in the morning, I feel like going to my English class",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q5","早上一起床，我就乐意去上英语课","When I get up in the morning, I feel like going to my English class",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q1","我非常清楚学英语的目的和意义","I am very clear about the purpose and meaning of studying English",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q1","我非常清楚学英语的目的和意义","I am very clear about the purpose and meaning of studying English",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q1","我非常清楚学英语的目的和意义","I am very clear about the purpose and meaning of studying English",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q1","我非常清楚学英语的目的和意义","I am very clear about the purpose and meaning of studying English",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q1","我非常清楚学英语的目的和意义","I am very clear about the purpose and meaning of studying English",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q1","我非常清楚学英语的目的和意义","I am very clear about the purpose and meaning of studying English",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q1","我非常清楚学英语的目的和意义","I am very clear about the purpose and meaning of studying English",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q2","学英语激发了我的灵感","Studying English inspires me",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q2","学英语激发了我的灵感","Studying English inspires me",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q2","学英语激发了我的灵感","Studying English inspires me",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q2","学英语激发了我的灵感","Studying English inspires me",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q2","学英语激发了我的灵感","Studying English inspires me",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q2","学英语激发了我的灵感","Studying English inspires me",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q2","学英语激发了我的灵感","Studying English inspires me",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q3","我为我的英语学习感到自豪","I am proud of my English studies",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q3","我为我的英语学习感到自豪","I am proud of my English studies",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q3","我为我的英语学习感到自豪","I am proud of my English studies",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q3","我为我的英语学习感到自豪","I am proud of my English studies",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q3","我为我的英语学习感到自豪","I am proud of my English studies",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q3","我为我的英语学习感到自豪","I am proud of my English studies",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q3","我为我的英语学习感到自豪","I am proud of my English studies",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q4","我发现我的英语学习富有挑战性","I find my English studies to be full of challenge",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q4","我发现我的英语学习富有挑战性","I find my English studies to be full of challenge",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q4","我发现我的英语学习富有挑战性","I find my English studies to be full of challenge",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q4","我发现我的英语学习富有挑战性","I find my English studies to be full of challenge",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q4","我发现我的英语学习富有挑战性","I find my English studies to be full of challenge",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q4","我发现我的英语学习富有挑战性","I find my English studies to be full of challenge",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q4","我发现我的英语学习富有挑战性","I find my English studies to be full of challenge",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q5","我对英语学习充满热情","I am enthusiastic about studying English",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q5","我对英语学习充满热情","I am enthusiastic about studying English",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q5","我对英语学习充满热情","I am enthusiastic about studying English",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q5","我对英语学习充满热情","I am enthusiastic about studying English",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q5","我对英语学习充满热情","I am enthusiastic about studying English",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q5","我对英语学习充满热情","I am enthusiastic about studying English",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Dedication_Q5","我对英语学习充满热情","I am enthusiastic about studying English",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q1","当我学英语时，我会忘了周围的一切","When I am studying English, I forget everything around me",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q1","当我学英语时，我会忘了周围的一切","When I am studying English, I forget everything around me",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q1","当我学英语时，我会忘了周围的一切","When I am studying English, I forget everything around me",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q1","当我学英语时，我会忘了周围的一切","When I am studying English, I forget everything around me",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q1","当我学英语时，我会忘了周围的一切","When I am studying English, I forget everything around me",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q1","当我学英语时，我会忘了周围的一切","When I am studying English, I forget everything around me",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q1","当我学英语时，我会忘了周围的一切","When I am studying English, I forget everything around me",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q2","当我全身心投入英语学习时，我感到很快乐","When I am fully immersed in studying English, I feel happy",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q2","当我全身心投入英语学习时，我感到很快乐","When I am fully immersed in studying English, I feel happy",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q2","当我全身心投入英语学习时，我感到很快乐","When I am fully immersed in studying English, I feel happy",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q2","当我全身心投入英语学习时，我感到很快乐","When I am fully immersed in studying English, I feel happy",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Absorption_Q2","当我全身心投入英语学习时，我感到很快乐","When I am fully immersed in studying English, I feel happy",NA,5,"经常","Often"
