"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC6","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que vous êtes dans une situation inconnue et que vous ne savez pas quoi faire ?","Do you have the feeling that you are in an unfamiliar situation and don't know what to do?",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC6","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que vous êtes dans une situation inconnue et que vous ne savez pas quoi faire ?","Do you have the feeling that you are in an unfamiliar situation and don't know what to do?",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC6","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que vous êtes dans une situation inconnue et que vous ne savez pas quoi faire ?","Do you have the feeling that you are in an unfamiliar situation and don't know what to do?",NA,7,"Très rarement ou jamais","Very seldom or never"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC8","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous des idées ou des sentiments confus ?","Do you have very mixed-up feelings and ideas?",NA,1,"Très souvent","Very often"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC8","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous des idées ou des sentiments confus ?","Do you have very mixed-up feelings and ideas?",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC8","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous des idées ou des sentiments confus ?","Do you have very mixed-up feelings and ideas?",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC8","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous des idées ou des sentiments confus ?","Do you have very mixed-up feelings and ideas?",NA,4,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC8","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous des idées ou des sentiments confus ?","Do you have very mixed-up feelings and ideas?",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC8","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous des idées ou des sentiments confus ?","Do you have very mixed-up feelings and ideas?",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC8","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous des idées ou des sentiments confus ?","Do you have very mixed-up feelings and ideas?",NA,7,"Très rarement ou jamais","Very seldom or never"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC9","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous arrive-t-il d’avoir des sentiments intimes que vous préféreriez ne pas avoir ?","Does it happen that you have feelings inside you would rather not feel?",NA,1,"Très souvent","Very often"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC9","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous arrive-t-il d’avoir des sentiments intimes que vous préféreriez ne pas avoir ?","Does it happen that you have feelings inside you would rather not feel?",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC9","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous arrive-t-il d’avoir des sentiments intimes que vous préféreriez ne pas avoir ?","Does it happen that you have feelings inside you would rather not feel?",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC9","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous arrive-t-il d’avoir des sentiments intimes que vous préféreriez ne pas avoir ?","Does it happen that you have feelings inside you would rather not feel?",NA,4,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC9","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous arrive-t-il d’avoir des sentiments intimes que vous préféreriez ne pas avoir ?","Does it happen that you have feelings inside you would rather not feel?",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC9","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous arrive-t-il d’avoir des sentiments intimes que vous préféreriez ne pas avoir ?","Does it happen that you have feelings inside you would rather not feel?",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC9","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous arrive-t-il d’avoir des sentiments intimes que vous préféreriez ne pas avoir ?","Does it happen that you have feelings inside you would rather not feel?",NA,7,"Très rarement ou jamais","Very seldom or never"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC10","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Beaucoup de gens (même s’ils ont beaucoup de caractère) se sentent parfois de pauvres cloches. Avez-vous déjà eu ce sentiment dans le passé ?","Many people – even those with a strong character – sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,1,"Très souvent","Very often"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC10","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Beaucoup de gens (même s’ils ont beaucoup de caractère) se sentent parfois de pauvres cloches. Avez-vous déjà eu ce sentiment dans le passé ?","Many people – even those with a strong character – sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC10","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Beaucoup de gens (même s’ils ont beaucoup de caractère) se sentent parfois de pauvres cloches. Avez-vous déjà eu ce sentiment dans le passé ?","Many people – even those with a strong character – sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC10","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Beaucoup de gens (même s’ils ont beaucoup de caractère) se sentent parfois de pauvres cloches. Avez-vous déjà eu ce sentiment dans le passé ?","Many people – even those with a strong character – sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,4,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC10","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Beaucoup de gens (même s’ils ont beaucoup de caractère) se sentent parfois de pauvres cloches. Avez-vous déjà eu ce sentiment dans le passé ?","Many people – even those with a strong character – sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC10","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Beaucoup de gens (même s’ils ont beaucoup de caractère) se sentent parfois de pauvres cloches. Avez-vous déjà eu ce sentiment dans le passé ?","Many people – even those with a strong character – sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC10","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Beaucoup de gens (même s’ils ont beaucoup de caractère) se sentent parfois de pauvres cloches. Avez-vous déjà eu ce sentiment dans le passé ?","Many people – even those with a strong character – sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,7,"Très rarement ou jamais","Very seldom or never"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC11","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Quand quelque chose arrive, vous trouvez généralement que :","When something happened, have you generally found that:",NA,1,"Vous surestimez ou sous-estimez son importance","You overestimated or underestimated its importance"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC11","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Quand quelque chose arrive, vous trouvez généralement que :","When something happened, have you generally found that:",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC11","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Quand quelque chose arrive, vous trouvez généralement que :","When something happened, have you generally found that:",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC11","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Quand quelque chose arrive, vous trouvez généralement que :","When something happened, have you generally found that:",NA,4,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC11","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Quand quelque chose arrive, vous trouvez généralement que :","When something happened, have you generally found that:",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC11","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Quand quelque chose arrive, vous trouvez généralement que :","When something happened, have you generally found that:",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC11","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Quand quelque chose arrive, vous trouvez généralement que :","When something happened, have you generally found that:",NA,7,"Vous voyez les choses dans de justes proportions","You saw things in the right proportion"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC12","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que les choses que vous faites dans la vie quotidienne ont peu de sens ?","How often do you have the feeling that there's little meaning in the things you do in your daily life?",NA,1,"Très souvent","Very often"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC12","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que les choses que vous faites dans la vie quotidienne ont peu de sens ?","How often do you have the feeling that there's little meaning in the things you do in your daily life?",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC12","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que les choses que vous faites dans la vie quotidienne ont peu de sens ?","How often do you have the feeling that there's little meaning in the things you do in your daily life?",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC12","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que les choses que vous faites dans la vie quotidienne ont peu de sens ?","How often do you have the feeling that there's little meaning in the things you do in your daily life?",NA,4,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC12","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que les choses que vous faites dans la vie quotidienne ont peu de sens ?","How often do you have the feeling that there's little meaning in the things you do in your daily life?",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC12","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que les choses que vous faites dans la vie quotidienne ont peu de sens ?","How often do you have the feeling that there's little meaning in the things you do in your daily life?",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC12","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que les choses que vous faites dans la vie quotidienne ont peu de sens ?","How often do you have the feeling that there's little meaning in the things you do in your daily life?",NA,7,"Très rarement ou jamais","Very seldom or never"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC13","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous avez le sentiment que vous n’êtes pas sûr.e de vous maîtriser","How often do you have feelings that you're not sure you can keep under control?",NA,1,"Très souvent","Very often"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC13","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous avez le sentiment que vous n’êtes pas sûr.e de vous maîtriser","How often do you have feelings that you're not sure you can keep under control?",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC13","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous avez le sentiment que vous n’êtes pas sûr.e de vous maîtriser","How often do you have feelings that you're not sure you can keep under control?",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC13","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous avez le sentiment que vous n’êtes pas sûr.e de vous maîtriser","How often do you have feelings that you're not sure you can keep under control?",NA,4,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC13","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous avez le sentiment que vous n’êtes pas sûr.e de vous maîtriser","How often do you have feelings that you're not sure you can keep under control?",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC13","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous avez le sentiment que vous n’êtes pas sûr.e de vous maîtriser","How often do you have feelings that you're not sure you can keep under control?",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC13","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Vous avez le sentiment que vous n’êtes pas sûr.e de vous maîtriser","How often do you have feelings that you're not sure you can keep under control?",NA,7,"Très rarement ou jamais","Very seldom or never"
