"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","wording_rights"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_11","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel thankful for my blessings.",NA,NA,"Many times a day",NA,6,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_12","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel a selfless caring for others.",NA,NA,"Never or almost never",NA,1,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_12","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel a selfless caring for others.",NA,NA,"Once in a while",NA,2,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_12","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel a selfless caring for others.",NA,NA,"Some days",NA,3,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_12","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel a selfless caring for others.",NA,NA,"Most days",NA,4,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_12","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel a selfless caring for others.",NA,NA,"Every day",NA,5,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_12","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel a selfless caring for others.",NA,NA,"Many times a day",NA,6,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_13","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I accept others even when they do things I think are wrong.",NA,NA,"Never or almost never",NA,1,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_13","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I accept others even when they do things I think are wrong.",NA,NA,"Once in a while",NA,2,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_13","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I accept others even when they do things I think are wrong.",NA,NA,"Some days",NA,3,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_13","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I accept others even when they do things I think are wrong.",NA,NA,"Most days",NA,4,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_13","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I accept others even when they do things I think are wrong.",NA,NA,"Every day",NA,5,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_13","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I accept others even when they do things I think are wrong.",NA,NA,"Many times a day",NA,6,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_14","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I desire to be closer to God or in union with the divine",NA,NA,"Never or almost never",NA,1,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_14","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I desire to be closer to God or in union with the divine",NA,NA,"Once in a while",NA,2,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_14","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I desire to be closer to God or in union with the divine",NA,NA,"Some days",NA,3,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_14","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I desire to be closer to God or in union with the divine",NA,NA,"Most days",NA,4,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_14","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I desire to be closer to God or in union with the divine",NA,NA,"Every day",NA,5,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_14","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I desire to be closer to God or in union with the divine",NA,NA,"Many times a day",NA,6,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_15","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"In general, how close do you feel to God?",NA,NA,"Not close",NA,1,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_15","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"In general, how close do you feel to God?",NA,NA,"Somewhat close",NA,2,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_15","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"In general, how close do you feel to God?",NA,NA,"Very close",NA,3,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_15","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"In general, how close do you feel to God?",NA,NA,"As close as possible",NA,4,"NC"
