"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","resp","option_text"
"pellerin2020_asti","pellerin2020_asti_1","ST_3","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel part of something greater than myself.",NA,2,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_3","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel part of something greater than myself.",NA,3,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_3","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel part of something greater than myself.",NA,4,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_3","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel part of something greater than myself.",NA,5,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_3","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel part of something greater than myself.",NA,6,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_3","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel part of something greater than myself.",NA,7,"strongly agree"
"pellerin2020_asti","pellerin2020_asti_1","ST_4","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel compassionate even toward people who have been unkind to me.",NA,1,"strongly disagree"
"pellerin2020_asti","pellerin2020_asti_1","ST_4","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel compassionate even toward people who have been unkind to me.",NA,2,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_4","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel compassionate even toward people who have been unkind to me.",NA,3,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_4","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel compassionate even toward people who have been unkind to me.",NA,4,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_4","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel compassionate even toward people who have been unkind to me.",NA,5,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_4","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel compassionate even toward people who have been unkind to me.",NA,6,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_4","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel compassionate even toward people who have been unkind to me.",NA,7,"strongly agree"
"pellerin2020_asti","pellerin2020_asti_1","ST_5","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I often have a sense of oneness with nature.",NA,1,"strongly disagree"
"pellerin2020_asti","pellerin2020_asti_1","ST_5","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I often have a sense of oneness with nature.",NA,2,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_5","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I often have a sense of oneness with nature.",NA,3,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_5","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I often have a sense of oneness with nature.",NA,4,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_5","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I often have a sense of oneness with nature.",NA,5,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_5","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I often have a sense of oneness with nature.",NA,6,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_5","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I often have a sense of oneness with nature.",NA,7,"strongly agree"
"pellerin2020_asti","pellerin2020_asti_1","ST_6","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [good] I do for others, I do for myself.",NA,1,"strongly disagree"
"pellerin2020_asti","pellerin2020_asti_1","ST_6","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [good] I do for others, I do for myself.",NA,2,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_6","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [good] I do for others, I do for myself.",NA,3,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_6","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [good] I do for others, I do for myself.",NA,4,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_6","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [good] I do for others, I do for myself.",NA,5,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_6","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [good] I do for others, I do for myself.",NA,6,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_6","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [good] I do for others, I do for myself.",NA,7,"strongly agree"
"pellerin2020_asti","pellerin2020_asti_1","ST_7","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [bad] I do to others, I do to myself.",NA,1,"strongly disagree"
"pellerin2020_asti","pellerin2020_asti_1","ST_7","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [bad] I do to others, I do to myself.",NA,2,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_7","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [bad] I do to others, I do to myself.",NA,3,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_7","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [bad] I do to others, I do to myself.",NA,4,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_7","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [bad] I do to others, I do to myself.",NA,5,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_7","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [bad] I do to others, I do to myself.",NA,6,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_7","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"Whatever [bad] I do to others, I do to myself.",NA,7,"strongly agree"
