"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","wording_rights"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq3","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I worry about not being able to control my worries and feelings.",NA,"sometimes true",4,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq3","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I worry about not being able to control my worries and feelings.",NA,"frequently true",5,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq4","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful memories prevent me from having a fulfilling life.",NA,"never true",1,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq4","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful memories prevent me from having a fulfilling life.",NA,"very seldom true",2,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq4","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful memories prevent me from having a fulfilling life.",NA,"seldom true",3,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq4","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful memories prevent me from having a fulfilling life.",NA,"sometimes true",4,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq4","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful memories prevent me from having a fulfilling life.",NA,"frequently true",5,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq5","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Emotions cause problems in my life.",NA,"never true",1,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq5","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Emotions cause problems in my life.",NA,"very seldom true",2,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq5","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Emotions cause problems in my life.",NA,"seldom true",3,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq5","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Emotions cause problems in my life.",NA,"sometimes true",4,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq5","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Emotions cause problems in my life.",NA,"frequently true",5,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq6","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"It seems like most people are handling their lives better than I am.",NA,"never true",1,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq6","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"It seems like most people are handling their lives better than I am.",NA,"very seldom true",2,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq6","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"It seems like most people are handling their lives better than I am.",NA,"seldom true",3,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq6","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"It seems like most people are handling their lives better than I am.",NA,"sometimes true",4,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq6","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"It seems like most people are handling their lives better than I am.",NA,"frequently true",5,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq7","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Worries get in the way of my success.",NA,"never true",1,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq7","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Worries get in the way of my success.",NA,"very seldom true",2,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq7","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Worries get in the way of my success.",NA,"seldom true",3,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq7","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Worries get in the way of my success.",NA,"sometimes true",4,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq7","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"Worries get in the way of my success.",NA,"frequently true",5,"NC"
