"doi","status","refined_flag","journal","title","url","pmcid","license","n_participants","n_items","data_file","external_link","reasons","note"
"10.1038/s41598-023-34781-w","unworked","recoverable_format","screports","Variation along P2RX7 interacts with early traumas on severity of anxiety suggesting a role for neuroinflammation.","https://europepmc.org/article/PMC/PMC10182087","PMC10182087","cc-by","4086.0","6.0","Summary statistics SYANXMEAN x CHS_LP_ADD (1).xlsx","https://figshare.com/articles/dataset/Effect_of_P2RX7_variation_and_stress_on_anxiety/20278905","via Data Availability link https://figshare.com/articles/dataset/Effect_of_P2RX7_variation_and_stress_on_anxiety/20278905 | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, resp_scale_mixed",""
"10.1186/s12874-026-02911-3","unworked","worth_retrying","bmcmrm","Widening participation in cognitive neuroscience: a mixed-methods study of age-related motivators, barriers and attitudes towards imaging methods.","https://europepmc.org/article/PMC/PMC13523283","PMC13523283","unknown","329.0","68.0","Kotiusheva Full_dataset_anonymised.xlsx","https://osf.io/y9fjk/","via Data Availability link https://osf.io/y9fjk/ | QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, item_scale_outlier | license_unknown* — license 'unknown' not recognised as open; verify before submission",""
"10.1186/s12889-025-25470-6","unworked","worth_retrying","bmcpubhealth","Using protection motivation theory to explain intentions to vaccinate against tick-borne encephalitis.","https://europepmc.org/article/PMC/PMC12751593","PMC12751593","unknown","227.0","53.0","2024_TBE_raw-data.xlsx","https://osf.io/xg2r5/","via Data Availability link https://osf.io/xg2r5/ | QC failed on: dup_id_item | QC warnings to review: resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed | license_unknown* — license 'unknown' not recognised as open; verify before submission",""
"10.1038/s41598-023-43176-w","unworked","recoverable_format","screports","Slower respiration rate is associated with higher self-reported well-being after wellness training.","https://europepmc.org/article/PMC/PMC10518325","PMC10518325","unknown","248.0","62.0","anonymized_masterdata_withRSratingsHRV_27Feb2023_share.csv","https://osf.io/f25j9/","via Data Availability link https://osf.io/f25j9/ | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed | license_unknown* — license 'unknown' not recognised as open; verify before submission",""
"10.1038/s41598-022-11515-y","unworked","worth_retrying","screports","Differential effects of stress-related and stress-unrelated humor in remitted depression.","https://europepmc.org/article/PMC/PMC9106730","PMC9106730","cc-by","121.0","111.0","Braniecka_Dataset_Humor types and emotion regulation in remitted depression_Mendeley.sav","http://dx.doi.org/10.17632/9rc79r8nyw.1","via Data Availability link https://data.mendeley.com/datasets/9rc79r8nyw/1 | QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed",""
"10.1038/s41598-022-26653-6","shipped","recoverable_format","screports","Psychometric functioning, measurement invariance, and external associations of the Relationship Assessment Scale in a sample of Polish Adults.","https://europepmc.org/article/PMC/PMC9773665","PMC9773665","unknown","733.0","18.0","Database Polish Reference Sample.sav","https://osf.io/7hv32/?view_only=53083d2e2869472490beece1b35b7294","via Data Availability link https://osf.io/7hv32/?view_only=53083d2e2869472490beece1b35b7294 | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, resp_scale_mixed | license_unknown* — license 'unknown' not recognised as open; verify before submission","nine adamczyk_2022_* tables, 27,938 responses, uploaded 2026-09-20. RAS merged across 3 samples with items 4/7 direction-harmonised"
"10.1038/s41598-019-39718-w","unworked","recoverable_format","screports","Using smartphone accelerometry to assess the relationship between cognitive load and gait dynamics during outdoor walking.","https://europepmc.org/article/PMC/PMC6395667","PMC6395667","cc-by","379.0","28.0","41598_2019_39718_MOESM4_ESM.csv","","Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items*",""
"10.1038/s41598-023-43294-5","unworked","recoverable_format","screports","The direction of effects between parenting and adolescent affective well-being in everyday life is family specific.","https://europepmc.org/article/PMC/PMC10522680","PMC10522680","unknown","159.0","38.0","Data family-specific ES and moderators.sav","https://osf.io/7n2jx","via Data Availability link https://osf.io/7n2jx | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, resp_scale_mixed | license_unknown* — license 'unknown' not recognised as open; verify before submission",""
"10.1038/s41598-018-20380-7","unworked","recoverable_format","screports","Endogenous emotion generation ability is associated with the capacity to form multimodal internal representations.","https://europepmc.org/article/PMC/PMC5792544","PMC5792544","cc-by","293.0","12.0","RAGE_OSF_Modality_nosub.csv","https://osf.io/9zj5b/","via Data Availability link https://osf.io/9zj5b/ | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, resp_scale_mixed",""
"10.1186/s12889-019-6572-0","unworked","recoverable_format","bmcpubhealth","An intergenerational program based on psycho-motor activity promotes well-being and interaction between preschool children and older adults: results of a process and outcome evaluation study in Austria.","https://europepmc.org/article/PMC/PMC6397484","PMC6397484","cc-by","196.0","4.0","12889_2019_6572_MOESM5_ESM.xlsx","","Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, resp_scale_mixed",""
"10.1038/s41598-025-34563-6","unworked","worth_retrying","screports","Functional assessment of protein variants in structured domains by fluorescence cross-correlation spectroscopy.","https://europepmc.org/article/PMC/PMC12867984","PMC12867984","cc-by","","","41598_2025_34563_MOESM2_ESM.xlsx","","Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 4 column(s) look like text-coded Likert items (e.g. ['ClinVara', 'AlphaMissense', 'FCCS']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['DNA change', 'Amino Acid Change', 'ClinVara', 'Alph",""
"10.1186/s12889-021-10453-0","unworked","worth_retrying","bmcpubhealth","Psychological and physiological stress and burnout among maternity providers in a rural county in Kenya: individual and situational predictors.","https://europepmc.org/article/PMC/PMC7936594","PMC7936594","cc-by","","","12889_2021_10453_MOESM3_ESM.xlsx","","Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 2 column(s) look like text-coded Likert items (e.g. ['Mean.2', 'Sd.2']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['Unnamed: 0', 'N', 'Mean', 'Sd', 'Unnamed: 4', '𝛽', ' [95% CI]', 'Unnam",""
"10.1186/s12874-019-0803-z","unworked","worth_retrying","bmcmrm","An information-motivation-behavioural skills analysis of long-lasting insecticidal net use among pregnant women in a hospital in North-Eastern Nigeria.","https://europepmc.org/article/PMC/PMC6637635","PMC6637635","cc-by","","","12874_2019_803_MOESM2_ESM.xlsx","","Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 28 column(s) look like text-coded Likert items (e.g. ['Residence type', 'INFO1', 'INFO2']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['SNO', 'Residence type', 'INFO1', 'INFO2', 'INFO3', ",""
"10.1186/s12889-020-09058-w","unworked","worth_retrying","bmcpubhealth","Correlation between private education costs and parental depression in South Korea.","https://europepmc.org/article/PMC/PMC7305602","PMC7305602","cc-by","","","12889_2020_9058_MOESM1_ESM.xlsx","","Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 8 column(s) look like text-coded Likert items (e.g. ['Total', '%', 'Mean']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['Unnamed: 0', 'Total', '%', 'Mean', 'SD', 'p-value', 'Total.1', '%.",""
"10.3390/bs15101371","unworked","worth_retrying","behavsci","Parental Language Mixing in Montreal: Rates, Predictors, and Relation to Infants' Vocabulary Size.","https://europepmc.org/article/PMC/PMC12561030","PMC12561030","unknown","","","Data Dictionary.xlsx","https://osf.io/3g6ze/","via Data Availability link https://osf.io/3g6ze/ | Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 2 column(s) look like text-coded Likert items (e.g. ['Type', 'Dataset (Study 1: English-French Bilinguals; Study 2: Heritage-Language Bilinguals)']) rather than numeric codes. Needs a human to confirm the categ",""
