tier,score,source,title,doi,url,license,n_files,tabular,signals
A,12,datacite,Workplace Incivility Scale Swedish Version N426,10.17632/j95y99fzb9,https://data.mendeley.com/datasets/j95y99fzb9,CC BY 4.0,1,Data set_N426WIS_NAQR+EQ5D.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CS_T3-Post,10.5281/zenodo.7393460,https://zenodo.org/records/7393460,cc-by-4.0,1,LONELINESS_Data_CS_T3-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CC-CS_T1-Pre,10.5281/zenodo.7393426,https://zenodo.org/records/7393426,cc-by-4.0,1,LONELINESS_Data_CC-CS_ T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_IC_T1-Post,10.5281/zenodo.7393549,https://zenodo.org/records/7393549,cc-by-4.0,1,LONELINESS_Data_IC_T1-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_IC_T2-Post,10.5281/zenodo.7393569,https://zenodo.org/records/7393569,cc-by-4.0,1,LONELINESS_Data_IC_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_IC_T1-Pre,10.5281/zenodo.7393533,https://zenodo.org/records/7393533,cc-by-4.0,1,LONELINESS_Data_IC_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CC-CS_T2-Post,10.5281/zenodo.7393438,https://zenodo.org/records/7393438,cc-by-4.0,1,LONELINESS_Data_CC-CS_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Dataset questionnaire 75505-7552-75550,10.5281/zenodo.2667331,https://zenodo.org/records/2667331,cc-by-4.0,2,dataset.xls|dataset.sas7bdat,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Jordanian Diabetic Health Literacy Questionnaire,10.5281/zenodo.10812303,https://zenodo.org/records/10812303,cc-by-4.0,1,Data for submission.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Functional Literacy Questionnaire Database,10.5281/zenodo.10696710,https://zenodo.org/records/10696710,cc-by-4.0,1,FLiQ_Database.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Democratic Health Questionnaire (DHQ) Dataset: School Version,10.5281/zenodo.15341219,https://zenodo.org/records/15341219,cc-by-4.0,2,DHQ_Democratic_Health_Questionnaire_Dataset_School_Version_20250307.sav|DHQ_Democratic_Health_Questionnaire_Dataset_School_Version_20250307.csv,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,"Psychosomatic Competence Inventory: a novel self-report measure on interoceptive awareness, cognitive appraisal and conscious self-regulation",10.5281/zenodo.2643228,https://zenodo.org/records/2643228,cc-by-4.0,1,PSCI_fazekas_data_4_archive.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Democratic Health Questionnaire (DHQ) Dataset: Institutions Providing Non-formal Educational Programmes Version,10.5281/zenodo.15349145,https://zenodo.org/records/15349145,cc-by-4.0,2,DHQ_Democratic_Health_Questionnaire_Dataset_Nonformal_Version_20250307.csv|DHQ_Democratic_Health_Questionnaire_Dataset_Nonformal_Version_20250307.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,A brief online transdiagnostic measure: psychometric properties of the Overall Anxiety Severity and Impairment Scale (OASIS) among Spanish patients with emotional disorders,10.5281/zenodo.1295642,https://zenodo.org/records/1295642,cc-by-4.0,1,Database OASIS.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,figshare,<b>Dataset for the Validation of an L2 Student Engagement Scale: Evidence from a Vietnamese Context</b>,10.6084/m9.figshare.30467291.v1,https://figshare.com/articles/dataset/_b_Dataset_for_the_Validation_of_an_L2_Student_Engagement_Scale_Evidence_from_a_Vietnamese_Context_b_/30467291,CC BY 4.0,2,Data_L2 Student Engagement.sav|Data_L2 Student Engagement.xlsx,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CC_T4-Post,10.5281/zenodo.7393713,https://zenodo.org/records/7393713,cc-by-4.0,1,VICTIMIZATION_Data_CC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CC-CS_T1-Pre,10.5281/zenodo.7393653,https://zenodo.org/records/7393653,cc-by-4.0,1,VICTIMIZATION_Data_CC-CS_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_IC_T1-Pre,10.5281/zenodo.7393741,https://zenodo.org/records/7393741,cc-by-4.0,1,VICTIMIZATION_Data_IC_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_IC_T6-Post,10.5281/zenodo.7393795,https://zenodo.org/records/7393795,cc-by-4.0,1,VICTIMIZATION_Data_IC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CS_T3-Post,10.5281/zenodo.7393692,https://zenodo.org/records/7393692,cc-by-4.0,1,VICTIMIZATION_Data_CS_T3-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_IC_T2-Post,10.5281/zenodo.7393759,https://zenodo.org/records/7393759,cc-by-4.0,1,VICTIMIZATION_Data_IC_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CC-CS_T6-Post,10.5281/zenodo.7393729,https://zenodo.org/records/7393729,cc-by-4.0,1,VICTIMIZATION_Data_CC-CS_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_IC_T4-Post,10.5281/zenodo.7393779,https://zenodo.org/records/7393779,cc-by-4.0,1,VICTIMIZATION_Data_IC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CS_T2-Post,10.5281/zenodo.7393675,https://zenodo.org/records/7393675,cc-by-4.0,1,VICTIMIZATION_Data_CS_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Bangla Validation of the Smartphone Addiction Scale and the Academic Underachievement Scale: The Associative Role of Classroom Mindful Attention in the Relationship Between Smartphone Addiction and Underachievement Among Adolescents and Young Adults,10.5281/zenodo.19685114,https://zenodo.org/records/19685114,cc-by-4.0,3,"SA,CMARS, and PAUS Manuscript Combined Data FINAL.sav|SA, CMARS, and PAUS Manuscript Data Adolescents FINAL.sav|SA, CMARS, and PAUS Manuscript Data Young Adults FINAL.sav",title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,A psychometric comparison of four approaches to the Gaming Addiction Scale (GAS),10.5281/zenodo.19811259,https://zenodo.org/records/19811259,cc-by-4.0,1,GAS_data_2026.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,figshare,Risk Factors of Internet Addiction among Internet Users: An Online Questionnaire Survey,10.1371/journal.pone.0137506,https://plos.figshare.com/articles/dataset/_Risk_Factors_of_Internet_Addiction_among_Internet_Users_An_Online_Questionnaire_Survey_/1573219,CC BY 4.0,1,S1 Dataset.SAV,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Anonymized Questionnaire Dataset on Chinese University Administrative Staff's Acceptance Intention of Administrative Artificial Intelligence,10.5281/zenodo.20670480,https://zenodo.org/records/20670480,cc-by-4.0,1,480 PDH 2026 data smartpls MD.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,INSTRUMENT AND DATABASE USED IN THE ARTICLE: Attitudes towards statistics of education Sciences students. Psychometric properties of the Spanish version of the Survey of Attitudes Towards Statistics (SATS-36). http://doi.org/10.7203/relieve.25.1.12676,10.5281/zenodo.10546410,https://zenodo.org/records/10546410,cc-by-4.0,1,DATASET 02 Attitudes towards statistics of education Sciences students...(RELIEVE).sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,figshare,"Questionnaire Data - Religion, Theology and Climate Change",10.48420/30234109.v1,https://figshare.manchester.ac.uk/articles/dataset/Questionnaire_Data_-_Religion_Theology_and_Climate_Change/30234109,CC BY 4.0,1,"Religion, Theology & Climate Change_Questionnaire Data_FINAL.sav",title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,The validity and reliability test of the leprosy life quality questionnaire in leprosy patients,10.5281/zenodo.6817556,https://zenodo.org/records/6817556,cc-by-4.0,2,Analytic Data Revised.xlsx|Validity and reliabilty test.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Stress in Children and Adolescents: Development and Validation of a new Questionnaire to Assess Stress (Open Data and Open Materials),10.5281/zenodo.17159652,https://zenodo.org/records/17159652,cc-by-4.0,2,Hahn_et_al_AEI_R_Data.sav|Hahn_et_al_AEI_SPSS_Data.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,The Age-Friendly Cities and Communities Questionnaire (AFCCQ) - Data collection ITALY 2023,10.5281/zenodo.11084903,https://zenodo.org/records/11084903,cc-by-4.0,1,AFCCQ-IT_dataset.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,figshare,The development and validation of a three-dimensional COVID-19 vaccine hesitancy scale,10.6084/m9.figshare.15090891.v1,https://figshare.com/articles/dataset/The_development_and_validation_of_a_three-dimensional_COVID-19_vaccine_hesitancy_scale/15090891,CC BY 4.0,1,dataset_The development and validation of a three-dimensional COVID-19 vaccine hesitancy scale.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,"Dataset associated with the paper ""The role of listening in digital empathy: a Portuguese adaptation of the Basic Empathy Scale and of the Online Empathy Questionnaire""",10.5281/zenodo.21776225,https://zenodo.org/records/21776225,cc-by-4.0,1,Survey data__1st year_2022_23.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Emotional Quotient Inventory - Young Version / Inventario de Inteligencia Emocional - Versión para niños // EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T4-Post,10.5281/zenodo.7406505,https://zenodo.org/records/7406505,cc-by-4.0,1,EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Emotional Quotient Inventory - Young Version / Inventario de Inteligencia Emocional - Versión para Niños // EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T6-Post,10.5281/zenodo.7406559,https://zenodo.org/records/7406559,cc-by-4.0,1,EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_IC_T1-Pre,10.5281/zenodo.7495440,https://zenodo.org/records/7495440,cc-by-4.0,1,SDQ-T_Data_IC_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_IC_T1-Pre,10.5281/zenodo.7496924,https://zenodo.org/records/7496924,cc-by-4.0,1,SDQ-P_Data_IC_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_CS_T3-Post,10.5281/zenodo.7495423,https://zenodo.org/records/7495423,cc-by-4.0,1,SDQ-T_Data_CS_T3-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_CC-CS_T1-Pre,10.5281/zenodo.7496900,https://zenodo.org/records/7496900,cc-by-4.0,1,SDQ-P_Data_CC-CS_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_CC-CS_T2-Post,10.5281/zenodo.7495413,https://zenodo.org/records/7495413,cc-by-4.0,1,SDQ-T_Data_CC-CS_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_IC_T4-Post,10.5281/zenodo.7495458,https://zenodo.org/records/7495458,cc-by-4.0,1,SDQ-T_Data_IC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_IC_T2-Post,10.5281/zenodo.7496928,https://zenodo.org/records/7496928,cc-by-4.0,1,SDQ-P_Data_IC_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_CC-CS_T1-Pre,10.5281/zenodo.7495406,https://zenodo.org/records/7495406,cc-by-4.0,1,SDQ-T_Data_CC-CS_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_IC_T2-Post,10.5281/zenodo.7495446,https://zenodo.org/records/7495446,cc-by-4.0,1,SDQ-T_Data_IC_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_CC_T4-Post,10.5281/zenodo.7496906,https://zenodo.org/records/7496906,cc-by-4.0,1,SDQ-P_Data_CC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_CC_T4-Post,10.5281/zenodo.7495429,https://zenodo.org/records/7495429,cc-by-4.0,1,SDQ-T_Data_CC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_CC_T6-Post,10.5281/zenodo.7496912,https://zenodo.org/records/7496912,cc-by-4.0,1,SDQ-P_Data_CC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_IC_T4-Post,10.5281/zenodo.7496936,https://zenodo.org/records/7496936,cc-by-4.0,1,SDQ-P_Data_IC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_CC-CS_T2-Post,10.5281/zenodo.7496902,https://zenodo.org/records/7496902,cc-by-4.0,1,SDQ-P_Data_CC-CS_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_CC-CS_T6-Post,10.5281/zenodo.7495436,https://zenodo.org/records/7495436,cc-by-4.0,1,SDQ-T_Data_CC-CS_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Parents / Cuestionario de Capacidades y Dificultades - Padres // SDQ-P_Data_IC_T6-Post,10.5281/zenodo.7496946,https://zenodo.org/records/7496946,cc-by-4.0,1,SDQ-P_Data_IC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Strengths and Difficulties Questionnaire – Teacher / Cuestionario de Capacidades y Dificultades - Profesorado // SDQ-T_Data_IC_T6-Post,10.5281/zenodo.7495464,https://zenodo.org/records/7495464,cc-by-4.0,1,SDQ-T_Data_IC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_CC_T6-Post,10.5281/zenodo.7496981,https://zenodo.org/records/7496981,cc-by-4.0,1,PARENTING_Data_CC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_CC-CS_T1-Pre,10.5281/zenodo.7496971,https://zenodo.org/records/7496971,cc-by-4.0,1,PARENTING_Data_CC-CS_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres / PARENTING_Data_IC_T1-Pre,10.5281/zenodo.7496986,https://zenodo.org/records/7496986,cc-by-4.0,1,PARENTING_Data_IC_T1-Pre.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_IC_T2-Post,10.5281/zenodo.7496992,https://zenodo.org/records/7496992,cc-by-4.0,1,PARENTING_Data_IC_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_CC_T2-Post,10.5281/zenodo.7496977,https://zenodo.org/records/7496977,cc-by-4.0,1,PARENTING_Data_CC_T2-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_CC_T4-Post,10.5281/zenodo.7496979,https://zenodo.org/records/7496979,cc-by-4.0,1,PARENTING_Data_CC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_IC_T4-Post,10.5281/zenodo.7496994,https://zenodo.org/records/7496994,cc-by-4.0,1,PARENTING_Data_IC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_IC_T6-Post,10.5281/zenodo.7497000,https://zenodo.org/records/7497000,cc-by-4.0,1,PARENTING_Data_IC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,figshare,Racial Prejudice Scale Development Dataset_MOF & MKM,10.6084/m9.figshare.32939375.v2,https://figshare.com/articles/dataset/Racial_Prejudice_Scale_Development_Dataset_MOF_MKM/32939375,CC BY 4.0,1,Final data set_RPSC_2020.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,figshare,Data Set (Questionnaire and Interview transcriptions),10.6084/m9.figshare.28013390.v1,https://figshare.com/articles/dataset/Data_Set_Questionnaire_and_Interview_transcriptions_/28013390,CC BY 4.0,3,foreign.xlsx|KEYED-IN DATA.sav|Thai.xlsx,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,11,dataverse,Psychometric Validation of the Mental Toughness Scale (MTS) in Chilean University Athletes,10.7910/dvn/zgeddt,https://doi.org/10.7910/DVN/ZGEDDT,CC0 1.0,1,Base MTS Chilenos_200_nn.sav,title:instrument;file:survey-format;files:tractable;lic:cc0
A,11,surf,Development of the Perceived Synchrony during Sex Questionnaire (PSSQ),10.34894/wnef34,https://doi.org/10.34894/WNEF34,"Our data, or part of the data,  has been set to restrictive because the data is pseudonymous and therefore subject to the EU GDPR privacy regulations. 
According to our policy, the researcher who deposited the data will be informed about the access request. The depositor of the data might contact the requester for further consultation about the (re)use of the data. If the researcher decides to make the data available an agreement needs to be signed. 
If this dataset also contains unrestricted data, a 'cc-zero public domain dedication' applies to these unrestricted data.
",1,PSSQ - August.sav,title:instrument;file:survey-format;files:tractable;lic:cc0
A,11,surf,Questionnaire data for the pilot RCT comparing autonomy-enhancing treatment to a waitlist; VCVGZ project,10.34894/xt2xku,https://doi.org/10.34894/XT2XKU,CC0-1.0,1,RCT_multilevel_file.sav,title:instrument;file:survey-format;files:tractable;lic:cc0
A,10,mendeley,Data for: Psychometric properties of the Chinese version of the Dispositional Greed Scale and a portrait of greedy people,10.17632/csgs546vxy,https://data.mendeley.com/datasets/csgs546vxy,CC BY 4.0,4,Study 1-Sample A-133.sav|Study 1-Sample B-303.sav|Study 2-303.sav|Study 3-309.sav,title:instrument;file:survey-format;files:tractable
A,10,figshare,Measuring COVID-19 health literacy: validation of the COVID-19 HL questionnaire in Spain,10.6084/m9.figshare.31078612.v1,https://figshare.com/articles/dataset/Measuring_COVID-19_health_literacy_validation_of_the_COVID-19_HL_questionnaire_in_Spain/31078612,CC BY 4.0,1,ISCSES_216141_cOla4_20211004.sav,title:instrument;file:survey-format;files:tractable
