table,Rater,Construct Name,Context Text,Item text available?,Age Range,Child Age (for child-focused studies),Sample,Construct type,Measurement tool,Item format,Primary Language(s),Notes,Status,Reason
apaza_2026_meim_r,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'peru'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
apaza_2026_sdo,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'peru'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_bagmsz_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_belirsiz_kac,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_bskdaykontrol_odak,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_gecmis_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_guc_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_ikyoz_yeterlk,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_issahp_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_kazanc_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_kimlik_com,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_kimlik_dar,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_kimlik_miss,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_oz_norm,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_risk_algi,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_risk_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
baka2023_olbi,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
baka2023_bpnsf,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
baekgaard_2023_stress,claude-auto,,,,,,,,,,dan,Primary Language(s) inferred from the study's own biblio row (matched 'danish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
baaziz_2023_sms2,claude-auto,,,,,,,,,,ara,Primary Language(s) inferred from the study's own biblio row (matched 'arabic'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avilesgonzalez2019_ces,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
baekgaard_2023_compliance,claude-auto,,,,,,,,,,dan,Primary Language(s) inferred from the study's own biblio row (matched 'danish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
baka2023_uwes,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
baka2023_jcs,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_urunpazgeloz_yeterlk,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_zorbasetoz_yeterlk,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_sureklgel_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_sansdaykontrol_odak,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
avci_2024_statu_gir_yonel,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
benchelbi_2021_mtq48,claude-auto,,,,,,,,,,ara,Primary Language(s) inferred from the study's own biblio row (matched 'arabic'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
balparda_2021_korq_symptoms,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'colombia'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
balparda_2021_korq_activity_limitation,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'colombia'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
brederecke_2020_phq4,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
brederecke_2020_sis,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chen2022b_socsupport,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chen2022b_selfesteem,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chen2022b_psychabuse,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chen2022_ses,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chen2022_cls,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chen_2019_cdrsc,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chen_2022_sasc,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chinvararak_2021_phq15,claude-auto,,,,,,,,,,tha,Primary Language(s) inferred from the study's own biblio row (matched 'thai'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chinvararak_2021_ylseq,claude-auto,,,,,,,,,,tha,Primary Language(s) inferred from the study's own biblio row (matched 'thai'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chinvararak_2021_bdi,claude-auto,,,,,,,,,,tha,Primary Language(s) inferred from the study's own biblio row (matched 'thai'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chinvararak_2021_ssq,claude-auto,,,,,,,,,,tha,Primary Language(s) inferred from the study's own biblio row (matched 'thai'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
chinvararak_2021_ecr,claude-auto,,,,,,,,,,tha,Primary Language(s) inferred from the study's own biblio row (matched 'thai'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
cosenza_2015_cfc,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
contreras_valdez_2022_bsq,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'mexican'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
contreras_valdez_2022_rses,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'mexican'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
contreras_valdez_2022_edeq,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'mexican'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
daiku_2021_lying_frequency,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dejesus_2017_gpm,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dejesus_2017_sf36,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
daiku_2021_dirty_dozen,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dejesus_2017_lequesne,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
daiku_2021_lie_scale,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dolzdelcastellar_2021_faces,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dopmeijer_2022_sense_belonging,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dopmeijer_2022_loneliness,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dejesus_2017_womac,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dopmeijer_2022_performance_pressure,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dopmeijer_2022_ubos,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dolzdelcastellar_2021_stai,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
dolzdelcastellar_2021_eds,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
divia_2025_tiktok_fomo_shopping,claude-auto,,,,,,,,,,ind,Primary Language(s) inferred from the study's own biblio row (matched 'indonesia'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
emiral_2025_aips,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
estevez_2021_actitu,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
estevez_2021_feepad,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
estevez_2021_feepr,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
estevez_2021_gest,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
estevez_2021_homework_engagement,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
estevez_2021_inter,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
