table,n_id,n_age,min_age,max_age,n_distinct,n_u18,n_a18,share_under_18,n_lt6,n_6_12,n_12_18,verdict,age range,child age,reason
alqerem_2024_diabetic_health_literacy,400,400,6.0,85.0,64,12,388,0.03,0,2,10,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
alkouri_2025_coping,127,124,4.0,1999.0,10,5,119,0.040323,4,1,0,unusable,,,"ages outside [0, 120]: 4.0-1999.0"
alsuhibani_2022_gcbs_extra_s2,1508,1508,18.0,86.0,68,0,1508,0.0,0,0,0,derived,Adult (18+),,
alloubani_2021_stai_trait,181,181,3.0,44.0,17,1,180,0.005525,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.552% (< 2%), so not Mixed"
almuqbil_2022_epds,253,253,18.0,50.0,31,0,253,0.0,0,0,0,derived,Adult (18+),,
alloubani_2021_stai_state,181,181,3.0,44.0,17,1,180,0.005525,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.552% (< 2%), so not Mixed"
alsuhibani_2022_ecrs_s3,638,638,18.0,80.0,62,0,638,0.0,0,0,0,derived,Adult (18+),,
alkhaldi_2023_whoqol_autism,201,201,1.0,3.0,3,201,0,0.0,201,0,0,unusable,,,"looks like banded codes: 3 distinct values, max 3.0"
alkouri_2025_icu_stressors,127,124,4.0,1999.0,10,5,119,0.040323,4,1,0,unusable,,,"ages outside [0, 120]: 4.0-1999.0"
algner2022_uwes,612,612,21.0,67.0,45,0,612,0.0,0,0,0,derived,Adult (18+),,
algner2022_sia,500,500,19.0,69.0,48,0,500,0.0,0,0,0,derived,Adult (18+),,
algner2022_cse,612,612,21.0,67.0,45,0,612,0.0,0,0,0,derived,Adult (18+),,
algner2022_wis,500,500,19.0,69.0,48,0,500,0.0,0,0,0,derived,Adult (18+),,
algner2022_oss,612,612,21.0,67.0,45,0,612,0.0,0,0,0,derived,Adult (18+),,
algner2022_mimi16,612,612,21.0,67.0,45,0,612,0.0,0,0,0,derived,Adult (18+),,
alexandrowicz_2018_cesd,514,514,21.0,66.5506849315069,147,0,514,0.0,0,0,0,derived,Adult (18+),,
algner2022_mimi_pool,500,500,19.0,69.0,48,0,500,0.0,0,0,0,derived,Adult (18+),,
alfort_2023_finger_fx_prom,5504,5504,7.0,97.0,87,233,5271,0.042333,0,3,230,derived,Mixed,Adolescent (12-18y),
alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup,1087,1087,18.0,69.0,52,0,1087,0.0,0,0,0,derived,Adult (18+),,
algner2022_tis,612,612,21.0,67.0,45,0,612,0.0,0,0,0,derived,Adult (18+),,
algner2022_psgbi,500,500,19.0,69.0,48,0,500,0.0,0,0,0,derived,Adult (18+),,
alcoholhealthwarninglabel_brennan_2022_awareness_harms_followup,1087,1087,18.0,69.0,52,0,1087,0.0,0,0,0,derived,Adult (18+),,
alcoholhealthwarninglabel_brennan_2022_intentions_postexposure,1755,1755,18.0,69.0,52,0,1755,0.0,0,0,0,derived,Adult (18+),,
alsyouf_2024_performance_expectancy,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
amarilla_2020_barthel,224,224,66.0,99.0,31,0,224,0.0,0,0,0,derived,Elderly (minimum age >50),,
amarilla_2020_eq5d,224,224,66.0,99.0,31,0,224,0.0,0,0,0,derived,Elderly (minimum age >50),,
amatus_cipora_2024_amas,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
altahla_2024_whoqol,412,189,1.0,5.0,5,189,0,0.0,189,0,0,unusable,,,"looks like banded codes: 5 distinct values, max 5.0"
alsyouf_2024_social_influence,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_openness,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_conscientiousness,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsuhibani_2022_pads_s2,1508,1508,18.0,86.0,68,0,1508,0.0,0,0,0,derived,Adult (18+),,
alsuhibani_2022_pads_s1,449,447,17.0,72.0,49,1,446,0.002237,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.224% (< 2%), so not Mixed"
alsuhibani_2022_sers,2146,2146,18.0,86.0,68,0,2146,0.0,0,0,0,derived,Adult (18+),,
amarilla_2020_sf12,224,224,66.0,99.0,31,0,224,0.0,0,0,0,derived,Elderly (minimum age >50),,
amarilla_2020_lawton_brody,224,224,66.0,99.0,31,0,224,0.0,0,0,0,derived,Elderly (minimum age >50),,
alsyouf_2024_effort_expectancy,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_management_support,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_extraversion,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_neuroticism,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_facilitating_conditions,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
altman_2020_capq,4053,4023,18.0,75.0,58,0,4023,0.0,0,0,0,derived,Adult (18+),,
alsyouf_2024_continuance_intention,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_end_user_support,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_agreeableness,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsuhibani_2022_paranoia_s3,638,638,18.0,80.0,62,0,638,0.0,0,0,0,derived,Adult (18+),,
alsuhibani_2022_npi_s3,638,638,18.0,80.0,62,0,638,0.0,0,0,0,derived,Adult (18+),,
alsuhibani_2022_loc,2570,2568,17.0,86.0,69,1,2567,0.000389,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.039% (< 2%), so not Mixed"
anunciacao_2025_emotional_responsibility,8100,7817,-18090.0,118.0,41,5687,2130,0.272483,94,2317,3276,unusable,,,"ages outside [0, 120]: -18090.0-118.0"
anh_2026_finsocialization,306,306,1.0,4.0,4,306,0,0.0,306,0,0,unusable,,,"looks like banded codes: 4 distinct values, max 4.0"
anunciacao_2025_emotional_relationships,8100,7817,-18090.0,118.0,41,5687,2130,0.272483,94,2317,3276,unusable,,,"ages outside [0, 120]: -18090.0-118.0"
anunciacao_2024_intelligence_gmi,1326,1316,15.0,64.0,47,136,1180,0.103343,0,0,136,derived,Mixed,Adolescent (12-18y),
anjum_2022_gad7,2313,2313,12.0,17.0,6,2313,0,0.0,0,0,2313,derived,Child (<18y),Adolescent (12-18y),
anunciacao_2025_emotional_self-awareness,8100,7817,-18090.0,118.0,41,5687,2130,0.272483,94,2317,3276,unusable,,,"ages outside [0, 120]: -18090.0-118.0"
anunciacao_2025_emotional_management,8100,7817,-18090.0,118.0,41,5687,2130,0.272483,94,2317,3276,unusable,,,"ages outside [0, 120]: -18090.0-118.0"
anh_2026_finbehavior,306,306,1.0,4.0,4,306,0,0.0,306,0,0,unusable,,,"looks like banded codes: 4 distinct values, max 4.0"
amorim_2025_climej_florescimentonotrabalho,1319,1218,2.0,59.0,23,1,1217,0.000821,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.082% (< 2%), so not Mixed"
anh_2026_digitaltrust,306,306,1.0,4.0,4,306,0,0.0,306,0,0,unusable,,,"looks like banded codes: 4 distinct values, max 4.0"
amorim_2025_climej_desenhonotrabalho,1319,1218,2.0,59.0,23,1,1217,0.000821,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.082% (< 2%), so not Mixed"
anh_2026_ai_adoption,306,306,1.0,4.0,4,306,0,0.0,306,0,0,unusable,,,"looks like banded codes: 4 distinct values, max 4.0"
anh_2026_finliteracy,306,306,1.0,4.0,4,306,0,0.0,306,0,0,unusable,,,"looks like banded codes: 4 distinct values, max 4.0"
amorim_2025_climej_suporteorganizacional,1319,1218,2.0,59.0,23,1,1217,0.000821,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.082% (< 2%), so not Mixed"
anh_2026_finwellbeing,306,306,1.0,4.0,4,306,0,0.0,306,0,0,unusable,,,"looks like banded codes: 4 distinct values, max 4.0"
amorim_2025_climej_climej,1319,1218,2.0,59.0,23,1,1217,0.000821,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.082% (< 2%), so not Mixed"
amatus_cipora_2024_bfi_n,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
amatus_cipora_2024_stai,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
amatus_cipora_2024_arithmetic,1102,846,18.0,56.0,25,0,846,0.0,0,0,0,derived,Adult (18+),,
amatus_cipora_2024_gad,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
amatus_cipora_2024_sdq_m,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
amatus_cipora_2024_fsmas_se,258,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
amatus_cipora_2024_sdq_l,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
amatus_cipora_2024_pisa_me,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
amatus_cipora_2024_tai,1106,848,18.0,56.0,25,0,848,0.0,0,0,0,derived,Adult (18+),,
assessment_time_fournier_2025_phq,398,398,18.0,77.0,54,0,398,0.0,0,0,0,derived,Adult (18+),,
assessment_time_fournier_2025_bscs,398,398,18.0,77.0,54,0,398,0.0,0,0,0,derived,Adult (18+),,
assessment_time_fournier_2025_pmpuq,398,398,18.0,77.0,54,0,398,0.0,0,0,0,derived,Adult (18+),,
assessment_time_fournier_2025_gad,398,398,18.0,77.0,54,0,398,0.0,0,0,0,derived,Adult (18+),,
assessment_time_fournier_2025_upps,398,398,18.0,77.0,54,0,398,0.0,0,0,0,derived,Adult (18+),,
arnulf_2022_general_knowledge,398,397,19.0,77.0,50,0,397,0.0,0,0,0,derived,Adult (18+),,
audretsch_2021_entrepreneurial_ecosystems,1849,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
anunciacao_2025_personality_persistence,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_exhibition,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
apaza_2026_self_esteem,356,356,17.0,59.0,28,29,327,0.081461,0,0,29,derived,Mixed,Adolescent (12-18y),
anunciacao_2025_personality_order,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
arnulf_2022_conspiracy_thinking,398,397,19.0,77.0,50,0,397,0.0,0,0,0,derived,Adult (18+),,
anunciacao_2025_personality_dominance,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_autonomy,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_nurturance,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_emotional_social-awareness,8100,7817,-18090.0,118.0,41,5687,2130,0.272483,94,2317,3276,unusable,,,"ages outside [0, 120]: -18090.0-118.0"
apaza_2026_meim_r,356,356,17.0,59.0,28,29,327,0.081461,0,0,29,derived,Mixed,Adolescent (12-18y),
apaza_2026_sdo,356,356,17.0,59.0,28,29,327,0.081461,0,0,29,derived,Mixed,Adolescent (12-18y),
anunciacao_2025_personality_change,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_intraception,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_affiliation,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_aggression,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_achievement,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_deference,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
anunciacao_2025_personality_succorance,272845,272842,0.0,90.0,90,77125,195717,0.282673,73310,38,3777,derived,Mixed,"Early (<6y), Adolescent (12-18y)",
autism_blotner_2025_s1_aq,535,535,18.0,67.0,46,0,535,0.0,0,0,0,derived,Adult (18+),,
autism_blotner_2025_s1_bes,535,535,18.0,67.0,46,0,535,0.0,0,0,0,derived,Adult (18+),,
autism_blotner_2025_s1_tactics,535,535,18.0,67.0,46,0,535,0.0,0,0,0,derived,Adult (18+),,
autism_blotner_2025_s1_views,535,535,18.0,67.0,46,0,535,0.0,0,0,0,derived,Adult (18+),,
autism_blotner_2025_s2_acme,535,535,18.0,71.0,48,0,535,0.0,0,0,0,derived,Adult (18+),,
autism_blotner_2025_s2_aq,535,535,18.0,71.0,48,0,535,0.0,0,0,0,derived,Adult (18+),,
autism_blotner_2025_s2_ffmi,535,535,18.0,71.0,48,0,535,0.0,0,0,0,derived,Adult (18+),,
autism_blotner_2025_s2_qcae,535,535,18.0,71.0,48,0,535,0.0,0,0,0,derived,Adult (18+),,
avci_2024_aktif_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_bagmsz_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_basrmaarzu_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_belirsiz_kac,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_bskdaykontrol_odak,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_gecmis_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_guc_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_ickontrol_odak,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_ikyoz_yeterlk,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_issahp_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_kazanc_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_kimlik_com,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_kimlik_dar,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_kimlik_miss,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_oz_norm,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_risk_algi,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_risk_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
baka2023_olbi,839,836,20.0,71.0,51,0,836,0.0,0,0,0,derived,Adult (18+),,
baekgaard_2023_mastery,2483,2476,20.0,66.0,47,0,2476,0.0,0,0,0,derived,Adult (18+),,
baekgaard_2023_stigma,2474,2467,20.0,66.0,47,0,2467,0.0,0,0,0,derived,Adult (18+),,
avci_2024_yencevolsoz_yeterlk,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
baka2023_bpnsf,839,836,20.0,71.0,51,0,836,0.0,0,0,0,derived,Adult (18+),,
baekgaard_2023_autonomy_loss,2474,2467,20.0,66.0,47,0,2467,0.0,0,0,0,derived,Adult (18+),,
baekgaard_2023_learning,2471,2463,20.0,66.0,47,0,2463,0.0,0,0,0,derived,Adult (18+),,
baekgaard_2023_stress,2475,2468,20.0,66.0,47,0,2468,0.0,0,0,0,derived,Adult (18+),,
avci_2024_zorunluluk_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
baaziz_2023_sms2,780,780,13.0,30.0,18,363,417,0.465385,0,0,363,derived,Mixed,Adolescent (12-18y),
avilesgonzalez2019_ces,215,215,22.0,63.0,40,0,215,0.0,0,0,0,derived,Adult (18+),,
bakker_2020_pss10,402,380,20.0,40.0,15,0,380,0.0,0,0,0,derived,Adult (18+),,
bakker_2020_rses,403,381,20.0,40.0,15,0,381,0.0,0,0,0,derived,Adult (18+),,
baekgaard_2023_compliance,2470,2462,20.0,66.0,47,0,2462,0.0,0,0,0,derived,Adult (18+),,
baka2023_uwes,839,836,20.0,71.0,51,0,836,0.0,0,0,0,derived,Adult (18+),,
balmas2018_leader_attitudes,2166,2163,18.0,82.0,57,0,2163,0.0,0,0,0,derived,Adult (18+),,
baka2023_jcs,839,836,20.0,71.0,51,0,836,0.0,0,0,0,derived,Adult (18+),,
avci_2024_urunpazgeloz_yeterlk,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_toplmfayd_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_zorbasetoz_yeterlk,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_sureklgel_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_tmlamacoz_yeterlk,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_sansdaykontrol_odak,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_yatrmciliskoz_yeterlk,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
avci_2024_statu_gir_yonel,216,216,18.0,73.0,41,0,216,0.0,0,0,0,derived,Adult (18+),,
bilotta_2018_tas20,1362,1362,18.0,73.0,55,0,1362,0.0,0,0,0,derived,Adult (18+),,
biswas_2024_digital_center_quality,332,332,1.0,6.0,6,332,0,0.0,317,15,0,quarantine,,,"starts at 1.0 and covers 6 values up to 6.0: the shape of a band code, not an age"
bitew_2020_anxiety,694,682,18.0,37.0,14,0,682,0.0,0,0,0,derived,Adult (18+),,
bang_2023_depression,37,37,21.0,47.0,23,0,37,0.0,0,0,0,derived,Adult (18+),,
bicb-j_ishiguro_2025,1974,1974,18.0,82.0,63,0,1974,0.0,0,0,0,derived,Adult (18+),,
bartoli_2022_badge_notifications,1009,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
benchelbi_2021_mtq48,853,853,14.0,27.0,14,261,592,0.305979,0,0,261,derived,Mixed,Adolescent (12-18y),
bfi_goldberg_1992_extraversion,19719,19719,13.0,999999999.0,104,3974,15745,0.201532,0,0,3974,unusable,,,"ages outside [0, 120]: 13.0-999999999.0"
bcti21_kay_2025,492,492,18.0,81.0,62,0,492,0.0,0,0,0,derived,Adult (18+),,
bang_2023_self_esteem,37,37,21.0,47.0,23,0,37,0.0,0,0,0,derived,Adult (18+),,
benitezsillero_2021_bullying,1441,1441,12.0355920602327,19.8083504449007,1182,1417,24,0.016655,0,0,1417,derived,Child (<18y),Adolescent (12-18y),"both sides of 18 present but the smaller group is 1.666% (< 2%), so not Mixed"
bfi_goldberg_1992_neuroticism,19719,19719,13.0,999999999.0,104,3974,15745,0.201532,0,0,3974,unusable,,,"ages outside [0, 120]: 13.0-999999999.0"
bfi_goldberg_1992_conscientiousness,19719,19719,13.0,999999999.0,104,3974,15745,0.201532,0,0,3974,unusable,,,"ages outside [0, 120]: 13.0-999999999.0"
bang_2023_health,37,37,21.0,47.0,23,0,37,0.0,0,0,0,derived,Adult (18+),,
bang_2023_parenting_stress,37,37,21.0,47.0,23,0,37,0.0,0,0,0,derived,Adult (18+),,
bfi_goldberg_1992_agreeableness,19719,19719,13.0,999999999.0,104,3974,15745,0.201532,0,0,3974,unusable,,,"ages outside [0, 120]: 13.0-999999999.0"
balparda_2021_korq_symptoms,157,157,6.0,76.0,44,17,140,0.10828,0,2,15,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
bang_2023_anxiety,37,37,21.0,47.0,23,0,37,0.0,0,0,0,derived,Adult (18+),,
balparda_2021_korq_activity_limitation,157,157,6.0,76.0,44,17,140,0.10828,0,2,15,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
balmas2018_leader_personality,2171,2167,3.0,82.0,58,1,2166,0.000461,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.046% (< 2%), so not Mixed"
bilotta_2018_scl90,1361,1361,18.0,73.0,55,0,1361,0.0,0,0,0,derived,Adult (18+),,
bitew_2020_lte,664,653,18.0,37.0,13,0,653,0.0,0,0,0,derived,Adult (18+),,
bitew_2020_osss3,668,656,18.0,37.0,13,0,656,0.0,0,0,0,derived,Adult (18+),,
baumgaertner_2018_vaccine_trust,997,988,18.0,90.0,65,0,988,0.0,0,0,0,derived,Adult (18+),,
bfi_goldberg_1992_openness_to_experience,19719,19719,13.0,999999999.0,104,3974,15745,0.201532,0,0,3974,unusable,,,"ages outside [0, 120]: 13.0-999999999.0"
burnout_assessment_tool_teachers,631,631,13.0,65.0,44,1,630,0.001585,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.158% (< 2%), so not Mixed"
bukurov_2022_comq12,246,246,18.0,77.0,56,0,246,0.0,0,0,0,derived,Adult (18+),,
butt_2022_actual_usage,404,404,1.0,3.0,3,404,0,0.0,404,0,0,unusable,,,"looks like banded codes: 3 distinct values, max 3.0"
butt_2022_institutional_factors,404,404,1.0,3.0,3,404,0,0.0,404,0,0,unusable,,,"looks like banded codes: 3 distinct values, max 3.0"
buzgova_2023_gds,1114,1111,60.0,99.0,35,0,1111,0.0,0,0,0,derived,Elderly (minimum age >50),,
BSCS_fadplus_goto2021,802,802,18.0,80.0,51,0,802,0.0,0,0,0,derived,Adult (18+),,
bitew_2020_phq9,669,657,18.0,37.0,13,0,657,0.0,0,0,0,derived,Adult (18+),,
bled_2021_imagery_phenomenology,119,119,18.0,69.0,41,0,119,0.0,0,0,0,derived,Adult (18+),,
bled_2021_imagery_use,119,119,18.0,69.0,41,0,119,0.0,0,0,0,derived,Adult (18+),,
bukurov_2022_sf36,246,246,18.0,77.0,56,0,246,0.0,0,0,0,derived,Adult (18+),,
butt_2022_task_tech_fit,404,404,1.0,3.0,3,404,0,0.0,404,0,0,unusable,,,"looks like banded codes: 3 distinct values, max 3.0"
brederecke_2020_phq4,1365,1365,16.0,89.0,72,7,1358,0.005128,0,0,7,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.513% (< 2%), so not Mixed"
buzgova_2023_gai,980,977,60.0,99.0,34,0,977,0.0,0,0,0,derived,Elderly (minimum age >50),,
butt_2022_cognitive_absorption,404,404,1.0,3.0,3,404,0,0.0,404,0,0,unusable,,,"looks like banded codes: 3 distinct values, max 3.0"
