table,age range,child age (for child-focused studies),basis,min_age,max_age,n_age,share_under_18,generated
amatus_cipora_2024_sdq_l,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
amatus_cipora_2024_pisa_me,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
amatus_cipora_2024_tai,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
assessment_time_fournier_2025_phq,Adult (18+),,derived_cov_age,18.0,77.0,398,0.0,2026-09-01
assessment_time_fournier_2025_bscs,Adult (18+),,derived_cov_age,18.0,77.0,398,0.0,2026-09-01
assessment_time_fournier_2025_pmpuq,Adult (18+),,derived_cov_age,18.0,77.0,398,0.0,2026-09-01
assessment_time_fournier_2025_gad,Adult (18+),,derived_cov_age,18.0,77.0,398,0.0,2026-09-01
assessment_time_fournier_2025_upps,Adult (18+),,derived_cov_age,18.0,77.0,398,0.0,2026-09-01
arnulf_2022_general_knowledge,Adult (18+),,derived_cov_age,19.0,77.0,397,0.0,2026-09-01
anunciacao_2025_personality_persistence,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_exhibition,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
apaza_2026_self_esteem,Mixed,Adolescent (12-18y),derived_cov_age,17.0,59.0,356,0.081461,2026-09-01
anunciacao_2025_personality_order,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
arnulf_2022_conspiracy_thinking,Adult (18+),,derived_cov_age,19.0,77.0,397,0.0,2026-09-01
anunciacao_2025_personality_dominance,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_autonomy,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_nurturance,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
apaza_2026_meim_r,Mixed,Adolescent (12-18y),derived_cov_age,17.0,59.0,356,0.081461,2026-09-01
apaza_2026_sdo,Mixed,Adolescent (12-18y),derived_cov_age,17.0,59.0,356,0.081461,2026-09-01
anunciacao_2025_personality_change,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_intraception,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_affiliation,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_aggression,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_achievement,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_deference,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
anunciacao_2025_personality_succorance,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,90.0,272842,0.282673,2026-09-01
autism_blotner_2025_s1_aq,Adult (18+),,derived_cov_age,18.0,67.0,535,0.0,2026-09-01
autism_blotner_2025_s1_bes,Adult (18+),,derived_cov_age,18.0,67.0,535,0.0,2026-09-01
autism_blotner_2025_s1_tactics,Adult (18+),,derived_cov_age,18.0,67.0,535,0.0,2026-09-01
autism_blotner_2025_s1_views,Adult (18+),,derived_cov_age,18.0,67.0,535,0.0,2026-09-01
autism_blotner_2025_s2_acme,Adult (18+),,derived_cov_age,18.0,71.0,535,0.0,2026-09-01
autism_blotner_2025_s2_aq,Adult (18+),,derived_cov_age,18.0,71.0,535,0.0,2026-09-01
autism_blotner_2025_s2_ffmi,Adult (18+),,derived_cov_age,18.0,71.0,535,0.0,2026-09-01
autism_blotner_2025_s2_qcae,Adult (18+),,derived_cov_age,18.0,71.0,535,0.0,2026-09-01
avci_2024_aktif_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_bagmsz_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_basrmaarzu_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_belirsiz_kac,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_bskdaykontrol_odak,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_gecmis_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_guc_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_ickontrol_odak,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_ikyoz_yeterlk,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_issahp_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_kazanc_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_kimlik_com,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_kimlik_dar,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_kimlik_miss,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_oz_norm,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_risk_algi,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_risk_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
baka2023_olbi,Adult (18+),,derived_cov_age,20.0,71.0,836,0.0,2026-09-01
baekgaard_2023_mastery,Adult (18+),,derived_cov_age,20.0,66.0,2476,0.0,2026-09-01
baekgaard_2023_stigma,Adult (18+),,derived_cov_age,20.0,66.0,2467,0.0,2026-09-01
avci_2024_yencevolsoz_yeterlk,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
baka2023_bpnsf,Adult (18+),,derived_cov_age,20.0,71.0,836,0.0,2026-09-01
baekgaard_2023_autonomy_loss,Adult (18+),,derived_cov_age,20.0,66.0,2467,0.0,2026-09-01
baekgaard_2023_learning,Adult (18+),,derived_cov_age,20.0,66.0,2463,0.0,2026-09-01
baekgaard_2023_stress,Adult (18+),,derived_cov_age,20.0,66.0,2468,0.0,2026-09-01
avci_2024_zorunluluk_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
baaziz_2023_sms2,Mixed,Adolescent (12-18y),derived_cov_age,13.0,30.0,780,0.465385,2026-09-01
avilesgonzalez2019_ces,Adult (18+),,derived_cov_age,22.0,63.0,215,0.0,2026-09-01
bakker_2020_pss10,Adult (18+),,derived_cov_age,20.0,40.0,380,0.0,2026-09-01
bakker_2020_rses,Adult (18+),,derived_cov_age,20.0,40.0,381,0.0,2026-09-01
baekgaard_2023_compliance,Adult (18+),,derived_cov_age,20.0,66.0,2462,0.0,2026-09-01
baka2023_uwes,Adult (18+),,derived_cov_age,20.0,71.0,836,0.0,2026-09-01
balmas2018_leader_attitudes,Adult (18+),,derived_cov_age,18.0,82.0,2163,0.0,2026-09-01
baka2023_jcs,Adult (18+),,derived_cov_age,20.0,71.0,836,0.0,2026-09-01
avci_2024_urunpazgeloz_yeterlk,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_toplmfayd_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_zorbasetoz_yeterlk,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_sureklgel_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_tmlamacoz_yeterlk,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_sansdaykontrol_odak,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_yatrmciliskoz_yeterlk,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
avci_2024_statu_gir_yonel,Adult (18+),,derived_cov_age,18.0,73.0,216,0.0,2026-09-01
bilotta_2018_tas20,Adult (18+),,derived_cov_age,18.0,73.0,1362,0.0,2026-09-01
bitew_2020_anxiety,Adult (18+),,derived_cov_age,18.0,37.0,682,0.0,2026-09-01
bang_2023_depression,Adult (18+),,derived_cov_age,21.0,47.0,37,0.0,2026-09-01
bicb-j_ishiguro_2025,Adult (18+),,derived_cov_age,18.0,82.0,1974,0.0,2026-09-01
benchelbi_2021_mtq48,Mixed,Adolescent (12-18y),derived_cov_age,14.0,27.0,853,0.305979,2026-09-01
bcti21_kay_2025,Adult (18+),,derived_cov_age,18.0,81.0,492,0.0,2026-09-01
bang_2023_self_esteem,Adult (18+),,derived_cov_age,21.0,47.0,37,0.0,2026-09-01
benitezsillero_2021_bullying,Child (<18y),Adolescent (12-18y),derived_cov_age,12.0355920602327,19.8083504449007,1441,0.016655,2026-09-01
bang_2023_health,Adult (18+),,derived_cov_age,21.0,47.0,37,0.0,2026-09-01
bang_2023_parenting_stress,Adult (18+),,derived_cov_age,21.0,47.0,37,0.0,2026-09-01
balparda_2021_korq_symptoms,Mixed,"Child (6-12y), Adolescent (12-18y)",derived_cov_age,6.0,76.0,157,0.10828,2026-09-01
bang_2023_anxiety,Adult (18+),,derived_cov_age,21.0,47.0,37,0.0,2026-09-01
balparda_2021_korq_activity_limitation,Mixed,"Child (6-12y), Adolescent (12-18y)",derived_cov_age,6.0,76.0,157,0.10828,2026-09-01
balmas2018_leader_personality,Adult (18+),,derived_cov_age,3.0,82.0,2167,0.000461,2026-09-01
bilotta_2018_scl90,Adult (18+),,derived_cov_age,18.0,73.0,1361,0.0,2026-09-01
bitew_2020_lte,Adult (18+),,derived_cov_age,18.0,37.0,653,0.0,2026-09-01
bitew_2020_osss3,Adult (18+),,derived_cov_age,18.0,37.0,656,0.0,2026-09-01
baumgaertner_2018_vaccine_trust,Adult (18+),,derived_cov_age,18.0,90.0,988,0.0,2026-09-01
burnout_assessment_tool_teachers,Adult (18+),,derived_cov_age,13.0,65.0,631,0.001585,2026-09-01
bukurov_2022_comq12,Adult (18+),,derived_cov_age,18.0,77.0,246,0.0,2026-09-01
buzgova_2023_gds,Elderly (minimum age >50),,derived_cov_age,60.0,99.0,1111,0.0,2026-09-01
BSCS_fadplus_goto2021,Adult (18+),,derived_cov_age,18.0,80.0,802,0.0,2026-09-01
bitew_2020_phq9,Adult (18+),,derived_cov_age,18.0,37.0,657,0.0,2026-09-01
bled_2021_imagery_phenomenology,Adult (18+),,derived_cov_age,18.0,69.0,119,0.0,2026-09-01
bled_2021_imagery_use,Adult (18+),,derived_cov_age,18.0,69.0,119,0.0,2026-09-01
bukurov_2022_sf36,Adult (18+),,derived_cov_age,18.0,77.0,246,0.0,2026-09-01
brederecke_2020_phq4,Adult (18+),,derived_cov_age,16.0,89.0,1365,0.005128,2026-09-01
buzgova_2023_gai,Elderly (minimum age >50),,derived_cov_age,60.0,99.0,977,0.0,2026-09-01
brand_raffaelli_2024_familiarity_24,Adult (18+),,derived_cov_age,18.0,83.0,803,0.0,2026-09-01
buczel_2022_inoculation_belief,Adult (18+),,derived_cov_age,18.0,68.0,137,0.0,2026-09-01
brand_raffaelli_2024_liking_24,Adult (18+),,derived_cov_age,18.0,83.0,803,0.0,2026-09-01
brand_raffaelli_2024_recognition_20,Adult (18+),,derived_cov_age,18.0,81.0,576,0.0,2026-09-01
blum_2018_imak_bin,Mixed,"Early (<6y), Adolescent (12-18y)",derived_cov_age,0.0,66.0,317,0.025237,2026-09-01
bitew_2020_self_efficacy,Adult (18+),,derived_cov_age,18.0,37.0,678,0.0,2026-09-01
brand_raffaelli_2024_liking_20,Adult (18+),,derived_cov_age,18.0,81.0,1164,0.0,2026-09-01
brederecke_2020_sis,Adult (18+),,derived_cov_age,16.0,89.0,1367,0.005121,2026-09-01
c19prc_uk_mcbride_2021_family_prelockdown,Adult (18+),,derived_cov_age,18.0,83.0,1074,0.0,2026-09-01
c19prc_uk_mcbride_2021_eds_prepandemic,Adult (18+),,derived_cov_age,18.0,83.0,1166,0.0,2026-09-01
c19prc_uk_mcbride_2021_family_duringlockdown,Adult (18+),,derived_cov_age,18.0,83.0,1074,0.0,2026-09-01
c19prc_uk_mcbride_2021_bfi10,Adult (18+),,derived_cov_age,18.0,92.0,4949,0.0,2026-09-01
c19prc_uk_mcbride_2021_dmq,Adult (18+),,derived_cov_age,18.0,83.0,944,0.0,2026-09-01
c19prc_uk_mcbride_2021_eds_duringpandemic,Adult (18+),,derived_cov_age,18.0,83.0,1166,0.0,2026-09-01
c19prc_uk_mcbride_2021_comfort,Adult (18+),,derived_cov_age,18.0,83.0,1166,0.0,2026-09-01
c19prc_uk_mcbride_2021_crt,Adult (18+),,derived_cov_age,18.0,83.0,2025,0.0,2026-09-01
c19prc_uk_mcbride_2021_dai,Adult (18+),,derived_cov_age,18.0,90.0,2878,0.0,2026-09-01
c19prc_uk_mcbride_2021_facetrust,Adult (18+),,derived_cov_age,18.0,89.0,2983,0.0,2026-09-01
c19prc_uk_mcbride_2021_aq10,Adult (18+),,derived_cov_age,18.0,90.0,1972,0.0,2026-09-01
buzgova_2023_soc,Elderly (minimum age >50),,derived_cov_age,60.0,99.0,1121,0.0,2026-09-01
c19prc_uk_mcbride_2021_childimpact,Adult (18+),,derived_cov_age,18.0,73.0,339,0.0,2026-09-01
c19prc_uk_mcbride_2021_drinkcontext,Adult (18+),,derived_cov_age,18.0,89.0,1762,0.0,2026-09-01
c19prc_uk_mcbride_2021_contacttracingapp,Adult (18+),,derived_cov_age,18.0,83.0,1049,0.0,2026-09-01
c19prc_uk_mcbride_2021_cmq,Adult (18+),,derived_cov_age,18.0,92.0,4621,0.0,2026-09-01
c19prc_uk_mcbride_2021_conservatism,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_eu_identity,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_brs,Adult (18+),,derived_cov_age,18.0,90.0,3406,0.0,2026-09-01
c19prc_uk_mcbride_2021_activity,Adult (18+),,derived_cov_age,18.0,83.0,1406,0.0,2026-09-01
buzgova_2023_qol,Elderly (minimum age >50),,derived_cov_age,60.0,99.0,985,0.0,2026-09-01
c19prc_uk_mcbride_2021_ecr_attachment,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_bces,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
buzgova_2023_rses,Elderly (minimum age >50),,derived_cov_age,60.0,99.0,1118,0.0,2026-09-01
buzgova_2023_lsita,Elderly (minimum age >50),,derived_cov_age,60.0,99.0,1122,0.0,2026-09-01
c19prc_uk_mcbride_2021_minispin,Adult (18+),,derived_cov_age,18.0,83.0,1166,0.0,2026-09-01
c19prc_uk_mcbride_2021_mmos_ss,Adult (18+),,derived_cov_age,18.0,90.0,1972,0.0,2026-09-01
c19prc_uk_mcbride_2021_humanitarianism,Adult (18+),,derived_cov_age,18.0,83.0,1406,0.0,2026-09-01
c19prc_uk_mcbride_2021_iwah,Adult (18+),,derived_cov_age,18.0,83.0,2025,0.0,2026-09-01
c19prc_uk_mcbride_2021_nationalpride,Adult (18+),,derived_cov_age,18.0,89.0,2983,0.0,2026-09-01
c19prc_uk_mcbride_2021_nationalism,Adult (18+),,derived_cov_age,18.0,89.0,2983,0.0,2026-09-01
c19prc_uk_mcbride_2021_gad7,Adult (18+),,derived_cov_age,18.0,92.0,5364,0.0,2026-09-01
c19prc_uk_mcbride_2021_iri,Adult (18+),,derived_cov_age,18.0,92.0,3495,0.0,2026-09-01
c19prc_uk_mcbride_2021_hopefulness,Adult (18+),,derived_cov_age,18.0,92.0,4955,0.0,2026-09-01
c19prc_uk_mcbride_2021_itq,Adult (18+),,derived_cov_age,18.0,92.0,5364,0.0,2026-09-01
c19prc_uk_mcbride_2021_lockdown_contact_behaviours,Adult (18+),,derived_cov_age,18.0,92.0,3155,0.0,2026-09-01
c19prc_uk_mcbride_2021_infosource,Adult (18+),,derived_cov_age,18.0,92.0,4949,0.0,2026-09-01
c19prc_uk_mcbride_2021_homespace,Adult (18+),,derived_cov_age,18.0,83.0,1379,0.0,2026-09-01
c19prc_uk_mcbride_2021_ius12,Adult (18+),,derived_cov_age,18.0,83.0,2025,0.0,2026-09-01
c19prc_uk_mcbride_2021_icd_depression,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_neighbourcomfort,Adult (18+),,derived_cov_age,18.0,92.0,3383,0.0,2026-09-01
c19prc_uk_mcbride_2021_ocir,Adult (18+),,derived_cov_age,18.0,83.0,1406,0.0,2026-09-01
c19prc_uk_mcbride_2021_loc,Adult (18+),,derived_cov_age,18.0,90.0,2878,0.0,2026-09-01
c19prc_uk_mcbride_2021_govsatisfaction,Adult (18+),,derived_cov_age,18.0,83.0,1166,0.0,2026-09-01
c19prc_uk_mcbride_2021_handle_c19,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_loneliness,Adult (18+),,derived_cov_age,18.0,92.0,5364,0.0,2026-09-01
c19prc_uk_mcbride_2021_hygiene,Adult (18+),,derived_cov_age,18.0,83.0,2025,0.0,2026-09-01
c19prc_uk_mcbride_2021_lockdownbehaviour,Adult (18+),,derived_cov_age,18.0,83.0,1622,0.0,2026-09-01
c19prc_uk_mcbride_2021_icd_anxiety,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_mabs,Adult (18+),,derived_cov_age,18.0,92.0,4621,0.0,2026-09-01
c19prc_uk_mcbride_2021_riskreduction_beliefs,Adult (18+),,derived_cov_age,18.0,83.0,2025,0.0,2026-09-01
c19prc_uk_mcbride_2021_quarantine_support,Adult (18+),,derived_cov_age,18.0,83.0,1166,0.0,2026-09-01
c19prc_uk_mcbride_2021_tmsi,Adult (18+),,derived_cov_age,18.0,83.0,1403,0.0,2026-09-01
c19prc_uk_mcbride_2021_wemwbs,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_socialdistance,Adult (18+),,derived_cov_age,18.0,92.0,3383,0.0,2026-09-01
c19prc_uk_mcbride_2021_protective_behaviours,Adult (18+),,derived_cov_age,18.0,92.0,3155,0.0,2026-09-01
c19prc_uk_mcbride_2021_vsa,Adult (18+),,derived_cov_age,18.0,92.0,4621,0.0,2026-09-01
c19prc_uk_mcbride_2021_trustinstitutions,Adult (18+),,derived_cov_age,18.0,92.0,4949,0.0,2026-09-01
c19prc_uk_mcbride_2021_selfharm_suicidality,Adult (18+),,derived_cov_age,18.0,90.0,1808,0.0,2026-09-01
c19prc_uk_mcbride_2021_srgs,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_vaccineattitudes,Adult (18+),,derived_cov_age,18.0,83.0,1405,0.0,2026-09-01
c19prc_uk_mcbride_2021_shs,Adult (18+),,derived_cov_age,18.0,90.0,2019,0.0,2026-09-01
c19prc_uk_mcbride_2021_riskbehaviour_c19,Adult (18+),,derived_cov_age,18.0,90.0,2878,0.0,2026-09-01
c19prc_uk_mcbride_2021_secondwave_restrictions,Adult (18+),,derived_cov_age,18.0,83.0,1166,0.0,2026-09-01
c19prc_uk_mcbride_2021_polarization_covid,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_trustsource,Adult (18+),,derived_cov_age,18.0,92.0,4949,0.0,2026-09-01
c19prc_uk_mcbride_2021_protect,Adult (18+),,derived_cov_age,18.0,83.0,1996,0.0,2026-09-01
c19prc_uk_mcbride_2021_rq,Adult (18+),,derived_cov_age,18.0,90.0,2460,0.0,2026-09-01
c19prc_uk_mcbride_2021_sdo,Adult (18+),,derived_cov_age,18.0,92.0,4621,0.0,2026-09-01
