cbi1,cbi2,cbi3,cbi4,cbi5,cbi6,cbi7,cbi8,cbi9,cbi10,cbi11,cbi12,cbi13,cbi14,cbi15,cbi16,cbi17,cbi18,cbi19,cbi20,cbi21,cbi22,cbi23,cbi24,cbi25,cbi26,cbi27,cbi28,age,gender,study
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,contour
1,1,1,1,2,0,1,0,3,0,0,0,0,2,0,1,0,0,2,3,3,0,2,0,1,1,2,1,21,0,contour
3,1,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,3,0,1,0,1,2,0,2,2,0,18,0,contour
2,1,0,1,2,0,0,0,3,1,0,1,0,1,0,0,1,0,2,0,2,0,2,0,2,2,0,0,19,1,contour
0,1,0,3,0,0,0,0,3,0,2,0,0,0,1,0,0,0,3,1,1,0,1,1,0,3,0,0,19,0,contour
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,18,1,contour
2,3,0,1,0,0,1,1,2,0,1,1,0,3,0,0,0,0,0,1,0,0,1,1,0,1,0,1,19,1,contour
0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,19,0,contour
1,0,2,0,1,0,2,0,2,0,0,0,2,0,1,1,0,0,3,0,1,0,0,1,0,3,3,0,19,0,contour
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,18,0,contour
0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,18,1,contour
3,1,0,0,2,0,1,0,1,0,1,1,0,2,0,0,0,0,1,1,0,0,1,1,0,2,0,0,19,0,contour
0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,19,0,contour
1,0,2,0,3,0,0,0,0,0,1,1,0,2,2,1,3,0,0,0,0,1,3,1,0,3,1,1,19,1,contour
3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,20,1,contour
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,19,0,contour
3,1,0,0,3,3,1,0,0,0,1,1,0,2,1,1,0,2,1,0,1,0,3,0,0,3,3,0,18,1,contour
2,0,0,1,3,3,0,0,0,0,0,0,3,2,0,2,2,1,0,0,1,0,3,1,1,1,2,0,19,1,ESMcreativity
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,2,0,18,1,ESMcreativity
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,19,1,ESMcreativity
3,0,0,0,3,0,3,0,3,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,3,3,0,25,0,ESMcreativity
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,ESMcreativity
0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,18,1,ESMcreativity
2,2,0,0,3,0,0,0,3,0,1,0,0,0,0,1,0,2,2,2,2,1,2,0,0,2,0,2,18,1,ESMcreativity
3,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,3,3,0,0,2,0,0,0,3,0,0,19,1,ESMcreativity
2,2,0,0,1,0,1,0,3,0,0,1,0,3,0,1,0,0,3,3,3,1,2,2,0,3,1,1,21,1,ESMcreativity
1,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,2,1,1,1,0,1,1,0,0,18,1,ESMcreativity
3,0,0,0,3,0,1,0,0,0,1,0,0,1,0,3,0,1,1,0,0,0,1,1,0,3,1,0,18,1,ESMcreativity
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,0,19,1,ESMcreativity
1,1,1,1,1,0,1,1,3,0,0,0,3,1,1,1,0,2,2,3,3,3,1,1,0,3,3,3,18,0,ESMcreativity
1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,2,0,2,1,0,1,0,0,19,1,ESMcreativity
2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,19,1,ESMcreativity
1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,1,0,19,0,ESMcreativity
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,ESMcreativity
1,2,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,3,0,0,0,0,0,0,3,0,0,18,1,ESMcreativity
0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,1,ESMcreativity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,ESMcreativity
2,3,0,1,2,0,1,0,0,0,1,1,0,1,0,0,3,0,0,2,3,0,1,1,0,1,1,1,19,1,ESMcreativity
0,3,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,19,1,ESMcreativity
3,1,0,2,3,1,1,0,0,1,0,0,3,3,0,1,1,0,3,3,1,0,2,0,3,0,1,2,19,1,ESMcreativity
2,1,0,0,2,0,1,0,2,2,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0,2,0,0,19,1,ESMcreativity
1,0,0,0,2,0,0,1,3,0,2,1,2,0,0,1,1,1,3,0,2,1,1,1,0,1,2,3,27,1,ESMcreativity
0,0,1,2,2,1,1,1,2,0,1,3,1,0,0,1,2,0,1,2,2,1,0,1,1,3,3,1,18,1,ESMcreativity
2,0,0,0,0,0,1,0,1,0,3,1,0,2,1,0,2,0,2,0,0,0,3,1,0,3,0,0,19,1,ESMcreativity
3,2,1,2,2,0,1,0,2,0,3,0,1,0,0,0,0,0,1,0,1,3,0,0,3,0,1,0,18,1,ESMcreativity
2,2,0,3,3,0,2,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,3,0,0,1,0,3,18,1,ESMcreativity
0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,22,0,ESMcreativity
1,0,0,1,1,1,0,1,2,0,0,0,1,0,1,1,0,1,0,0,2,2,0,0,0,0,0,1,19,1,ESMcreativity
1,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,1,0,0,18,1,ESMcreativity
1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,2,0,0,2,0,1,19,1,ESMcreativity
1,2,0,0,3,0,0,0,1,0,1,1,2,1,0,1,3,0,1,0,1,1,2,0,0,2,0,0,18,1,ESMcreativity
0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,1,0,0,18,1,ESMcreativity
0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,18,1,ESMcreativity
0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,21,1,ESMcreativity
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,21,1,ESMcreativity
3,1,0,2,1,2,1,1,3,1,2,1,1,1,1,1,3,1,3,3,0,3,2,1,0,3,1,1,21,1,ESMcreativity
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,19,1,ESMcreativity
0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19,1,ESMcreativity
3,2,0,0,3,0,3,0,3,0,1,2,0,1,0,2,0,3,3,2,2,3,2,1,2,3,0,0,18,1,ESMcreativity
3,1,0,0,2,0,0,0,3,0,0,1,0,3,0,2,1,3,1,0,1,0,2,1,0,3,2,2,18,1,ESMcreativity
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0,18,1,ESMcreativity
3,2,0,1,3,0,3,1,0,0,1,1,1,1,0,0,1,1,2,1,0,0,3,1,0,3,1,1,21,1,ESMcreativity
0,3,0,3,1,0,0,0,1,0,0,0,3,1,2,0,0,1,1,0,0,0,2,0,1,2,0,0,20,0,ESMcreativity
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,1,ESMcreativity
2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,1,2,21,1,ESMcreativity
1,1,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,18,0,ESMcreativity
3,3,0,2,0,1,1,0,0,0,1,0,0,0,1,2,0,0,1,2,2,0,2,0,1,2,0,0,19,1,ESMcreativity
0,0,1,1,0,1,2,0,0,0,1,0,1,2,3,3,0,0,0,1,0,0,1,0,2,0,3,1,19,0,ESMcreativity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,1,ESMcreativity
0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,2,0,0,23,1,ESMcreativity
0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18,1,ESMcreativity
0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,1,0,0,18,1,ESMcreativity
1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,1,18,1,ESMcreativity
1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,1,3,0,1,0,0,1,3,0,0,18,1,ESMcreativity
1,2,1,2,2,1,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,2,1,19,1,ESMcreativity
3,2,0,0,0,3,2,0,3,1,0,0,2,3,0,2,0,0,0,1,3,0,0,0,3,3,0,2,21,0,ESMcreativity
3,3,2,3,3,2,3,2,3,1,3,0,3,3,0,3,3,3,3,0,2,3,3,3,3,3,3,3,45,1,ESMcreativity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,ESMcreativity
3,0,0,2,3,1,1,0,2,0,0,1,0,1,0,1,1,0,3,2,1,0,3,0,0,3,2,1,18,1,ESMcreativity
3,2,1,3,2,0,1,0,3,0,1,0,0,0,2,1,3,1,3,2,3,0,0,0,1,3,1,3,19,0,ESMcreativity
2,3,1,1,3,0,1,0,0,0,1,1,0,1,0,2,2,3,0,0,0,0,1,1,1,3,3,1,18,1,ESMcreativity
1,0,0,0,3,0,0,3,1,0,0,0,0,1,0,2,2,0,0,0,0,2,0,1,0,0,0,0,19,1,ESMcreativity
1,1,1,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,2,1,0,2,0,1,1,18,0,ESMcreativity
1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,18,0,ESMcreativity
1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,19,1,ESMcreativity
0,3,0,0,3,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,0,19,1,ESMcreativity
0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,ESMcreativity
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,0,ESMcreativity
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,20,1,ESMcreativity
1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,1,0,1,2,1,22,0,ESMcreativity
3,1,0,0,1,0,2,0,0,0,0,1,2,0,0,3,0,0,2,0,2,3,1,0,0,3,0,0,20,1,ESMcreativity
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,ESMcreativity
0,1,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,18,0,ESMcreativity
2,2,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,3,18,1,ESMcreativity
1,1,1,0,1,0,0,0,0,0,1,1,2,0,2,1,0,2,1,0,0,0,1,0,1,2,1,0,18,1,ESMcreativity
0,3,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,19,1,ESMcreativity
0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,2,0,3,1,3,0,1,0,0,1,18,1,ESMcreativity
2,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,ESMcreativity
0,1,2,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,1,1,1,3,0,0,0,0,0,1,25,0,ESMcreativity
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,18,1,ESMcreativity
1,2,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,18,1,ESMcreativity
0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,1,3,0,1,0,1,0,0,3,0,0,18,0,ESMcreativity
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,3,0,0,1,0,0,20,1,ESMcreativity
2,1,0,1,3,2,1,0,2,0,0,1,0,1,0,3,0,0,1,0,3,3,1,1,0,0,1,0,19,1,ESMcreativity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,ESMcreativity
0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,19,0,ESMcreativity
0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,1,1,3,0,1,0,1,0,0,20,0,ESMcreativity
1,1,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,2,0,0,0,1,0,19,1,ESMcreativity
1,1,0,1,1,0,0,1,2,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,22,1,ESMcreativity
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,21,1,ESMcreativity
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,1,ESMcreativity
0,2,0,1,3,0,0,0,0,1,0,0,0,1,1,0,2,0,3,2,2,0,3,1,1,1,0,1,19,1,ESMcreativity
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,32,0,ESMcreativity
1,1,0,1,1,0,0,1,3,0,0,1,0,3,0,3,0,0,3,3,2,1,1,0,1,1,0,0,18,1,ESMcreativity
1,3,1,0,3,0,1,0,1,0,3,0,1,0,0,1,1,0,1,1,0,1,1,1,0,3,1,3,18,1,ESMcreativity
3,3,0,2,3,0,3,1,1,0,3,3,1,3,1,3,1,3,3,1,2,1,2,3,1,3,2,3,18,1,ESMcreativity
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,18,1,ESMcreativity
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,1,ESMcreativity
2,1,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,2,1,0,2,2,0,1,19,1,ESMcreativity
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,1,3,0,2,20,1,ESMcreativity
1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,18,0,ESMcreativity
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,ESMcreativity
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22,1,ESMcreativity
1,3,0,2,1,1,1,0,1,0,1,0,1,3,0,1,1,1,1,2,2,0,1,1,1,3,0,0,21,1,ESMcreativity
2,2,0,1,1,1,3,0,2,1,0,0,0,0,0,0,0,1,3,3,2,0,3,1,1,1,0,1,18,1,ESMcreativity
3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,20,1,ESMcreativity
3,0,0,0,1,0,0,0,3,1,1,0,0,1,0,1,1,0,3,2,1,0,2,0,2,3,1,1,19,1,ESMcreativity
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,ESMcreativity
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,19,0,ESMcreativity
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,1,0,0,20,1,ESMcreativity
2,0,0,2,2,0,0,1,3,0,3,0,0,1,0,1,0,0,3,3,2,0,0,0,0,1,0,0,19,0,ESMcreativity
3,1,0,0,2,0,0,0,1,0,1,0,0,3,0,0,3,0,0,1,3,0,2,3,0,3,0,2,19,1,JRP
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,18,1,JRP
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,19,0,JRP
3,0,3,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,2,3,0,0,0,0,0,2,3,0,18,0,JRP
3,0,1,3,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,2,1,0,1,0,1,18,1,JRP
1,2,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,3,0,0,0,0,1,0,3,2,1,18,0,JRP
2,3,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,2,0,0,19,1,JRP
1,3,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,3,1,1,0,2,1,0,2,0,0,20,1,JRP
3,3,1,1,3,0,2,0,2,0,3,3,3,1,1,3,3,1,1,2,0,0,3,3,1,3,3,3,18,1,JRP
3,2,0,1,3,0,0,3,3,1,3,0,1,1,0,0,2,0,1,3,3,1,1,0,1,2,1,1,18,1,JRP
0,2,0,1,1,1,3,1,3,0,1,0,3,0,1,2,0,1,0,0,2,2,1,1,0,0,2,0,18,1,JRP
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,JRP
1,3,1,0,1,0,1,3,3,0,2,1,0,1,0,1,1,0,3,3,2,0,3,1,0,3,0,1,20,1,JRP
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,JRP
1,1,0,0,2,1,2,0,3,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,18,0,JRP
2,1,0,0,1,1,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,3,0,0,18,0,JRP
1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,1,0,2,0,0,18,0,JRP
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,1,JRP
0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,2,0,1,3,1,0,2,1,0,0,0,2,19,1,JRP
0,3,0,1,3,0,0,0,3,0,0,0,2,1,0,2,1,1,0,0,0,2,3,0,0,0,0,2,19,1,JRP
0,1,1,1,2,0,0,0,3,0,1,1,2,1,0,2,0,0,3,1,1,1,3,1,0,0,1,1,20,1,JRP
1,1,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,19,1,JRP
0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,1,0,2,1,0,1,18,1,JRP
0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,18,1,JRP
1,2,0,1,3,1,2,0,3,2,2,0,1,0,0,1,3,0,2,3,3,1,1,2,2,3,0,3,19,1,JRP
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,18,1,JRP
0,2,0,3,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,18,1,JRP
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,JRP
0,0,0,1,3,0,0,0,3,0,0,0,0,3,0,0,1,0,0,3,0,3,3,0,0,0,0,1,18,1,JRP
3,3,1,0,0,0,2,1,3,0,1,1,1,1,0,1,3,1,2,3,2,3,3,1,1,3,3,3,18,1,JRP
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,JRP
0,3,0,1,0,1,1,0,2,0,3,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,20,0,JRP
0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,JRP
0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,20,1,JRP
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,JRP
0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,1,JRP
0,3,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,19,1,JRP
0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,3,1,0,0,0,1,1,0,1,0,1,0,46,1,JRP
0,3,0,0,1,1,0,2,3,0,1,0,0,0,0,0,0,1,0,2,3,1,1,0,0,0,0,0,19,1,JRP
1,2,0,1,2,0,0,0,3,1,0,0,3,1,0,0,0,3,3,1,3,0,3,0,3,3,1,1,18,1,JRP
0,3,0,1,3,1,0,0,1,1,0,0,3,0,0,0,1,2,0,0,0,1,2,0,0,0,1,1,19,1,JRP
0,3,0,2,3,0,0,0,2,1,0,1,2,0,0,1,2,2,0,0,1,0,2,0,0,3,1,2,18,1,JRP
0,1,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,JRP
2,1,1,1,2,0,0,0,2,0,2,0,0,1,0,0,0,3,0,3,0,0,2,1,0,2,0,1,18,1,JRP
1,2,0,1,1,0,1,2,3,0,1,0,1,2,0,1,1,0,2,3,3,0,0,1,0,0,0,0,19,1,JRP
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,JRP
1,2,0,1,1,0,3,0,0,0,1,0,1,0,0,3,2,1,3,1,0,0,3,0,0,0,1,0,18,1,JRP
1,3,0,3,2,0,0,0,0,0,2,0,0,1,1,0,1,2,0,0,1,0,3,2,0,1,3,0,18,1,JRP
1,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,2,0,0,18,1,JRP
2,1,0,1,0,0,1,0,3,0,0,0,0,3,0,3,0,0,3,0,3,0,0,1,0,3,1,0,18,1,JRP
0,0,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,18,1,JRP
