cbi1,cbi2,cbi3,cbi4,cbi5,cbi6,cbi7,cbi8,cbi9,cbi10,cbi11,cbi12,cbi13,cbi14,cbi15,cbi16,cbi17,cbi18,cbi19,cbi20,cbi21,cbi22,cbi23,cbi24,cbi25,cbi26,cbi27,cbi28,age,gender,study,id
2,2,0,0,1,0,1,0,3,0,0,1,0,3,0,1,0,0,3,3,3,1,2,2,0,3,1,1,21.0,1,ESMcreativity,student_051
1,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,2,1,1,1,0,1,1,0,0,18.0,1,ESMcreativity,student_052
3,0,0,0,3,0,1,0,0,0,1,0,0,1,0,3,0,1,1,0,0,0,1,1,0,3,1,0,18.0,1,ESMcreativity,student_053
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,0,19.0,1,ESMcreativity,student_054
1,1,1,1,1,0,1,1,3,0,0,0,3,1,1,1,0,2,2,3,3,3,1,1,0,3,3,3,18.0,0,ESMcreativity,student_055
1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,2,0,2,1,0,1,0,0,19.0,1,ESMcreativity,student_056
2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,19.0,1,ESMcreativity,student_057
1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,1,0,19.0,0,ESMcreativity,student_058
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,1,ESMcreativity,student_059
1,2,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,3,0,0,0,0,0,0,3,0,0,18.0,1,ESMcreativity,student_060
0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20.0,1,ESMcreativity,student_061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,ESMcreativity,student_062
2,3,0,1,2,0,1,0,0,0,1,1,0,1,0,0,3,0,0,2,3,0,1,1,0,1,1,1,19.0,1,ESMcreativity,student_063
0,3,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,19.0,1,ESMcreativity,student_064
3,1,0,2,3,1,1,0,0,1,0,0,3,3,0,1,1,0,3,3,1,0,2,0,3,0,1,2,19.0,1,ESMcreativity,student_065
2,1,0,0,2,0,1,0,2,2,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0,2,0,0,19.0,1,ESMcreativity,student_066
1,0,0,0,2,0,0,1,3,0,2,1,2,0,0,1,1,1,3,0,2,1,1,1,0,1,2,3,27.0,1,ESMcreativity,student_067
0,0,1,2,2,1,1,1,2,0,1,3,1,0,0,1,2,0,1,2,2,1,0,1,1,3,3,1,18.0,1,ESMcreativity,student_068
2,0,0,0,0,0,1,0,1,0,3,1,0,2,1,0,2,0,2,0,0,0,3,1,0,3,0,0,19.0,1,ESMcreativity,student_069
3,2,1,2,2,0,1,0,2,0,3,0,1,0,0,0,0,0,1,0,1,3,0,0,3,0,1,0,18.0,1,ESMcreativity,student_070
2,2,0,3,3,0,2,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,3,0,0,1,0,3,18.0,1,ESMcreativity,student_071
0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,22.0,0,ESMcreativity,student_072
1,0,0,1,1,1,0,1,2,0,0,0,1,0,1,1,0,1,0,0,2,2,0,0,0,0,0,1,19.0,1,ESMcreativity,student_073
1,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,1,0,0,18.0,1,ESMcreativity,student_074
1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,2,0,0,2,0,1,19.0,1,ESMcreativity,student_075
1,2,0,0,3,0,0,0,1,0,1,1,2,1,0,1,3,0,1,0,1,1,2,0,0,2,0,0,18.0,1,ESMcreativity,student_076
0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,1,0,0,18.0,1,ESMcreativity,student_077
0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,18.0,1,ESMcreativity,student_078
0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,21.0,1,ESMcreativity,student_079
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,21.0,1,ESMcreativity,student_080
3,1,0,2,1,2,1,1,3,1,2,1,1,1,1,1,3,1,3,3,0,3,2,1,0,3,1,1,21.0,1,ESMcreativity,student_081
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,19.0,1,ESMcreativity,student_082
0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19.0,1,ESMcreativity,student_083
3,2,0,0,3,0,3,0,3,0,1,2,0,1,0,2,0,3,3,2,2,3,2,1,2,3,0,0,18.0,1,ESMcreativity,student_084
3,1,0,0,2,0,0,0,3,0,0,1,0,3,0,2,1,3,1,0,1,0,2,1,0,3,2,2,18.0,1,ESMcreativity,student_085
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0,18.0,1,ESMcreativity,student_086
3,2,0,1,3,0,3,1,0,0,1,1,1,1,0,0,1,1,2,1,0,0,3,1,0,3,1,1,21.0,1,ESMcreativity,student_087
0,3,0,3,1,0,0,0,1,0,0,0,3,1,2,0,0,1,1,0,0,0,2,0,1,2,0,0,20.0,0,ESMcreativity,student_088
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.0,1,ESMcreativity,student_089
2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,1,2,21.0,1,ESMcreativity,student_090
1,1,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,18.0,0,ESMcreativity,student_091
3,3,0,2,0,1,1,0,0,0,1,0,0,0,1,2,0,0,1,2,2,0,2,0,1,2,0,0,19.0,1,ESMcreativity,student_092
0,0,1,1,0,1,2,0,0,0,1,0,1,2,3,3,0,0,0,1,0,0,1,0,2,0,3,1,19.0,0,ESMcreativity,student_093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18.0,1,ESMcreativity,student_094
0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,2,0,0,23.0,1,ESMcreativity,student_095
0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.0,1,ESMcreativity,student_096
0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,1,0,0,18.0,1,ESMcreativity,student_097
1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,1,18.0,1,ESMcreativity,student_098
1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,1,3,0,1,0,0,1,3,0,0,18.0,1,ESMcreativity,student_099
1,2,1,2,2,1,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,2,1,19.0,1,ESMcreativity,student_100
3,2,0,0,0,3,2,0,3,1,0,0,2,3,0,2,0,0,0,1,3,0,0,0,3,3,0,2,21.0,0,ESMcreativity,student_101
3,3,2,3,3,2,3,2,3,1,3,0,3,3,0,3,3,3,3,0,2,3,3,3,3,3,3,3,45.0,1,ESMcreativity,student_102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,ESMcreativity,student_103
3,0,0,2,3,1,1,0,2,0,0,1,0,1,0,1,1,0,3,2,1,0,3,0,0,3,2,1,18.0,1,ESMcreativity,student_104
3,2,1,3,2,0,1,0,3,0,1,0,0,0,2,1,3,1,3,2,3,0,0,0,1,3,1,3,19.0,0,ESMcreativity,student_105
2,3,1,1,3,0,1,0,0,0,1,1,0,1,0,2,2,3,0,0,0,0,1,1,1,3,3,1,18.0,1,ESMcreativity,student_106
1,0,0,0,3,0,0,3,1,0,0,0,0,1,0,2,2,0,0,0,0,2,0,1,0,0,0,0,19.0,1,ESMcreativity,student_107
1,1,1,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,2,1,0,2,0,1,1,18.0,0,ESMcreativity,student_108
1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,18.0,0,ESMcreativity,student_109
1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,19.0,1,ESMcreativity,student_110
0,3,0,0,3,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,0,19.0,1,ESMcreativity,student_111
0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20.0,0,ESMcreativity,student_112
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19.0,0,ESMcreativity,student_113
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,20.0,1,ESMcreativity,student_114
1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,1,0,1,2,1,22.0,0,ESMcreativity,student_115
3,1,0,0,1,0,2,0,0,0,0,1,2,0,0,3,0,0,2,0,2,3,1,0,0,3,0,0,20.0,1,ESMcreativity,student_116
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,ESMcreativity,student_117
0,1,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,18.0,0,ESMcreativity,student_118
2,2,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,3,18.0,1,ESMcreativity,student_119
1,1,1,0,1,0,0,0,0,0,1,1,2,0,2,1,0,2,1,0,0,0,1,0,1,2,1,0,18.0,1,ESMcreativity,student_120
0,3,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,19.0,1,ESMcreativity,student_121
0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,2,0,3,1,3,0,1,0,0,1,18.0,1,ESMcreativity,student_122
2,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.0,0,ESMcreativity,student_123
0,1,2,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,1,1,1,3,0,0,0,0,0,1,25.0,0,ESMcreativity,student_124
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,18.0,1,ESMcreativity,student_125
1,2,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,18.0,1,ESMcreativity,student_126
0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,1,3,0,1,0,1,0,0,3,0,0,18.0,0,ESMcreativity,student_127
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,3,0,0,1,0,0,20.0,1,ESMcreativity,student_128
2,1,0,1,3,2,1,0,2,0,0,1,0,1,0,3,0,0,1,0,3,3,1,1,0,0,1,0,19.0,1,ESMcreativity,student_129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,ESMcreativity,student_130
0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,19.0,0,ESMcreativity,student_131
0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,1,1,3,0,1,0,1,0,0,20.0,0,ESMcreativity,student_132
1,1,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,2,0,0,0,1,0,19.0,1,ESMcreativity,student_133
1,1,0,1,1,0,0,1,2,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,22.0,1,ESMcreativity,student_134
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,21.0,1,ESMcreativity,student_135
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18.0,1,ESMcreativity,student_136
0,2,0,1,3,0,0,0,0,1,0,0,0,1,1,0,2,0,3,2,2,0,3,1,1,1,0,1,19.0,1,ESMcreativity,student_137
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,32.0,0,ESMcreativity,student_138
1,1,0,1,1,0,0,1,3,0,0,1,0,3,0,3,0,0,3,3,2,1,1,0,1,1,0,0,18.0,1,ESMcreativity,student_139
1,3,1,0,3,0,1,0,1,0,3,0,1,0,0,1,1,0,1,1,0,1,1,1,0,3,1,3,18.0,1,ESMcreativity,student_140
3,3,0,2,3,0,3,1,1,0,3,3,1,3,1,3,1,3,3,1,2,1,2,3,1,3,2,3,18.0,1,ESMcreativity,student_141
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,18.0,1,ESMcreativity,student_142
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20.0,1,ESMcreativity,student_143
2,1,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,2,1,0,2,2,0,1,19.0,1,ESMcreativity,student_144
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,1,3,0,2,20.0,1,ESMcreativity,student_145
1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,18.0,0,ESMcreativity,student_146
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.0,1,ESMcreativity,student_147
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22.0,1,ESMcreativity,student_148
1,3,0,2,1,1,1,0,1,0,1,0,1,3,0,1,1,1,1,2,2,0,1,1,1,3,0,0,21.0,1,ESMcreativity,student_149
2,2,0,1,1,1,3,0,2,1,0,0,0,0,0,0,0,1,3,3,2,0,3,1,1,1,0,1,18.0,1,ESMcreativity,student_150
3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,20.0,1,ESMcreativity,student_151
3,0,0,0,1,0,0,0,3,1,1,0,0,1,0,1,1,0,3,2,1,0,2,0,2,3,1,1,19.0,1,ESMcreativity,student_152
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,1,ESMcreativity,student_153
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,19.0,0,ESMcreativity,student_154
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,1,0,0,20.0,1,ESMcreativity,student_155
2,0,0,2,2,0,0,1,3,0,3,0,0,1,0,1,0,0,3,3,2,0,0,0,0,1,0,0,19.0,0,ESMcreativity,student_156
3,1,0,0,2,0,0,0,1,0,1,0,0,3,0,0,3,0,0,1,3,0,2,3,0,3,0,2,19.0,1,JRP,student_157
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,18.0,1,JRP,student_158
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,19.0,0,JRP,student_159
3,0,3,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,2,3,0,0,0,0,0,2,3,0,18.0,0,JRP,student_160
3,0,1,3,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,2,1,0,1,0,1,18.0,1,JRP,student_161
1,2,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,3,0,0,0,0,1,0,3,2,1,18.0,0,JRP,student_162
2,3,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,2,0,0,19.0,1,JRP,student_163
1,3,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,3,1,1,0,2,1,0,2,0,0,20.0,1,JRP,student_164
3,3,1,1,3,0,2,0,2,0,3,3,3,1,1,3,3,1,1,2,0,0,3,3,1,3,3,3,18.0,1,JRP,student_165
3,2,0,1,3,0,0,3,3,1,3,0,1,1,0,0,2,0,1,3,3,1,1,0,1,2,1,1,18.0,1,JRP,student_166
0,2,0,1,1,1,3,1,3,0,1,0,3,0,1,2,0,1,0,0,2,2,1,1,0,0,2,0,18.0,1,JRP,student_167
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.0,0,JRP,student_168
1,3,1,0,1,0,1,3,3,0,2,1,0,1,0,1,1,0,3,3,2,0,3,1,0,3,0,1,20.0,1,JRP,student_169
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,JRP,student_170
1,1,0,0,2,1,2,0,3,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,18.0,0,JRP,student_171
2,1,0,0,1,1,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,3,0,0,18.0,0,JRP,student_172
1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,1,0,2,0,0,18.0,0,JRP,student_173
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18.0,1,JRP,student_174
0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,2,0,1,3,1,0,2,1,0,0,0,2,19.0,1,JRP,student_175
0,3,0,1,3,0,0,0,3,0,0,0,2,1,0,2,1,1,0,0,0,2,3,0,0,0,0,2,19.0,1,JRP,student_176
0,1,1,1,2,0,0,0,3,0,1,1,2,1,0,2,0,0,3,1,1,1,3,1,0,0,1,1,20.0,1,JRP,student_177
1,1,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,19.0,1,JRP,student_178
0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,1,0,2,1,0,1,18.0,1,JRP,student_179
0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,18.0,1,JRP,student_180
1,2,0,1,3,1,2,0,3,2,2,0,1,0,0,1,3,0,2,3,3,1,1,2,2,3,0,3,19.0,1,JRP,student_181
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,18.0,1,JRP,student_182
0,2,0,3,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,18.0,1,JRP,student_183
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0,1,JRP,student_184
0,0,0,1,3,0,0,0,3,0,0,0,0,3,0,0,1,0,0,3,0,3,3,0,0,0,0,1,18.0,1,JRP,student_185
3,3,1,0,0,0,2,1,3,0,1,1,1,1,0,1,3,1,2,3,2,3,3,1,1,3,3,3,18.0,1,JRP,student_186
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,JRP,student_187
0,3,0,1,0,1,1,0,2,0,3,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,20.0,0,JRP,student_188
0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0,1,JRP,student_189
