"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_3","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人の歴史の大部分は偶然の出来事の積み重ねである","Chance events seem to be the major cause of human history.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_3","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人の歴史の大部分は偶然の出来事の積み重ねである","Chance events seem to be the major cause of human history.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_3","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人の歴史の大部分は偶然の出来事の積み重ねである","Chance events seem to be the major cause of human history.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_3","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人の歴史の大部分は偶然の出来事の積み重ねである","Chance events seem to be the major cause of human history.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_3","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人の歴史の大部分は偶然の出来事の積み重ねである","Chance events seem to be the major cause of human history.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_4","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分の意志で決定を下すことができる","People have complete control over the decisions they make.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_4","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分の意志で決定を下すことができる","People have complete control over the decisions they make.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_4","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分の意志で決定を下すことができる","People have complete control over the decisions they make.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_4","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分の意志で決定を下すことができる","People have complete control over the decisions they make.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_4","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分の意志で決定を下すことができる","People have complete control over the decisions they make.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_5","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","どんなに努力しても、自分の運命は変えられない","No matter how hard you try, you can't change your destiny.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_5","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","どんなに努力しても、自分の運命は変えられない","No matter how hard you try, you can't change your destiny.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_5","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","どんなに努力しても、自分の運命は変えられない","No matter how hard you try, you can't change your destiny.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_5","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","どんなに努力しても、自分の運命は変えられない","No matter how hard you try, you can't change your destiny.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_5","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","どんなに努力しても、自分の運命は変えられない","No matter how hard you try, you can't change your destiny.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_6","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","心理学者や精神科医はやがて人のふるまいの全てを解明するだろう","Psychologists and psychiatrists will eventually figure out all human behvior.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_6","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","心理学者や精神科医はやがて人のふるまいの全てを解明するだろう","Psychologists and psychiatrists will eventually figure out all human behvior.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_6","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","心理学者や精神科医はやがて人のふるまいの全てを解明するだろう","Psychologists and psychiatrists will eventually figure out all human behvior.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_6","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","心理学者や精神科医はやがて人のふるまいの全てを解明するだろう","Psychologists and psychiatrists will eventually figure out all human behvior.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_6","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","心理学者や精神科医はやがて人のふるまいの全てを解明するだろう","Psychologists and psychiatrists will eventually figure out all human behvior.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_7","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","誰もこれから起こることを予測できない","No one can predict what will happen in this world.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_7","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","誰もこれから起こることを予測できない","No one can predict what will happen in this world.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_7","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","誰もこれから起こることを予測できない","No one can predict what will happen in this world.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_7","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","誰もこれから起こることを予測できない","No one can predict what will happen in this world.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_7","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","誰もこれから起こることを予測できない","No one can predict what will happen in this world.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_8","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分が下した誤った選択に対しては、一切の責任を負わなくてはならない","People must take full responsibility for any bad choices they make.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_8","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分が下した誤った選択に対しては、一切の責任を負わなくてはならない","People must take full responsibility for any bad choices they make.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_8","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分が下した誤った選択に対しては、一切の責任を負わなくてはならない","People must take full responsibility for any bad choices they make.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_8","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分が下した誤った選択に対しては、一切の責任を負わなくてはならない","People must take full responsibility for any bad choices they make.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_8","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は自分が下した誤った選択に対しては、一切の責任を負わなくてはならない","People must take full responsibility for any bad choices they make.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_9","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","全ての人の人生は、最初から運命によって決められている","Fate already has a plan for everyone.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_9","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","全ての人の人生は、最初から運命によって決められている","Fate already has a plan for everyone.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_9","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","全ての人の人生は、最初から運命によって決められている","Fate already has a plan for everyone.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_9","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","全ての人の人生は、最初から運命によって決められている","Fate already has a plan for everyone.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_9","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","全ての人の人生は、最初から運命によって決められている","Fate already has a plan for everyone.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_10","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","自分の将来は、遺伝子によって決められている","Your genes determine your future.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_10","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","自分の将来は、遺伝子によって決められている","Your genes determine your future.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_10","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","自分の将来は、遺伝子によって決められている","Your genes determine your future.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_10","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","自分の将来は、遺伝子によって決められている","Your genes determine your future.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_10","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","自分の将来は、遺伝子によって決められている","Your genes determine your future.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_11","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","サイコロの目やコイントスのように、人生は予測できない","Life seems unpredictable - just like throwing dice or flipping a coin.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_11","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","サイコロの目やコイントスのように、人生は予測できない","Life seems unpredictable - just like throwing dice or flipping a coin.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_11","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","サイコロの目やコイントスのように、人生は予測できない","Life seems unpredictable - just like throwing dice or flipping a coin.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_11","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","サイコロの目やコイントスのように、人生は予測できない","Life seems unpredictable - just like throwing dice or flipping a coin.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_11","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","サイコロの目やコイントスのように、人生は予測できない","Life seems unpredictable - just like throwing dice or flipping a coin.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_12","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は心から望めば、どんな障害でも乗り越えられる","People can overcome any obstacles if they truly want to.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_12","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は心から望めば、どんな障害でも乗り越えられる","People can overcome any obstacles if they truly want to.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_12","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は心から望めば、どんな障害でも乗り越えられる","People can overcome any obstacles if they truly want to.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_12","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は心から望めば、どんな障害でも乗り越えられる","People can overcome any obstacles if they truly want to.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_12","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","人は心から望めば、どんな障害でも乗り越えられる","People can overcome any obstacles if they truly want to.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_13","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","物事はなるようにしかならず、自分にできることは少ない","Whatever will be, will be - there's not much you can do about it.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_13","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","物事はなるようにしかならず、自分にできることは少ない","Whatever will be, will be - there's not much you can do about it.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_13","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","物事はなるようにしかならず、自分にできることは少ない","Whatever will be, will be - there's not much you can do about it.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_13","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","物事はなるようにしかならず、自分にできることは少ない","Whatever will be, will be - there's not much you can do about it.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_13","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","物事はなるようにしかならず、自分にできることは少ない","Whatever will be, will be - there's not much you can do about it.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_14","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","過去の経験がどのように現在の自分の知性や性格を形作ってきたかを、科学は示してくれる","Science has shown how your past environment created your current intelligence and personality.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_14","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","過去の経験がどのように現在の自分の知性や性格を形作ってきたかを、科学は示してくれる","Science has shown how your past environment created your current intelligence and personality.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_14","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","過去の経験がどのように現在の自分の知性や性格を形作ってきたかを、科学は示してくれる","Science has shown how your past environment created your current intelligence and personality.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_14","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","過去の経験がどのように現在の自分の知性や性格を形作ってきたかを、科学は示してくれる","Science has shown how your past environment created your current intelligence and personality.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_14","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","過去の経験がどのように現在の自分の知性や性格を形作ってきたかを、科学は示してくれる","Science has shown how your past environment created your current intelligence and personality.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_15","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人は誰しも予測できないようなふるまいをする","People are unpredictable.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_15","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人は誰しも予測できないようなふるまいをする","People are unpredictable.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_15","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人は誰しも予測できないようなふるまいをする","People are unpredictable.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_15","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人は誰しも予測できないようなふるまいをする","People are unpredictable.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G4","FAD_G_15","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Unpredictability","人は誰しも予測できないようなふるまいをする","People are unpredictable.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_16","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","犯罪者には自分の行った悪事に対する、全面的な責任がある","Criminals are totally responsible for the bad things they do.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_16","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","犯罪者には自分の行った悪事に対する、全面的な責任がある","Criminals are totally responsible for the bad things they do.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_16","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","犯罪者には自分の行った悪事に対する、全面的な責任がある","Criminals are totally responsible for the bad things they do.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_16","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","犯罪者には自分の行った悪事に対する、全面的な責任がある","Criminals are totally responsible for the bad things they do.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G1","FAD_G_16","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Free Will","犯罪者には自分の行った悪事に対する、全面的な責任がある","Criminals are totally responsible for the bad things they do.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_17","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","その考え方が好きかどうかは別として、人生は説明できない力に動かされているように思う","Whether people like it or not, mysterious forces seem to move their lives.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_17","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","その考え方が好きかどうかは別として、人生は説明できない力に動かされているように思う","Whether people like it or not, mysterious forces seem to move their lives.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_17","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","その考え方が好きかどうかは別として、人生は説明できない力に動かされているように思う","Whether people like it or not, mysterious forces seem to move their lives.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_17","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","その考え方が好きかどうかは別として、人生は説明できない力に動かされているように思う","Whether people like it or not, mysterious forces seem to move their lives.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_17","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","その考え方が好きかどうかは別として、人生は説明できない力に動かされているように思う","Whether people like it or not, mysterious forces seem to move their lives.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_18","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人間の行動は他の動物たちと同じように、いつも自然の摂理に従っている","As with other animals, human behavior always follows the laws of nature.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_18","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人間の行動は他の動物たちと同じように、いつも自然の摂理に従っている","As with other animals, human behavior always follows the laws of nature.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_18","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人間の行動は他の動物たちと同じように、いつも自然の摂理に従っている","As with other animals, human behavior always follows the laws of nature.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_18","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人間の行動は他の動物たちと同じように、いつも自然の摂理に従っている","As with other animals, human behavior always follows the laws of nature.",NA,NA,NA,4,"Japanese"
