"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","raw_resp","language"
"gilbert_meta_112","gilbert_meta_112_1","item_4","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Verbind elk begrip met de juiste uitspraak.","Match each concept with the correct statement.",NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_4","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Verbind elk begrip met de juiste uitspraak.","Match each concept with the correct statement.",NA,NA,NA,1,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_5","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke persoon oefent de grootste kracht uit?","Which person exerts the greatest force?",NA,"Persoon A","Person A",NA,"Persoon A","Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_5","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke persoon oefent de grootste kracht uit?","Which person exerts the greatest force?",NA,"Persoon B","Person B",NA,"Persoon B","Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_5","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke persoon oefent de grootste kracht uit?","Which person exerts the greatest force?",NA,"De kracht is even groot","The force is equally large",NA,"De kracht is even groot","Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_5","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke persoon oefent de grootste kracht uit?","Which person exerts the greatest force?",NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_5","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke persoon oefent de grootste kracht uit?","Which person exerts the greatest force?",NA,NA,NA,1,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_6","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_6","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,1,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_7","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_7","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,1,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_8","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_8","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,1,NA,"Dutch"
