"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","wording_rights","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"extremera_2016_shs","extremera_2016_shs_1","shs3","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy felices. Disfrutan la vida a pesar de lo que ocurra, afrontando la mayoría de las cosas. ¿En qué medida te consideras una persona así?",NA,"Nada en absoluto","NC",1,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally very happy. They enjoy life regardless of what happens, coping with most things. To what extent do you consider yourself such a person?","Not at all"
"extremera_2016_shs","extremera_2016_shs_1","shs3","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy felices. Disfrutan la vida a pesar de lo que ocurra, afrontando la mayoría de las cosas. ¿En qué medida te consideras una persona así?",NA,NA,"NC",2,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally very happy. They enjoy life regardless of what happens, coping with most things. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs3","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy felices. Disfrutan la vida a pesar de lo que ocurra, afrontando la mayoría de las cosas. ¿En qué medida te consideras una persona así?",NA,NA,"NC",3,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally very happy. They enjoy life regardless of what happens, coping with most things. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs3","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy felices. Disfrutan la vida a pesar de lo que ocurra, afrontando la mayoría de las cosas. ¿En qué medida te consideras una persona así?",NA,NA,"NC",4,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally very happy. They enjoy life regardless of what happens, coping with most things. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs3","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy felices. Disfrutan la vida a pesar de lo que ocurra, afrontando la mayoría de las cosas. ¿En qué medida te consideras una persona así?",NA,NA,"NC",5,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally very happy. They enjoy life regardless of what happens, coping with most things. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs3","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy felices. Disfrutan la vida a pesar de lo que ocurra, afrontando la mayoría de las cosas. ¿En qué medida te consideras una persona así?",NA,NA,"NC",6,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally very happy. They enjoy life regardless of what happens, coping with most things. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs3","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy felices. Disfrutan la vida a pesar de lo que ocurra, afrontando la mayoría de las cosas. ¿En qué medida te consideras una persona así?",NA,"En gran medida","NC",7,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally very happy. They enjoy life regardless of what happens, coping with most things. To what extent do you consider yourself such a person?","To a great extent"
"extremera_2016_shs","extremera_2016_shs_1","shs4","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy poco felices. Aunque no están deprimidas, no parecen tan felices como ellas quisieran. ¿En qué medida te consideras una persona así?",NA,"Nada en absoluto","NC",1,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally not very happy. Although they are not depressed, they do not seem as happy as they would like to be. To what extent do you consider yourself such a person?","Not at all"
"extremera_2016_shs","extremera_2016_shs_1","shs4","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy poco felices. Aunque no están deprimidas, no parecen tan felices como ellas quisieran. ¿En qué medida te consideras una persona así?",NA,NA,"NC",2,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally not very happy. Although they are not depressed, they do not seem as happy as they would like to be. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs4","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy poco felices. Aunque no están deprimidas, no parecen tan felices como ellas quisieran. ¿En qué medida te consideras una persona así?",NA,NA,"NC",3,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally not very happy. Although they are not depressed, they do not seem as happy as they would like to be. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs4","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy poco felices. Aunque no están deprimidas, no parecen tan felices como ellas quisieran. ¿En qué medida te consideras una persona así?",NA,NA,"NC",4,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally not very happy. Although they are not depressed, they do not seem as happy as they would like to be. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs4","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy poco felices. Aunque no están deprimidas, no parecen tan felices como ellas quisieran. ¿En qué medida te consideras una persona así?",NA,NA,"NC",5,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally not very happy. Although they are not depressed, they do not seem as happy as they would like to be. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs4","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy poco felices. Aunque no están deprimidas, no parecen tan felices como ellas quisieran. ¿En qué medida te consideras una persona así?",NA,NA,"NC",6,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally not very happy. Although they are not depressed, they do not seem as happy as they would like to be. To what extent do you consider yourself such a person?",NA
"extremera_2016_shs","extremera_2016_shs_1","shs4","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Algunas personas suelen ser muy poco felices. Aunque no están deprimidas, no parecen tan felices como ellas quisieran. ¿En qué medida te consideras una persona así?",NA,"En gran medida","NC",7,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Some people are generally not very happy. Although they are not depressed, they do not seem as happy as they would like to be. To what extent do you consider yourself such a person?","To a great extent"
