"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","wording_rights","resp"
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish2","Flourishing Scale (FS)",NA,NA,"My social relationships are supportive and rewarding.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish2","Flourishing Scale (FS)",NA,NA,"My social relationships are supportive and rewarding.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish2","Flourishing Scale (FS)",NA,NA,"My social relationships are supportive and rewarding.",NA,"Strongly agree","NC",7
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish3","Flourishing Scale (FS)",NA,NA,"I am engaged and interested in my daily activities.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish3","Flourishing Scale (FS)",NA,NA,"I am engaged and interested in my daily activities.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish3","Flourishing Scale (FS)",NA,NA,"I am engaged and interested in my daily activities.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish3","Flourishing Scale (FS)",NA,NA,"I am engaged and interested in my daily activities.",NA,"Mixed or neither agree nor disagree","NC",4
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish3","Flourishing Scale (FS)",NA,NA,"I am engaged and interested in my daily activities.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish3","Flourishing Scale (FS)",NA,NA,"I am engaged and interested in my daily activities.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish3","Flourishing Scale (FS)",NA,NA,"I am engaged and interested in my daily activities.",NA,"Strongly agree","NC",7
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish4","Flourishing Scale (FS)",NA,NA,"I actively contribute to the happiness and well-being of others.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish4","Flourishing Scale (FS)",NA,NA,"I actively contribute to the happiness and well-being of others.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish4","Flourishing Scale (FS)",NA,NA,"I actively contribute to the happiness and well-being of others.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish4","Flourishing Scale (FS)",NA,NA,"I actively contribute to the happiness and well-being of others.",NA,"Mixed or neither agree nor disagree","NC",4
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish4","Flourishing Scale (FS)",NA,NA,"I actively contribute to the happiness and well-being of others.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish4","Flourishing Scale (FS)",NA,NA,"I actively contribute to the happiness and well-being of others.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish4","Flourishing Scale (FS)",NA,NA,"I actively contribute to the happiness and well-being of others.",NA,"Strongly agree","NC",7
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish5","Flourishing Scale (FS)",NA,NA,"I am competent and capable in the activities that are important to me.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish5","Flourishing Scale (FS)",NA,NA,"I am competent and capable in the activities that are important to me.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish5","Flourishing Scale (FS)",NA,NA,"I am competent and capable in the activities that are important to me.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish5","Flourishing Scale (FS)",NA,NA,"I am competent and capable in the activities that are important to me.",NA,"Mixed or neither agree nor disagree","NC",4
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish5","Flourishing Scale (FS)",NA,NA,"I am competent and capable in the activities that are important to me.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish5","Flourishing Scale (FS)",NA,NA,"I am competent and capable in the activities that are important to me.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish5","Flourishing Scale (FS)",NA,NA,"I am competent and capable in the activities that are important to me.",NA,"Strongly agree","NC",7
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish6","Flourishing Scale (FS)",NA,NA,"I am a good person and live a good life.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish6","Flourishing Scale (FS)",NA,NA,"I am a good person and live a good life.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish6","Flourishing Scale (FS)",NA,NA,"I am a good person and live a good life.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish6","Flourishing Scale (FS)",NA,NA,"I am a good person and live a good life.",NA,"Mixed or neither agree nor disagree","NC",4
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish6","Flourishing Scale (FS)",NA,NA,"I am a good person and live a good life.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish6","Flourishing Scale (FS)",NA,NA,"I am a good person and live a good life.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish6","Flourishing Scale (FS)",NA,NA,"I am a good person and live a good life.",NA,"Strongly agree","NC",7
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish7","Flourishing Scale (FS)",NA,NA,"I am optimistic about my future.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish7","Flourishing Scale (FS)",NA,NA,"I am optimistic about my future.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish7","Flourishing Scale (FS)",NA,NA,"I am optimistic about my future.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish7","Flourishing Scale (FS)",NA,NA,"I am optimistic about my future.",NA,"Mixed or neither agree nor disagree","NC",4
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish7","Flourishing Scale (FS)",NA,NA,"I am optimistic about my future.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish7","Flourishing Scale (FS)",NA,NA,"I am optimistic about my future.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish7","Flourishing Scale (FS)",NA,NA,"I am optimistic about my future.",NA,"Strongly agree","NC",7
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish8","Flourishing Scale (FS)",NA,NA,"People respect me.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish8","Flourishing Scale (FS)",NA,NA,"People respect me.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish8","Flourishing Scale (FS)",NA,NA,"People respect me.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish8","Flourishing Scale (FS)",NA,NA,"People respect me.",NA,"Mixed or neither agree nor disagree","NC",4
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish8","Flourishing Scale (FS)",NA,NA,"People respect me.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish8","Flourishing Scale (FS)",NA,NA,"People respect me.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish8","Flourishing Scale (FS)",NA,NA,"People respect me.",NA,"Strongly agree","NC",7
