"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","instructions_translated","section_prompt_translated"
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@3_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memahami isi hati saya sendiri.","I have difficulty making sense out of my feelings.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@3_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memahami isi hati saya sendiri.","I have difficulty making sense out of my feelings.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@3_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memahami isi hati saya sendiri.","I have difficulty making sense out of my feelings.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@4_A_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya peka terhadap perasaan saya.","I am attentive to my feelings.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@4_A_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya peka terhadap perasaan saya.","I am attentive to my feelings.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@4_A_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya peka terhadap perasaan saya.","I am attentive to my feelings.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@4_A_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya peka terhadap perasaan saya.","I am attentive to my feelings.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@4_A_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya peka terhadap perasaan saya.","I am attentive to my feelings.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@5_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya keliru dengan apa yang saya rasa.","I am confused about how I feel.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@5_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya keliru dengan apa yang saya rasa.","I am confused about how I feel.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@5_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya keliru dengan apa yang saya rasa.","I am confused about how I feel.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@5_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya keliru dengan apa yang saya rasa.","I am confused about how I feel.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@5_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya keliru dengan apa yang saya rasa.","I am confused about how I feel.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@6_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengakui perasaan saya apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I acknowledge my emotions.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@6_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengakui perasaan saya apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I acknowledge my emotions.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@6_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengakui perasaan saya apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I acknowledge my emotions.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@6_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengakui perasaan saya apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I acknowledge my emotions.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@6_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengakui perasaan saya apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I acknowledge my emotions.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@7_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become embarrassed for feeling that way.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@7_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become embarrassed for feeling that way.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@7_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become embarrassed for feeling that way.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@7_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become embarrassed for feeling that way.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@7_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become embarrassed for feeling that way.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@8_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran menyiapkan tugasan apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty getting work done.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@8_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran menyiapkan tugasan apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty getting work done.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@8_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran menyiapkan tugasan apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty getting work done.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@8_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran menyiapkan tugasan apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty getting work done.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@8_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran menyiapkan tugasan apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty getting work done.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@9_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya menjadi tidak terkawal apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become out of control.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@9_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya menjadi tidak terkawal apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become out of control.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@9_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya menjadi tidak terkawal apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become out of control.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@9_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya menjadi tidak terkawal apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become out of control.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@9_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya menjadi tidak terkawal apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I become out of control.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@10_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya saya akan berasa terganggu untuk masa yang lama apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I will remain that way for a long time.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@10_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya saya akan berasa terganggu untuk masa yang lama apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I will remain that way for a long time.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@10_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya saya akan berasa terganggu untuk masa yang lama apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I will remain that way for a long time.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@10_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya saya akan berasa terganggu untuk masa yang lama apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I will remain that way for a long time.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@10_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya saya akan berasa terganggu untuk masa yang lama apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I will remain that way for a long time.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@11_S_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya bahawa diri saya akan berasa sangat murung apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I’ll end up feeling very depressed.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@11_S_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya bahawa diri saya akan berasa sangat murung apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I’ll end up feeling very depressed.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@11_S_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya bahawa diri saya akan berasa sangat murung apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I’ll end up feeling very depressed.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@11_S_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya bahawa diri saya akan berasa sangat murung apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I’ll end up feeling very depressed.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@11_S_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya bahawa diri saya akan berasa sangat murung apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that I’ll end up feeling very depressed.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@12_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memberikan perhatian kepada perkara-perkara yang lain apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty focusing on other things.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@12_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memberikan perhatian kepada perkara-perkara yang lain apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty focusing on other things.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@12_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memberikan perhatian kepada perkara-perkara yang lain apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty focusing on other things.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@12_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memberikan perhatian kepada perkara-perkara yang lain apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty focusing on other things.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@12_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memberikan perhatian kepada perkara-perkara yang lain apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty focusing on other things.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@13_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu dengan diri sendiri apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel ashamed with myself for feeling that way.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@13_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu dengan diri sendiri apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel ashamed with myself for feeling that way.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@13_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu dengan diri sendiri apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel ashamed with myself for feeling that way.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@13_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu dengan diri sendiri apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel ashamed with myself for feeling that way.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@13_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa malu dengan diri sendiri apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel ashamed with myself for feeling that way.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@14_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa serba salah apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel guilty for feeling that way.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@14_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa serba salah apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel guilty for feeling that way.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@14_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa serba salah apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel guilty for feeling that way.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@14_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa serba salah apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel guilty for feeling that way.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@14_NA","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya berasa serba salah apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I feel guilty for feeling that way.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@15_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menumpukan perhatian apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty concentrating.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@15_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menumpukan perhatian apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty concentrating.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@15_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menumpukan perhatian apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty concentrating.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@15_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menumpukan perhatian apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty concentrating.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@15_G","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menumpukan perhatian apabila saya rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty concentrating.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@16_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menjaga tingkah laku saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty controlling my behaviours.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@16_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menjaga tingkah laku saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty controlling my behaviours.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@16_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menjaga tingkah laku saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty controlling my behaviours.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@16_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menjaga tingkah laku saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty controlling my behaviours.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@16_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk menjaga tingkah laku saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I have difficulty controlling my behaviours.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@17_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya yang saya hanya mampu melayan perasaan saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that wallowing in it is all I can do.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@17_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya yang saya hanya mampu melayan perasaan saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that wallowing in it is all I can do.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@17_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya yang saya hanya mampu melayan perasaan saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that wallowing in it is all I can do.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@17_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya yang saya hanya mampu melayan perasaan saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that wallowing in it is all I can do.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@17_S","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya percaya yang saya hanya mampu melayan perasaan saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I believe that wallowing in it is all I can do.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@18_I","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya hilang kawalan terhadap tingkah laku saya apabila rasa terganggu (sedih, marah, risau dan sebagainya).","When I’m upset, I lose control over my behaviours.",NA,"Almost Never",NA,1,NA,NA
