table,section_id,item,instrument,instructions,section_prompt,item_text,option_text,resp
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_sociable,Big Five personality trait assessments for South Korean nominees,NA,NA,Likes to get along and is sociable.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_sociable,Big Five personality trait assessments for South Korean nominees,NA,NA,Likes to get along and is sociable.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_sociable,Big Five personality trait assessments for South Korean nominees,NA,NA,Likes to get along and is sociable.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_faults,Big Five personality trait assessments for South Korean nominees,NA,NA,Good at seeing other’s faults.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_faults,Big Five personality trait assessments for South Korean nominees,NA,NA,Good at seeing other’s faults.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_faults,Big Five personality trait assessments for South Korean nominees,NA,NA,Good at seeing other’s faults.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_faults,Big Five personality trait assessments for South Korean nominees,NA,NA,Good at seeing other’s faults.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_faults,Big Five personality trait assessments for South Korean nominees,NA,NA,Good at seeing other’s faults.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_faults,Big Five personality trait assessments for South Korean nominees,NA,NA,Good at seeing other’s faults.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_faults,Big Five personality trait assessments for South Korean nominees,NA,NA,Good at seeing other’s faults.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_nervous,Big Five personality trait assessments for South Korean nominees,NA,NA,Gets nervous easily.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_nervous,Big Five personality trait assessments for South Korean nominees,NA,NA,Gets nervous easily.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_nervous,Big Five personality trait assessments for South Korean nominees,NA,NA,Gets nervous easily.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_nervous,Big Five personality trait assessments for South Korean nominees,NA,NA,Gets nervous easily.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_nervous,Big Five personality trait assessments for South Korean nominees,NA,NA,Gets nervous easily.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_nervous,Big Five personality trait assessments for South Korean nominees,NA,NA,Gets nervous easily.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_nervous,Big Five personality trait assessments for South Korean nominees,NA,NA,Gets nervous easily.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_imaginative,Big Five personality trait assessments for South Korean nominees,NA,NA,Imaginative.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_imaginative,Big Five personality trait assessments for South Korean nominees,NA,NA,Imaginative.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_imaginative,Big Five personality trait assessments for South Korean nominees,NA,NA,Imaginative.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_imaginative,Big Five personality trait assessments for South Korean nominees,NA,NA,Imaginative.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_imaginative,Big Five personality trait assessments for South Korean nominees,NA,NA,Imaginative.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_imaginative,Big Five personality trait assessments for South Korean nominees,NA,NA,Imaginative.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_imaginative,Big Five personality trait assessments for South Korean nominees,NA,NA,Imaginative.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_thorough,Big Five personality trait assessments for South Korean nominees,NA,NA,Does job thoroughly.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_thorough,Big Five personality trait assessments for South Korean nominees,NA,NA,Does job thoroughly.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_thorough,Big Five personality trait assessments for South Korean nominees,NA,NA,Does job thoroughly.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_thorough,Big Five personality trait assessments for South Korean nominees,NA,NA,Does job thoroughly.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_thorough,Big Five personality trait assessments for South Korean nominees,NA,NA,Does job thoroughly.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_thorough,Big Five personality trait assessments for South Korean nominees,NA,NA,Does job thoroughly.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_thorough,Big Five personality trait assessments for South Korean nominees,NA,NA,Does job thoroughly.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_laidback,Big Five personality trait assessments for South Korean nominees,NA,NA,Laid back and relieves stress well.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_laidback,Big Five personality trait assessments for South Korean nominees,NA,NA,Laid back and relieves stress well.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_laidback,Big Five personality trait assessments for South Korean nominees,NA,NA,Laid back and relieves stress well.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_laidback,Big Five personality trait assessments for South Korean nominees,NA,NA,Laid back and relieves stress well.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_laidback,Big Five personality trait assessments for South Korean nominees,NA,NA,Laid back and relieves stress well.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_laidback,Big Five personality trait assessments for South Korean nominees,NA,NA,Laid back and relieves stress well.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_laidback,Big Five personality trait assessments for South Korean nominees,NA,NA,Laid back and relieves stress well.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_art,Big Five personality trait assessments for South Korean nominees,NA,NA,Has little interest in art.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_art,Big Five personality trait assessments for South Korean nominees,NA,NA,Has little interest in art.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_art,Big Five personality trait assessments for South Korean nominees,NA,NA,Has little interest in art.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_art,Big Five personality trait assessments for South Korean nominees,NA,NA,Has little interest in art.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_art,Big Five personality trait assessments for South Korean nominees,NA,NA,Has little interest in art.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_art,Big Five personality trait assessments for South Korean nominees,NA,NA,Has little interest in art.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_art,Big Five personality trait assessments for South Korean nominees,NA,NA,Has little interest in art.,strongly agree,7
