table,was,now,kind
buzgova_2023_gds,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
BSCS_fadplus_goto2021,Adult (18+),Adult (18+),confirmed
bitew_2020_phq9,Adult (18+),Adult (18+),confirmed
bled_2021_imagery_phenomenology,Adult (18+),Adult (18+),confirmed
bled_2021_imagery_use,Adult (18+),Adult (18+),confirmed
bukurov_2022_sf36,Adult (18+),Adult (18+),confirmed
brederecke_2020_phq4,Adult (18+),Adult (18+),confirmed
buzgova_2023_gai,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
brand_raffaelli_2024_familiarity_24,Adult (18+),Adult (18+),confirmed
buczel_2022_inoculation_belief,Adult (18+),Adult (18+),confirmed
brand_raffaelli_2024_liking_24,Adult (18+),Adult (18+),confirmed
brand_raffaelli_2024_recognition_20,Adult (18+),Adult (18+),confirmed
blum_2018_imak_bin,Mixed,Mixed,confirmed
bitew_2020_self_efficacy,Adult (18+),Adult (18+),confirmed
brand_raffaelli_2024_liking_20,Adult (18+),Adult (18+),confirmed
brederecke_2020_sis,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_family_prelockdown,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_eds_prepandemic,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_family_duringlockdown,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_bfi10,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_dmq,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_eds_duringpandemic,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_comfort,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_crt,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_dai,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_facetrust,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_aq10,Adult (18+),Adult (18+),confirmed
buzgova_2023_soc,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
c19prc_uk_mcbride_2021_childimpact,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_drinkcontext,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_contacttracingapp,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_cmq,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_conservatism,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_eu_identity,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_brs,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_activity,Adult (18+),Adult (18+),confirmed
buzgova_2023_qol,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
c19prc_uk_mcbride_2021_ecr_attachment,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_bces,Adult (18+),Adult (18+),confirmed
buzgova_2023_rses,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
buzgova_2023_lsita,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
c19prc_uk_mcbride_2021_minispin,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_mmos_ss,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_humanitarianism,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_iwah,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_nationalpride,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_nationalism,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_gad7,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_iri,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_hopefulness,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_itq,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_lockdown_contact_behaviours,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_infosource,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_homespace,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_ius12,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_icd_depression,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_neighbourcomfort,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_ocir,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_loc,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_govsatisfaction,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_handle_c19,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_loneliness,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_hygiene,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_lockdownbehaviour,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_icd_anxiety,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_mabs,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_riskreduction_beliefs,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_quarantine_support,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_tmsi,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_wemwbs,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_socialdistance,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_protective_behaviours,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_vsa,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_trustinstitutions,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_selfharm_suicidality,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_srgs,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_vaccineattitudes,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_shs,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_riskbehaviour_c19,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_secondwave_restrictions,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_polarization_covid,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_trustsource,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_protect,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_rq,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_sdo,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_sci,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_pads,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_phq9,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_partyidentity,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_polarization_brexit,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_phq15,Adult (18+),Adult (18+),confirmed
cfq_ruiz_2025_cfq,Adult (18+),Adult (18+),confirmed
cavojova_2017_cfc,Adult (18+),Adult (18+),confirmed
campos_2023_swls,Adult (18+),Adult (18+),confirmed
celik_2026_bfi,Adult (18+),Adult (18+),confirmed
ccapsvtskhpacr_mercedes_2023_beck,Adult (18+),Adult (18+),confirmed
celik_2026_tipi,Adult (18+),Adult (18+),confirmed
campos_2023_pidaq,Adult (18+),Adult (18+),confirmed
ccapsvtskhpacr_mercedes_2023_physical,Adult (18+),Adult (18+),confirmed
celik_2026_academic_motivation,Adult (18+),Adult (18+),confirmed
cf_kay_2025,Adult (18+),Adult (18+),confirmed
celik_2026_bpns,Adult (18+),Adult (18+),confirmed
cfq_ruiz_2025_dass,Adult (18+),Adult (18+),confirmed
ccapsvtskhpacr_mercedes_2023_sf,Adult (18+),Adult (18+),confirmed
celik_2026_distance_ed_attitudes_16,Adult (18+),Adult (18+),confirmed
ccapsvtskhpacr_mercedes_2023_tsk,Adult (18+),Adult (18+),confirmed
ccapsvtskhpacr_mercedes_2023_hada,Adult (18+),Adult (18+),confirmed
campos_2023_oes,Adult (18+),Adult (18+),confirmed
celik_2026_distance_ed_attitudes_26,Adult (18+),Adult (18+),confirmed
caetano-santos-lsas-2021,Adult (18+),Adult (18+),confirmed
c19prc_uk_mcbride_2021_wordsum,Adult (18+),Adult (18+),confirmed
caetano-santos-masi-2021,Adult (18+),Adult (18+),confirmed
chen2022_sasc,Child (<18y),Child (<18y),confirmed
chen2022b_socsupport,Mixed,Mixed,confirmed
chen2022b_selfesteem,Mixed,Mixed,confirmed
chen_2019_csq,Mixed,Mixed,confirmed
chen2022b_psychabuse,Mixed,Mixed,confirmed
chen2022_ses,Child (<18y),Child (<18y),confirmed
chavez_2026_bpnsfs,Child (<18y),Child (<18y),confirmed
chen_2022_cesd,Adult (18+),Adult (18+),confirmed
chen_2022_gad,Adult (18+),Adult (18+),confirmed
chen2022_cls,Child (<18y),Child (<18y),confirmed
chen_2019_cdrsc,Mixed,Mixed,confirmed
chen_2022_sasc,Adult (18+),Adult (18+),confirmed
clipa_2025_mslq,Adult (18+),Adult (18+),confirmed
chinvararak_2021_phq15,Adult (18+),Adult (18+),confirmed
climatechange_geiger_2025,Adult (18+),Adult (18+),confirmed
chuang_2018_disease_checklist,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
chinvararak_2021_ylseq,Adult (18+),Adult (18+),confirmed
chinvararak_2021_bdi,Adult (18+),Adult (18+),confirmed
chinvararak_2021_ssq,Adult (18+),Adult (18+),confirmed
chinvararak_2021_ecr,Adult (18+),Adult (18+),confirmed
cmq_kay_2025,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_confidence,Adult (18+),Adult (18+),confirmed
cognitive_load_klimova_2023_stomp,Adult (18+),Adult (18+),confirmed
cognitive_load_klimova_2023_masr,Adult (18+),Adult (18+),confirmed
coh_goodman_2023_causal_beliefs,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_difficulties,Adult (18+),Adult (18+),confirmed
cognitive_load_klimova_2023_mlq,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_bribery,Adult (18+),Adult (18+),confirmed
coh_goodman_2023_general_survey,Adult (18+),Adult (18+),confirmed
cogcontrol_gyurkovics_2019_simon,Mixed,Mixed,confirmed
colombia_2023_politics_attitudes,Adult (18+),Adult (18+),confirmed
cogcontrol_gyurkovics_2019_sart,Mixed,Mixed,confirmed
coh_goodman_2023_racial_comp,Adult (18+),Adult (18+),confirmed
coh_goodman_2023_health_literacy,Adult (18+),Adult (18+),confirmed
cognitive_load_klimova_2023_tbzsg,Adult (18+),Adult (18+),confirmed
cogcontrol_gyurkovics_2019_flanker,Mixed,Mixed,confirmed
cognitive_load_klimova_2023_know,Adult (18+),Adult (18+),confirmed
cognitive_load_klimova_2023_pwi,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_corruption,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_anticorruption,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_candidates,Adult (18+),Adult (18+),confirmed
cogcontrol_gyurkovics_2019_mwprobe,Mixed,Mixed,confirmed
colombia_2023_politics_belonging,Adult (18+),Adult (18+),confirmed
cognitive_load_klimova_2023_paas,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_discrimination,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_channels,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_registration,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_reasons,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_rights,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_voting,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_problems,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_party,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_prevention,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_transparency,Adult (18+),Adult (18+),confirmed
colomer_perez_2021_soc13,Mixed,Mixed,confirmed
colombia_2023_politics_wellbeing,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_importance,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_organizations,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_neighbors,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_hurdles,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_guarantees,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_meaning,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_risks,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_spaces,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_mechanisms,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_procedures,Adult (18+),Adult (18+),confirmed
colomer_perez_2021_asa,Mixed,Mixed,confirmed
colombia_2023_politics_requisites,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_protection,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_trust,Adult (18+),Adult (18+),confirmed
colombia_2023_politics_media,Adult (18+),Adult (18+),confirmed
conner_2017_curiosity,Adult (18+),Adult (18+),confirmed
conner_2017_hads_anxiety,Adult (18+),Adult (18+),confirmed
conner_2017_flourishing,Adult (18+),Adult (18+),confirmed
conner_2017_cesd,Adult (18+),Adult (18+),confirmed
conner_2017_bfi,Adult (18+),Adult (18+),confirmed
cucchi_2018_scoff,Adult (18+),Adult (18+),confirmed
cucchi_2018_rfq,Adult (18+),Adult (18+),confirmed
cucchi_2018_rmet,Adult (18+),Adult (18+),confirmed
curiosity_stone_2022_fns,Adult (18+),Adult (18+),confirmed
cosenza_2015_cfc,Mixed,Mixed,confirmed
contreras_valdez_2022_bsq,Adult (18+),Adult (18+),confirmed
cucchi_2018_pts,Adult (18+),Adult (18+),confirmed
contreras_valdez_2022_rses,Adult (18+),Adult (18+),confirmed
conspiracy_asd__asd_aq10,Adult (18+),Adult (18+),confirmed
covid_travel_mackenzie_2021,Adult (18+),Adult (18+),confirmed
cucchi_2018_tas20,Adult (18+),Adult (18+),confirmed
conspiracy_asd__schizotypy,Adult (18+),Adult (18+),confirmed
cucchi_2018_kims,Adult (18+),Adult (18+),confirmed
conspiracy_asd__thinking_styles,Adult (18+),Adult (18+),confirmed
conspiracy_asd__conspiracy_gcbs,Adult (18+),Adult (18+),confirmed
contreras_valdez_2022_edeq,Adult (18+),Adult (18+),confirmed
conner_2017_vitality,Adult (18+),Adult (18+),confirmed
conner_2017_lot,Adult (18+),Adult (18+),confirmed
conspiracy_asd__cognitive_flexibility,Adult (18+),Adult (18+),confirmed
DART_Brysbaert_2020_1,Mixed,Mixed,confirmed
darkfactorfrench_pischel_2026_normlessness,Adult (18+),Adult (18+),confirmed
darkfactorfrench_pischel_2026_crime_analog,Adult (18+),Adult (18+),confirmed
darkfactorfrench_pischel_2026_dictator_game,Adult (18+),Adult (18+),confirmed
darkfactorfrench_pischel_2026_exploitative,Adult (18+),Adult (18+),confirmed
dalky_2020_sf36,Mixed,Mixed,confirmed
dalichaouche_2026_covid_practices,Adult (18+),Adult (18+),confirmed
daiku_2021_lying_frequency,Adult (18+),Adult (18+),confirmed
dejesus_2017_gpm,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
dejesus_2017_sf36,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
darkfactorfrench_pischel_2026_civic_behavior,Adult (18+),Adult (18+),confirmed
darkfactorfrench_pischel_2026_sdo7s,Adult (18+),Adult (18+),confirmed
darkfactorfrench_pischel_2026_interp_dysfx,Adult (18+),Adult (18+),confirmed
dalichaouche_2026_covid_attitudes,Adult (18+),Adult (18+),confirmed
darkfactorfrench_pischel_2026_callousness,Adult (18+),Adult (18+),confirmed
daderman_2023_naqr,Adult (18+),Adult (18+),confirmed
dalichaouche_2026_covid_knowledge,Adult (18+),Adult (18+),confirmed
curiosity_stone_2022_var,Adult (18+),Adult (18+),confirmed
curiosity_stone_2022_invol,Adult (18+),Adult (18+),confirmed
daiku_2021_dirty_dozen,Adult (18+),Adult (18+),confirmed
dejesus_2017_lequesne,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
darkfactorfrench_pischel_2026_worldview_cj,Adult (18+),Adult (18+),confirmed
daiku_2021_lie_scale,Adult (18+),Adult (18+),confirmed
darkfactorfrench_pischel_2026_d70,Adult (18+),Adult (18+),confirmed
dss_mouta_2021,Adult (18+),Adult (18+),confirmed
dolzdelcastellar_2021_faces,Adult (18+),Adult (18+),confirmed
dopmeijer_2022_sense_belonging,Mixed,Mixed,confirmed
dmirt_forsberg_2024,Adult (18+),Adult (18+),confirmed
dopmeijer_2022_loneliness,Mixed,Mixed,confirmed
dominguez_2018_uwes,Adult (18+),Adult (18+),confirmed
