"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress8","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (physical)",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress8","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (physical)",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress8","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (physical)",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress8","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (physical)",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress9","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Having lost someone you love recently (e.g., death, divorce, being away from each other)",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress9","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Having lost someone you love recently (e.g., death, divorce, being away from each other)",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress9","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Having lost someone you love recently (e.g., death, divorce, being away from each other)",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress9","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Having lost someone you love recently (e.g., death, divorce, being away from each other)",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress10","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about consuming alcohol or cigaretts and coffee",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress10","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about consuming alcohol or cigaretts and coffee",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress10","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about consuming alcohol or cigaretts and coffee",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress10","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about consuming alcohol or cigaretts and coffee",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress11","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about work life(housework or job)",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress11","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about work life(housework or job)",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress11","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about work life(housework or job)",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress11","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Problems about work life(housework or job)",NA,"very stressful",4
