journal,issn_l,publisher,in_pmc,pmc_deposit_scope_proxy,year,n_records,n_fulltext,n_oa,pct_fulltext,pct_oa,springer_oa_n,sample_n,pct_with_supp,pct_with_data_like_supp,pct_data_like_ambiguous_only,median_data_files,pct_cc_by,pct_cc_by_nc,pct_cc_by_nc_nd,pct_license_other,pct_license_unknown
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2023,175,174,174,0.994,0.994,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2024,158,158,158,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2025,195,194,194,0.995,0.995,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Digital Health,2767-3170,Public Library of Science,UNKNOWN,0.995,2015,0,0,0,,,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,UNKNOWN,0.995,2016,0,0,0,,,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,UNKNOWN,0.995,2017,0,0,0,,,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,UNKNOWN,0.995,2018,0,0,0,,,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,UNKNOWN,0.995,2019,0,0,0,,,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,UNKNOWN,0.995,2020,0,0,0,,,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,UNKNOWN,0.995,2021,0,0,0,,,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,TRUE,0.995,2022,121,121,120,1.0,0.992,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,TRUE,0.995,2023,200,199,199,0.995,0.995,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,TRUE,0.995,2024,239,239,239,1.0,1.0,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
PLOS Digital Health,2767-3170,Public Library of Science,TRUE,0.995,2025,329,328,328,0.997,0.997,,100,89.0,15.0,1.0,1,93.0,0.0,0.0,6.0,1.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2015,2026,2026,2026,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2016,2127,2127,2127,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2017,2311,2311,2311,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2018,2729,2729,2729,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2019,3019,3019,3019,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2020,3845,3845,3845,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2021,6440,6440,6440,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2022,8532,8532,8532,1.0,1.0,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2023,5003,4982,4982,0.996,0.996,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2024,3583,3524,3524,0.984,0.984,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
Frontiers in Psychology,1664-1078,Frontiers Media SA,TRUE,0.996,2025,4270,4254,4254,0.996,0.996,,100,81.0,3.0,1.0,1,100.0,0.0,0.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2015,47,47,47,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2016,61,61,61,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2017,41,41,41,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2018,62,62,62,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2019,91,91,91,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2020,135,135,135,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2021,202,202,202,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2022,323,323,323,1.0,1.0,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2023,447,445,445,0.996,0.996,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2024,800,792,792,0.99,0.99,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Psychology,2050-7283,Springer (Biomed Central Ltd.),TRUE,0.996,2025,1567,1564,1564,0.998,0.998,,100,87.0,2.0,0.0,1,50.0,0.0,50.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2015,1322,1322,1322,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2016,1247,1247,1247,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2017,1078,1078,1078,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2018,1321,1321,1321,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2019,1763,1763,1763,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2020,1921,1921,1921,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2021,2338,2338,2338,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2022,2463,2463,2462,1.0,1.0,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2023,2564,2560,2560,0.998,0.998,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2024,3632,3592,3592,0.989,0.989,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Public Health,1471-2458,Springer (Biomed Central Ltd.),TRUE,0.998,2025,4859,4845,4845,0.997,0.997,,100,88.0,6.0,2.0,1,58.0,0.0,42.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2015,108,108,108,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2016,174,174,174,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2017,181,181,181,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2018,180,180,180,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2019,246,246,246,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2020,299,299,299,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2021,287,287,287,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2022,339,339,339,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2023,302,302,302,1.0,1.0,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2024,326,324,324,0.994,0.994,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
BMC Medical Research Methodology,1471-2288,Springer (Biomed Central Ltd.),TRUE,1.0,2025,299,298,298,0.997,0.997,,100,91.0,9.0,4.0,2,71.0,0.0,29.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2015,802,802,802,1.0,1.0,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2016,1294,1294,1294,1.0,1.0,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2017,1377,1377,1377,1.0,1.0,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2018,1933,1933,1933,1.0,1.0,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2019,2124,2124,2121,1.0,0.999,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2020,2264,2264,2263,1.0,1.0,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2021,2115,2115,2109,1.0,0.997,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2022,1855,1855,1853,1.0,0.999,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2023,2106,2081,2080,0.988,0.988,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2024,2011,1995,1994,0.992,0.992,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
PeerJ,2167-8359,PeerJ,TRUE,0.988,2025,1775,1745,1741,0.983,0.981,,100,98.0,79.0,9.0,1,97.0,3.0,0.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2015,10938,10938,10934,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2016,21056,21056,21055,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2017,25341,25341,25341,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2018,18166,18166,18166,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2019,20424,20424,20424,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2020,22463,22463,22461,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2021,24534,24534,24534,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2022,22653,22653,22653,1.0,1.0,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2023,23108,23029,23029,0.997,0.997,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2024,32221,31872,31872,0.989,0.989,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Scientific Reports,2045-2322,Springer Science and Business Media LLC,TRUE,0.997,2025,48695,48616,48615,0.998,0.998,,100,96.0,20.0,3.0,1,29.0,0.0,71.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2015,251,251,251,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2016,426,426,426,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2017,682,682,682,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2018,1029,1029,1029,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2019,717,717,717,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2020,677,677,677,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2021,669,669,669,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2022,564,564,564,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2023,596,596,596,1.0,1.0,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2024,655,654,654,0.998,0.998,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Royal Society Open Science,2054-5703,The Royal Society,TRUE,1.0,2025,624,623,623,0.998,0.998,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2015,29,29,28,1.0,0.966,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2016,159,159,159,1.0,1.0,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2017,268,268,268,1.0,1.0,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2018,594,594,592,1.0,0.997,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2019,1971,1971,1959,1.0,0.994,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2020,2721,2721,2708,1.0,0.995,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2021,2850,2850,2828,1.0,0.992,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2022,4006,4005,3996,1.0,0.998,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2023,11247,11172,10511,0.993,0.935,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2024,17664,17382,17285,0.984,0.979,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Heliyon,2405-8440,Elsevier,TRUE,0.993,2025,1894,1861,1254,0.983,0.662,,100,97.0,4.0,1.0,3,30.0,26.0,44.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),UNKNOWN,0.986,2015,0,0,0,,,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2016,33,33,33,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2017,49,49,49,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2018,53,53,53,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2019,48,48,48,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2020,64,64,64,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2021,83,83,83,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2022,104,104,104,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2023,73,72,72,0.986,0.986,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
