tier,title_queried,title_crossref,title_openalex,issn_l,issn_print,issn_electronic,issn_crossref_all,publisher_crossref,publisher_openalex,is_oa_openalex,in_doaj,pmc_deposit_ratio_2023_proxy,pmc_total_hitcount_2023_proxy,crossref_n_candidates,openalex_n_candidates,flags
B_fully_oa_high_volume,Scientific Reports,Scientific Reports,Scientific Reports,2045-2322,,2045-2322,2045-2322,Springer Science and Business Media LLC,Nature Portfolio,True,True,0.997,23108,5,5,PUBLISHER_MISMATCH_CR_VS_OA
B_fully_oa_high_volume,Royal Society Open Science,Royal Society Open Science,Royal Society Open Science,2054-5703,2054-5703,2054-5703,2054-5703;2054-5703,The Royal Society,Royal Society,True,True,1.0,596,1,1,
B_fully_oa_high_volume,Heliyon,Heliyon,Heliyon,2405-8440,2405-8440,,2405-8440,Elsevier,Elsevier BV,True,True,0.993,11247,2,2,
C_psychometrics_on_target,Cognitive Research: Principles and Implications,Cognitive Research Principles and Implications,Cognitive Research Principles and Implications,2365-7464,,2365-7464,2365-7464,Springer (Biomed Central Ltd.),Springer Nature,True,True,0.986,73,1,1,PUBLISHER_MISMATCH_CR_VS_OA
C_psychometrics_on_target,Journal of Open Psychology Data,Journal of Open Psychology Data,Journal of Open Psychology Data,2050-9863,2050-9863,2050-9863,2050-9863;2050-9863,"Ubiquity Press, Ltd.",Ubiquity Press,True,True,1.0,19,1,2,
D_mdpi_pmc_uncertain,Journal of Intelligence,Journal of Intelligence,Journal of Intelligence,2079-3200,,2079-3200,2079-3200,MDPI AG,Multidisciplinary Digital Publishing Institute,True,True,1.0,221,5,5,PUBLISHER_MISMATCH_CR_VS_OA
D_mdpi_pmc_uncertain,Behavioral Sciences,Behavioral Sciences,Behavioral Sciences,2076-328X,,2076-328X,2076-328X,MDPI AG,Multidisciplinary Digital Publishing Institute,True,True,0.998,1010,5,5,PUBLISHER_MISMATCH_CR_VS_OA
E_hybrid_partial_yield,Behavior Research Methods,Behavior Research Methods,Behavior Research Methods,1554-351X,1554-351X,1554-3528,1554-351X;1554-3528,Springer - Psychonomic Society,Springer Science+Business Media,False,False,0.614,277,3,3,PUBLISHER_MISMATCH_CR_VS_OA
E_hybrid_partial_yield,Assessment,Assessment,Assessment,1073-1911,1073-1911,,1073-1911;1552-3489,SAGE Publications,SAGE Publishing,False,False,0.412,119,5,5,PUBLISHER_MISMATCH_CR_VS_OA
E_hybrid_partial_yield,Educational and Psychological Measurement,Educational and Psychological Measurement,Educational and Psychological Measurement,0013-1644,0013-1644,,0013-1644;1552-3888,SAGE Publications,SAGE Publishing,False,False,1.0,43,1,1,PUBLISHER_MISMATCH_CR_VS_OA
E_hybrid_partial_yield,European Journal of Psychological Assessment,European Journal of Psychological Assessment,European Journal of Psychological Assessment,1015-5759,1015-5759,2151-2426,1015-5759;2151-2426,Hogrefe Publishing Group,Hogrefe Verlag,False,False,1.0,1,1,1,PUBLISHER_MISMATCH_CR_VS_OA
E_hybrid_partial_yield,Applied Psychological Measurement,Applied Psychological Measurement,Applied Psychological Measurement,0146-6216,0146-6216,,0146-6216;1552-3497,SAGE Publications,SAGE Publishing,False,False,1.0,24,1,1,PUBLISHER_MISMATCH_CR_VS_OA
E_hybrid_partial_yield,Journal of Educational Measurement,Journal of Educational Measurement,Journal of Educational Measurement,0022-0655,0022-0655,1745-3984,0022-0655;1745-3984,Wiley (Blackwell Publishing),Wiley,False,False,1.0,1,2,2,
E_hybrid_partial_yield,Psychometrika,Psychometrika,Psychometrika,0033-3123,0033-3123,1860-0980,0033-3123;1860-0980,Cambridge University Press,Springer Science+Business Media,False,False,0.467,45,1,1,PUBLISHER_MISMATCH_CR_VS_OA
E_hybrid_partial_yield,Multivariate Behavioral Research,Multivariate Behavioral Research,Multivariate Behavioral Research,0027-3171,0027-3171,1532-7906,0027-3171;1532-7906,Informa UK (Taylor & Francis),Taylor & Francis,False,False,0.21,62,1,1,
E_hybrid_partial_yield,Memory & Cognition,Memory & Cognition,Memory & Cognition,0090-502X,0090-502X,1532-5946,0090-502X;1532-5946,Springer - Psychonomic Society,Springer Science+Business Media,False,False,0.425,120,0,3,PUBLISHER_MISMATCH_CR_VS_OA;CROSSREF_ISSN_FALLBACK_USED
E_hybrid_partial_yield,"Attention, Perception & Psychophysics",Attention Perception & Psychophysics,Attention Perception & Psychophysics,1943-3921,1943-3921,1943-393X,1943-3921;1943-393X,Springer - Psychonomic Society,Springer Science+Business Media,False,False,0.49,194,0,1,PUBLISHER_MISMATCH_CR_VS_OA;CROSSREF_ISSN_FALLBACK_USED
