"table","section_id","item","instrument","language","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu assisto TV enquanto dou comida para o/a (nome da criança)","I watch TV while I feed (the child)",NA,"never",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu assisto TV enquanto dou comida para o/a (nome da criança)","I watch TV while I feed (the child)",NA,"seldom",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu assisto TV enquanto dou comida para o/a (nome da criança)","I watch TV while I feed (the child)",NA,"half of the time",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu assisto TV enquanto dou comida para o/a (nome da criança)","I watch TV while I feed (the child)",NA,"most of the time",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu assisto TV enquanto dou comida para o/a (nome da criança)","I watch TV while I feed (the child)",NA,"always",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu não vejo problema em segurar a mamadeira para os bebês (enquanto eles estão mamando)","I don’t see a problem in holding the baby’s bottle",NA,"disagree",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu não vejo problema em segurar a mamadeira para os bebês (enquanto eles estão mamando)","I don’t see a problem in holding the baby’s bottle",NA,"slightly disagree",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu não vejo problema em segurar a mamadeira para os bebês (enquanto eles estão mamando)","I don’t see a problem in holding the baby’s bottle",NA,"neutral",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu não vejo problema em segurar a mamadeira para os bebês (enquanto eles estão mamando)","I don’t see a problem in holding the baby’s bottle",NA,"slightly agree",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Eu não vejo problema em segurar a mamadeira para os bebês (enquanto eles estão mamando)","I don’t see a problem in holding the baby’s bottle",NA,"agree",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Não tem problema deixar crianças pequenas ficarem andando enquanto comem, desde que elas comam","There is no problem in letting toddlers walk while they eat, as long as they do eat",NA,"disagree",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Não tem problema deixar crianças pequenas ficarem andando enquanto comem, desde que elas comam","There is no problem in letting toddlers walk while they eat, as long as they do eat",NA,"slightly disagree",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Não tem problema deixar crianças pequenas ficarem andando enquanto comem, desde que elas comam","There is no problem in letting toddlers walk while they eat, as long as they do eat",NA,"neutral",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Não tem problema deixar crianças pequenas ficarem andando enquanto comem, desde que elas comam","There is no problem in letting toddlers walk while they eat, as long as they do eat",NA,"slightly agree",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Não tem problema deixar crianças pequenas ficarem andando enquanto comem, desde que elas comam","There is no problem in letting toddlers walk while they eat, as long as they do eat",NA,"agree",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF6recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro o que o/a (nome da criança) come","I control what (the child) eats",NA,"always",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF6recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro o que o/a (nome da criança) come","I control what (the child) eats",NA,"most of the time",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF6recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro o que o/a (nome da criança) come","I control what (the child) eats",NA,"half of the time",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF6recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro o que o/a (nome da criança) come","I control what (the child) eats",NA,"seldom",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF6recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro o que o/a (nome da criança) come","I control what (the child) eats",NA,"never",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF7recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro a quantidade de comida que o/a (nome da criança) come","I control the amount of food (the child) eats",NA,"always",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF7recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro a quantidade de comida que o/a (nome da criança) come","I control the amount of food (the child) eats",NA,"most of the time",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF7recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro a quantidade de comida que o/a (nome da criança) come","I control the amount of food (the child) eats",NA,"half of the time",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF7recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro a quantidade de comida que o/a (nome da criança) come","I control the amount of food (the child) eats",NA,"seldom",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF7recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu monitoro a quantidade de comida que o/a (nome da criança) come","I control the amount of food (the child) eats",NA,"never",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF8recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma alimentos açucarados, como balas, sorvetes, bolos ou biscoitos","I make sure that (the child) doesn’t eat sugary foods, such as candy, ice cream, cakes or cookies",NA,"always",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF8recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma alimentos açucarados, como balas, sorvetes, bolos ou biscoitos","I make sure that (the child) doesn’t eat sugary foods, such as candy, ice cream, cakes or cookies",NA,"most of the time",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF8recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma alimentos açucarados, como balas, sorvetes, bolos ou biscoitos","I make sure that (the child) doesn’t eat sugary foods, such as candy, ice cream, cakes or cookies",NA,"half of the time",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF8recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma alimentos açucarados, como balas, sorvetes, bolos ou biscoitos","I make sure that (the child) doesn’t eat sugary foods, such as candy, ice cream, cakes or cookies",NA,"seldom",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF8recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma alimentos açucarados, como balas, sorvetes, bolos ou biscoitos","I make sure that (the child) doesn’t eat sugary foods, such as candy, ice cream, cakes or cookies",NA,"never",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF9recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma ""besteiras"" ou ""porcarias"", como batatas fritas de pacote ou outros salgadinhos de pacote","I make sure that (the child) doesn’t eat junk food, such as chips and Doritos",NA,"always",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF9recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma ""besteiras"" ou ""porcarias"", como batatas fritas de pacote ou outros salgadinhos de pacote","I make sure that (the child) doesn’t eat junk food, such as chips and Doritos",NA,"most of the time",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF9recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma ""besteiras"" ou ""porcarias"", como batatas fritas de pacote ou outros salgadinhos de pacote","I make sure that (the child) doesn’t eat junk food, such as chips and Doritos",NA,"half of the time",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF9recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma ""besteiras"" ou ""porcarias"", como batatas fritas de pacote ou outros salgadinhos de pacote","I make sure that (the child) doesn’t eat junk food, such as chips and Doritos",NA,"seldom",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF9recoded","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Eu fico atenta para que o/a (nome da criança) não coma ""besteiras"" ou ""porcarias"", como batatas fritas de pacote ou outros salgadinhos de pacote","I make sure that (the child) doesn’t eat junk food, such as chips and Doritos",NA,"never",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF10","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem nos lanches","Toddlers should be able to eat whatever they want for snack",NA,"disagree",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF10","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem nos lanches","Toddlers should be able to eat whatever they want for snack",NA,"slightly disagree",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF10","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem nos lanches","Toddlers should be able to eat whatever they want for snack",NA,"neutral",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF10","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem nos lanches","Toddlers should be able to eat whatever they want for snack",NA,"slightly agree",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF10","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem nos lanches","Toddlers should be able to eat whatever they want for snack",NA,"agree",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF11","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem quando estiverem comendo na rua ou fora de casa","Toddlers should be able to eat whatever they want when eating out at restaurants",NA,"disagree",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF11","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem quando estiverem comendo na rua ou fora de casa","Toddlers should be able to eat whatever they want when eating out at restaurants",NA,"slightly disagree",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF11","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem quando estiverem comendo na rua ou fora de casa","Toddlers should be able to eat whatever they want when eating out at restaurants",NA,"neutral",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF11","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem quando estiverem comendo na rua ou fora de casa","Toddlers should be able to eat whatever they want when eating out at restaurants",NA,"slightly agree",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_dietquality","LF11","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Qualidade da dieta","Diet quality","Crianças pequenas deveriam poder comer o que quiserem quando estiverem comendo na rua ou fora de casa","Toddlers should be able to eat whatever they want when eating out at restaurants",NA,"agree",NA,5
