"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","resp","option_text"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I feel a real compassion for everyone.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I don't like to get involved in listening to another person's troubles.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I don't like to get involved in listening to another person's troubles.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I don't like to get involved in listening to another person's troubles.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I don't like to get involved in listening to another person's troubles.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I don't like to get involved in listening to another person's troubles.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I don't like to get involved in listening to another person's troubles.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I don't like to get involved in listening to another person's troubles.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I'm easily irritated by people who argue with me.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I'm easily irritated by people who argue with me.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I'm easily irritated by people who argue with me.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I'm easily irritated by people who argue with me.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I'm easily irritated by people who argue with me.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I'm easily irritated by people who argue with me.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I'm easily irritated by people who argue with me.",NA,7,"strongly agree"
