table,section_id,item,instrument,instructions,section_prompt,item_text,correct_response,option_text,wording_rights,resp
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_12,Interpersonal Reactivity Index (IRI),,,Becoming extremely involved in a good book or movie is somewhat rare for me.,,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_12,Interpersonal Reactivity Index (IRI),,,Becoming extremely involved in a good book or movie is somewhat rare for me.,,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_12,Interpersonal Reactivity Index (IRI),,,Becoming extremely involved in a good book or movie is somewhat rare for me.,,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_12,Interpersonal Reactivity Index (IRI),,,Becoming extremely involved in a good book or movie is somewhat rare for me.,,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_13,Interpersonal Reactivity Index (IRI),,,"When I see someone get hurt, I tend to remain calm.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_13,Interpersonal Reactivity Index (IRI),,,"When I see someone get hurt, I tend to remain calm.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_13,Interpersonal Reactivity Index (IRI),,,"When I see someone get hurt, I tend to remain calm.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_13,Interpersonal Reactivity Index (IRI),,,"When I see someone get hurt, I tend to remain calm.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_13,Interpersonal Reactivity Index (IRI),,,"When I see someone get hurt, I tend to remain calm.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_15,Interpersonal Reactivity Index (IRI),,,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_15,Interpersonal Reactivity Index (IRI),,,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_15,Interpersonal Reactivity Index (IRI),,,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_15,Interpersonal Reactivity Index (IRI),,,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_15,Interpersonal Reactivity Index (IRI),,,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_16,Interpersonal Reactivity Index (IRI),,,"After seeing a play or movie, I have felt as though I were one of the characters.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_16,Interpersonal Reactivity Index (IRI),,,"After seeing a play or movie, I have felt as though I were one of the characters.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_16,Interpersonal Reactivity Index (IRI),,,"After seeing a play or movie, I have felt as though I were one of the characters.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_16,Interpersonal Reactivity Index (IRI),,,"After seeing a play or movie, I have felt as though I were one of the characters.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_16,Interpersonal Reactivity Index (IRI),,,"After seeing a play or movie, I have felt as though I were one of the characters.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_21,Interpersonal Reactivity Index (IRI),,,I believe that there are two sides to every question and try to look at them both.,,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_21,Interpersonal Reactivity Index (IRI),,,I believe that there are two sides to every question and try to look at them both.,,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_21,Interpersonal Reactivity Index (IRI),,,I believe that there are two sides to every question and try to look at them both.,,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_21,Interpersonal Reactivity Index (IRI),,,I believe that there are two sides to every question and try to look at them both.,,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_21,Interpersonal Reactivity Index (IRI),,,I believe that there are two sides to every question and try to look at them both.,,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_22,Interpersonal Reactivity Index (IRI),,,I would describe myself as a pretty soft-hearted person.,,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_22,Interpersonal Reactivity Index (IRI),,,I would describe myself as a pretty soft-hearted person.,,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_22,Interpersonal Reactivity Index (IRI),,,I would describe myself as a pretty soft-hearted person.,,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_22,Interpersonal Reactivity Index (IRI),,,I would describe myself as a pretty soft-hearted person.,,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_22,Interpersonal Reactivity Index (IRI),,,I would describe myself as a pretty soft-hearted person.,,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_23,Interpersonal Reactivity Index (IRI),,,"When I watch a good movie, I can very easily put myself in the place of a leading character.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_23,Interpersonal Reactivity Index (IRI),,,"When I watch a good movie, I can very easily put myself in the place of a leading character.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_23,Interpersonal Reactivity Index (IRI),,,"When I watch a good movie, I can very easily put myself in the place of a leading character.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_23,Interpersonal Reactivity Index (IRI),,,"When I watch a good movie, I can very easily put myself in the place of a leading character.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_23,Interpersonal Reactivity Index (IRI),,,"When I watch a good movie, I can very easily put myself in the place of a leading character.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_25,Interpersonal Reactivity Index (IRI),,,"When I'm upset at someone, I usually try to 'put myself in his shoes' for a while.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_25,Interpersonal Reactivity Index (IRI),,,"When I'm upset at someone, I usually try to 'put myself in his shoes' for a while.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_25,Interpersonal Reactivity Index (IRI),,,"When I'm upset at someone, I usually try to 'put myself in his shoes' for a while.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_25,Interpersonal Reactivity Index (IRI),,,"When I'm upset at someone, I usually try to 'put myself in his shoes' for a while.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_25,Interpersonal Reactivity Index (IRI),,,"When I'm upset at someone, I usually try to 'put myself in his shoes' for a while.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_26,Interpersonal Reactivity Index (IRI),,,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_26,Interpersonal Reactivity Index (IRI),,,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_26,Interpersonal Reactivity Index (IRI),,,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_26,Interpersonal Reactivity Index (IRI),,,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_26,Interpersonal Reactivity Index (IRI),,,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.",,describes me very well,NC,5
