table,name_surname,name_year,resolved_first_author,resolved_all_authors,resolved_year,doi,registrant,verdict,batch_date,proposed_name,note
goldberg_2018_eps_cesd,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/GCV3ZZ,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_eps_ipip,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/GCV3ZZ,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_eps_life_events,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/GCV3ZZ,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_eps_s11,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/GCV3ZZ,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_eps_spirituality,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/GCV3ZZ,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_pda525,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/GHYMEV,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sbo,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/WV5BYC,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_adjectives,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_desirability,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_force,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_happy,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_influ,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_ipip_temperament,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_likelihood,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_schwartz_values,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
goldberg_2018_sdv_views,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/LHHONE,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
duong_2025_tbl_confidence,duong,2025,Ngoc,Ngoc; Quynh; Hoang Thi Phuong,2025,10.1371/journal.pone.0323656,,name_order_ambiguous,8/4/2026,,"Vietnamese name ""Lan Duong Thi Ngoc"" parsed by Crossref as family=Ngoc; Duong is plausibly the family name"
duong_2025_tbl_experience,duong,2025,Ngoc,Ngoc; Quynh; Hoang Thi Phuong,2025,10.1371/journal.pone.0323656,,name_order_ambiguous,8/4/2026,,"Vietnamese name ""Lan Duong Thi Ngoc"" parsed by Crossref as family=Ngoc; Duong is plausibly the family name"
avci_2024_aktif_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_bagmsz_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_basrmaarzu_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_belirsiz_kac,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_bskdaykontrol_odak,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_gecmis_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_guc_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_ickontrol_odak,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_ikyoz_yeterlk,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_issahp_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_kazanc_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_kimlik_com,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_kimlik_dar,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_kimlik_miss,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_oz_norm,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_risk_algi,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_risk_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_sansdaykontrol_odak,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_statu_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_sureklgel_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_tmlamacoz_yeterlk,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_toplmfayd_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_urunpazgeloz_yeterlk,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_yatrmciliskoz_yeterlk,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_yencevolsoz_yeterlk,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_zorbasetoz_yeterlk,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
avci_2024_zorunluluk_gir_yonel,avci,2024,Avci,Avci,2025,10.17632/826gmw6ypw,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
frikha_2023_pe_acrs,frikha,2023,Frikha,Frikha; Mezghanni; Chaâri; Ben Said; Alibrahim; Alhumaid; Hassan; Alharbi; Amira; Abouzeid,2024,10.1371/journal.pone.0297822,,year_mismatch,6/24/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
frikha_2023_pe_ms,frikha,2023,Frikha,Frikha; Mezghanni; Chaâri; Ben Said; Alibrahim; Alhumaid; Hassan; Alharbi; Amira; Abouzeid,2024,10.1371/journal.pone.0297822,,year_mismatch,6/24/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
galindo_2023_beliefs,galindo,2023,GALINDO DOMINGUEZ,GALINDO DOMINGUEZ,2026,10.7910/dvn/edevgy,dataverse,year_mismatch,6/9/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
galindo_2023_emotional_intelligence,galindo,2023,GALINDO DOMINGUEZ,GALINDO DOMINGUEZ,2026,10.7910/dvn/edevgy,dataverse,year_mismatch,6/9/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
galindo_2023_loneliness,galindo,2023,GALINDO DOMINGUEZ,GALINDO DOMINGUEZ,2026,10.7910/dvn/edevgy,dataverse,year_mismatch,6/9/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
galindo_2023_social_support,galindo,2023,GALINDO DOMINGUEZ,GALINDO DOMINGUEZ,2026,10.7910/dvn/edevgy,dataverse,year_mismatch,6/9/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
lozano_2018_cognition,lozano,2018,Lozano,Lozano,2019,10.17632/3fhcxn3zd3,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
lozano_2018_getting_along,lozano,2018,Lozano,Lozano,2019,10.17632/3fhcxn3zd3,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
lozano_2018_life_activities,lozano,2018,Lozano,Lozano,2019,10.17632/3fhcxn3zd3,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
lozano_2018_mobility,lozano,2018,Lozano,Lozano,2019,10.17632/3fhcxn3zd3,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
lozano_2018_participation,lozano,2018,Lozano,Lozano,2019,10.17632/3fhcxn3zd3,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
lozano_2018_self_care,lozano,2018,Lozano,Lozano,2019,10.17632/3fhcxn3zd3,mendeley,year_mismatch,8/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
nteveros_2021_mbi,nteveros,2021,Nteveros,Nteveros; Kyprianou; Artemiadis; Charalampous; Christoforaki; Cheilidis; Germanos; Bargiotas; Chatzittofis; Zis,2020,10.1371/journal.pone.0241335,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
nteveros_2021_psqi_disturbance,nteveros,2021,Nteveros,Nteveros; Kyprianou; Artemiadis; Charalampous; Christoforaki; Cheilidis; Germanos; Bargiotas; Chatzittofis; Zis,2020,10.1371/journal.pone.0241335,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
nteveros_2021_who5,nteveros,2021,Nteveros,Nteveros; Kyprianou; Artemiadis; Charalampous; Christoforaki; Cheilidis; Germanos; Bargiotas; Chatzittofis; Zis,2020,10.1371/journal.pone.0241335,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
shin2024_creactability_adaptability,shin,2024,Shin,Shin; Kim; Lee; Lee,2025,10.3389/fspor.2025.1521073,,year_mismatch,6/8/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
shin2024_creactability_creativity,shin,2024,Shin,Shin; Kim; Lee; Lee,2025,10.3389/fspor.2025.1521073,,year_mismatch,6/8/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
shin2024_creactability_quickness,shin,2024,Shin,Shin; Kim; Lee; Lee,2025,10.3389/fspor.2025.1521073,,year_mismatch,6/8/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study1_authalien,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study1_authexternal,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study1_authliving,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study1_power,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study1_relationship,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study1_se,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study3_auth,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study3_power,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study3_se,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
wang_2016_study3_social_desirability,wang,2016,Wang,Wang,2015,10.1371/journal.pone.0146050,,year_mismatch,7/27/2026,,"name year vs record year differ; DOI column often holds the dataset DOI, whose year is the deposit year"
marquezpalacios_2026_bdi2,marquezpalacios,2026,,,,,,no_doi_unverifiable,8/3/2026,,"DOI cell empty; URL implies 10.17605/osf.io/6DUTB, which is not registered with Crossref or DataCite"
opladen2025_edeq,opladen,2025,,,,,,no_doi_unverifiable,6/8/2026,,"DOI cell empty; URL implies 10.17605/osf.io/58XB9, which is not registered with Crossref or DataCite"
opladen2025_fkg,opladen,2025,,,,,,no_doi_unverifiable,6/8/2026,,"DOI cell empty; URL implies 10.17605/osf.io/58XB9, which is not registered with Crossref or DataCite"
opladen2025_fks,opladen,2025,,,,,,no_doi_unverifiable,6/8/2026,,"DOI cell empty; URL implies 10.17605/osf.io/58XB9, which is not registered with Crossref or DataCite"
opladen2025_wi,opladen,2025,,,,,,no_doi_unverifiable,6/8/2026,,"DOI cell empty; URL implies 10.17605/osf.io/58XB9, which is not registered with Crossref or DataCite"
schoepp2022_test_anxiety,schoepp,2022,,,,,,no_doi_unverifiable,7/13/2026,,"DOI cell empty; URL implies 10.17605/osf.io/R67WB, which is not registered with Crossref or DataCite"
aguirre_camacho_2021_champion,,,,,,10.1371/journal.pone.0249562,,not_author_named,7/30/2026,,
aguirre_camacho_2021_shai,,,,,,10.1371/journal.pone.0249562,,not_author_named,7/30/2026,,
burnout_assessment_tool_teachers,,,,,,10.7910/DVN/NFREES,dataverse,not_author_named,6/7/2026,,
chen2022b_psychabuse,,,,,,10.3389/fpsyg.2022.852256,,not_author_named,7/26/2026,,
chen2022b_selfesteem,,,,,,10.3389/fpsyg.2022.852256,,not_author_named,7/26/2026,,
chen2022b_socsupport,,,,,,10.3389/fpsyg.2022.852256,,not_author_named,7/26/2026,,
cinar_tanriverdi_2023_gad7,,,,,,10.1371/journal.pone.0288769,,not_author_named,7/26/2026,,
cinar_tanriverdi_2023_pmss,,,,,,10.1371/journal.pone.0288769,,not_author_named,7/26/2026,,
colomer_perez_2021_asa,,,,,,10.1371/journal.pone.0260827,,not_author_named,8/1/2026,,
colomer_perez_2021_soc13,,,,,,10.1371/journal.pone.0260827,,not_author_named,8/1/2026,,
conspiracy_asd__asd_aq10,,,,,,,,not_author_named,6/7/2026,,
conspiracy_asd__cognitive_flexibility,,,,,,,,not_author_named,6/7/2026,,
conspiracy_asd__conspiracy_gcbs,,,,,,,,not_author_named,6/7/2026,,
conspiracy_asd__schizotypy,,,,,,,,not_author_named,6/7/2026,,
conspiracy_asd__thinking_styles,,,,,,,,not_author_named,6/7/2026,,
contreras_valdez_2022_bsq,,,,,,10.1371/journal.pone.0266507,,not_author_named,7/26/2026,,
contreras_valdez_2022_edeq,,,,,,10.1371/journal.pone.0266507,,not_author_named,7/26/2026,,
contreras_valdez_2022_rses,,,,,,10.1371/journal.pone.0266507,,not_author_named,7/26/2026,,
dass21_depression_anxiety_stress,,,,,,10.7910/DVN/TAISB2,dataverse,not_author_named,6/7/2026,,
dass21_medical_graduates_bangladesh,,,,,,10.7910/DVN/NZ7VFL,dataverse,not_author_named,6/7/2026,,
de_vries_2022_bat_burnout_core,,,,,,10.1371/journal.pone.0272095,,not_author_named,8/10/2026,,
de_vries_2022_bat_secondary,,,,,,10.1371/journal.pone.0272095,,not_author_named,8/10/2026,,
de_vries_2022_eudaimonic_wellb,,,,,,10.1371/journal.pone.0272095,,not_author_named,8/10/2026,,
de_vries_2022_hexaco_meta,,,,,,10.1371/journal.pone.0272095,,not_author_named,8/10/2026,,
de_vries_2022_hexaco_other,,,,,,10.1371/journal.pone.0272095,,not_author_named,8/10/2026,,
de_vries_2022_hexaco_self,,,,,,10.1371/journal.pone.0272095,,not_author_named,8/10/2026,,
di_riso_2025_contact_behavior,,,,,,10.1371/journal.pone.0314607,,not_author_named,7/26/2026,,
di_riso_2025_mask_emotion,,,,,,10.1371/journal.pone.0314607,,not_author_named,7/26/2026,,
dpt_noncog__emotional_intelligence,,,,,,,,not_author_named,6/7/2026,,
dpt_noncog__grit,,,,,,,,not_author_named,6/7/2026,,
