"table","instrument","language","instructions","section_id","section_prompt","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_5","The mask made me feel safe from infection during therapy.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_5","The mask made me feel safe from infection during therapy.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_6","The mask made me feel safer from the therapist’s judgments.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_6","The mask made me feel safer from the therapist’s judgments.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_6","The mask made me feel safer from the therapist’s judgments.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_6","The mask made me feel safer from the therapist’s judgments.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_6","The mask made me feel safer from the therapist’s judgments.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_7","The mask made it easier for me to open up and talk about myself.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_7","The mask made it easier for me to open up and talk about myself.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_7","The mask made it easier for me to open up and talk about myself.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_7","The mask made it easier for me to open up and talk about myself.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_7","The mask made it easier for me to open up and talk about myself.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_8","The mask on my face made the therapist pay less attention to my appearance.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_8","The mask on my face made the therapist pay less attention to my appearance.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_8","The mask on my face made the therapist pay less attention to my appearance.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_8","The mask on my face made the therapist pay less attention to my appearance.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_8","The mask on my face made the therapist pay less attention to my appearance.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_9","With a mask, I could concentrate better on my issues.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_9","With a mask, I could concentrate better on my issues.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_9","With a mask, I could concentrate better on my issues.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_9","With a mask, I could concentrate better on my issues.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_9","With a mask, I could concentrate better on my issues.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_10","With the mask, I could hide parts of my face that I did not like during the therapy sessions.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_10","With the mask, I could hide parts of my face that I did not like during the therapy sessions.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_10","With the mask, I could hide parts of my face that I did not like during the therapy sessions.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_10","With the mask, I could hide parts of my face that I did not like during the therapy sessions.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_10","With the mask, I could hide parts of my face that I did not like during the therapy sessions.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_11","When I briefly removed the mask (blowing my nose, crying), I had a bad conscience towards the therapist.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_11","When I briefly removed the mask (blowing my nose, crying), I had a bad conscience towards the therapist.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_11","When I briefly removed the mask (blowing my nose, crying), I had a bad conscience towards the therapist.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_11","When I briefly removed the mask (blowing my nose, crying), I had a bad conscience towards the therapist.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_11","When I briefly removed the mask (blowing my nose, crying), I had a bad conscience towards the therapist.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_12","The mask on my face caused me anxiety.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_12","The mask on my face caused me anxiety.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_12","The mask on my face caused me anxiety.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_12","The mask on my face caused me anxiety.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_12","The mask on my face caused me anxiety.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_13","The mask on my face triggered unpleasant memories from my past.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_13","The mask on my face triggered unpleasant memories from my past.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_13","The mask on my face triggered unpleasant memories from my past.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_13","The mask on my face triggered unpleasant memories from my past.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_13","The mask on my face triggered unpleasant memories from my past.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_14","The mask on my face triggered or intensified a feeling of shortness of breath in the therapy session.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_14","The mask on my face triggered or intensified a feeling of shortness of breath in the therapy session.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_14","The mask on my face triggered or intensified a feeling of shortness of breath in the therapy session.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_14","The mask on my face triggered or intensified a feeling of shortness of breath in the therapy session.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_14","The mask on my face triggered or intensified a feeling of shortness of breath in the therapy session.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_15","The mask on my face made me feel disfigured.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_15","The mask on my face made me feel disfigured.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_15","The mask on my face made me feel disfigured.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_15","The mask on my face made me feel disfigured.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_15","The mask on my face made me feel disfigured.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_16","The mask created a distance between me and the therapist.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_16","The mask created a distance between me and the therapist.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_16","The mask created a distance between me and the therapist.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_16","The mask created a distance between me and the therapist.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_16","The mask created a distance between me and the therapist.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_18","The therapist’s mask triggered unpleasant memories from my past.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_18","The therapist’s mask triggered unpleasant memories from my past.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_18","The therapist’s mask triggered unpleasant memories from my past.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_18","The therapist’s mask triggered unpleasant memories from my past.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_18","The therapist’s mask triggered unpleasant memories from my past.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_19","The therapist’s mask made it harder for me to trust the therapist than if he/she did not wear a mask.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_19","The therapist’s mask made it harder for me to trust the therapist than if he/she did not wear a mask.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_19","The therapist’s mask made it harder for me to trust the therapist than if he/she did not wear a mask.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_19","The therapist’s mask made it harder for me to trust the therapist than if he/she did not wear a mask.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_19","The therapist’s mask made it harder for me to trust the therapist than if he/she did not wear a mask.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_20","The therapist’s mask made him/her look disfigured to me.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_20","The therapist’s mask made him/her look disfigured to me.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_20","The therapist’s mask made him/her look disfigured to me.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_20","The therapist’s mask made him/her look disfigured to me.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_20","The therapist’s mask made him/her look disfigured to me.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_21","The therapist’s mask caused fear in me.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_21","The therapist’s mask caused fear in me.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_21","The therapist’s mask caused fear in me.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_21","The therapist’s mask caused fear in me.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_21","The therapist’s mask caused fear in me.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_22","The therapist’s mask made me feel less distracted by his/her appearance.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_22","The therapist’s mask made me feel less distracted by his/her appearance.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_22","The therapist’s mask made me feel less distracted by his/her appearance.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_22","The therapist’s mask made me feel less distracted by his/her appearance.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_22","The therapist’s mask made me feel less distracted by his/her appearance.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_23","The therapist’s mask distracted me from the therapy session.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_23","The therapist’s mask distracted me from the therapy session.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_23","The therapist’s mask distracted me from the therapy session.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_23","The therapist’s mask distracted me from the therapy session.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_23","The therapist’s mask distracted me from the therapy session.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_24","The therapist's mask made me feel better protected from infection.",NA,NA,1,"definitely disagree",NA
