"table","instrument","instructions","section_id","section_prompt","item","item_text","correct_response","option_text","resp"
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_04","Sometimes I feel that I am not really the person that I appear to be.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_04","Sometimes I feel that I am not really the person that I appear to be.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_04","Sometimes I feel that I am not really the person that I appear to be.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_05","When I think about the kind of person I have been in the past, I'm not sure what I was really like.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_05","When I think about the kind of person I have been in the past, I'm not sure what I was really like.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_05","When I think about the kind of person I have been in the past, I'm not sure what I was really like.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_05","When I think about the kind of person I have been in the past, I'm not sure what I was really like.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_05","When I think about the kind of person I have been in the past, I'm not sure what I was really like.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_06","I seldom experience conflict between the different aspects of my personality.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_06","I seldom experience conflict between the different aspects of my personality.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_06","I seldom experience conflict between the different aspects of my personality.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_06","I seldom experience conflict between the different aspects of my personality.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_06","I seldom experience conflict between the different aspects of my personality.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_07","Sometimes I think I know other people better than I know myself.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_07","Sometimes I think I know other people better than I know myself.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_07","Sometimes I think I know other people better than I know myself.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_07","Sometimes I think I know other people better than I know myself.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_07","Sometimes I think I know other people better than I know myself.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_08","My beliefs about myself seem to change very frequently.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_08","My beliefs about myself seem to change very frequently.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_08","My beliefs about myself seem to change very frequently.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_08","My beliefs about myself seem to change very frequently.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_08","My beliefs about myself seem to change very frequently.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_09","If I were asked to describe my personality, my description might end up being different from one day to another day.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_09","If I were asked to describe my personality, my description might end up being different from one day to another day.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_09","If I were asked to describe my personality, my description might end up being different from one day to another day.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_09","If I were asked to describe my personality, my description might end up being different from one day to another day.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_09","If I were asked to describe my personality, my description might end up being different from one day to another day.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_10","Even if I wanted to, I don't think I could tell someone what I'm really like.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_10","Even if I wanted to, I don't think I could tell someone what I'm really like.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_10","Even if I wanted to, I don't think I could tell someone what I'm really like.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_10","Even if I wanted to, I don't think I could tell someone what I'm really like.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_10","Even if I wanted to, I don't think I could tell someone what I'm really like.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_11","In general, I have a clear sense of who I am and what I am.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_11","In general, I have a clear sense of who I am and what I am.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_11","In general, I have a clear sense of who I am and what I am.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_11","In general, I have a clear sense of who I am and what I am.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_11","In general, I have a clear sense of who I am and what I am.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_12","It is often hard for me to make up my mind about things because I don't really know what I want.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_12","It is often hard for me to make up my mind about things because I don't really know what I want.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_12","It is often hard for me to make up my mind about things because I don't really know what I want.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_12","It is often hard for me to make up my mind about things because I don't really know what I want.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_12","It is often hard for me to make up my mind about things because I don't really know what I want.",NA,"strongly agree",5
