Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
art,Data from the author recognition test,https://osf.io/xacbt/?view_only=c2151ae633924b0993ae0bebf7e0a074,"McCarron, S.P., Kuperman, V. Is the author recognition test a useful metric for native and non-native English speakers? An item response theory analysis. Behav Res 53, 2226–2237 (2021). https://doi.org/10.3758/s13428-021-01556-y",CC-By Attribution 4.0 International,Public,CC BY 4.0,Data have been modified. Original data license at: https://creativecommons.org/licenses/by/4.0/,BD,,,,,,,,,,Unknown,Unknown
artistic_preferences,Data on individual differences in what people enjoy about visual art,http://openpsychometrics.org/_rawdata/,Artistic Preferences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/APS_data.zip,Copyright: CC BY-NC-SA 4.0,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
assistments_0910,Response data for skill-building and non-skill-building items from ASSISTments. Data from SY 2009-10,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data,,,,,,LCM,,Educational Ability,Unknown,K-12 Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
assistments_1213,Response data for items from ASSISTments. Data from SY 2012-13,https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect,,,,,,LCM,,Educational Ability,Unknown,K-12 Students,"Cognitive Skills, Affective Measures",Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
assistments_1516,Response data for items from ASSISTments. Data from SY 2015-16,https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data,,,,,,LCM,,Educational Ability,Unknown,K-12 Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
assistments_2017,"Response data for items from ASSISTments. Data from ASSISTments Data Mining Competition 2017
",https://sites.google.com/view/assistmentsdatamining/dataset,,,,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
autonomysupport_mokken,Autonomy support ratings of teachers by students,https://cran.r-project.org/web/packages/mokken/index.html,"Koopman, L., Zijlstra, B. J., & van der Ark, L. A. (2020). Standard errors of two‐level scalability coefficients. British Journal of Mathematical and Statistical Psychology, 73(2), 213-236.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Unknown,Continuous,Students,Unknown,Unknown,Unknown,Questionnaire-based,Educational Assessment,Unknown,Unknown
balance_mokken,Toddler's performance on balancing tasks,https://cran.r-project.org/web/packages/mokken/index.html,"Van Maanen, L., Been, P. H., & Sijtsma, K. (1989). Problem solving strategies and the linear logistic test model. In Mathematical psychology in progress (pp. 267-287). Springer.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Physical Development,Unknown,Toddlers,Balancing Tasks,Unknown,Unknown,Unknown,Physical Development Assessment,Unknown,Unknown
big5_sirt,Data from a big 5 measure,https://cran.r-project.org/web/packages/sirt/index.html,"Dolan, C. V., Oort, F. J., Stoel, R. D., & Wicherts, J. M. (2009). Testing measurement invariance in the target rotated multigroup exploratory factor model. Structural Equation Modeling: A Multidisciplinary Journal, 16(2), 295-314.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,,Unknown,Unknown,Unknown,Unknown,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
blocked_interleaved_instruction,Items from a study testing difference between blocked and interleaved instruction for fraction addition and multiplication,https://pslcdatashop.web.cmu.edu/Files?datasetId=1190,"Patel, R., Liu, R., Koedinger, K. (2017) Dissertation data [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=1190",,,,,LCM,,Educational Ability,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
bpi_mplus,Behavior problems index from NLSY,https://www.tqmp.org/RegularArticles/vol17-2/p141/,"Kim, M., Winkler, C., & Talley, S. (2021). Binary item CFA of Behavior Problem Index (BPI) using Mplus: A step-by-step tutorial. The Quantitative Methods for Psychology, 17, 141-153.",email,,,,BD,,Behavioral Measures,Dichotomous,Unknown,Behavioral Measures,Unknown,Unknown,Unknown,Unknown,Dichotomous,Unknown
brain_hemisphere,"Data from an interactive version of the Open Hemispheric Brain Dominance Scale survey, a measure of left and right brain cognitive style",http://openpsychometrics.org/_rawdata/,"Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip",,Public,CC BY 4.0,,LCM,,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Survey-based,Educational Assessment,Unknown,Unknown
broadband_inventories,"Data from an interactive personality test that combines the scales from 8 different well regarded tests into one.

",http://openpsychometrics.org/_rawdata/,"Yarkoni, T. (2010). The abbreviation of personality, or how to measure 200 personality scales with 200 items. Journal of Research in Personality, 44, 180-198.",,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Global
cavalini_mokken,Coping with noxious factory odor.,https://cran.r-project.org/web/packages/mokken/index.html,"Cavalini, P. M. (1992). It’s an ill wind that brings no good. Studies on odour annoyance and the dispersion of odorant concentrations from industries. Unpublished doctoral disseratation. University of Groningen, The Netherlands.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
cdm_ecpe,Data from an English proficiency exam (ECPE),https://cran.r-project.org/web/packages/CDM/index.html,"Templin, J., & Hoffman, L. (2013). Obtaining diagnostic classification model estimates using Mplus. Educational Measurement: Issues and Practice, 32, 37-50.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Unknown,Polytomous,Unknown,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cdm_hr,Data from a high-stakes reading comprehension test,https://cran.r-project.org/web/packages/CDM/index.html,"Ravand, H., Barati, H., & Widhiarso, W. (2013). Exploring diagnostic capacity of a high stakes reading comprehension test: A pedagogical demonstration. Iranian Journal of Language Testing, 3(1), 1-27.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Educational Ability,Dichotomous and Polytomous,Unknown,Cognitive Skills,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cdm_pisa00R,Subset of PISA reading test with Q matrix.,https://cran.r-project.org/web/packages/CDM/index.html,"Chen, J., & de la Torre, J. (2014). A procedure for diagnostically modeling extant large-scale assessment data: the case of the programme for international student assessment in reading. Psychology, 5(18), 1967-1978.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Cognitive Skills,Dichotomous and Polytomous,Unknown,Educational,Cognitive Diagnosis Modeling and Multidimensional Item Response Modeling,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cdm_timss03,Subset of TIMSS math items with Q matrix,https://cran.r-project.org/web/packages/CDM/index.html,"Su, Y.-L., Choi, K. M., Lee, W.-C., Choi, T., & McAninch, M. (2013). Hierarchical cognitive diagnostic analysis for TIMSS 2003 mathematics. CASMA Research Report 35. Center for Advanced Studies in Measurement and Assessment (CASMA), University of Iowa.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Cognitive Skills,Polytomous,Unknown,Unknown,Item Response Theory,Unknown,Unknown,Educational Assessment,Unknown,Unknown
cdm_timss07,Subsample of TIMSS items from Australia with Q matrix,https://cran.r-project.org/web/packages/CDM/index.html,"Lee, Y. S., Park, Y. S., & Taylan, D. (2011). A cognitive diagnostic modeling of attribute mastery in Massachusetts, Minnesota, and the US national sample using the TIMSS 2007. International Journal of Testing, 11, 144-177.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Cognitive Skills,Unknown,Unknown,Unknown,Latent Class Analysis,Unknown,Unknown,Educational Assessment,Unknown,Australia
cdm_timss11,Austrian TIMSS data with Q matrix,https://cran.r-project.org/web/packages/CDM/index.html,"George, A. C., & Robitzsch, A. (2014). Multiple group cognitive diagnosis models, with an emphasis on differential item functioning. Psychological Test and Assessment Modeling, 56(4), 405-432",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Cognitive Skills,Dichotomous and Polytomous,Unknown,Unknown,Cognitive Diagnosis Modeling and Multidimensional Item Response Modeling,Unknown,Unknown,Educational Assessment,Unknown,Austrian
chemistry_tutor,"Over 10-week sequence of problem-solving activities, undergraduate students received either (1) fixed sequence of sense-making support and perceptual-fluency, or (2) adaptively assigned supports based on solving interactions. Findings were used to understand which intervention helped facilitate reduced confusion and mistake-making while problem solving in chemistry",https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=4666,"Rau, M. A., Zahn, M., Misback, E., Herder, T., & Burstyn, J. (2021). Adaptive support for representational competencies during technology-based problem solving in chemistry [data set]. Journal of the Learning Sciences. doi:10.1080/10508406.2021.1888733",,,,,LCM,,Educational Ability,Unknown,Undergraduate Students,Problem-solving in Chemistry,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
chess_lnirt,Data from the Amsterdam Chess test,https://cran.r-project.org/web/packages/LNIRT/index.html,"Van Der Maas, H. L., & Wagenmakers, E. J. (2005). A psychometric analysis of chess expertise. The American journal of psychology, 118(1), 29-60.",GPL-3,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Cognitive Skills,Response Time,Unknown,Chess Skills,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,Unknown
chinese_vocabulary_learning,Likert scale items evaluating students' Chinese language learning strategies,https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459,"Pavlik, P. (2011). Motivation and Metacognition in Chinese Vocabulary Learning, Experiment 4 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459
",,,,,LCM,,Unknown,Likert Scale,Students,Chinese language learning strategies,Unknown,Unknown,Unknown,Educational Assessment,Likert Scale,Unknown
close_relationships,"Data from an interactive version of the Experinces in Close Relationships Scale by Kelly Brennan, Catherine Clark and Phillip Shaver.",http://openpsychometrics.org/_rawdata/,(2018). Experiences in Close Relationships Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip,,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cmu_algebra_2006,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2005-2006. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,,,LCM,,Educational Ability,Dichotomous,Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cmu_algebra_2007,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,,,LCM,,Educational Ability,Dichotomous,Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cmu_algebra_2009,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,,,LCM,,Educational Ability,Dichotomous,Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cmu_bridging_algebra_2007,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,,,LCM,,Educational Ability,Dichotomous,Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
cmu_bridging_algebra_2009,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,,,LCM,,Educational Ability,Dichotomous,Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
consideration_future_consequences,Likert scale responses statements on how actions may effect future consequences,http://openpsychometrics.org/_rawdata/,Consideration of Future Consequences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/CFCS.zip,,Public,CC BY 4.0,,LCM,,Unknown,Polytomous,Unknown,Affective Measures,Unknown,Unknown,Unknown,Educational Assessment,Likert Scale,Global
content_literacy_interention_g1,"Items from a randomized trial to improve reading comprehension, science domain knowledge, and reading engagement via literacy inteventions in 1st grade",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RVJIMX,"Kim, James S.; Burkhauser, Mary; Mesite, Laura; Asher, Catherine A.; Relyea, Jackie Eunjung; Fitzgerald, Jill; Elmore, Jeff, 2021, ""Replication data for: Improving Reading Comprehension, Science Domain Knowledge, and Reading Engagement through a First-Grade Content Literacy Intervention"", https://doi.org/10.7910/DVN/RVJIMX, Harvard Dataverse, V1, UNF:6:BSUJnLmkvmj0YSTQr3MZAA== [fileUNF]",Custom terms: https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RVJIMX&version=1.0&selectTab=termsTab,Public,CC BY 4.0,"• Should this data be used in subsequent research that is published or presented, the original publishers of the data at the READS Lab at Harvard University's Graduate School of Education must be notified. Please email Ethan Scherer (ethan_scherer@gse.harvard.edu).
• This data in its original and transformed version do not represent the opinions of their original publishers from READS Lab at Harvard University's Graduate School of Education or their funders",LCM,,Educational Ability,Unknown,1st Grade Students,"Reading Comprehension, Science Domain Knowledge, Reading Engagement",Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
kim2023,Items from a randomized trial to assess transfer effects on students' reading comprehension outcomes,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LAWFFU&version=2.1&selectTab=termsTab,"James S. Kim; Mary A. Burkhauser; Jackie E. Relyea; Joshua B. Gilbert; Ethan Scherer; Jill Fitzgerald; Douglas Mosher; Joseph McIntyre, 2022, ""Replication Data for: A Longitudinal Randomized Trial of a Sustained Content Literacy Intervention from First to Second Grade: Transfer Effects on Students’ Reading Comprehension Outcomes"", https://doi.org/10.7910/DVN/LAWFFU, Harvard Dataverse, V2, UNF:6:VATSovKxwaqyJAT6ZzzfBw== [fileUNF]",Custom terms: https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LAWFFU&version=2.1&selectTab=termsTab,Public,CC BY 4.0,"• Should this data be used in subsequent research that is published or presented, the original publishers of the data at the READS Lab at Harvard University's Graduate School of Education must be notified. Please email Ethan Scherer (ethan_scherer@gse.harvard.edu).
• This data in its original and transformed version do not represent the opinions of their original publishers from READS Lab at Harvard University's Graduate School of Education or their funders",LCM,,Educational Ability,Unknown,K-12 Students,Reading Comprehension,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
coomansaddition,Arithmetic items from MathGarden,https://osf.io/pbuvj/files/osfstorage,"Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.",email sent may 24,Private,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
coomansdivision,Arithmetic items from MathGarden,https://osf.io/pbuvj/files/osfstorage,"Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.",email,Private,,,BD,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
coomansletterchaos,"Tasks from game ""Letter Chaos""",https://osf.io/pbuvj/files/osfstorage,"Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.",email,Private,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
coomansmultiplication,Arithmetic items from MathGarden,https://osf.io/pbuvj/files/osfstorage,"Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.",email,Private,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
coomansset,"Tasks from game ""Set""",https://osf.io/pbuvj/files/osfstorage,"Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.",email,Private,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
coomanssubtraction,Arithmetic items from MathGarden,https://osf.io/pbuvj/files/osfstorage,"Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.",email,Private,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
credentialform_lnirt,Responses and response times from a credentialing dataset with suspected cheating.,https://cran.r-project.org/web/packages/LNIRT/index.html,"Cizek, G. J., & Wollack, J. A. (Eds.). (2016). Handbook of quantitative methods for detecting cheating on tests. Abingdon, England: Routledge.",GPL-3,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Unknown,Response Time,Unknown,Cognitive Skills,Item Response Theory,Unknown,Unknown,Credentialing Dataset with Suspected Cheating,Unknown,Unknown
csedm_data_challenge_fall2019full,Additional item-level data from the 2019 CSEDM workshop released after challenge end ,https://pslcdatashop.web.cmu.edu/Files?datasetId=3458,"Rivers, K., Price, T. (2019). 2nd CSEDM Data Challenge - F19 All Data v1.0 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2865",,Private,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
csedm_data_challenge_spring2019full,Additional item-level data from the 2019 CSEDM workshop released in Spring 2019 ,https://pslcdatashop.web.cmu.edu/Files?datasetId=3459,"Rivers, K., Price, T. (2019). 2nd CSEDM Data Challenge - S19 All Data v1.0 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2866",,Private,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
csedm_data_challenge,Programming IRW and process data from the 2019 Education Data Mining in Computer Science Education workshop,https://pslcdatashop.web.cmu.edu/Files?datasetId=2865,"Rivers, K., Price, T. (2019). CSEDM Data Challenge v1.1 (Updated 2019/01/29) [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2865",,Private,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
cub_relgoods,Survey of leisure time usage,https://cran.r-project.org/web/packages/CUB/index.html,http://www.labstat.it/home/wp-content/uploads/2015/09/relgoods.txt,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
cure_data,Data on undergraduate students' attitudes towards science pre- and post-participation in a protein-centric CURE,https://ldbase.org/datasets/52d68819-205b-446e-9dd2-35b5982f6aca,"Eddy, R., Koletar, C., Galport, N., Bell, J. E., Bell, J. K., & Provost, J. (2022). CURE Survey Pretest and Post-Test Student Data. LDbase. https://doi.org/10.33009/ldbase.1667941609.e3ab
","Open Data Commons Attribution License (ODC-By)
",Public,CC BY 4.0,,LCM,,Attitudes towards Science,Unknown,Undergraduate Students,Affective Measures,Unknown,Unknown,Survey-based,Educational Assessment,Unknown,U.S.-based
dd_rotation,Data on mental rotation tasks,https://cran.r-project.org/web/packages/diffIRT/index.html,"Borst, G., Kievit, R. A., Thompson, W. L., & Kosslyn, S. M. (2011). Mental rotation is not easily cognitively penetrable. Journal of Cognitive Psychology, 23(1), 60-75.",GPL-2,Public,GPL-2,Data modified from original on 1-25-2023,BD,,Cognitive Skills,Response Time,Unknown,Unknown,Item Response Theory,Unknown,Behavioral Task-based,Unknown,Unknown,Unknown
deception_game,Data on feelings of deception after playing an online game,https://osf.io/f3kzr/,"Krasnow, M.M., Howard, R.M. & Eisenbruch, A.B. The importance of being honest? Evidence that deception may not pollute social science subject pools after all. Behav Res 52, 1175–1188 (2020). https://doi.org/10.3758/s13428-019-01309-y

",CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,Data modified from original on 4-27-2023.,LCM,,Feelings of Deception,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
deception_professors,Data on professors' feelings on deception in academia,https://osf.io/f3kzr/,"Krasnow, M.M., Howard, R.M. & Eisenbruch, A.B. The importance of being honest? Evidence that deception may not pollute social science subject pools after all. Behav Res 52, 1175–1188 (2020). https://doi.org/10.3758/s13428-019-01309-y

",CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,Data modified from original on 4-27-2023.,LCM,,Unknown,Unknown,Professors,Feelings on deception in academia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
