"table","section_id","item","instrument","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","resp","language"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_c","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.","12 + 8","12 + 8",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_c","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.","12 + 8","12 + 8",NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_d","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.","9 + 9 + 9","9 + 9 + 9",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_d","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.","9 + 9 + 9","9 + 9 + 9",NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_5","mathwrit_std12_subt1d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.","8 - 3","8 - 3",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_5","mathwrit_std12_subt1d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.","8 - 3","8 - 3",NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_5","mathwrit_std12_subt1d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_5","mathwrit_std12_subt1d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_6","mathwrit_std12_nm_name","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"नीचे दिए गए संख्या को शब्दों में लिखो।","Write the number given below in words.","16","16",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_6","mathwrit_std12_nm_name","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"नीचे दिए गए संख्या को शब्दों में लिखो।","Write the number given below in words.","16","16",NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_7","mathwrit_std12_num","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"नीचे दिए गए संख्या को अंकों में लिखो।","Write the number given below in numerals.","अठारह","eighteen",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_7","mathwrit_std12_num","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"नीचे दिए गए संख्या को अंकों में लिखो।","Write the number given below in numerals.","अठारह","eighteen",NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_8","mathwrit_std12_add2d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"जोड़ोः","Add:",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_8","mathwrit_std12_add2d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"जोड़ोः","Add:",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_8","mathwrit_std12_add2d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"जोड़ोः","Add:",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_8","mathwrit_std12_add2d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"जोड़ोः","Add:",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:","75 - 62","75 - 62",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:","75 - 62","75 - 62",NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_c","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_c","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_d","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:","31 - 13","31 - 13",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_9","mathwrit_std12_subt2d_d","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"घटाओः","Subtract:","31 - 13","31 - 13",NA,NA,1,"Hindi"
