"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","raw_resp"
"gilbert_meta_23","gilbert_meta_23_1","5code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Sam is counting backward by ones. What number will Sam say right after he says sixteen?","C","5",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","5code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Sam is counting backward by ones. What number will Sam say right after he says sixteen?","C","7",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","5code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Sam is counting backward by ones. What number will Sam say right after he says sixteen?","C","15",1,"C"
"gilbert_meta_23","gilbert_meta_23_1","5code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Sam is counting backward by ones. What number will Sam say right after he says sixteen?","C","17",0,"D"
"gilbert_meta_23","gilbert_meta_23_1","6code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count by 1s from the number 54. Fill in the blanks. 54, 55, ___, ___, ___, 59, ___, 61, ___, ___","56, 57, 58, 60, 62, 63",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","6code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count by 1s from the number 54. Fill in the blanks. 54, 55, ___, ___, ___, 59, ___, 61, ___, ___","56, 57, 58, 60, 62, 63",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","7code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count by 10s from the number 10. Numbers to drag: 50, 55, 95, 100. 10, 20, 30, 40, ___, 60, 70, 80, 90, ___","50, 100",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","7code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count by 10s from the number 10. Numbers to drag: 50, 55, 95, 100. 10, 20, 30, 40, ___, 60, 70, 80, 90, ___","50, 100",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","8code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","How many birds are shown below?","B","11",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","8code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","How many birds are shown below?","B","7",1,"B"
"gilbert_meta_23","gilbert_meta_23_1","8code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","How many birds are shown below?","B","8",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","9code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","How many buttons are there in all?","C","12",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","9code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","How many buttons are there in all?","C","15",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","9code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","How many buttons are there in all?","C","16",1,"C"
"gilbert_meta_23","gilbert_meta_23_1","9code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","How many buttons are there in all?","C","20",0,"D"
"gilbert_meta_23","gilbert_meta_23_1","10code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","A group of circles is shown. Which of these groups represents the same number of circles?","B",NA,0,"A"
"gilbert_meta_23","gilbert_meta_23_1","10code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","A group of circles is shown. Which of these groups represents the same number of circles?","B",NA,1,"B"
"gilbert_meta_23","gilbert_meta_23_1","10code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","A group of circles is shown. Which of these groups represents the same number of circles?","B",NA,0,"C"
"gilbert_meta_23","gilbert_meta_23_1","11code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Philip has ten tiles. He put them in two groups, one with two tiles and one with eight tiles. Which picture shows another way to group the ten tiles?","B",NA,0,"A"
"gilbert_meta_23","gilbert_meta_23_1","11code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Philip has ten tiles. He put them in two groups, one with two tiles and one with eight tiles. Which picture shows another way to group the ten tiles?","B",NA,1,"B"
"gilbert_meta_23","gilbert_meta_23_1","11code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Philip has ten tiles. He put them in two groups, one with two tiles and one with eight tiles. Which picture shows another way to group the ten tiles?","B",NA,0,"C"
"gilbert_meta_23","gilbert_meta_23_1","12code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Complete the number sentence: 10 = _____ + 5","B","4",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","12code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Complete the number sentence: 10 = _____ + 5","B","5",1,"B"
"gilbert_meta_23","gilbert_meta_23_1","12code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Complete the number sentence: 10 = _____ + 5","B","6",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","13code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Check all the numbers that are greater than 3.","A;C","7",NA,"A"
"gilbert_meta_23","gilbert_meta_23_1","13code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Check all the numbers that are greater than 3.","A;C","2",NA,"B"
"gilbert_meta_23","gilbert_meta_23_1","13code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Check all the numbers that are greater than 3.","A;C","4",NA,"C"
"gilbert_meta_23","gilbert_meta_23_1","13code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Check all the numbers that are greater than 3.","A;C",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","13code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Check all the numbers that are greater than 3.","A;C",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","14code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is sixty-four?","D","40",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","14code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is sixty-four?","D","46",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","14code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is sixty-four?","D","60",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","14code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is sixty-four?","D","64",1,"D"
"gilbert_meta_23","gilbert_meta_23_1","15code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","There are 4 ice skaters playing hockey on the frozen pond. 5 more ice skaters joined them. How many ice skaters are skating on the frozen pond altogether?","A","9",1,"A"
"gilbert_meta_23","gilbert_meta_23_1","15code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","There are 4 ice skaters playing hockey on the frozen pond. 5 more ice skaters joined them. How many ice skaters are skating on the frozen pond altogether?","A","1",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","15code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","There are 4 ice skaters playing hockey on the frozen pond. 5 more ice skaters joined them. How many ice skaters are skating on the frozen pond altogether?","A","5",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","16code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Mrs. Bruckner cleans her classroom each afternoon. She picked up 4 pieces of trash off of the floor on Monday, and 3 pieces of trash off of the floor on Tuesday. How many pieces of trash did she pick up in all? Enter your answer in the box below. _______ pieces of trash.","7",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","16code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Mrs. Bruckner cleans her classroom each afternoon. She picked up 4 pieces of trash off of the floor on Monday, and 3 pieces of trash off of the floor on Tuesday. How many pieces of trash did she pick up in all? Enter your answer in the box below. _______ pieces of trash.","7",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","17code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What number belongs in the box to complete the pattern? 15, 20, 25, ___, 35, 40","D","16",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","17code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What number belongs in the box to complete the pattern? 15, 20, 25, ___, 35, 40","D","20",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","17code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What number belongs in the box to complete the pattern? 15, 20, 25, ___, 35, 40","D","26",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","17code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What number belongs in the box to complete the pattern? 15, 20, 25, ___, 35, 40","D","30",1,"D"
"gilbert_meta_23","gilbert_meta_23_1","18code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is the sum of two and eight? 2 + 8 =","D","6",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","18code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is the sum of two and eight? 2 + 8 =","D","8",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","18code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is the sum of two and eight? 2 + 8 =","D","9",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","18code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is the sum of two and eight? 2 + 8 =","D","10",1,"D"
"gilbert_meta_23","gilbert_meta_23_1","19code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is ten minus three? 10 - 3 = ___","C","3",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","19code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is ten minus three? 10 - 3 = ___","C","6",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","19code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is ten minus three? 10 - 3 = ___","C","7",1,"C"
"gilbert_meta_23","gilbert_meta_23_1","19code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is ten minus three? 10 - 3 = ___","C","13",0,"D"
"gilbert_meta_23","gilbert_meta_23_1","20code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Choose the fact that is missing from this fact family. 6 + 2 = 8; 8 - 2 = 6; 8 - 6 = 2","A","2 + 6 = 8",1,"A"
"gilbert_meta_23","gilbert_meta_23_1","20code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Choose the fact that is missing from this fact family. 6 + 2 = 8; 8 - 2 = 6; 8 - 6 = 2","A","2 + 8 = 10",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","20code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Choose the fact that is missing from this fact family. 6 + 2 = 8; 8 - 2 = 6; 8 - 6 = 2","A","6 - 2 = 4",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","21code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Enter your answer in the box below. 10 - 3 = _______","7",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","21code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Enter your answer in the box below. 10 - 3 = _______","7",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","22code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","9 - 7 = _______","2",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","22code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","9 - 7 = _______","2",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","23code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which picture represents twenty-three?","C",NA,0,"A"
"gilbert_meta_23","gilbert_meta_23_1","23code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which picture represents twenty-three?","C",NA,0,"B"
"gilbert_meta_23","gilbert_meta_23_1","23code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which picture represents twenty-three?","C",NA,1,"C"
"gilbert_meta_23","gilbert_meta_23_1","24code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Find the missing number. 6 tens + 8 ones = _______","C","14",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","24code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Find the missing number. 6 tens + 8 ones = _______","C","86",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","24code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Find the missing number. 6 tens + 8 ones = _______","C","68",1,"C"
"gilbert_meta_23","gilbert_meta_23_1","25code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count the circles, then fill in the missing numbers. Numbers to drag: 1, 2, 3, 4, 5, 6. ___ tens + ___ ones = 11","1 ten and 1 one",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","25code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count the circles, then fill in the missing numbers. Numbers to drag: 1, 2, 3, 4, 5, 6. ___ tens + ___ ones = 11","1 ten and 1 one",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","26code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Complete the number sentences. Put the correct bundle of tens in the top line. Put the correct number in the bottom line. 90 - 50 = ___","bottom line 40; top line the bundle showing 4 tens",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","26code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Complete the number sentences. Put the correct bundle of tens in the top line. Put the correct number in the bottom line. 90 - 50 = ___","bottom line 40; top line the bundle showing 4 tens",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","27code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is the sum of seven and eight? 7 + 8 =","C","1",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","27code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is the sum of seven and eight? 7 + 8 =","C","14",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","27code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","What is the sum of seven and eight? 7 + 8 =","C","15",1,"C"
"gilbert_meta_23","gilbert_meta_23_1","28code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Noemi has 5 wrapped presents. She has unwrapped 3 presents so far. How many presents does Noemi have left to unwrap?","A","2",1,"A"
"gilbert_meta_23","gilbert_meta_23_1","28code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Noemi has 5 wrapped presents. She has unwrapped 3 presents so far. How many presents does Noemi have left to unwrap?","A","4",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","28code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Noemi has 5 wrapped presents. She has unwrapped 3 presents so far. How many presents does Noemi have left to unwrap?","A","1",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","29code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Select the answer from the menu. Compare the following numbers. 23 ___ 13","A",">",1,"A"
"gilbert_meta_23","gilbert_meta_23_1","29code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Select the answer from the menu. Compare the following numbers. 23 ___ 13","A","=",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","29code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Select the answer from the menu. Compare the following numbers. 23 ___ 13","A","<",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","30code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number has a seven in the tens place?","B","7",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","30code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number has a seven in the tens place?","B","70",1,"B"
"gilbert_meta_23","gilbert_meta_23_1","30code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number has a seven in the tens place?","B","700",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","31code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is missing from the hundred chart?","B","9",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","31code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is missing from the hundred chart?","B","99",1,"B"
"gilbert_meta_23","gilbert_meta_23_1","31code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is missing from the hundred chart?","B","19",0,"C"
"gilbert_meta_23","gilbert_meta_23_2","32code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Look at the number sentences. 6 + 3 = 9; 3 + 6 = 9; 9 - 6 = 3. Which number sentence belongs with the set?","A","9 - 3 = 6",1,"A"
"gilbert_meta_23","gilbert_meta_23_2","32code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Look at the number sentences. 6 + 3 = 9; 3 + 6 = 9; 9 - 6 = 3. Which number sentence belongs with the set?","A","3 + 9 = 12",0,"B"
"gilbert_meta_23","gilbert_meta_23_2","32code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Look at the number sentences. 6 + 3 = 9; 3 + 6 = 9; 9 - 6 = 3. Which number sentence belongs with the set?","A","6 - 3 = 3",0,"C"
"gilbert_meta_23","gilbert_meta_23_2","33code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","What is 355 - 262?","B","113",0,"A"
"gilbert_meta_23","gilbert_meta_23_2","33code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","What is 355 - 262?","B","93",1,"B"
"gilbert_meta_23","gilbert_meta_23_2","33code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","What is 355 - 262?","B","129",0,"C"
"gilbert_meta_23","gilbert_meta_23_2","33code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","What is 355 - 262?","B","193",0,"D"
"gilbert_meta_23","gilbert_meta_23_2","34code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Solve: Drag and drop one number into the empty box below. Numbers to drag: 546, 537, 532, 400","546",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_2","34code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Solve: Drag and drop one number into the empty box below. Numbers to drag: 546, 537, 532, 400","546",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_2","35code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Which number is shown below?","C","324",0,"A"
"gilbert_meta_23","gilbert_meta_23_2","35code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Which number is shown below?","C","243",0,"B"
"gilbert_meta_23","gilbert_meta_23_2","35code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Which number is shown below?","C","234",1,"C"
"gilbert_meta_23","gilbert_meta_23_2","35code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","Which number is shown below?","C","230",0,"D"
"gilbert_meta_23","gilbert_meta_23_2","36code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","456 + 120","C","336",0,"A"
"gilbert_meta_23","gilbert_meta_23_2","36code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","456 + 120","C","468",0,"B"
"gilbert_meta_23","gilbert_meta_23_2","36code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","456 + 120","C","576",1,"C"
"gilbert_meta_23","gilbert_meta_23_2","36code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","456 + 120","C","606",0,"D"
"gilbert_meta_23","gilbert_meta_23_2","37code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","89 + 76","C","185",0,"A"
"gilbert_meta_23","gilbert_meta_23_2","37code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","89 + 76","C","175",0,"B"
"gilbert_meta_23","gilbert_meta_23_2","37code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","89 + 76","C","165",1,"C"
"gilbert_meta_23","gilbert_meta_23_2","37code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items added at post-test only","89 + 76","C","155",0,"D"
