"table","section_id","item","instrument","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","raw_resp","language"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,"गाड़ी","cart",NA,"गाड़ी","Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,"कौआ","crow",NA,"कौआ","Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,"कैंची","scissors",NA,"कैंची","Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,"पतंग","kite",NA,"पतंग","Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,"तोता","parrot",NA,"तोता","Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,"पायल","anklet",NA,"पायल","Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_4","langwrit_std12_writpic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"चित्र देखो, शब्द लिखो।","Look at the picture, write the word.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_4","langwrit_std12_writpic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"चित्र देखो, शब्द लिखो।","Look at the picture, write the word.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_4","langwrit_std12_writpic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"चित्र देखो, शब्द लिखो।","Look at the picture, write the word.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_4","langwrit_std12_writpic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"चित्र देखो, शब्द लिखो।","Look at the picture, write the word.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_4","langwrit_std12_writpic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"चित्र देखो, शब्द लिखो।","Look at the picture, write the word.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_4","langwrit_std12_writpic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"चित्र देखो, शब्द लिखो।","Look at the picture, write the word.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_5","langwrit_std12_obj_name1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"अब यह चित्र देखो और चित्र का नाम लिखो।","Now look at this picture and write the name of the picture.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_5","langwrit_std12_obj_name1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"अब यह चित्र देखो और चित्र का नाम लिखो।","Now look at this picture and write the name of the picture.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_5","langwrit_std12_obj_name2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"अब यह चित्र देखो और चित्र का नाम लिखो।","Now look at this picture and write the name of the picture.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_5","langwrit_std12_obj_name2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"अब यह चित्र देखो और चित्र का नाम लिखो।","Now look at this picture and write the name of the picture.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_5","langwrit_std12_obj_name3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"अब यह चित्र देखो और चित्र का नाम लिखो।","Now look at this picture and write the name of the picture.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_5","langwrit_std12_obj_name3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"अब यह चित्र देखो और चित्र का नाम लिखो।","Now look at this picture and write the name of the picture.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","मुझे किताब ______ ।","______ me the book.",NA,"दिखाओ","show",NA,"दिखाओ","Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","मुझे किताब ______ ।","______ me the book.",NA,"खिलाओ","feed",NA,"खिलाओ","Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","मुझे किताब ______ ।","______ me the book.",NA,"पिलाओ","give to drink",NA,"पिलाओ","Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","मुझे किताब ______ ।","______ me the book.",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","मुझे किताब ______ ।","______ me the book.",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","______ सवेरे निकलता है।","The ______ comes out in the morning.",NA,"तारे","stars",NA,"तारे","Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","______ सवेरे निकलता है।","The ______ comes out in the morning.",NA,"सूरज","sun",NA,"सूरज","Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","______ सवेरे निकलता है।","The ______ comes out in the morning.",NA,"चाँद","moon",NA,"चाँद","Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","______ सवेरे निकलता है।","The ______ comes out in the morning.",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_6","langwrit_std12_com_sen3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सही उत्तर पर घेरा (O) लगाकर वाक्य पूरा करो।","Circle the correct answer and complete the sentence.","______ सवेरे निकलता है।","The ______ comes out in the morning.",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कैसा था?","What was the rabbit like?",NA,"दयालु था","he was kind",NA,"दयालु था","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कैसा था?","What was the rabbit like?",NA,"आलसी था","he was lazy",NA,"आलसी था","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कैसा था?","What was the rabbit like?",NA,"मेहनती था","he was hard-working",NA,"मेहनती था","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कैसा था?","What was the rabbit like?",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कैसा था?","What was the rabbit like?",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कहाँ आराम कर रहा था?","Where was the rabbit resting?",NA,"नदी किनारे","by the river",NA,"नदी किनारे","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कहाँ आराम कर रहा था?","Where was the rabbit resting?",NA,"बाग में","in the garden",NA,"बाग में","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कहाँ आराम कर रहा था?","Where was the rabbit resting?",NA,"पेड़ के नीचे","under the tree",NA,"पेड़ के नीचे","Hindi"
