"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","raw_resp"
"cdm_timss03","cdm_timss03_1","M012017","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Matchsticks are arranged as shown in the figures. [Figure: each figure shows a row of squares with a triangle attached at the right-hand end; Figure 1 has one square, Figure 2 has two squares, Figure 3 has three squares.] If the pattern is continued, how many matchsticks would be used to make Figure 10?","B","39","D"
"cdm_timss03","cdm_timss03_1","M012017","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Matchsticks are arranged as shown in the figures. [Figure: each figure shows a row of squares with a triangle attached at the right-hand end; Figure 1 has one square, Figure 2 has two squares, Figure 3 has three squares.] If the pattern is continued, how many matchsticks would be used to make Figure 10?","B","42","E"
"cdm_timss03","cdm_timss03_1","M012040","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If 12/n = 36/21, then n equals","B","3","A"
"cdm_timss03","cdm_timss03_1","M012040","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If 12/n = 36/21, then n equals","B","7","B"
"cdm_timss03","cdm_timss03_1","M012040","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If 12/n = 36/21, then n equals","B","36","C"
"cdm_timss03","cdm_timss03_1","M012040","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If 12/n = 36/21, then n equals","B","63","D"
"cdm_timss03","cdm_timss03_1","M012041","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In a group of children, 16 have birthdays during the first half of the year, and 14 have birthdays during the second half of the year. What fraction of the group have birthdays during the first half of the year?","D","14/30","A"
"cdm_timss03","cdm_timss03_1","M012041","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In a group of children, 16 have birthdays during the first half of the year, and 14 have birthdays during the second half of the year. What fraction of the group have birthdays during the first half of the year?","D","14/16","B"
"cdm_timss03","cdm_timss03_1","M012041","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In a group of children, 16 have birthdays during the first half of the year, and 14 have birthdays during the second half of the year. What fraction of the group have birthdays during the first half of the year?","D","16/14","C"
"cdm_timss03","cdm_timss03_1","M012041","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In a group of children, 16 have birthdays during the first half of the year, and 14 have birthdays during the second half of the year. What fraction of the group have birthdays during the first half of the year?","D","16/30","D"
"cdm_timss03","cdm_timss03_1","M012041","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In a group of children, 16 have birthdays during the first half of the year, and 14 have birthdays during the second half of the year. What fraction of the group have birthdays during the first half of the year?","D","30/16","E"
"cdm_timss03","cdm_timss03_1","M012042","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If x = -3, what is the value of -3x ?","E","-9","A"
"cdm_timss03","cdm_timss03_1","M012042","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If x = -3, what is the value of -3x ?","E","-6","B"
"cdm_timss03","cdm_timss03_1","M012042","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If x = -3, what is the value of -3x ?","E","-1","C"
"cdm_timss03","cdm_timss03_1","M012042","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If x = -3, what is the value of -3x ?","E","1","D"
"cdm_timss03","cdm_timss03_1","M012042","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If x = -3, what is the value of -3x ?","E","9","E"
"cdm_timss03","cdm_timss03_1","M022043","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,NA,NA,NA,NA
"cdm_timss03","cdm_timss03_1","M022050","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,NA,NA,NA,NA
"cdm_timss03","cdm_timss03_1","M022057","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,NA,NA,NA,NA
"cdm_timss03","cdm_timss03_1","M022066","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,NA,NA,NA,NA
"cdm_timss03","cdm_timss03_1","M022185","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Subtract: 3x/7 - x/7 =","E","2/7","A"
"cdm_timss03","cdm_timss03_1","M022185","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Subtract: 3x/7 - x/7 =","E","3","B"
"cdm_timss03","cdm_timss03_1","M022185","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Subtract: 3x/7 - x/7 =","E","2x","C"
"cdm_timss03","cdm_timss03_1","M022185","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Subtract: 3x/7 - x/7 =","E","x/7","D"
"cdm_timss03","cdm_timss03_1","M022185","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Subtract: 3x/7 - x/7 =","E","2x/7","E"
"cdm_timss03","cdm_timss03_1","M022191","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Two-thirds of the people present at the beginning of a meeting are men. Nobody leaves but 10 more men and 10 more women arrive at the meeting. Which of the following statements is true?","A","There would then be more men than women at the meeting.","A"
"cdm_timss03","cdm_timss03_1","M022191","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Two-thirds of the people present at the beginning of a meeting are men. Nobody leaves but 10 more men and 10 more women arrive at the meeting. Which of the following statements is true?","A","There would then be the same number of men as there are women at the meeting.","B"
"cdm_timss03","cdm_timss03_1","M022191","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Two-thirds of the people present at the beginning of a meeting are men. Nobody leaves but 10 more men and 10 more women arrive at the meeting. Which of the following statements is true?","A","There would then be more women than men at the meeting.","C"
"cdm_timss03","cdm_timss03_1","M022191","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Two-thirds of the people present at the beginning of a meeting are men. Nobody leaves but 10 more men and 10 more women arrive at the meeting. Which of the following statements is true?","A","From the information given, you cannot tell whether there would be more women or men.","D"
"cdm_timss03","cdm_timss03_1","M022194","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"About 7000 copies of a magazine are sold each week. Approximately how many magazines are sold each year?","D","8400","A"
"cdm_timss03","cdm_timss03_1","M022194","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"About 7000 copies of a magazine are sold each week. Approximately how many magazines are sold each year?","D","35 000","B"
"cdm_timss03","cdm_timss03_1","M022194","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"About 7000 copies of a magazine are sold each week. Approximately how many magazines are sold each year?","D","84 000","C"
"cdm_timss03","cdm_timss03_1","M022194","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"About 7000 copies of a magazine are sold each week. Approximately how many magazines are sold each year?","D","350 000","D"
"cdm_timss03","cdm_timss03_1","M022194","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"About 7000 copies of a magazine are sold each week. Approximately how many magazines are sold each year?","D","3 500 000","E"
"cdm_timss03","cdm_timss03_1","M022196","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If L = 4 when K = 6 and M = 24, which of the following is true?","A","L = M/K","A"
"cdm_timss03","cdm_timss03_1","M022196","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If L = 4 when K = 6 and M = 24, which of the following is true?","A","L = K/M","B"
"cdm_timss03","cdm_timss03_1","M022196","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If L = 4 when K = 6 and M = 24, which of the following is true?","A","L = KM","C"
"cdm_timss03","cdm_timss03_1","M022196","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If L = 4 when K = 6 and M = 24, which of the following is true?","A","L = K + M","D"
"cdm_timss03","cdm_timss03_1","M022196","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If L = 4 when K = 6 and M = 24, which of the following is true?","A","L = M - K","E"
"cdm_timss03","cdm_timss03_1","M022198","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which list are the numbers ordered from greatest to least?","D","0.233, 0.3, 0.32, 0.332","A"
"cdm_timss03","cdm_timss03_1","M022198","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which list are the numbers ordered from greatest to least?","D","0.3, 0.32, 0.332, 0.233","B"
"cdm_timss03","cdm_timss03_1","M022198","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which list are the numbers ordered from greatest to least?","D","0.32, 0.233, 0.332, 0.3","C"
"cdm_timss03","cdm_timss03_1","M022198","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which list are the numbers ordered from greatest to least?","D","0.332, 0.32, 0.3, 0.233","D"
"cdm_timss03","cdm_timss03_1","M022199","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"3/5 + (3/10 x 4/15) =","E","3/51","A"
"cdm_timss03","cdm_timss03_1","M022199","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"3/5 + (3/10 x 4/15) =","E","1/6","B"
"cdm_timss03","cdm_timss03_1","M022199","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"3/5 + (3/10 x 4/15) =","E","6/25","C"
"cdm_timss03","cdm_timss03_1","M022199","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"3/5 + (3/10 x 4/15) =","E","11/25","D"
"cdm_timss03","cdm_timss03_1","M022199","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"3/5 + (3/10 x 4/15) =","E","17/25","E"
"cdm_timss03","cdm_timss03_1","M022232","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,NA,NA,NA,NA
"cdm_timss03","cdm_timss03_1","M022234B","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,NA,NA,NA,NA
"cdm_timss03","cdm_timss03_1","M022251","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Graham has twice as many books as Bob. Chan has six more books than Bob. If Bob has x books, which of the following represents the total number of books the three boys have?","C","3x + 6","A"
"cdm_timss03","cdm_timss03_1","M022251","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Graham has twice as many books as Bob. Chan has six more books than Bob. If Bob has x books, which of the following represents the total number of books the three boys have?","C","3x + 8","B"
"cdm_timss03","cdm_timss03_1","M022251","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Graham has twice as many books as Bob. Chan has six more books than Bob. If Bob has x books, which of the following represents the total number of books the three boys have?","C","4x + 6","C"
"cdm_timss03","cdm_timss03_1","M022251","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Graham has twice as many books as Bob. Chan has six more books than Bob. If Bob has x books, which of the following represents the total number of books the three boys have?","C","5x + 6","D"
"cdm_timss03","cdm_timss03_1","M022251","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Graham has twice as many books as Bob. Chan has six more books than Bob. If Bob has x books, which of the following represents the total number of books the three boys have?","C","8x + 2","E"
"cdm_timss03","cdm_timss03_1","M032570","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"At a play, 3/25 of the people in the audience were children. What percent of the audience was this?","A","12%","A"
"cdm_timss03","cdm_timss03_1","M032570","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"At a play, 3/25 of the people in the audience were children. What percent of the audience was this?","A","3%","B"
"cdm_timss03","cdm_timss03_1","M032570","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"At a play, 3/25 of the people in the audience were children. What percent of the audience was this?","A","0.3%","C"
"cdm_timss03","cdm_timss03_1","M032570","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"At a play, 3/25 of the people in the audience were children. What percent of the audience was this?","A","0.12%","D"
"cdm_timss03","cdm_timss03_1","M032643","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If n is a negative integer, which of these is the largest number?","C","3 + n","A"
"cdm_timss03","cdm_timss03_1","M032643","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If n is a negative integer, which of these is the largest number?","C","3 x n","B"
"cdm_timss03","cdm_timss03_1","M032643","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If n is a negative integer, which of these is the largest number?","C","3 - n","C"
"cdm_timss03","cdm_timss03_1","M032643","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"If n is a negative integer, which of these is the largest number?","C","3 / n","D"
