table,cluster,tables_in_cluster,doi_in_dictionary,openalex_title,openalex_authors,openalex_year,openalex_venue,reference,url_for_data,contributor,flagged_by,proposed_correction,confidence
goksel_2026_embarrassment_liking,Goksel/JPSP:PPID,13,10.1037/pspa0000488,"The cost of an expanding moral circle: After living abroad, outcasts matter more but loved ones matter less.",Daniela Nicole Rodriguez-Mincey; Salvatore J. Affinito; Giselle E. Antoine; Kurt Gray; William W. Maddux,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_similarity,Goksel/JPSP:PPID,13,10.1037/pspa0000489,Morality cut both ways: The role of cognition and emotion in attitude moralization and demoralization.,Paul E. Teas; Linda J. Skitka,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_socialnorm,Goksel/JPSP:PPID,13,10.1037/pspa0000490,Mental contrasting prevents a negative future by changing the explicit and implicit meaning of reality.,SunYoung Kim; Peter M. Gollwitzer; Gabriele Oettingen,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
hyatt_2023_aggression_cab,Hyatt/Aggressive Behavior,9,10.1002/ab.22089,Learning to cyberbully: Longitudinal relations between cyberbullying attitudes and perpetration and the moderating influence of participant sex: A brief report,Christopher P. Barlett; Sarah M. Coyne,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_neo,Hyatt/Aggressive Behavior,9,10.1002/ab.22090,When strength is a weakness,Richard B. Felson,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_prelim2_epa,Hyatt/Aggressive Behavior,9,10.1002/ab.22091,Childhood maltreatment and homicidal ideation among Chinese early adolescents: The serial mediating role of borderline personality features and aggression,Yonghan Li; Xiaoman Huang; Mengyuan Yuan; Jun-Jie Chang; Tingting Zhang,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_s3_ssis,Hyatt/Aggressive Behavior,9,10.1002/ab.22092,Frustration–aggression hypothesis reconsidered: The role of significance quest,Arie W. Kruglanski; Molly Ellenberg; Ewa Szumowska; Erica Molinario; Anne Speckhard,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_s3_acme,Hyatt/Aggressive Behavior,9,10.1002/ab.22093,Violent video game exposure and bullying perpetration among Chinese adolescents: The moderating role of belief in a just world,Xingwu Lei; Qian Nie; Chun Chen; Zhaojun Teng,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_s3_bpaq,Hyatt/Aggressive Behavior,9,10.1002/ab.22094,"Exploring changes in violence across two waves of the COVID‐19 pandemic in Richmond, VA",Samuel J. West; Ariel M. Wood; Michel B. Aboutanos; Nicholas D. Thomson,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_s3_daq,Hyatt/Aggressive Behavior,9,10.1002/ab.22095,The Machiavellian bully revisited: A closer look at differences and processes of Machiavellian bullying and cyberbullying perpetration,Christian Blötner; Sebastian Bergold,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_s3_cast,Hyatt/Aggressive Behavior,9,10.1002/ab.22096,"Modeling state‐ and trait‐level associations between aggression, somatic symptoms, substance use, and distress tolerance",Yang Yang,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
hyatt_2023_aggression_s3_srp4,Hyatt/Aggressive Behavior,9,10.1002/ab.22097,Homicide as the first conviction: A retrospective cohort study,Lana Bojanić; Alison Baird; Kosturika Ash; Jenny Shaw,2023,Aggressive Behavior,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535.",https://osf.io/fuz6h/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1002/ab.22088,high
kazarovytska_2026_ingroup_event_srr,Kazarovytska/JPSP:IRGP,6,10.1037/pspi0000514,Femininity culture: Theory and workplace implications.,Andrea C. Vial; Marta Beneda,2026,Journal of Personality and Social Psychology,"Kazarovytska, F., Árnadóttir, K., D'Ottone, S., Halabi, S., Clarke, E., Sharma, S., Heidrich, V., & Imhoff, R. (2026). Do people across the world want to remember positive ingroup histories?Journal of Personality and Social Psychology, 131(1), 99–122.",https://osf.io/3w6ap/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspi0000513,high
kazarovytska_2026_ingroup_event_prr,Kazarovytska/JPSP:IRGP,6,10.1037/pspi0000515,"Confront in public, validate in private: Effective male allyship responses to sexist remarks.",Hsuan-Che Huang; Jonathan B. Evans,2026,Journal of Personality and Social Psychology,"Kazarovytska, F., Árnadóttir, K., D'Ottone, S., Halabi, S., Clarke, E., Sharma, S., Heidrich, V., & Imhoff, R. (2026). Do people across the world want to remember positive ingroup histories?Journal of Personality and Social Psychology, 131(1), 99–122.",https://osf.io/3w6ap/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspi0000513,high
kazarovytska_2026_ingroup_event_threat,Kazarovytska/JPSP:IRGP,6,10.1037/pspi0000516,Overestimating the social costs of political belief change.,Trevor Spelman; Abdo Elnakouri; Nour Kteily; Eli Finkel,2026,Journal of Personality and Social Psychology,"Kazarovytska, F., Árnadóttir, K., D'Ottone, S., Halabi, S., Clarke, E., Sharma, S., Heidrich, V., & Imhoff, R. (2026). Do people across the world want to remember positive ingroup histories?Journal of Personality and Social Psychology, 131(1), 99–122.",https://osf.io/3w6ap/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspi0000513,high
kazarovytska_2026_ingroup_event_valence,Kazarovytska/JPSP:IRGP,6,10.1037/pspi0000517,“Why didn’t you just say so?” People use indirect opposition to assess partner commitment.,Levi R. Baker; James K. McNulty; V. Michelle Russell,2026,Journal of Personality and Social Psychology,"Kazarovytska, F., Árnadóttir, K., D'Ottone, S., Halabi, S., Clarke, E., Sharma, S., Heidrich, V., & Imhoff, R. (2026). Do people across the world want to remember positive ingroup histories?Journal of Personality and Social Psychology, 131(1), 99–122.",https://osf.io/3w6ap/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspi0000513,high
kazarovytska_2026_ingroup_event_attribution,Kazarovytska/JPSP:IRGP,6,10.1037/pspi0000518,Genetic and environmental factors underlying the associations between attachment styles and mental and physical health.,Keely A. Dugan; Jacob J Kunkel; Stefania V. Vacaru; R. Chris Fraley; Theodore E. A. Waters,2026,Journal of Personality and Social Psychology,"Kazarovytska, F., Árnadóttir, K., D'Ottone, S., Halabi, S., Clarke, E., Sharma, S., Heidrich, V., & Imhoff, R. (2026). Do people across the world want to remember positive ingroup histories?Journal of Personality and Social Psychology, 131(1), 99–122.",https://osf.io/3w6ap/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspi0000513,high
kazarovytska_2026_ingroup_event_presence,Kazarovytska/JPSP:IRGP,6,10.1037/pspi0000519,"End of world beliefs are common, diverse, and predict how people perceive and respond to global risks.",Matthew I. Billet; Cindel White; Azim Shariff; Ara Norenzayan,2026,Journal of Personality and Social Psychology,"Kazarovytska, F., Árnadóttir, K., D'Ottone, S., Halabi, S., Clarke, E., Sharma, S., Heidrich, V., & Imhoff, R. (2026). Do people across the world want to remember positive ingroup histories?Journal of Personality and Social Psychology, 131(1), 99–122.",https://osf.io/3w6ap/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspi0000513,high
west_2021_retaliatory_aggression_ars,West/Motivation Science,6,10.1037/mot0000249,Individual concerns modulate reward-related learning and behaviors involving sexual outcomes.,Yoann Stussi; Vanessa Sennwald; Eva Pool; Sylvain Delplanque; Tobias Brosch,2021,Motivation Science,"West, S. J., Lasko, E. N., Hall, C. J., Khan, N. G., & Chester, D. S. (2022). Some revenge now or more revenge later? Applying an intertemporal framework to retaliatory aggression. Motivation Science, 8(1), 33–55.",https://osf.io/46pg7/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/mot0000248,high
west_2021_retaliatory_aggression_bpaq,West/Motivation Science,6,10.1037/mot0000250,Adherence to COVID-19 measures: The critical role of autonomous motivation on a short- and long-term basis.,Sofie Morbée; Branko Vermote; Joachim Waterschoot; Lisa Dieleman; Bart Soenens,2021,Motivation Science,"West, S. J., Lasko, E. N., Hall, C. J., Khan, N. G., & Chester, D. S. (2022). Some revenge now or more revenge later? Applying an intertemporal framework to retaliatory aggression. Motivation Science, 8(1), 33–55.",https://osf.io/46pg7/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/mot0000248,high
west_2021_retaliatory_aggression_cast,West/Motivation Science,6,10.1037/mot0000251,The cerebellum in aggression: Extending the cortico-limbic dual-route model of motivation and emotion.,Eline S. Kruithof; Jana Klaus; Dennis J.L.G. Schutter,2022,Motivation Science,"West, S. J., Lasko, E. N., Hall, C. J., Khan, N. G., & Chester, D. S. (2022). Some revenge now or more revenge later? Applying an intertemporal framework to retaliatory aggression. Motivation Science, 8(1), 33–55.",https://osf.io/46pg7/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/mot0000248,high
west_2021_retaliatory_aggression_acq,West/Motivation Science,6,10.1037/mot0000252,Steroid hormones and severity of psychopathy in forensic patients.,Ronald J.P. Rijnders; Maaike Kempes; Jack van Honk; David Terburg,2022,Motivation Science,"West, S. J., Lasko, E. N., Hall, C. J., Khan, N. G., & Chester, D. S. (2022). Some revenge now or more revenge later? Applying an intertemporal framework to retaliatory aggression. Motivation Science, 8(1), 33–55.",https://osf.io/46pg7/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/mot0000248,high
west_2021_retaliatory_aggression_study3_sd3_psychopathy,West/Motivation Science,6,10.1037/mot0000253,Bibliometric review of attribution theory: Document cocitation analysis.,Tara Muschetto; Jason T. Siegel,2021,Motivation Science,"West, S. J., Lasko, E. N., Hall, C. J., Khan, N. G., & Chester, D. S. (2022). Some revenge now or more revenge later? Applying an intertemporal framework to retaliatory aggression. Motivation Science, 8(1), 33–55.",https://osf.io/46pg7/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/mot0000248,high
west_2021_retaliatory_aggression_study4_deq,West/Motivation Science,6,10.1037/mot0000254,Motive-modulated attentional orienting: Implicit power motive predicts attentional avoidance of signals of interpersonal dominance.,Kevin T. Janson; Martin G. Köllner; Ksenia Khalaidovski; Lea-Sarah Pülschen; Alexandra Rudnaya,2021,Motivation Science,"West, S. J., Lasko, E. N., Hall, C. J., Khan, N. G., & Chester, D. S. (2022). Some revenge now or more revenge later? Applying an intertemporal framework to retaliatory aggression. Motivation Science, 8(1), 33–55.",https://osf.io/46pg7/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/mot0000248,high
cdm_timss03,(isolated),2,10.1007/s10763-018-9916-9,Expert-Based Cognitive Model and Student-Based Cognitive Model in the Learning of “Time”: Match or Mismatch?,Carolyn Jia Ling Sia; Chap Sam Lim; Cheng Meng Chew; Liew Kee Kor,2018,International Journal of Science and Mathematics Education,"Su, Y.-L., Choi, K. M., Lee, W.-C., Choi, T., & McAninch, M. (2013). Hierarchical cognitive diagnostic analysis for TIMSS 2003 mathematics. CASMA Research Report 35. Center for Advanced Studies in Measurement and Assessment (CASMA), University of Iowa.",https://cran.r-project.org/web/packages/CDM/index.html,BD,pass2-openalex,,high
andrich_mudfold,(isolated),2,10.1177/014662168801200104,Tolerance Intervals: Alternatives to Credibility Intervals in Validity Generalization Research,Roger E. Millsap,1988,Applied Psychological Measurement,"Andrich, D. (1988). The application of an unfolding model of the PIRT type to the measurement of attitude. Applied psychological measurement, 12(1), 33-51.",https://cran.r-project.org/web/packages/mudfold/index.html,BD,pass2-openalex,,high
