_key,Evaluator,"Decision
Yes=start github issue
10.7910/dvn/jm3auh,Padma K,Maybe,dataverse,Replication data for: Childhood Adversity and Educational Attainment: Evidence from Zambia on the Role of Personality,https://doi.org/10.7910/DVN/JM3AUH,10.7910/dvn/jm3auh,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Variable' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Variable', 'Description', 'Value', 'Definition']",,,,,Rockers et al (2023) codebook.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Depends on type of survey items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fpubh.2022.1012311.s001,Padma K,Yes,figshare,Data_Sheet_1_Psychometric evaluation of the depression anxiety stress scale 8-items (DASS-8)/DASS-12/DASS-21 among family caregivers of patients with dementia.xlsx,https://frontiersin.figshare.com/articles/dataset/Data_Sheet_1_Psychometric_evaluation_of_the_depression_anxiety_stress_scale_8-items_DASS-8_DASS-12_DASS-21_among_family_caregivers_of_patients_with_dementia_xlsx/21393054,10.3389/fpubh.2022.1012311.s001,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'DASS-8' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['DASS-8', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unname",,,,,Data_Sheet_1_Psychometric evaluation of the depression anxiety stress scale 8-items (DASS-8)/DASS-12/DASS-21 among family caregivers of patients with .xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Good dataset for short-form tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/feduc.2018.00026.s003,Padma K,No,figshare,Table_3_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_3_Changing_Students_Minds_and_Achievement_in_Mathematics_The_Impact_of_a_Free_Online_Student_Course_XLSX/6182018,10.3389/feduc.2018.00026.s003,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8']",,,,,Table_3_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Aggregated table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fpsyg.2018.00610.s007,Padma K,No,figshare,Table_3_Centeredness Theory: Understanding and Measuring Well-Being Across Core Life Domains.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_3_Centeredness_Theory_Understanding_and_Measuring_Well-Being_Across_Core_Life_Domains_XLSX/7058015,10.3389/fpsyg.2018.00610.s007,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['""Family"" Domain', 'EFA on 100 items (N=488)', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'EFA on 60 items (N=488)', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11']",,,,,Table_3_Centeredness Theory: Understanding and Measuring Well-Being Across Core Life Domains.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Aggregated table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/feduc.2018.00026.s004,Padma K,No,figshare,Table_4_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_4_Changing_Students_Minds_and_Achievement_in_Mathematics_The_Impact_of_a_Free_Online_Student_Course_XLSX/6182021,10.3389/feduc.2018.00026.s004,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9']",,,,,Table_4_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Aggregated table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.30445876.v1,Padma K,Yes,figshare,Parental Behavior Inventory: Psychometric Properties in Two South American Contexts,https://tandf.figshare.com/articles/dataset/Parental_Behavior_Inventory_Psychometric_Properties_in_Two_South_American_Contexts/30445876,10.6084/m9.figshare.30445876.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Index of supplementary materials\t', 'Unnamed: 1', 'Unnamed: 2']",,,,,hpar_a_2574282_sm6134.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Evaluate cross-group measurement invariance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/pwv6h2,Padma K,Yes,dataverse,Comparing generative artificial intelligence platforms and nursing student performance on a women’s health nursing examination in Korea: a Rasch model approach,https://doi.org/10.7910/DVN/PWV6H2,10.7910/dvn/pwv6h2,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Item No.', 'Category', 'Sub-category', ' topics', 'topic in English', 'Cognitive level', 'Type']",,,,,Dataset 2. Domains of items of the nursing examination.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Has item-level accuracy and difficulty modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.30747542.v3,Padma K,Yes,figshare,"AI Decision Dependence & Cognitive Caution 2025 (Dataset, n = 201)",https://figshare.com/articles/dataset/AI_Decision_Dependence_Cognitive_Caution_2025_Dataset_/30747542,10.6084/m9.figshare.30747542.v3,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['variable', 'question', 'description', 'type', 'values']",,,,,AI_decision_dependence_cognitive_caution_2025_data_dictionary.csv,2,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Ideal for modeling cognitive traits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/qfnhti,Padma K,Yes,dataverse,Participant Responses to the CRiTERIA Project Questionnaire on Migration Risk Scenarios and Impact Assessments Using Frontex Data,https://doi.org/10.7910/DVN/QFNHTI,10.7910/dvn/qfnhti,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Survey Responses ', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15']",,,,,Survey_Responses_Irregular_Migration.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Has raw participant response rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.31311364.v1,Padma K,Yes,figshare,"Additional file 2 of Psychometric validation of the Czech Copenhagen Psychosocial Questionnaire (COPSOQ III): long, middle, and screening versions in a nationwide sample",https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Psychometric_validation_of_the_Czech_Copenhagen_Psychosocial_Questionnaire_COPSOQ_III_long_middle_and_screening_versions_in_a_nationwide_sample/31311364,10.6084/m9.figshare.31311364.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['COPSOQ LONG', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'COPSOQ MIDDLE', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed: 16']",,,,,40359_2026_3961_MOESM2_ESM.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Direct psychometric validation dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/7rxzqi,Padma K,Maybe,dataverse,"Responses to the Questionnaire Survey: ""Beleza Feminina, Representatividade e a Quarta Onda Feminista: Você se sente representada na publicidade?""",https://doi.org/10.7910/DVN/7RXZQI,10.7910/dvn/7rxzqi,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Carimbo de data/hora', 'Você é:', '1.1) O que esta campanha significa para você? Por favor, responda em poucas palavras.', '1.2) Quanto aos argumentos utilizados na campanha (expressões, gírias, pensamentos ideológicos, etc.), você acha que foram empr",,,,,"Beleza Feminina, Representatividade e a Quarta Onda Feminista_ Você se sente representada na publicidade_ (respostas) (2).xlsx",0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Source items are in Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.32215347.v1,Padma K,Maybe,figshare,Datasets on public knowledge and preference in Kenya,https://figshare.com/articles/dataset/Datasets_on_public_knowledge_and_preference_in_Kenya/32215347,10.6084/m9.figshare.32215347.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'AgeGroup' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['AgeGroup', 'Gender', 'HighestEducationLevel', 'MaritalStatus', 'Religion', 'AC1', 'AC2', 'AC3', 'AC4', 'AC5', 'A",,,,,Abortion Knowledge and Preference data 2026.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Needs human script intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.32519529.v1,Padma K,Yes,figshare,"Pre- and Post-Intervention Cognitive Assessment Data Matrix: Attention, Memory, Language, and Logical Thinking in Children (Anonymized)",https://figshare.com/articles/dataset/Pre-_and_Post-Intervention_Cognitive_Assessment_Data_Matrix_Attention_Memory_Language_and_Logical_Thinking_in_Children_Anonymized_/32519529,10.6084/m9.figshare.32519529.v1,human_review,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['ANONYMIZATION CERTIFICATE'],,,,,DATA_MATRIX_ANONYMIZED.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Matrix tracking individual item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
