"table","shard","resp_type","n_rows","n_resp_not_null","n_resp_na_token","n_resp_blank","n_resp_excl_na","pct_na_of_responses"
"SV-MAIA2_Randelovic_2021_hexaco60","item_response_warehouse","string",8280,8280,199,0,8081,2.4
"socialstereotype_hughes_2025_personality_other","item_response_warehouse","string",34076,34076,19,0,34057,0.06
"mhscdc_fried_2020_dass","item_response_warehouse","string",3360,3360,63,0,3297,1.88
"socialstereotype_hughes_2025_judgement","item_response_warehouse","string",14604,14604,77,0,14527,0.53
"HEARD_Roch_2022_K6","item_response_warehouse","string",3600,3600,16,0,3584,0.44
"hpwt_bayona_2025_jobsatisfaction","item_response_warehouse","string",2520,2520,10,0,2510,0.4
"close_relationships","item_response_warehouse","string",1853676,1853676,9534,0,1844142,0.51
"SBD_Smith_2020","item_response_warehouse","string",6644,6644,23,0,6621,0.35
"gilbert_meta_86","item_response_warehouse","string",27210,27210,1205,0,26005,4.43
"BAFACALO_Golino_2013_SMS","item_response_warehouse","string",10804,10804,3199,0,7605,29.61
"bfi_goldberg_1992_openness_to_experience","item_response_warehouse","string",197190,197190,10,0,197180,0.01
"Fh_Okcsr_Roos_2022_study2_Feeling_Heard","item_response_warehouse","string",40854,40854,8000,0,32854,19.58
"Aspirations_Sonmez_2022","item_response_warehouse","string",16555,16555,4,0,16551,0.02
"nonverbal_immediacy","item_response_warehouse","string",7896928,7896928,8712,0,7888216,0.11
"SABFI2_Gallardo_Pujol_2018_ReligionScale","item_response_warehouse","string",7123,7123,100,0,7023,1.4
"idcr_martinez_2023_Story_Recall_3","item_response_warehouse","string",7150,7150,4,0,7146,0.06
"erf_breuer_2017_dosp","item_response_warehouse","string",3897,3897,513,0,3384,13.16
"fad_dataset2","item_response_warehouse","string",34456,34456,14702,0,19754,42.67
"PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI","item_response_warehouse","string",2756,2756,2,0,2754,0.07
"PROMISPME_Forrest_2021_MP_Children","item_response_warehouse","string",104225,104225,308,0,103917,0.3
"humor_styles","item_response_warehouse","string",34272,34272,162,0,34110,0.47
"dvivdtws_ppmial_marcatto_2023_snaq","item_response_warehouse","string",12166,12166,21,0,12145,0.17
"timss_tam","item_response_warehouse","string",19503,19503,1896,0,17607,9.72
"HEARD_Roch_2022_COPE","item_response_warehouse","string",14400,14400,193,0,14207,1.34
"Veterans_Affairs_SSVF_Survey_2018-20","item_response_warehouse","string",1475369,1475369,476509,0,998860,32.3
"PEMAIW_Qiu_2020_MLQ","item_response_warehouse","string",10780,10780,32,0,10748,0.3
"DART_Brysbaert_2020_3_4_5","item_response_warehouse","string",28908,28908,124,0,28784,0.43
"ffm_AGR","item_response_warehouse","string",10153410,10153410,90888,0,10062522,0.9
"WMD_bartczuk_2023","item_response_warehouse","string",12936,12936,44,0,12892,0.34
"experimental_iq","item_response_warehouse","string",10000,10000,526,0,9474,5.26
"SV-MAIA2_Randelovic_2021_MAIA","item_response_warehouse","string",25086,25086,5846,0,19240,23.3
"fisher_temperment","item_response_warehouse","string",437096,437096,180,0,436916,0.04
"BPAQ_Christopher_2024_FFMQSF","item_response_warehouse","string",2550,2550,4,0,2546,0.16
"feminist_perspectives","item_response_warehouse","string",808620,808620,14291,0,794329,1.77
"vocabulary_iq","item_response_warehouse","string",912975,912975,76191,0,836784,8.35
"sexual_selfconcept","item_response_warehouse","string",1768500,1768500,37688,0,1730812,2.13
"rightwing_authoritariansim","item_response_warehouse","string",474288,474288,832,0,473456,0.18
"fcupanas_cffsdas_reyna_2018","item_response_warehouse","string",32720,32720,1430,0,31290,4.37
"PROMISPME_Forrest_2021_PosAff_Children","item_response_warehouse","string",99322,99322,1186,0,98136,1.19
"VEI_Brazillian_Shiramizu_2018_EI","item_response_warehouse","string",9772,9772,39,0,9733,0.4
"genpsych_russell_2024_mixtral","item_response_warehouse","string",31936,31936,285,0,31651,0.89
"BAFACALO_Golino_2013_CIS","item_response_warehouse","string",17520,17520,6911,0,10609,39.45
"mhscdc_fried_2020_procrastination","item_response_warehouse","string",800,800,15,0,785,1.88
"rosenberg_selfesteem","item_response_warehouse","string",479740,479740,2059,0,477681,0.43
"SCS_Suh_2023_SIAPS","item_response_warehouse","string",4332,4332,130,0,4202,3
"BPAQ_Christopher_2024_BPAQSF","item_response_warehouse","string",4080,4080,672,0,3408,16.47
"PROMISPME_Forrest_2021_Psych_Proxy","item_response_warehouse","string",58432,58432,230,0,58202,0.39
"spelling_assessment_study2","item_response_warehouse","string",56592,56592,145,0,56447,0.26
"RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS","item_response_warehouse","string",10750,10750,66,0,10684,0.61
"nerdy_personality","item_response_warehouse","string",777660,777660,1917,0,775743,0.25
"PROMISPME_Forrest_2021_Strength_Proxy","item_response_warehouse","string",22975,22975,41,0,22934,0.18
"bfi_goldberg_1992_agreeableness","item_response_warehouse","string",197190,197190,10,0,197180,0.01
"5personalityfactors","item_response_warehouse","string",626780,626780,3675,0,623105,0.59
"brain_hemisphere","item_response_warehouse","string",590880,590880,2482,0,588398,0.42
"sat12_wilson_2003","item_response_warehouse","string",19200,19200,69,0,19131,0.36
"mturkddm_y25","item_response_warehouse","string",127488,127488,55,0,127433,0.04
"PROMISPME_Forrest_2021_Physical_Children","item_response_warehouse","string",238118,238118,1304,0,236814,0.55
"PEMAIW_Qiu_2020_BWSS","item_response_warehouse","string",21540,21540,47,0,21493,0.22
"CQTMS_Hur_2023","item_response_warehouse","string",122720,122720,157,0,122563,0.13
"PEMAIW_Qiu_2020_FFMQ","item_response_warehouse","string",46176,46176,322,0,45854,0.7
"ffm_CSN","item_response_warehouse","string",10153410,10153410,95466,0,10057944,0.94
"PEMAIW_Qiu_2020_DASS","item_response_warehouse","string",22554,22554,22,0,22532,0.1
"hexaco_ashton_2014_h","item_response_warehouse","string",911440,911440,22,0,911418,0
"western_reserve_project","item_response_warehouse","string",1445422,1445422,378887,0,1066535,26.21
"socialstereotype_hughes_2025_personality_self","item_response_warehouse","string",8316,8316,1,0,8315,0.01
"mindfulness_assessment","item_response_warehouse","string",23439,23439,139,0,23300,0.59
"gad_BrummerHoffman_2021","item_response_warehouse","string",63980,63980,45,0,63935,0.07
"hexaco_ashton_2014_x","item_response_warehouse","string",911440,911440,13,0,911427,0
"tma","item_response_warehouse","string",270500,270500,2612,0,267888,0.97
"neurodegenerative_huizinga_2019_vfq","item_response_warehouse","string",42369,42369,6385,0,35984,15.07
"CHEXI_Lin_2019","item_response_warehouse","string",53088,53088,289,0,52799,0.54
"HEARD_Roch_2022_WHODAS","item_response_warehouse","string",7200,7200,9,0,7191,0.12
"hexaco_ashton_2014_o","item_response_warehouse","string",911440,911440,15,0,911425,0
"EEN_Lacey_2024_Parent","item_response_warehouse","string",59640,59640,184,0,59456,0.31
"wooly_hartman2022","item_response_warehouse","string",29659,29659,1857,0,27802,6.26
"ffm_EXT","item_response_warehouse","string",10153410,10153410,84238,0,10069172,0.83
"cud_stone2024","item_response_warehouse","string",71108,71108,103,0,71005,0.14
"gilbert_meta_76","item_response_warehouse","string",66768,66768,155,0,66613,0.23
"PROMISPME_Forrest_2021_Family_Children","item_response_warehouse","string",208485,208485,771,0,207714,0.37
"disgust_berger2014","item_response_warehouse","string",35350,35350,30,0,35320,0.08
"gilbert_meta_87","item_response_warehouse","string",19954,19954,1051,0,18903,5.27
"dvivdtws_ppmial_marcatto_2023_dtw","item_response_warehouse","string",12166,12166,21,0,12145,0.17
"protestant_workethic","item_response_warehouse","string",60750,60750,114,0,60636,0.19
"PTAM_Kretzschmar_2017_MicroFIN","item_response_warehouse","string",6984,6984,80,0,6904,1.15
"BAFACALO_Golino_2013_FIS","item_response_warehouse","string",17520,17520,2888,0,14632,16.48
"brand_raffaelli_2024_familiarity_24","item_response_warehouse","string",48262,48262,660,0,47602,1.37
"PTAM_Kretzschmar_2017_Reasoning","item_response_warehouse","string",8424,8424,616,0,7808,7.31
"consideration_future_consequences","item_response_warehouse","string",180420,180420,351,0,180069,0.19
"VSOCFP_Sebo_2024","item_response_warehouse","string",6352,6352,35,0,6317,0.55
"PROMISPME_Forrest_2021_PosAff_Proxy","item_response_warehouse","string",48177,48177,117,0,48060,0.24
"cbq_huczewska2022","item_response_warehouse","string",175488,175488,54,0,175434,0.03
"dvivdtws_ppmial_marcatto_2023_ocb","item_response_warehouse","string",12166,12166,21,0,12145,0.17
"mhscdc_fried_2020_ema","item_response_warehouse","string",78696,78696,7738,0,70958,9.83
"qol_islam_2025","item_response_warehouse","string",29822,29822,238,0,29584,0.8
"bfi_goldberg_1992_extraversion","item_response_warehouse","string",197190,197190,10,0,197180,0.01
"PROMISPME_Forrest_2021_GHGlobal_Proxy","item_response_warehouse","string",37947,37947,1909,0,36038,5.03
"PROMISPME_Forrest_2021_Psych_Children","item_response_warehouse","string",119936,119936,452,0,119484,0.38
"MGSISGCLQ_Hollyhead_2018","item_response_warehouse","string",950,950,175,0,775,18.42
"mturkddm_lexical","item_response_warehouse","string",68160,68160,136,0,68024,0.2
"PEPABAS2C_Kubicka_2024","item_response_warehouse","string",4846,4846,5,0,4841,0.1
"hexaco_ashton_2014_c","item_response_warehouse","string",911440,911440,27,0,911413,0
"mbft_anunciacao_2024","item_response_warehouse","string",42290975,42290975,2251,0,42288724,0.01
"BAFACALO_Golino_2013_BVPS","item_response_warehouse","string",18104,18104,2046,0,16058,11.3
"artistic_preferences","item_response_warehouse","string",1040200,1040200,1291,0,1038909,0.12
"selfcompassionscale_shortform_fuochi_2025","item_response_warehouse","string",24816,24816,186,0,24630,0.75
"aestheticfluency_cotter2023","item_response_warehouse","string",89280,89280,15,0,89265,0.02
"paampsmartsud_saba_2023_ders","item_response_warehouse","string",7400,7400,740,0,6660,10
"phq_BrummerHoffman_2021","item_response_warehouse","string",82260,82260,54,0,82206,0.07
"idcr_martinez_2023_lns","item_response_warehouse","string",1611,1611,1,0,1610,0.06
"AMI_CV_Hewitt2024","item_response_warehouse","string",3402,3402,5,0,3397,0.15
"PROMISPME_Forrest_2021_LS_Children","item_response_warehouse","string",111552,111552,633,0,110919,0.57
"Fh_Okcsr_Roos_2022_study1_Feeling_Heard","item_response_warehouse","string",20176,20176,12888,0,7288,63.88
"credentialform_lnirt","item_response_warehouse","string",327200,327200,32720,0,294480,10
"SV-MAIA2_Randelovic_2021_SHS","item_response_warehouse","string",2076,2076,64,0,2012,3.08
"stress_deboeck2012","item_response_warehouse","string",6897,6897,116,0,6781,1.68
"PROMISPME_Forrest_2021_Family_Proxy","item_response_warehouse","string",208485,208485,771,0,207714,0.37
"grit","item_response_warehouse","string",37944,37944,113,0,37831,0.3
"rrca_mcneish_2025_use","item_response_warehouse","string",3088,3088,203,0,2885,6.57
"promispfue_2_0e_gershon_2019_promis","item_response_warehouse","string",20400,20400,249,0,20151,1.22
"lys_2020_rape_3_asi","item_response_warehouse","string",9504,9504,1213,0,8291,12.76
"neurodegenerative_huizinga_2019_sims","item_response_warehouse","string",109575,109575,18800,0,90775,17.16
"perceived_injustice_mourin","item_response_warehouse","string",4199,4199,1,0,4198,0.02
"hpwt_bayona_2025_workcharacteristics","item_response_warehouse","string",38808,38808,168,0,38640,0.43
"PROMISPME_Forrest_2021_GHGlobal_Children","item_response_warehouse","string",65430,65430,2,0,65428,0
"psychoneurotic_inventory","item_response_warehouse","string",698204,698204,6334,0,691870,0.91
"gilbert_meta_55","item_response_warehouse","string",26445,26445,885,0,25560,3.35
"PROMISPME_Forrest_2021_Strength_Children","item_response_warehouse","string",45600,45600,85,0,45515,0.19
"much_tte_2025_matrixreasoning","item_response_warehouse","string",24880,24880,143,0,24737,0.57
"neurips_2022","item_response_warehouse","string",509957,509957,37648,0,472309,7.38
"neurodegenerative_huizinga_2019_user","item_response_warehouse","string",30681,30681,4283,0,26398,13.96
"idcr_martinez_2023_matches","item_response_warehouse","string",2340,2340,2,0,2338,0.09
"erf_breuer_2017_tai","item_response_warehouse","string",6495,6495,855,0,5640,13.16
"QCDQES_Oliveira_2022","item_response_warehouse","string",28854,28854,13,0,28841,0.05
"MEFSIRODGAS_Nileksela_2023_severity","item_response_warehouse","string",45409,45409,1556,0,43853,3.43
"spelling2pronounce_edwards2023","item_response_warehouse","string",629815,629815,12582,0,617233,2
"mturkddm_by","item_response_warehouse","string",132800,132800,230,0,132570,0.17
"hexaco_ashton_2014_a","item_response_warehouse","string",911440,911440,24,0,911416,0
"nas_rogoza_2024_study5_ngs","item_response_warehouse","string",38040,38040,5257,0,32783,13.82
"sexual_compulsivity","item_response_warehouse","string",33760,33760,195,0,33565,0.58
"neurodegenerative_huizinga_2019_feda","item_response_warehouse","string",39447,39447,4050,0,35397,10.27
"PROMISPME_Forrest_2021_Physical_Proxy","item_response_warehouse","string",121418,121418,751,0,120667,0.62
"16_personalityfactors","item_response_warehouse","string",8012917,8012917,98919,0,7913998,1.23
"idcr_martinez_2023_Story_Recall_1","item_response_warehouse","string",9389,9389,3,0,9386,0.03
"VEI_Brazillian_Shiramizu_2018_IRI","item_response_warehouse","string",19544,19544,45,0,19499,0.23
"SV-MAIA2_Randelovic_2021_DASS","item_response_warehouse","string",4305,4305,17,0,4288,0.39
"nature_relatedness","item_response_warehouse","string",48704,48704,155,0,48549,0.32
"HEARD_Roch_2022_IDSS","item_response_warehouse","string",7200,7200,8,0,7192,0.11
"rrca_mcneish_2025_sen","item_response_warehouse","string",3088,3088,350,0,2738,11.33
"deception_professors","item_response_warehouse","string",11928,11928,3262,0,8666,27.35
"NAMPRB_Siwiak_2024_DESRPL","item_response_warehouse","string",4816,4816,1,0,4815,0.02
"evpromisi_stone_2021_cdiag","item_response_warehouse","string",5832,5832,15,0,5817,0.26
"FACES_Spanish_Vegas_2022_FACES","item_response_warehouse","string",50232,50232,844,0,49388,1.68
"erf_breuer_2017_frmfr","item_response_warehouse","string",10825,10825,5750,0,5075,53.12
"paampsmartsud_saba_2023_pacs","item_response_warehouse","string",1000,1000,100,0,900,10
"riasec","item_response_warehouse","string",10791272,10791272,30619,0,10760653,0.28
"aappss_malpas_2019_scl","item_response_warehouse","string",54990,54990,182,0,54808,0.33
"genpsych_russell_2024_gpt4o","item_response_warehouse","string",34965,34965,362,0,34603,1.04
"nas_rogoza_2024_study5_nvs","item_response_warehouse","string",38040,38040,5172,0,32868,13.6
"evpromisi_stone_2021_ddedanx","item_response_warehouse","string",33131,33131,34,0,33097,0.1
"face_memory_test","item_response_warehouse","string",309400,309400,157566,0,151834,50.93
"paampsmartsud_saba_2023_amps","item_response_warehouse","string",6000,6000,1552,0,4448,25.87
"PSR-P_Scale_Intimacy_Hakim_2018_Study3","item_response_warehouse","string",21528,21528,95,0,21433,0.44
"promis_BrummerHoffman_2021","item_response_warehouse","string",109602,109602,8,0,109594,0.01
"spelling_assessment_study1","item_response_warehouse","string",73357,73357,54,0,73303,0.07
"nas_rogoza_2024_study5_nas","item_response_warehouse","string",38040,38040,5208,0,32832,13.69
"SCS_Suh_2023_SCS","item_response_warehouse","string",20430,20430,39,0,20391,0.19
"PROMISPME_Forrest_2021_MP_Proxy","item_response_warehouse","string",51040,51040,115,0,50925,0.23
"FACIT_YOUNT_2021_crqsasx","item_response_warehouse","string",12160,12160,273,0,11887,2.25
"LSHS-E_Quidaja_2022","item_response_warehouse","string",42624,42624,25,0,42599,0.06
"depression_anxiety_stress","item_response_warehouse","string",2704700,2704700,5357,0,2699343,0.2
"mhscdc_fried_2020_tired","item_response_warehouse","string",1440,1440,30,0,1410,2.08
"evpromisi_stone_2021_ddpainin","item_response_warehouse","string",31536,31536,35,0,31501,0.11
"ffm_EST","item_response_warehouse","string",10153410,10153410,95533,0,10057877,0.94
"neurodegenerative_huizinga_2019_dass","item_response_warehouse","string",30681,30681,4515,0,26166,14.72
"gcb5_2025","item_response_warehouse_2","string",4920,4920,515,0,4405,10.47
"dscore_griffiths_weber_2019","item_response_warehouse_2","string",1508416,1508416,1373321,0,135095,91.04
"rapm_poulton_2022_untimed","item_response_warehouse_2","string",14592,14592,0,6216,14592,0
"suicide_reinbergs_2025_mpfi","item_response_warehouse_2","string",15096,15096,40,0,15056,0.26
"suicide_reinbergs_2025_dssm","item_response_warehouse_2","string",11322,11322,8,0,11314,0.07
"quopl2_forster_2021_elfe","item_response_warehouse_2","string",546356,546356,509272,0,37084,93.21
"climatechange_geiger_2025","item_response_warehouse_2","string",51142,51142,247,0,50895,0.48
"anunciacao_2025_personality_intraception","item_response_warehouse_2","string",1909915,1909915,103,0,1909812,0.01
"anunciacao_2025_personality_change","item_response_warehouse_2","string",1909915,1909915,99,0,1909816,0.01
"dscore_pegboard_weber_2019","item_response_warehouse_2","string",205,205,23,0,182,11.22
"anunciacao_2025_personality_autonomy","item_response_warehouse_2","string",2455605,2455605,131,0,2455474,0.01
"anunciacao_2025_personality_deference","item_response_warehouse_2","string",2455605,2455605,131,0,2455474,0.01
"anunciacao_2025_personality_affiliation","item_response_warehouse_2","string",2455605,2455605,131,0,2455474,0.01
"suicide_reinbergs_2025_stig","item_response_warehouse_2","string",11322,11322,26,0,11296,0.23
"opentsstvr_linnig_2025_vas","item_response_warehouse_2","string",7154,7154,21,0,7133,0.29
"suicide_reinbergs_2025_phq","item_response_warehouse_2","string",11322,11322,24,0,11298,0.21
"dscore_denver_weber_2019","item_response_warehouse_2","string",142899,142899,118589,0,24310,82.99
"crspolish_wiesyk_2024_enrich","item_response_warehouse_2","string",21720,21720,15858,0,5862,73.01
"psychotools_gratitude_gq6","item_response_warehouse_2","string",8430,8430,10,0,8420,0.12
"quopl2_forster_2021_dmat","item_response_warehouse_2","string",63808,63808,53823,0,9985,84.35
"issueirt_votes_shin_2024","item_response_warehouse_2","string",303921,303921,130615,0,173306,42.98
"hexaco_silvia_2025","item_response_warehouse_2","string",53000,53000,222,0,52778,0.42
"dscore_dutch_weber_2019","item_response_warehouse_2","string",953154,953154,787033,0,166121,82.57
"anunciacao_2025_personality_persistence","item_response_warehouse_2","string",2182760,2182760,95,0,2182665,0
"pezzuti_2025_coolpeople_single-items","item_response_warehouse_2","string",56560,56560,627,0,55933,1.11
"anunciacao_2025_personality_nurturance","item_response_warehouse_2","string",2182760,2182760,125,0,2182635,0.01
"opentsstvr_linnig_2025_vrexperience","item_response_warehouse_2","string",2774,2774,365,0,2409,13.16
"schoen_2019_to_2022_mkt","item_response_warehouse_2","string",74624,74624,814,0,73810,1.09
"quopl2_forster_2021_cft","item_response_warehouse_2","string",149550,149550,129069,0,20481,86.3
"rating_speed_2025","item_response_warehouse_2","string",2286137,2286137,40817,0,2245320,1.79
"act_kay_2025","item_response_warehouse_2","string",3936,3936,412,0,3524,10.47
"pezzuti_2025_coolpeople_benevolent","item_response_warehouse_2","string",33936,33936,3349,0,30587,9.87
"dscore_macarthur_weber_2019","item_response_warehouse_2","string",1230,1230,356,0,874,28.94
"nit_must_2014","item_response_warehouse_2","string",512052,512052,106566,0,405486,20.81
"crspolish_wiesyk_2024_p_stress","item_response_warehouse_2","string",10136,10136,7399,0,2737,73
"dscore_barrera_weber_2019","item_response_warehouse_2","string",14674,14674,11328,0,3346,77.2
"suicide_reinbergs_2025_ghsq","item_response_warehouse_2","string",11322,11322,26,0,11296,0.23
"onecm_kay_2025","item_response_warehouse_2","string",984,984,103,0,881,10.47
"anunciacao_2025_personality_achievement","item_response_warehouse_2","string",2455605,2455605,125,0,2455480,0.01
"pezzuti_2025_coolpeople_secure","item_response_warehouse_2","string",22624,22624,1,0,22623,0
"anunciacao_2025_personality_succorance","item_response_warehouse_2","string",1909915,1909915,102,0,1909813,0.01
"pezzuti_2025_coolpeople_warm","item_response_warehouse_2","string",22624,22624,2,0,22622,0.01
"sd3ypl_klimczak_2019_sd3","item_response_warehouse_2","string",18980,18980,1460,0,17520,7.69
"bfi2_zhang_2025","item_response_warehouse_2","string",80100,80100,212,0,79888,0.26
"dscore_vineland_weber_2019","item_response_warehouse_2","string",208800,208800,125242,0,83558,59.98
"gahps_korner_2021","item_response_warehouse_2","string",15946,15946,70,0,15876,0.44
"musifeast17_vanderwalle_2025","item_response_warehouse_2","string",297925,297925,10539,0,287386,3.54
"anunciacao_2025_personality_exhibition","item_response_warehouse_2","string",2455605,2455605,150,0,2455455,0.01
"gmc_kay_2025","item_response_warehouse_2","string",4920,4920,515,0,4405,10.47
"identity_fusion_gomez_2025","item_response_warehouse_2","string",46669,46669,2077,0,44592,4.45
"pezzuti_2025_coolpeople_autonomous","item_response_warehouse_2","string",22624,22624,3,0,22621,0.01
"parenting_anunciacao_2025_material_rewards","item_response_warehouse_2","string",129,129,0,0,129,0
"suicide_reinbergs_2025_stosa","item_response_warehouse_2","string",15096,15096,14,0,15082,0.09
"crspolish_wiesyk_2024_lie","item_response_warehouse_2","string",17376,17376,12687,0,4689,73.01
"pezzuti_2025_coolpeople_hedonistic","item_response_warehouse_2","string",22624,22624,2,0,22622,0.01
"suicide_reinbergs_2025_gad","item_response_warehouse_2","string",2516,2516,7,0,2509,0.28
"rapm_poulton_2022_timed","item_response_warehouse_2","string",11496,11496,0,4020,11496,0
"sd4_silvia_2025","item_response_warehouse_2","string",14840,14840,44,0,14796,0.3
"suicide_reinbergs_2025_sbqr","item_response_warehouse_2","string",5032,5032,8,0,5024,0.16
"shorttripm_silvia_2025","item_response_warehouse_2","string",17265,17265,63,0,17202,0.36
"dscore_battelle_weber_2019","item_response_warehouse_2","string",131100,131100,101558,0,29542,77.47
"anunciacao_2025_personality_aggression","item_response_warehouse_2","string",1364225,1364225,73,0,1364152,0.01
"dscore_sbi_weber_2019","item_response_warehouse_2","string",6765,6765,2177,0,4588,32.18
"pezzuti_2025_coolpeople_powerful","item_response_warehouse_2","string",22624,22624,1,0,22623,0
"dscore_mds_weber_2019","item_response_warehouse_2","string",7866,7866,6572,0,1294,83.55
"quopl2_forster_2021_quop","item_response_warehouse_2","string",733792,733792,110199,0,623593,15.02
"dscore_asq_weber_2019","item_response_warehouse_2","string",191406,191406,172867,0,18539,90.31
"anunciacao_2025_personality_dominance","item_response_warehouse_2","string",1909915,1909915,105,0,1909810,0.01
"suicide_reinbergs_2025_soss","item_response_warehouse_2","string",10064,10064,16,0,10048,0.16
"psychotools_gratitude_gac","item_response_warehouse_2","string",4215,4215,16,0,4199,0.38
"cmq_kay_2025","item_response_warehouse_2","string",4920,4920,515,0,4405,10.47
"anunciacao_2025_personality_order","item_response_warehouse_2","string",1637070,1637070,94,0,1636976,0.01
"dscore_bayley_weber_2019","item_response_warehouse_2","string",4139616,4139616,3715652,0,423964,89.76
"psychotools_gratitude_gart","item_response_warehouse_2","string",22480,22480,149,0,22331,0.66
"pezzuti_2025_coolpeople_adventurous","item_response_warehouse_2","string",22624,22624,2,0,22622,0.01
"pezzuti_2025_coolpeople_conforming","item_response_warehouse_2","string",22624,22624,2,0,22622,0.01
