table,shard,n_rows,n_resp_na,share
DART_Brysbaert_2020_3_4_5,item_response_warehouse,28908,124,0.0043
PROMISPME_Forrest_2021_PosAff_Proxy,item_response_warehouse,48177,117,0.0024
stress_deboeck2012,item_response_warehouse,6897,116,0.0168
PROMISPME_Forrest_2021_LS_Proxy,item_response_warehouse,54040,115,0.0021
PROMISPME_Forrest_2021_MP_Proxy,item_response_warehouse,51040,115,0.0023
protestant_workethic,item_response_warehouse,60750,114,0.0019
grit,item_response_warehouse,37944,113,0.003
anunciacao_2025_personality_dominance,item_response_warehouse_2,1909915,105,0.0001
cud_stone2024,item_response_warehouse,71108,103,0.0014
anunciacao_2025_personality_intraception,item_response_warehouse_2,1909915,103,0.0001
onecm_kay_2025,item_response_warehouse_2,984,103,0.1047
anunciacao_2025_personality_succorance,item_response_warehouse_2,1909915,102,0.0001
SABFI2_Gallardo_Pujol_2018_ReligionScale,item_response_warehouse,7123,100,0.014
paampsmartsud_saba_2023_pacs,item_response_warehouse,1000,100,0.1
anunciacao_2025_personality_change,item_response_warehouse_2,1909915,99,0.0001
anunciacao_2025_personality_persistence,item_response_warehouse_2,2182760,95,0.0
PSR-P_Scale_Intimacy_Hakim_2018_Study3,item_response_warehouse,21528,95,0.0044
anunciacao_2025_personality_order,item_response_warehouse_2,1637070,94,0.0001
PROMISPME_Forrest_2021_Strength_Children,item_response_warehouse,45600,85,0.0019
PTAM_Kretzschmar_2017_MicroFIN,item_response_warehouse,6984,80,0.0115
socialstereotype_hughes_2025_judgement,item_response_warehouse,14604,77,0.0053
anunciacao_2025_personality_aggression,item_response_warehouse_2,1364225,73,0.0001
gilbert_meta_74,item_response_warehouse,29400,73,0.0025
gahps_korner_2021,item_response_warehouse_2,15946,70,0.0044
PEMAIW_Qiu_2020_PANAS,item_response_warehouse,21680,69,0.0032
sat12_wilson_2003,item_response_warehouse,19200,69,0.0036
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,item_response_warehouse,10750,66,0.0061
SV-MAIA2_Randelovic_2021_SHS,item_response_warehouse,2076,64,0.0308
shorttripm_silvia_2025,item_response_warehouse_2,17265,63,0.0036
mhscdc_fried_2020_dass,item_response_warehouse,3360,63,0.0188
mturkddm_y25,item_response_warehouse,127488,55,0.0004
cbq_huczewska2022,item_response_warehouse,175488,54,0.0003
spelling_assessment_study1,item_response_warehouse,73357,54,0.0007
phq_BrummerHoffman_2021,item_response_warehouse,82260,54,0.0007
PEMAIW_Qiu_2020_BWSS,item_response_warehouse,21540,47,0.0022
VEI_Brazillian_Shiramizu_2018_IRI,item_response_warehouse,19544,45,0.0023
gad_BrummerHoffman_2021,item_response_warehouse,63980,45,0.0007
WMD_bartczuk_2023,item_response_warehouse,12936,44,0.0034
sd4_silvia_2025,item_response_warehouse_2,14840,44,0.003
PROMISPME_Forrest_2021_Strength_Proxy,item_response_warehouse,22975,41,0.0018
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,15096,40,0.0026
VEI_Brazillian_Shiramizu_2018_EI,item_response_warehouse,9772,39,0.004
SCS_Suh_2023_SCS,item_response_warehouse,20430,39,0.0019
evpromisi_stone_2021_ddpainin,item_response_warehouse,31536,35,0.0011
VSOCFP_Sebo_2024,item_response_warehouse,6352,35,0.0055
evpromisi_stone_2021_ddedanx,item_response_warehouse,33131,34,0.001
PEMAIW_Qiu_2020_MLQ,item_response_warehouse,10780,32,0.003
disgust_berger2014,item_response_warehouse,35350,30,0.0008
mhscdc_fried_2020_tired,item_response_warehouse,1440,30,0.0208
hexaco_ashton_2014_e,item_response_warehouse,911440,28,0.0
hexaco_ashton_2014_c,item_response_warehouse,911440,27,0.0
suicide_reinbergs_2025_stig,item_response_warehouse_2,11322,26,0.0023
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,11322,26,0.0023
LSHS-E_Quidaja_2022,item_response_warehouse,42624,25,0.0006
suicide_reinbergs_2025_phq,item_response_warehouse_2,11322,24,0.0021
hexaco_ashton_2014_a,item_response_warehouse,911440,24,0.0
dscore_pegboard_weber_2019,item_response_warehouse_2,205,23,0.1122
SBD_Smith_2020,item_response_warehouse,6644,23,0.0035
PEMAIW_Qiu_2020_DASS,item_response_warehouse,22554,22,0.001
envirisk_lalot_2025,item_response_warehouse,24060,22,0.0009
hexaco_ashton_2014_h,item_response_warehouse,911440,22,0.0
dvivdtws_ppmial_marcatto_2023_dtw,item_response_warehouse,12166,21,0.0017
dvivdtws_ppmial_marcatto_2023_ocs,item_response_warehouse,12166,21,0.0017
dvivdtws_ppmial_marcatto_2023_snaq,item_response_warehouse,12166,21,0.0017
dvivdtws_ppmial_marcatto_2023_ocb,item_response_warehouse,12166,21,0.0017
opentsstvr_linnig_2025_vas,item_response_warehouse_2,7154,21,0.0029
idcr_martinez_2023_Story_Recall_2,item_response_warehouse,10545,20,0.0019
socialstereotype_hughes_2025_personality_other,item_response_warehouse,34076,19,0.0006
gilbert_meta_20,item_response_warehouse,24180,18,0.0007
SV-MAIA2_Randelovic_2021_DASS,item_response_warehouse,4305,17,0.0039
HEARD_Roch_2022_K6,item_response_warehouse,3600,16,0.0044
psychotools_gratitude_gac,item_response_warehouse_2,4215,16,0.0038
suicide_reinbergs_2025_soss,item_response_warehouse_2,10064,16,0.0016
hexaco_ashton_2014_o,item_response_warehouse,911440,15,0.0
evpromisi_stone_2021_cdiag,item_response_warehouse,5832,15,0.0026
mhscdc_fried_2020_loneliness,item_response_warehouse,800,15,0.0188
mhscdc_fried_2020_procrastination,item_response_warehouse,800,15,0.0188
aestheticfluency_cotter2023,item_response_warehouse,89280,15,0.0002
suicide_reinbergs_2025_stosa,item_response_warehouse_2,15096,14,0.0009
hexaco_ashton_2014_x,item_response_warehouse,911440,13,0.0
QCDQES_Oliveira_2022,item_response_warehouse,28854,13,0.0005
evpromisi_stone_2021_global,item_response_warehouse,4860,13,0.0027
psychotools_gratitude_gq6,item_response_warehouse_2,8430,10,0.0012
bfi_goldberg_1992_extraversion,item_response_warehouse,197190,10,0.0001
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,197190,10,0.0001
bfi_goldberg_1992_agreeableness,item_response_warehouse,197190,10,0.0001
hpwt_bayona_2025_jobsatisfaction,item_response_warehouse,2520,10,0.004
bfi_goldberg_1992_neuroticism,item_response_warehouse,197190,10,0.0001
bfi_goldberg_1992_conscientiousness,item_response_warehouse,197190,10,0.0001
HEARD_Roch_2022_WHODAS,item_response_warehouse,7200,9,0.0012
EMSC_Kuan-chin_2023,item_response_warehouse,693,8,0.0115
promis_BrummerHoffman_2021,item_response_warehouse,109602,8,0.0001
HEARD_Roch_2022_IDSS,item_response_warehouse,7200,8,0.0011
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,5032,8,0.0016
suicide_reinbergs_2025_dssm,item_response_warehouse_2,11322,8,0.0007
FEDSP_Trzcinska_2023_SMSD,item_response_warehouse,2574,7,0.0027
suicide_reinbergs_2025_gad,item_response_warehouse_2,2516,7,0.0028
AMI_CV_Hewitt2024,item_response_warehouse,3402,5,0.0015
PEPABAS2C_Kubicka_2024,item_response_warehouse,4846,5,0.001
idcr_martinez_2023_Story_Recall_3,item_response_warehouse,7150,4,0.0006
BPAQ_Christopher_2024_FFMQSF,item_response_warehouse,2550,4,0.0016
deception_game,item_response_warehouse,15264,4,0.0003
Aspirations_Sonmez_2022,item_response_warehouse,16555,4,0.0002
pezzuti_2025_coolpeople_autonomous,item_response_warehouse_2,22624,3,0.0001
VCISM_Polish_Trzcinska_2023,item_response_warehouse,2070,3,0.0014
PEMAIW_Qiu_2020_SWLS,item_response_warehouse,5460,3,0.0005
idcr_martinez_2023_Story_Recall_1,item_response_warehouse,9389,3,0.0003
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,item_response_warehouse,1272,3,0.0024
idcr_martinez_2023_ps,item_response_warehouse,4212,2,0.0005
FEDSP_Trzcinska_2023_PRD,item_response_warehouse,990,2,0.002
PROMISPME_Forrest_2021_GHGlobal_Children,item_response_warehouse,65430,2,0.0
pechorro_impulsivity_2021_ypitris,item_response_warehouse,9009,2,0.0002
pezzuti_2025_coolpeople_hedonistic,item_response_warehouse_2,22624,2,0.0001
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,item_response_warehouse,2756,2,0.0007
pezzuti_2025_coolpeople_warm,item_response_warehouse_2,22624,2,0.0001
idcr_martinez_2023_matches,item_response_warehouse,2340,2,0.0009
pezzuti_2025_coolpeople_conforming,item_response_warehouse_2,22624,2,0.0001
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,22624,2,0.0001
NAMPRB_Siwiak_2024_DESRPL,item_response_warehouse,4816,1,0.0002
pezzuti_2025_coolpeople_powerful,item_response_warehouse_2,22624,1,0.0
idcr_martinez_2023_lns,item_response_warehouse,1611,1,0.0006
perceived_injustice_mourin,item_response_warehouse,4199,1,0.0002
pezzuti_2025_coolpeople_secure,item_response_warehouse_2,22624,1,0.0
socialstereotype_hughes_2025_personality_self,item_response_warehouse,8316,1,0.0001
much_tte_2025_concentrationtask,item_response_warehouse,11196,1,0.0001
BPAQ_Christopher_2024_SCSS,item_response_warehouse,2040,1,0.0005
