table,shard,n_rows,n_na,pct_na,n_items,n_items_all_na,na_in_all_na_items,n_items_no_na,n_ids,n_ids_all_na,na_in_all_na_ids,n_ids_no_na,pct_na_in_all_na_items,pct_na_in_all_na_ids
genpsych_russell_2024_gpt3_5,item_response_warehouse,31031,385,1.241,31,0,0,0,1001,1,31,901,0.0,8.05
dvivdtws_ppmial_marcatto_2023_ocs,item_response_warehouse,12166,21,0.173,22,0,0,6,553,0,0,537,0.0,0.0
mturkddm_recognition,item_response_warehouse,76908,284,0.369,2202,0,0,1925,142,0,0,118,0.0,0.0
FACIT_YOUNT_2021_limitations,item_response_warehouse,42200,10276,24.351,100,0,0,4,608,0,0,16,0.0,0.0
brand_raffaelli_2024_liking_24,item_response_warehouse,48262,660,1.368,59,0,0,0,818,5,295,803,0.0,44.7
MEFSIRODGAS_Nileksela_2023_freq,item_response_warehouse,45409,1556,3.427,91,0,0,0,499,2,182,307,0.0,11.7
neurodegenerative_huizinga_2019_brief,item_response_warehouse,109575,13365,12.197,75,0,0,0,1461,167,12525,1273,0.0,93.71
gilbert_meta_74,item_response_warehouse,29400,73,0.248,12,0,0,0,1225,0,0,1217,0.0,0.0
VCISM_Polish_Trzcinska_2023,item_response_warehouse,2070,3,0.145,12,0,0,10,104,0,0,103,0.0,0.0
ffm_OPN,item_response_warehouse,10153410,93395,0.92,10,0,0,0,1015341,4444,44440,975052,0.0,47.58
hypersensitive_narcissism,item_response_warehouse,1187582,6170,0.52,22,0,0,0,53981,25,550,50487,0.0,8.91
singh_2025_identity_irs,item_response_warehouse,14700,1704,11.592,10,0,0,8,1470,0,0,618,0.0,0.0
evpromisi_stone_2021_global,item_response_warehouse,4860,13,0.267,10,0,0,0,486,1,10,482,0.0,76.92
much_tte_2025_concentrationtask,item_response_warehouse,11196,1,0.009,9,0,0,8,1244,0,0,1243,0.0,0.0
paampsmartsud_saba_2023_pss,item_response_warehouse,2000,200,10.0,10,0,0,0,100,10,200,90,0.0,100.0
bfi_goldberg_1992_conscientiousness,item_response_warehouse,197190,10,0.005,10,0,0,0,19719,1,10,19718,0.0,100.0
PEMAIW_Qiu_2020_MEQ,item_response_warehouse,33510,246,0.734,30,0,0,0,1117,0,0,1062,0.0,0.0
hexaco_ashton_2014_e,item_response_warehouse,911440,28,0.003,40,0,0,19,22786,0,0,22767,0.0,0.0
deception_game,item_response_warehouse,15264,4,0.026,24,0,0,22,636,0,0,632,0.0,0.0
mhscdc_fried_2020_loneliness,item_response_warehouse,800,15,1.875,5,0,0,0,80,0,0,77,0.0,0.0
geography,item_response_warehouse,10087305,281706,2.793,1458,0,0,17,91331,564,1563,52798,0.0,0.55
PBS_Surrain_2019_PoB,item_response_warehouse,13966,917,6.566,23,0,0,15,741,0,0,531,0.0,0.0
FACES_Spanish_Vegas_2022_FSS,item_response_warehouse,11960,136,1.137,10,0,0,0,1196,8,80,1143,0.0,58.82
BPAQ_Christopher_2024_SCSS,item_response_warehouse,2040,1,0.049,12,0,0,11,170,0,0,169,0.0,0.0
SV-MAIA2_Randelovic_2021_hexaco60,item_response_warehouse,8280,199,2.403,60,0,0,1,138,0,0,134,0.0,0.0
socialstereotype_hughes_2025_personality_other,item_response_warehouse,34076,19,0.056,28,0,0,14,312,0,0,294,0.0,0.0
mhscdc_fried_2020_dass,item_response_warehouse,3360,63,1.875,21,0,0,0,80,0,0,77,0.0,0.0
socialstereotype_hughes_2025_judgement,item_response_warehouse,14604,77,0.527,12,0,0,4,312,0,0,281,0.0,0.0
HEARD_Roch_2022_K6,item_response_warehouse,3600,16,0.444,6,0,0,1,600,0,0,587,0.0,0.0
hpwt_bayona_2025_jobsatisfaction,item_response_warehouse,2520,10,0.397,5,0,0,0,504,1,5,498,0.0,50.0
close_relationships,item_response_warehouse,1853676,9534,0.514,36,0,0,0,51491,58,2088,46610,0.0,21.9
SBD_Smith_2020,item_response_warehouse,6644,23,0.346,22,0,0,10,302,0,0,285,0.0,0.0
BAFACALO_Golino_2013_SMS,item_response_warehouse,10804,3199,29.609,37,0,0,0,292,0,0,23,0.0,0.0
gilbert_meta_86,item_response_warehouse,27210,1205,4.429,15,0,0,0,1244,62,930,1142,0.0,77.18
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,197190,10,0.005,10,0,0,0,19719,1,10,19718,0.0,100.0
Fh_Okcsr_Roos_2022_study2_Feeling_Heard,item_response_warehouse,40854,8000,19.582,102,0,0,86,1000,0,0,0,0.0,0.0
Aspirations_Sonmez_2022,item_response_warehouse,16555,4,0.024,35,0,0,31,265,0,0,262,0.0,0.0
SABFI2_Gallardo_Pujol_2018_ReligionScale,item_response_warehouse,7123,100,1.404,17,0,0,0,419,0,0,369,0.0,0.0
nonverbal_immediacy,item_response_warehouse,7896928,8712,0.11,52,0,0,16,151864,0,0,148277,0.0,0.0
idcr_martinez_2023_Story_Recall_3,item_response_warehouse,7150,4,0.056,32,0,0,29,235,0,0,231,0.0,0.0
erf_breuer_2017_dosp,item_response_warehouse,3897,513,13.164,9,0,0,0,433,57,513,376,0.0,100.0
fad_dataset2,item_response_warehouse,34456,14702,42.669,59,0,0,15,584,0,0,124,0.0,0.0
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,item_response_warehouse,2756,2,0.073,13,0,0,11,199,0,0,197,0.0,0.0
PROMISPME_Forrest_2021_MP_Children,item_response_warehouse,104225,308,0.296,55,0,0,3,1895,0,0,1690,0.0,0.0
humor_styles,item_response_warehouse,34272,162,0.473,32,0,0,0,1071,1,32,993,0.0,19.75
dvivdtws_ppmial_marcatto_2023_snaq,item_response_warehouse,12166,21,0.173,22,0,0,6,553,0,0,537,0.0,0.0
HEARD_Roch_2022_COPE,item_response_warehouse,14400,193,1.34,24,0,0,2,600,0,0,518,0.0,0.0
timss_tam,item_response_warehouse,19503,1896,9.722,11,0,0,0,1773,5,55,1067,0.0,2.9
Veterans_Affairs_SSVF_Survey_2018-20,item_response_warehouse,1475369,476509,32.298,56,3,79041,1,26347,0,0,0,16.59,0.0
PEMAIW_Qiu_2020_MLQ,item_response_warehouse,10780,32,0.297,10,0,0,0,1078,0,0,1070,0.0,0.0
DART_Brysbaert_2020_3_4_5,item_response_warehouse,28908,124,0.429,264,2,124,262,219,0,0,157,100.0,0.0
WMD_bartczuk_2023,item_response_warehouse,12936,44,0.34,24,0,0,3,539,0,0,506,0.0,0.0
ffm_AGR,item_response_warehouse,10153410,90888,0.895,10,0,0,0,1015341,4286,42860,976289,0.0,47.16
experimental_iq,item_response_warehouse,10000,526,5.26,25,0,0,0,400,1,25,192,0.0,4.75
SV-MAIA2_Randelovic_2021_MAIA,item_response_warehouse,25086,5846,23.304,37,0,0,0,449,0,0,291,0.0,0.0
fisher_temperment,item_response_warehouse,437096,180,0.041,88,0,0,78,4967,0,0,4922,0.0,0.0
BPAQ_Christopher_2024_FFMQSF,item_response_warehouse,2550,4,0.157,15,0,0,12,170,0,0,167,0.0,0.0
feminist_perspectives,item_response_warehouse,808620,14291,1.767,60,0,0,0,13477,6,360,11533,0.0,2.52
vocabulary_iq,item_response_warehouse,912975,76191,8.345,75,0,0,0,12173,0,0,2564,0.0,0.0
sexual_selfconcept,item_response_warehouse,1768500,37688,2.131,100,0,0,0,17685,28,2800,12789,0.0,7.43
rightwing_authoritariansim,item_response_warehouse,474288,832,0.175,48,0,0,16,9881,0,0,9568,0.0,0.0
fcupanas_cffsdas_reyna_2018,item_response_warehouse,32720,1430,4.37,40,0,0,1,1636,0,0,1236,0.0,0.0
PROMISPME_Forrest_2021_PosAff_Children,item_response_warehouse,99322,1186,1.194,53,0,0,0,1874,5,265,1424,0.0,22.34
VEI_Brazillian_Shiramizu_2018_EI,item_response_warehouse,9772,39,0.399,14,0,0,0,698,1,14,685,0.0,35.9
genpsych_russell_2024_mixtral,item_response_warehouse,31936,285,0.892,32,0,0,0,998,0,0,916,0.0,0.0
mhscdc_fried_2020_procrastination,item_response_warehouse,800,15,1.875,5,0,0,0,80,0,0,77,0.0,0.0
BAFACALO_Golino_2013_CIS,item_response_warehouse,17520,6911,39.446,60,0,0,1,292,0,0,5,0.0,0.0
SCS_Suh_2023_SIAPS,item_response_warehouse,4332,130,3.001,12,0,0,0,361,3,36,265,0.0,27.69
rosenberg_selfesteem,item_response_warehouse,479740,2059,0.429,10,0,0,0,47974,45,450,46546,0.0,21.86
BPAQ_Christopher_2024_BPAQSF,item_response_warehouse,4080,672,16.471,12,0,0,0,170,0,0,114,0.0,0.0
PROMISPME_Forrest_2021_Psych_Proxy,item_response_warehouse,58432,230,0.394,64,0,0,13,913,0,0,815,0.0,0.0
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,item_response_warehouse,10750,66,0.614,10,0,0,2,1075,0,0,1010,0.0,0.0
nerdy_personality,item_response_warehouse,777660,1917,0.247,52,0,0,16,14955,0,0,13882,0.0,0.0
spelling_assessment_study2,item_response_warehouse,56592,145,0.256,72,0,0,5,786,0,0,770,0.0,0.0
PROMISPME_Forrest_2021_Strength_Proxy,item_response_warehouse,22975,41,0.178,25,0,0,8,918,0,0,892,0.0,0.0
bfi_goldberg_1992_agreeableness,item_response_warehouse,197190,10,0.005,10,0,0,0,19719,1,10,19718,0.0,100.0
brain_hemisphere,item_response_warehouse,590880,2482,0.42,20,0,0,0,29544,16,320,28186,0.0,12.89
5personalityfactors,item_response_warehouse,626780,3675,0.586,70,0,0,0,8936,0,0,7607,0.0,0.0
sat12_wilson_2003,item_response_warehouse,19200,69,0.359,32,0,0,7,600,0,0,572,0.0,0.0
mturkddm_y25,item_response_warehouse,127488,55,0.043,12,0,0,0,166,0,0,141,0.0,0.0
PROMISPME_Forrest_2021_Physical_Children,item_response_warehouse,238118,1304,0.548,122,0,0,4,3854,0,0,3437,0.0,0.0
PEMAIW_Qiu_2020_BWSS,item_response_warehouse,21540,47,0.218,20,0,0,1,1077,0,0,1058,0.0,0.0
CQTMS_Hur_2023,item_response_warehouse,122720,157,0.128,160,0,0,61,767,0,0,717,0.0,0.0
PEMAIW_Qiu_2020_FFMQ,item_response_warehouse,46176,322,0.697,39,0,0,0,1184,0,0,1129,0.0,0.0
PEMAIW_Qiu_2020_DASS,item_response_warehouse,22554,22,0.098,21,0,0,6,1074,0,0,1059,0.0,0.0
hexaco_ashton_2014_h,item_response_warehouse,911440,22,0.002,40,0,0,22,22786,0,0,22773,0.0,0.0
western_reserve_project,item_response_warehouse,1445422,378887,26.213,2812,81,22842,97,758,0,0,0,6.03,0.0
ffm_CSN,item_response_warehouse,10153410,95466,0.94,10,0,0,0,1015341,4376,43760,972960,0.0,45.84
socialstereotype_hughes_2025_personality_self,item_response_warehouse,8316,1,0.012,28,0,0,27,297,0,0,296,0.0,0.0
mindfulness_assessment,item_response_warehouse,23439,139,0.593,39,0,0,2,601,0,0,521,0.0,0.0
gad_BrummerHoffman_2021,item_response_warehouse,63980,45,0.07,35,0,0,10,1828,0,0,1795,0.0,0.0
hexaco_ashton_2014_x,item_response_warehouse,911440,13,0.001,40,0,0,29,22786,0,0,22776,0.0,0.0
tma,item_response_warehouse,270500,2612,0.966,50,0,0,0,5410,9,450,4474,0.0,17.23
neurodegenerative_huizinga_2019_vfq,item_response_warehouse,42369,6385,15.07,29,0,0,0,1461,89,2581,0,0.0,40.42
CHEXI_Lin_2019,item_response_warehouse,53088,289,0.544,24,0,0,0,2212,0,0,2010,0.0,0.0
HEARD_Roch_2022_WHODAS,item_response_warehouse,7200,9,0.125,12,0,0,9,600,0,0,591,0.0,0.0
hexaco_ashton_2014_o,item_response_warehouse,911440,15,0.002,40,0,0,26,22786,0,0,22776,0.0,0.0
EEN_Lacey_2024_Parent,item_response_warehouse,59640,184,0.309,24,0,0,21,2485,0,0,2326,0.0,0.0
wooly_hartman2022,item_response_warehouse,29659,1857,6.261,19,0,0,15,1561,0,0,714,0.0,0.0
cud_stone2024,item_response_warehouse,71108,103,0.145,44,0,0,12,413,1,19,389,0.0,18.45
gilbert_meta_76,item_response_warehouse,66768,155,0.232,78,0,0,11,428,0,0,378,0.0,0.0
ffm_EXT,item_response_warehouse,10153410,84238,0.83,10,0,0,0,1015341,4077,40770,981861,0.0,48.4
PROMISPME_Forrest_2021_Family_Children,item_response_warehouse,208485,771,0.37,113,0,0,2,1845,0,0,1660,0.0,0.0
disgust_berger2014,item_response_warehouse,35350,30,0.085,25,0,0,6,1414,0,0,1394,0.0,0.0
gilbert_meta_87,item_response_warehouse,19954,1051,5.267,11,0,0,0,1244,81,891,1136,0.0,84.78
dvivdtws_ppmial_marcatto_2023_dtw,item_response_warehouse,12166,21,0.173,22,0,0,6,553,0,0,537,0.0,0.0
protestant_workethic,item_response_warehouse,60750,114,0.188,45,0,0,16,1350,0,0,1327,0.0,0.0
BAFACALO_Golino_2013_FIS,item_response_warehouse,17520,2888,16.484,60,0,0,0,292,0,0,12,0.0,0.0
PTAM_Kretzschmar_2017_MicroFIN,item_response_warehouse,6984,80,1.145,24,0,0,8,253,0,0,242,0.0,0.0
brand_raffaelli_2024_familiarity_24,item_response_warehouse,48262,660,1.368,59,0,0,0,818,5,295,803,0.0,44.7
PTAM_Kretzschmar_2017_Reasoning,item_response_warehouse,8424,616,7.312,36,0,0,0,234,0,0,202,0.0,0.0
consideration_future_consequences,item_response_warehouse,180420,351,0.195,12,0,0,0,15035,7,84,14819,0.0,23.93
VSOCFP_Sebo_2024,item_response_warehouse,6352,35,0.551,8,0,0,0,794,0,0,783,0.0,0.0
PROMISPME_Forrest_2021_PosAff_Proxy,item_response_warehouse,48177,117,0.243,53,0,0,7,909,0,0,866,0.0,0.0
cbq_huczewska2022,item_response_warehouse,175488,54,0.031,64,0,0,51,2742,0,0,2690,0.0,0.0
mhscdc_fried_2020_ema,item_response_warehouse,78696,7738,9.833,18,0,0,0,79,0,0,9,0.0,0.0
dvivdtws_ppmial_marcatto_2023_ocb,item_response_warehouse,12166,21,0.173,22,0,0,6,553,0,0,537,0.0,0.0
qol_islam_2025,item_response_warehouse,29822,238,0.798,26,0,0,25,1147,0,0,909,0.0,0.0
bfi_goldberg_1992_extraversion,item_response_warehouse,197190,10,0.005,10,0,0,0,19719,1,10,19718,0.0,100.0
PROMISPME_Forrest_2021_GHGlobal_Proxy,item_response_warehouse,37947,1909,5.031,21,0,0,8,1807,0,0,174,0.0,0.0
PROMISPME_Forrest_2021_Psych_Children,item_response_warehouse,119936,452,0.377,64,0,0,0,1874,0,0,1740,0.0,0.0
MGSISGCLQ_Hollyhead_2018,item_response_warehouse,950,175,18.421,25,0,0,0,38,7,175,31,0.0,100.0
mturkddm_lexical,item_response_warehouse,68160,136,0.2,4588,0,0,4452,142,0,0,124,0.0,0.0
PEPABAS2C_Kubicka_2024,item_response_warehouse,4846,5,0.103,24,0,0,19,200,0,0,195,0.0,0.0
hexaco_ashton_2014_c,item_response_warehouse,911440,27,0.003,40,0,0,21,22786,0,0,22769,0.0,0.0
BAFACALO_Golino_2013_BVPS,item_response_warehouse,18104,2046,11.301,62,0,0,0,292,0,0,134,0.0,0.0
mbft_anunciacao_2024,item_response_warehouse,42290975,2251,0.005,155,0,0,0,272845,11,1705,272820,0.0,75.74
artistic_preferences,item_response_warehouse,1040200,1291,0.124,56,0,0,46,18575,0,0,18286,0.0,0.0
selfcompassionscale_shortform_fuochi_2025,item_response_warehouse,24816,186,0.75,12,0,0,0,1816,0,0,1655,0.0,0.0
aestheticfluency_cotter2023,item_response_warehouse,89280,15,0.017,36,0,0,23,2480,0,0,2467,0.0,0.0
paampsmartsud_saba_2023_ders,item_response_warehouse,7400,740,10.0,37,0,0,0,100,10,740,90,0.0,100.0
phq_BrummerHoffman_2021,item_response_warehouse,82260,54,0.066,45,0,0,13,1828,0,0,1787,0.0,0.0
idcr_martinez_2023_lns,item_response_warehouse,1611,1,0.062,18,0,0,17,230,0,0,229,0.0,0.0
AMI_CV_Hewitt2024,item_response_warehouse,3402,5,0.147,18,0,0,14,189,0,0,186,0.0,0.0
PROMISPME_Forrest_2021_LS_Children,item_response_warehouse,111552,633,0.567,56,0,0,2,1992,0,0,1673,0.0,0.0
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,item_response_warehouse,20176,12888,63.878,104,0,0,4,194,0,0,0,0.0,0.0
credentialform_lnirt,item_response_warehouse,327200,32720,10.0,200,0,0,170,1636,0,0,0,0.0,0.0
SV-MAIA2_Randelovic_2021_SHS,item_response_warehouse,2076,64,3.083,4,0,0,0,449,16,64,433,0.0,100.0
stress_deboeck2012,item_response_warehouse,6897,116,1.682,11,0,0,0,185,0,0,153,0.0,0.0
PROMISPME_Forrest_2021_Family_Proxy,item_response_warehouse,208485,771,0.37,113,0,0,2,1845,0,0,1660,0.0,0.0
grit,item_response_warehouse,37944,113,0.298,12,0,0,0,3162,4,48,3103,0.0,42.48
rrca_mcneish_2025_use,item_response_warehouse,3088,203,6.574,8,0,0,0,386,0,0,294,0.0,0.0
promispfue_2_0e_gershon_2019_promis,item_response_warehouse,20400,249,1.221,34,0,0,0,600,0,0,463,0.0,0.0
lys_2020_rape_3_asi,item_response_warehouse,9504,1213,12.763,22,0,0,0,432,53,1166,360,0.0,96.13
neurodegenerative_huizinga_2019_sims,item_response_warehouse,109575,18800,17.157,75,0,0,0,1461,239,17925,1195,0.0,95.35
perceived_injustice_mourin,item_response_warehouse,4199,1,0.024,19,0,0,18,221,0,0,220,0.0,0.0
hpwt_bayona_2025_workcharacteristics,item_response_warehouse,38808,168,0.433,77,0,0,14,504,0,0,394,0.0,0.0
PROMISPME_Forrest_2021_GHGlobal_Children,item_response_warehouse,65430,2,0.003,18,0,0,16,3635,0,0,3633,0.0,0.0
psychoneurotic_inventory,item_response_warehouse,698204,6334,0.907,116,0,0,0,6019,3,348,3888,0.0,5.49
gilbert_meta_55,item_response_warehouse,26445,885,3.347,15,0,0,0,1763,59,885,1704,0.0,100.0
PROMISPME_Forrest_2021_Strength_Children,item_response_warehouse,45600,85,0.186,25,0,0,3,1824,0,0,1761,0.0,0.0
much_tte_2025_matrixreasoning,item_response_warehouse,24880,143,0.575,20,0,0,0,1244,1,20,1178,0.0,13.99
neurips_2022,item_response_warehouse,509957,37648,7.383,5730,0,0,2972,6468,0,0,2354,0.0,0.0
neurodegenerative_huizinga_2019_user,item_response_warehouse,30681,4283,13.96,21,0,0,0,1461,198,4158,1254,0.0,97.08
idcr_martinez_2023_matches,item_response_warehouse,2340,2,0.085,10,0,0,8,234,0,0,232,0.0,0.0
erf_breuer_2017_tai,item_response_warehouse,6495,855,13.164,15,0,0,0,433,57,855,376,0.0,100.0
QCDQES_Oliveira_2022,item_response_warehouse,28854,13,0.045,42,0,0,35,687,0,0,677,0.0,0.0
MEFSIRODGAS_Nileksela_2023_severity,item_response_warehouse,45409,1556,3.427,91,0,0,0,499,2,182,307,0.0,11.7
spelling2pronounce_edwards2023,item_response_warehouse,629815,12582,1.998,1,0,0,0,23282,0,0,12978,0.0,0.0
mturkddm_by,item_response_warehouse,132800,230,0.173,20,0,0,0,166,0,0,117,0.0,0.0
hexaco_ashton_2014_a,item_response_warehouse,911440,24,0.003,40,0,0,20,22786,0,0,22773,0.0,0.0
nas_rogoza_2024_study5_ngs,item_response_warehouse,38040,5257,13.82,4,0,0,0,317,0,0,88,0.0,0.0
sexual_compulsivity,item_response_warehouse,33760,195,0.578,10,0,0,0,3376,3,30,3243,0.0,15.38
neurodegenerative_huizinga_2019_feda,item_response_warehouse,39447,4050,10.267,27,0,0,0,1461,150,4050,1311,0.0,100.0
PROMISPME_Forrest_2021_Physical_Proxy,item_response_warehouse,121418,751,0.619,122,0,0,17,1957,0,0,1642,0.0,0.0
16_personalityfactors,item_response_warehouse,8012917,98919,1.234,163,0,0,0,49159,155,25265,35381,0.0,25.54
idcr_martinez_2023_Story_Recall_1,item_response_warehouse,9389,3,0.032,42,0,0,39,236,0,0,233,0.0,0.0
SV-MAIA2_Randelovic_2021_DASS,item_response_warehouse,4305,17,0.395,21,0,0,4,205,0,0,204,0.0,0.0
VEI_Brazillian_Shiramizu_2018_IRI,item_response_warehouse,19544,45,0.23,28,0,0,6,698,0,0,672,0.0,0.0
nature_relatedness,item_response_warehouse,48704,155,0.318,32,0,0,22,1522,0,0,1497,0.0,0.0
HEARD_Roch_2022_IDSS,item_response_warehouse,7200,8,0.111,12,0,0,6,600,0,0,592,0.0,0.0
rrca_mcneish_2025_sen,item_response_warehouse,3088,350,11.334,8,0,0,0,386,1,8,239,0.0,2.29
deception_professors,item_response_warehouse,11928,3262,27.347,21,0,0,1,568,0,0,0,0.0,0.0
NAMPRB_Siwiak_2024_DESRPL,item_response_warehouse,4816,1,0.021,28,0,0,27,172,0,0,171,0.0,0.0
evpromisi_stone_2021_cdiag,item_response_warehouse,5832,15,0.257,12,0,0,0,486,1,12,482,0.0,80.0
FACES_Spanish_Vegas_2022_FACES,item_response_warehouse,50232,844,1.68,42,0,0,0,1196,9,378,904,0.0,44.79
erf_breuer_2017_frmfr,item_response_warehouse,10825,5750,53.118,25,0,0,0,433,230,5750,203,0.0,100.0
paampsmartsud_saba_2023_pacs,item_response_warehouse,1000,100,10.0,5,0,0,0,100,10,100,90,0.0,100.0
aappss_malpas_2019_scl,item_response_warehouse,54990,182,0.331,90,0,0,14,611,0,0,537,0.0,0.0
riasec,item_response_warehouse,10791272,30619,0.284,74,0,0,16,145828,0,0,134048,0.0,0.0
genpsych_russell_2024_gpt4o,item_response_warehouse,34965,362,1.035,35,0,0,0,999,0,0,897,0.0,0.0
nas_rogoza_2024_study5_nvs,item_response_warehouse,38040,5172,13.596,4,0,0,0,317,0,0,89,0.0,0.0
evpromisi_stone_2021_ddedanx,item_response_warehouse,33131,34,0.103,7,0,0,0,183,0,0,160,0.0,0.0
paampsmartsud_saba_2023_amps,item_response_warehouse,6000,1552,25.867,15,0,0,0,100,7,420,34,0.0,27.06
face_memory_test,item_response_warehouse,309400,157566,50.926,175,0,0,46,1768,0,0,0,0.0,0.0
PSR-P_Scale_Intimacy_Hakim_2018_Study3,item_response_warehouse,21528,95,0.441,24,0,0,0,897,0,0,826,0.0,0.0
promis_BrummerHoffman_2021,item_response_warehouse,109602,8,0.007,80,0,0,72,1828,0,0,1827,0.0,0.0
nas_rogoza_2024_study5_nas,item_response_warehouse,38040,5208,13.691,4,0,0,0,317,0,0,89,0.0,0.0
spelling_assessment_study1,item_response_warehouse,73357,54,0.074,109,0,0,64,673,0,0,649,0.0,0.0
SCS_Suh_2023_SCS,item_response_warehouse,20430,39,0.191,30,0,0,0,681,1,30,673,0.0,76.92
PROMISPME_Forrest_2021_MP_Proxy,item_response_warehouse,51040,115,0.225,55,0,0,7,927,0,0,877,0.0,0.0
LSHS-E_Quidaja_2022,item_response_warehouse,42624,25,0.059,16,0,0,3,2664,0,0,2640,0.0,0.0
FACIT_YOUNT_2021_crqsasx,item_response_warehouse,12160,273,2.245,20,0,0,15,608,0,0,399,0.0,0.0
depression_anxiety_stress,item_response_warehouse,2704700,5357,0.198,68,0,0,58,39775,0,0,38341,0.0,0.0
evpromisi_stone_2021_ddpainin,item_response_warehouse,31536,35,0.111,6,0,0,0,200,0,0,174,0.0,0.0
mhscdc_fried_2020_tired,item_response_warehouse,1440,30,2.083,10,0,0,0,80,0,0,77,0.0,0.0
neurodegenerative_huizinga_2019_dass,item_response_warehouse,30681,4515,14.716,21,0,0,0,1461,215,4515,1246,0.0,100.0
ffm_EST,item_response_warehouse,10153410,95533,0.941,10,0,0,0,1015341,4442,44420,972953,0.0,46.5
gcb5_2025,item_response_warehouse_2,4920,515,10.467,5,0,0,0,492,0,0,389,0.0,0.0
dscore_griffiths_weber_2019,item_response_warehouse_2,1508416,1373321,91.044,296,0,0,0,2774,1683,745032,0,0.0,54.25
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,15096,40,0.265,12,0,0,0,1258,1,12,1231,0.0,30.0
suicide_reinbergs_2025_dssm,item_response_warehouse_2,11322,8,0.071,9,0,0,5,1258,0,0,1250,0.0,0.0
quopl2_forster_2021_elfe,item_response_warehouse_2,546356,509272,93.212,274,14,27916,0,1994,1641,449634,0,5.48,88.29
climatechange_geiger_2025,item_response_warehouse_2,51142,247,0.483,14,0,0,13,3653,0,0,3406,0.0,0.0
anunciacao_2025_personality_intraception,item_response_warehouse_2,1909915,103,0.005,7,0,0,0,272845,11,77,272828,0.0,74.76
anunciacao_2025_personality_change,item_response_warehouse_2,1909915,99,0.005,7,0,0,0,272845,11,77,272828,0.0,77.78
