table,shard,n_rows,n_na,share_na,n_items,n_ids
envirisk_lalot_2025,item_response_warehouse,24060,22,0.0009143807148794,12,2005
mindfulness_assessment,item_response_warehouse,23439,139,0.0059302871282904,39,601
PROMISPME_Forrest_2021_Strength_Proxy,item_response_warehouse,22975,41,0.001784548422198,25,918
pezzuti_2025_coolpeople_secure,item_response_warehouse_2,22624,1,4.42008486562942e-05,4,5656
pezzuti_2025_coolpeople_powerful,item_response_warehouse_2,22624,1,4.42008486562942e-05,4,5656
pezzuti_2025_coolpeople_autonomous,item_response_warehouse_2,22624,3,0.0001326025459688,4,5656
pezzuti_2025_coolpeople_warm,item_response_warehouse_2,22624,2,8.84016973125884e-05,4,5656
pezzuti_2025_coolpeople_conforming,item_response_warehouse_2,22624,2,8.84016973125884e-05,4,5656
pezzuti_2025_coolpeople_hedonistic,item_response_warehouse_2,22624,2,8.84016973125884e-05,4,5656
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,22624,2,8.84016973125884e-05,4,5656
PEMAIW_Qiu_2020_DASS,item_response_warehouse,22554,22,0.0009754367296266,21,1074
psychotools_gratitude_gart,item_response_warehouse_2,22480,149,0.0066281138790035,16,1405
dumas_Organisciak_2022,item_response_warehouse,21960,178,0.0081056466302367,10,92
PEMAIW_Qiu_2020_PANAS,item_response_warehouse,21680,69,0.0031826568265682,20,1084
PEMAIW_Qiu_2020_BWSS,item_response_warehouse,21540,47,0.0021819870009285,20,1077
PSR-P_Scale_Intimacy_Hakim_2018_Study3,item_response_warehouse,21528,95,0.0044128576737272,24,897
SCS_Suh_2023_SCS,item_response_warehouse,20430,39,0.0019089574155653,30,681
promispfue_2_0e_gershon_2019_promis,item_response_warehouse,20400,249,0.0122058823529411,34,600
VEI_Brazillian_Shiramizu_2018_IRI,item_response_warehouse,19544,45,0.002302496930004,28,698
sat12_wilson_2003,item_response_warehouse,19200,69,0.00359375,32,600
shorttripm_silvia_2025,item_response_warehouse_2,17265,63,0.0036490008688097,15,1151
gahps_korner_2021,item_response_warehouse_2,15946,70,0.0043898156277436,14,1139
deception_game,item_response_warehouse,15264,4,0.0002620545073375,24,636
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,15096,40,0.0026497085320614,12,1258
suicide_reinbergs_2025_stosa,item_response_warehouse_2,15096,14,0.0009273979862215,12,1258
sd4_silvia_2025,item_response_warehouse_2,14840,44,0.0029649595687331,28,530
socialstereotype_hughes_2025_judgement,item_response_warehouse,14604,77,0.0052725280745001,12,312
rapm_poulton_2022_untimed,item_response_warehouse_2,14592,0,0.0,12,608
HEARD_Roch_2022_COPE,item_response_warehouse,14400,193,0.0134027777777777,24,600
WMD_bartczuk_2023,item_response_warehouse,12936,44,0.0034013605442176,24,539
dvivdtws_ppmial_marcatto_2023_dtw,item_response_warehouse,12166,21,0.0017261219792865,22,553
dvivdtws_ppmial_marcatto_2023_ocs,item_response_warehouse,12166,21,0.0017261219792865,22,553
dvivdtws_ppmial_marcatto_2023_ocb,item_response_warehouse,12166,21,0.0017261219792865,22,553
dvivdtws_ppmial_marcatto_2023_snaq,item_response_warehouse,12166,21,0.0017261219792865,22,553
FACIT_YOUNT_2021_crqsasx,item_response_warehouse,12160,273,0.0224506578947368,20,608
FACES_Spanish_Vegas_2022_FSS,item_response_warehouse,11960,136,0.0113712374581939,10,1196
rapm_poulton_2022_timed,item_response_warehouse_2,11496,0,0.0,12,479
suicide_reinbergs_2025_phq,item_response_warehouse_2,11322,24,0.0021197668256491,9,1258
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,11322,26,0.0022964140611199,9,1258
suicide_reinbergs_2025_stig,item_response_warehouse_2,11322,26,0.0022964140611199,9,1258
suicide_reinbergs_2025_dssm,item_response_warehouse_2,11322,8,0.000706588941883,9,1258
much_tte_2025_concentrationtask,item_response_warehouse,11196,1,8.931761343336905e-05,9,1244
PEMAIW_Qiu_2020_MLQ,item_response_warehouse,10780,32,0.0029684601113172,10,1078
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,item_response_warehouse,10750,66,0.0061395348837209,10,1075
idcr_martinez_2023_Story_Recall_2,item_response_warehouse,10545,20,0.0018966334755808,48,235
suicide_reinbergs_2025_soss,item_response_warehouse_2,10064,16,0.0015898251192368,8,1258
VEI_Brazillian_Shiramizu_2018_EI,item_response_warehouse,9772,39,0.0039909946786737,14,698
idcr_martinez_2023_Story_Recall_1,item_response_warehouse,9389,3,0.0003195228458834,42,236
pechorro_impulsivity_2021_ypitris,item_response_warehouse,9009,2,0.0002220002220002,21,429
psychotools_gratitude_gq6,item_response_warehouse_2,8430,10,0.0011862396204033,6,1405
socialstereotype_hughes_2025_personality_self,item_response_warehouse,8316,1,0.0001202501202501,28,297
SV-MAIA2_Randelovic_2021_hexaco60,item_response_warehouse,8280,199,0.0240338164251207,60,138
HEARD_Roch_2022_IDSS,item_response_warehouse,7200,8,0.0011111111111111,12,600
HEARD_Roch_2022_WHODAS,item_response_warehouse,7200,9,0.00125,12,600
opentsstvr_linnig_2025_vas,item_response_warehouse_2,7154,21,0.0029354207436399,7,98
idcr_martinez_2023_Story_Recall_3,item_response_warehouse,7150,4,0.0005594405594405,32,235
SABFI2_Gallardo_Pujol_2018_ReligionScale,item_response_warehouse,7123,100,0.0140390284992278,17,419
PTAM_Kretzschmar_2017_MicroFIN,item_response_warehouse,6984,80,0.0114547537227949,24,253
stress_deboeck2012,item_response_warehouse,6897,116,0.0168189067710598,11,185
SBD_Smith_2020,item_response_warehouse,6644,23,0.0034617700180614,22,302
VSOCFP_Sebo_2024,item_response_warehouse,6352,35,0.0055100755667506,8,794
evpromisi_stone_2021_cdiag,item_response_warehouse,5832,15,0.0025720164609053,12,486
PEMAIW_Qiu_2020_SWLS,item_response_warehouse,5460,3,0.0005494505494505,5,1092
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,5032,8,0.0015898251192368,4,1258
evpromisi_stone_2021_global,item_response_warehouse,4860,13,0.0026748971193415,10,486
NAMPRB_Siwiak_2024_DESRPL,item_response_warehouse,4816,1,0.0002076411960132,28,172
SCS_Suh_2023_SIAPS,item_response_warehouse,4332,130,0.0300092336103416,12,361
SV-MAIA2_Randelovic_2021_DASS,item_response_warehouse,4305,17,0.0039488966318234,21,205
psychotools_gratitude_gac,item_response_warehouse_2,4215,16,0.0037959667852906,3,1405
idcr_martinez_2023_ps,item_response_warehouse,4212,2,0.0004748338081671,18,234
perceived_injustice_mourin,item_response_warehouse,4199,1,0.0002381519409383,19,221
HEARD_Roch_2022_K6,item_response_warehouse,3600,16,0.0044444444444444,6,600
AMI_CV_Hewitt2024,item_response_warehouse,3402,5,0.0014697236919459,18,189
mhscdc_fried_2020_dass,item_response_warehouse,3360,63,0.01875,21,80
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,item_response_warehouse,2756,2,0.0007256894049346,13,199
FEDSP_Trzcinska_2023_SMSD,item_response_warehouse,2574,7,0.0027195027195027,13,198
BPAQ_Christopher_2024_FFMQSF,item_response_warehouse,2550,4,0.0015686274509803,15,170
hpwt_bayona_2025_jobsatisfaction,item_response_warehouse,2520,10,0.0039682539682539,5,504
suicide_reinbergs_2025_gad,item_response_warehouse_2,2516,7,0.0027821939586645,2,1258
idcr_martinez_2023_matches,item_response_warehouse,2340,2,0.0008547008547008,10,234
SV-MAIA2_Randelovic_2021_SHS,item_response_warehouse,2076,64,0.0308285163776493,4,449
VCISM_Polish_Trzcinska_2023,item_response_warehouse,2070,3,0.0014492753623188,12,104
BPAQ_Christopher_2024_SCSS,item_response_warehouse,2040,1,0.0004901960784313,12,170
idcr_martinez_2023_lns,item_response_warehouse,1611,1,0.0006207324643078,18,230
mhscdc_fried_2020_tired,item_response_warehouse,1440,30,0.0208333333333333,10,80
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,item_response_warehouse,1272,3,0.0023584905660377,6,199
FEDSP_Trzcinska_2023_PRD,item_response_warehouse,990,2,0.002020202020202,5,198
mhscdc_fried_2020_loneliness,item_response_warehouse,800,15,0.01875,5,80
mhscdc_fried_2020_procrastination,item_response_warehouse,800,15,0.01875,5,80
EMSC_Kuan-chin_2023,item_response_warehouse,693,8,0.0115440115440115,7,99
