table,shard,n_rows,n_na,n_items,n_items_all_na,na_in_all_na_items,n_ids,n_ids_all_na,na_in_all_na_ids,err,share_na,item_conc,id_conc,bucket
dscore_battelle_weber_2019,item_response_warehouse_2,131100,101558,100,0,0,1311,676,67600,,0.7746605644546148,0.0,0.665629492506745,D_mostly_ids
ffm_EST,item_response_warehouse,10153410,95533,10,0,0,1015341,4442,44420,,0.009408957187782233,0.0,0.4649702197146536,E_scattered
nit_must_2014,item_response_warehouse_2,512052,106566,284,0,0,1803,0,0,,0.20811558201120198,0.0,0.0,E_scattered
16_personalityfactors,item_response_warehouse,8012917,98919,163,0,0,49159,155,25265,,0.012344942547139824,0.0,0.25541099283251956,E_scattered
dscore_denver_weber_2019,item_response_warehouse_2,142899,118589,109,0,0,1311,635,69215,,0.8298798452053548,0.0,0.5836544704820852,D_mostly_ids
quopl2_forster_2021_quop,item_response_warehouse_2,733792,110199,46,0,0,1994,72,26496,,0.15017743447734508,0.0,0.24043775351863447,E_scattered
ffm_OPN,item_response_warehouse,10153410,93395,10,0,0,1015341,4444,44440,,0.009198387536797982,0.0,0.4758284704748648,E_scattered
vocabulary_iq,item_response_warehouse,912975,76191,75,0,0,12173,0,0,,0.08345354473014048,0.0,0.0,E_scattered
ffm_CSN,item_response_warehouse,10153410,95466,10,0,0,1015341,4376,43760,,0.009402358419486655,0.0,0.45838308926738314,E_scattered
quopl2_forster_2021_dmat,item_response_warehouse_2,63808,53823,32,0,0,1994,1662,53184,,0.8435149197592778,0.0,0.9881277520762499,D_mostly_ids
ffm_AGR,item_response_warehouse,10153410,90888,10,0,0,1015341,4286,42860,,0.008951475415648535,0.0,0.47156940410175163,E_scattered
ffm_EXT,item_response_warehouse,10153410,84238,10,0,0,1015341,4077,40770,,0.008296523040042705,0.0,0.4839858496165626,E_scattered
sexual_selfconcept,item_response_warehouse,1768500,37688,100,0,0,17685,28,2800,,0.02131071529544812,0.0,0.07429420505200594,E_scattered
riasec,item_response_warehouse,10791272,30619,74,0,0,145828,0,0,,0.002837385620527404,0.0,0.0,E_scattered
credentialform_lnirt,item_response_warehouse,327200,32720,200,0,0,1636,0,0,,0.1,0.0,0.0,E_scattered
rating_speed_2025,item_response_warehouse_2,2286137,40817,8,0,0,24037,0,0,,0.01785413560079733,0.0,0.0,E_scattered
gender_roles,item_response_warehouse,14017212,33596,44,0,0,318573,3,132,,0.0023967676311095246,0.0,0.00392903917132992,E_scattered
neurips_2022,item_response_warehouse,509957,37648,5730,0,0,6468,0,0,,0.07382583237410213,0.0,0.0,E_scattered
neurodegenerative_huizinga_2019_sims,item_response_warehouse,109575,18800,75,0,0,1461,239,17925,,0.17157198266027834,0.0,0.9534574468085106,D_mostly_ids
crspolish_wiesyk_2024_enrich,item_response_warehouse_2,21720,15858,15,0,0,783,562,12585,,0.730110497237569,0.0,0.7936057510404843,D_mostly_ids
fad_dataset2,item_response_warehouse,34456,14702,59,0,0,584,0,0,,0.426689110749942,0.0,0.0,E_scattered
feminist_perspectives,item_response_warehouse,808620,14291,60,0,0,13477,6,360,,0.017673319977245184,0.0,0.025190679448604016,E_scattered
neurodegenerative_huizinga_2019_brief,item_response_warehouse,109575,13365,75,0,0,1461,167,12525,,0.12197125256673512,0.0,0.9371492704826038,D_mostly_ids
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,item_response_warehouse,20176,12888,104,0,0,194,0,0,,0.6387787470261697,0.0,0.0,E_scattered
crspolish_wiesyk_2024_lie,item_response_warehouse_2,17376,12687,12,0,0,783,562,10068,,0.7301450276243094,0.0,0.7935682194372192,D_mostly_ids
spelling2pronounce_edwards2023,item_response_warehouse,629815,12582,1,0,0,23282,0,0,,0.019977294919936807,0.0,0.0,E_scattered
dscore_barrera_weber_2019,item_response_warehouse_2,14674,11328,22,0,0,667,0,0,,0.7719776475398664,0.0,0.0,E_scattered
musifeast17_vanderwalle_2025,item_response_warehouse_2,297925,10539,25,0,0,701,0,0,,0.03537467483427037,0.0,0.0,E_scattered
FACIT_YOUNT_2021_limitations,item_response_warehouse,42200,10276,100,0,0,608,0,0,,0.24350710900473935,0.0,0.0,E_scattered
close_relationships,item_response_warehouse,1853676,9534,36,0,0,51491,58,2088,,0.005143293650022982,0.0,0.21900566393958465,E_scattered
crspolish_wiesyk_2024_p_stress,item_response_warehouse_2,10136,7399,7,0,0,783,562,5873,,0.7299723756906077,0.0,0.793755912961211,D_mostly_ids
BAFACALO_Golino_2013_CIS,item_response_warehouse,17520,6911,60,0,0,292,0,0,,0.3944634703196347,0.0,0.0,E_scattered
mhscdc_fried_2020_ema,item_response_warehouse,78696,7738,18,0,0,79,0,0,,0.09832774219782454,0.0,0.0,E_scattered
nonverbal_immediacy,item_response_warehouse,7896928,8712,52,0,0,151864,0,0,,0.0011032138066853338,0.0,0.0,E_scattered
Fh_Okcsr_Roos_2022_study2_Feeling_Heard,item_response_warehouse,40854,8000,102,0,0,1000,0,0,,0.19581925882410536,0.0,0.0,E_scattered
dscore_mds_weber_2019,item_response_warehouse_2,7866,6572,6,0,0,1311,1095,6570,,0.8354945334350369,0.0,0.9996956786366403,B_whole_ids
neurodegenerative_huizinga_2019_vfq,item_response_warehouse,42369,6385,29,0,0,1461,89,2581,,0.15069980410205575,0.0,0.4042286609240407,E_scattered
psychoneurotic_inventory,item_response_warehouse,698204,6334,116,0,0,6019,3,348,,0.009071847196521361,0.0,0.05494158509630565,E_scattered
rapm_poulton_2022_untimed,item_response_warehouse_2,14592,0,12,0,0,608,0,0,,0.0,,,E_scattered
hypersensitive_narcissism,item_response_warehouse,1187582,6170,22,0,0,53981,25,550,,0.005195430715521118,0.0,0.08914100486223663,E_scattered
SV-MAIA2_Randelovic_2021_MAIA,item_response_warehouse,25086,5846,37,0,0,449,0,0,,0.23303834808259588,0.0,0.0,E_scattered
erf_breuer_2017_frmfr,item_response_warehouse,10825,5750,25,0,0,433,230,5750,,0.5311778290993071,0.0,1.0,B_whole_ids
depression_anxiety_stress,item_response_warehouse,2704700,5357,68,0,0,39775,0,0,,0.001980626317151625,0.0,0.0,E_scattered
nas_rogoza_2024_study5_ngs,item_response_warehouse,38040,5257,4,0,0,317,0,0,,0.13819663512092534,0.0,0.0,E_scattered
nas_rogoza_2024_study5_nas,item_response_warehouse,38040,5208,4,0,0,317,0,0,,0.13690851735015772,0.0,0.0,E_scattered
nas_rogoza_2024_study5_nvs,item_response_warehouse,38040,5172,4,0,0,317,0,0,,0.1359621451104101,0.0,0.0,E_scattered
erf_breuer_2017_frmmc,item_response_warehouse,10825,5075,25,0,0,433,203,5075,,0.46882217090069284,0.0,1.0,B_whole_ids
neurodegenerative_huizinga_2019_dass,item_response_warehouse,30681,4515,21,0,0,1461,215,4515,,0.14715947980835045,0.0,1.0,B_whole_ids
neurodegenerative_huizinga_2019_user,item_response_warehouse,30681,4283,21,0,0,1461,198,4158,,0.1395977966819856,0.0,0.9708148494046229,D_mostly_ids
neurodegenerative_huizinga_2019_feda,item_response_warehouse,39447,4050,27,0,0,1461,150,4050,,0.1026694045174538,0.0,1.0,B_whole_ids
rapm_poulton_2022_timed,item_response_warehouse_2,11496,0,12,0,0,479,0,0,,0.0,,,E_scattered
pezzuti_2025_coolpeople_benevolent,item_response_warehouse_2,33936,3349,6,0,0,5656,558,3348,,0.09868576143328618,0.0,0.9997014034040012,B_whole_ids
deception_professors,item_response_warehouse,11928,3262,21,0,0,568,0,0,,0.2734741784037559,0.0,0.0,E_scattered
BAFACALO_Golino_2013_SMS,item_response_warehouse,10804,3199,37,0,0,292,0,0,,0.29609403924472416,0.0,0.0,E_scattered
tma,item_response_warehouse,270500,2612,50,0,0,5410,9,450,,0.00965619223659889,0.0,0.17228177641653905,E_scattered
brain_hemisphere,item_response_warehouse,590880,2482,20,0,0,29544,16,320,,0.004200514486867046,0.0,0.128928283642224,E_scattered
dscore_sbi_weber_2019,item_response_warehouse_2,6765,2177,33,0,0,205,0,0,,0.3218033998521803,0.0,0.0,E_scattered
BAFACALO_Golino_2013_FIS,item_response_warehouse,17520,2888,60,0,0,292,0,0,,0.16484018264840183,0.0,0.0,E_scattered
mbft_anunciacao_2024,item_response_warehouse,42290975,2251,155,0,0,272845,11,1705,,5.322648626568671e-05,0.0,0.7574411372723234,D_mostly_ids
identity_fusion_gomez_2025,item_response_warehouse_2,46669,2077,51,0,0,2577,45,1332,,0.044504917611262296,0.0,0.641309581126625,D_mostly_ids
rosenberg_selfesteem,item_response_warehouse,479740,2059,10,0,0,47974,45,450,,0.004291908116896653,0.0,0.2185526954832443,E_scattered
BAFACALO_Golino_2013_BVPS,item_response_warehouse,18104,2046,62,0,0,292,0,0,,0.11301369863013698,0.0,0.0,E_scattered
nerdy_personality,item_response_warehouse,777660,1917,52,0,0,14955,0,0,,0.002465087570403518,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_GHGlobal_Proxy,item_response_warehouse,37947,1909,21,0,0,1807,0,0,,0.05030700714153952,0.0,0.0,E_scattered
pks_probability,item_response_warehouse,12096,1908,24,0,0,504,0,0,,0.15773809523809523,0.0,0.0,E_scattered
timss_tam,item_response_warehouse,19503,1896,11,0,0,1773,5,55,,0.09721581295185357,0.0,0.0290084388185654,E_scattered
wooly_hartman2022,item_response_warehouse,29659,1857,19,0,0,1561,0,0,,0.06261168616608787,0.0,0.0,E_scattered
singh_2025_identity_irs,item_response_warehouse,14700,1704,10,0,0,1470,0,0,,0.11591836734693878,0.0,0.0,E_scattered
MEFSIRODGAS_Nileksela_2023_freq,item_response_warehouse,45409,1556,91,0,0,499,2,182,,0.034266334867537274,0.0,0.11696658097686376,E_scattered
MEFSIRODGAS_Nileksela_2023_severity,item_response_warehouse,45409,1556,91,0,0,499,2,182,,0.034266334867537274,0.0,0.11696658097686376,E_scattered
paampsmartsud_saba_2023_amps,item_response_warehouse,6000,1552,15,0,0,100,7,420,,0.25866666666666666,0.0,0.2706185567010309,E_scattered
sd3ypl_klimczak_2019_sd3,item_response_warehouse_2,18980,1460,26,0,0,730,0,0,,0.07692307692307693,0.0,0.0,E_scattered
neurodegenerative_huizinga_2019_cvc,item_response_warehouse,23376,1447,16,0,0,1461,29,464,,0.06190109514031485,0.0,0.3206634416033172,E_scattered
fcupanas_cffsdas_reyna_2018,item_response_warehouse,32720,1430,40,0,0,1636,0,0,,0.043704156479217604,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_Physical_Children,item_response_warehouse,238118,1304,122,0,0,3854,0,0,,0.005476276467969662,0.0,0.0,E_scattered
artistic_preferences,item_response_warehouse,1040200,1291,56,0,0,18575,0,0,,0.0012411074793308979,0.0,0.0,E_scattered
lys_2020_rape_3_asi,item_response_warehouse,9504,1213,22,0,0,432,53,1166,,0.12763047138047137,0.0,0.9612530915086562,D_mostly_ids
gilbert_meta_86,item_response_warehouse,27210,1205,15,0,0,1244,62,930,,0.04428518926865123,0.0,0.7717842323651453,D_mostly_ids
PROMISPME_Forrest_2021_PosAff_Children,item_response_warehouse,99322,1186,53,0,0,1874,5,265,,0.011940959706812186,0.0,0.22344013490725126,E_scattered
gilbert_meta_87,item_response_warehouse,19954,1051,11,0,0,1244,81,891,,0.052671143630349804,0.0,0.8477640342530923,D_mostly_ids
PBS_Surrain_2019_PoB,item_response_warehouse,13966,917,23,0,0,741,0,0,,0.06565945868537877,0.0,0.0,E_scattered
gilbert_meta_55,item_response_warehouse,26445,885,15,0,0,1763,59,885,,0.033465683494044246,0.0,1.0,B_whole_ids
erf_breuer_2017_tai,item_response_warehouse,6495,855,15,0,0,433,57,855,,0.13163972286374134,0.0,1.0,B_whole_ids
FACES_Spanish_Vegas_2022_FACES,item_response_warehouse,50232,844,42,0,0,1196,9,378,,0.016802038541168976,0.0,0.44786729857819907,E_scattered
rightwing_authoritariansim,item_response_warehouse,474288,832,48,0,0,9881,0,0,,0.0017542084134534292,0.0,0.0,E_scattered
schoen_2019_to_2022_mkt,item_response_warehouse_2,74624,814,35,0,0,1045,0,0,,0.010908018867924528,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_Family_Proxy,item_response_warehouse,208485,771,113,0,0,1845,0,0,,0.0036981077775379524,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_Family_Children,item_response_warehouse,208485,771,113,0,0,1845,0,0,,0.0036981077775379524,0.0,0.0,E_scattered
BPAQ_Christopher_2024_PROMIS,item_response_warehouse,4080,762,24,0,0,170,0,0,,0.18676470588235294,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_Physical_Proxy,item_response_warehouse,121418,751,122,0,0,1957,0,0,,0.006185244362450378,0.0,0.0,E_scattered
short_dark_triad,item_response_warehouse,491184,748,27,0,0,18192,6,162,,0.0015228509071956741,0.0,0.21657754010695188,E_scattered
paampsmartsud_saba_2023_ders,item_response_warehouse,7400,740,37,0,0,100,10,740,,0.1,0.0,1.0,B_whole_ids
BPAQ_Christopher_2024_BPAQSF,item_response_warehouse,4080,672,12,0,0,170,0,0,,0.16470588235294117,0.0,0.0,E_scattered
brand_raffaelli_2024_familiarity_24,item_response_warehouse,48262,660,59,0,0,818,5,295,,0.0136753553520368,0.0,0.44696969696969696,E_scattered
brand_raffaelli_2024_liking_24,item_response_warehouse,48262,660,59,0,0,818,5,295,,0.0136753553520368,0.0,0.44696969696969696,E_scattered
PROMISPME_Forrest_2021_LS_Children,item_response_warehouse,111552,633,56,0,0,1992,0,0,,0.00567448364888124,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_single-items,item_response_warehouse_2,56560,627,10,0,0,5656,0,0,,0.011085572842998586,0.0,0.0,E_scattered
PTAM_Kretzschmar_2017_Reasoning,item_response_warehouse,8424,616,36,0,0,234,0,0,,0.0731244064577398,0.0,0.0,E_scattered
experimental_iq,item_response_warehouse,10000,526,25,0,0,400,1,25,,0.0526,0.0,0.04752851711026616,E_scattered
gcb5_2025,item_response_warehouse_2,4920,515,5,0,0,492,0,0,,0.10467479674796748,0.0,0.0,E_scattered
gmc_kay_2025,item_response_warehouse_2,4920,515,5,0,0,492,0,0,,0.10467479674796748,0.0,0.0,E_scattered
cmq_kay_2025,item_response_warehouse_2,4920,515,5,0,0,492,0,0,,0.10467479674796748,0.0,0.0,E_scattered
erf_breuer_2017_dosp,item_response_warehouse,3897,513,9,0,0,433,57,513,,0.13163972286374134,0.0,1.0,B_whole_ids
paampsmartsud_saba_2023_ffmq,item_response_warehouse,4800,480,24,0,0,100,10,480,,0.1,0.0,1.0,B_whole_ids
PROMISPME_Forrest_2021_Psych_Children,item_response_warehouse,119936,452,64,0,0,1874,0,0,,0.003768676627534685,0.0,0.0,E_scattered
act_kay_2025,item_response_warehouse_2,3936,412,4,0,0,492,0,0,,0.10467479674796748,0.0,0.0,E_scattered
genpsych_russell_2024_gpt3_5,item_response_warehouse,31031,385,31,0,0,1001,1,31,,0.01240694789081886,0.0,0.08051948051948052,E_scattered
opentsstvr_linnig_2025_vrexperience,item_response_warehouse_2,2774,365,19,0,0,98,0,0,,0.13157894736842105,0.0,0.0,E_scattered
genpsych_russell_2024_gpt4o,item_response_warehouse,34965,362,35,0,0,999,0,0,,0.010353210353210353,0.0,0.0,E_scattered
dscore_macarthur_weber_2019,item_response_warehouse_2,1230,356,6,0,0,205,46,276,,0.2894308943089431,0.0,0.7752808988764045,D_mostly_ids
consideration_future_consequences,item_response_warehouse,180420,351,12,0,0,15035,7,84,,0.0019454605919521117,0.0,0.23931623931623933,E_scattered
genpsych_russell_2024_llama3,item_response_warehouse,30030,351,30,0,0,1001,0,0,,0.011688311688311689,0.0,0.0,E_scattered
rrca_mcneish_2025_sen,item_response_warehouse,3088,350,8,0,0,386,1,8,,0.1133419689119171,0.0,0.022857142857142857,E_scattered
PEMAIW_Qiu_2020_FFMQ,item_response_warehouse,46176,322,39,0,0,1184,0,0,,0.006973319473319473,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_MP_Children,item_response_warehouse,104225,308,55,0,0,1895,0,0,,0.0029551451187335093,0.0,0.0,E_scattered
genpsych_russell_2024_gemma,item_response_warehouse,28028,306,28,0,0,1001,1,28,,0.010917653774796632,0.0,0.0915032679738562,E_scattered
mft_validationandreplication,item_response_warehouse,30060,299,36,0,0,835,5,180,,0.009946773120425814,0.0,0.6020066889632107,D_mostly_ids
CHEXI_Lin_2019,item_response_warehouse,53088,289,24,0,0,2212,0,0,,0.005443791440626884,0.0,0.0,E_scattered
genpsych_russell_2024_mixtral,item_response_warehouse,31936,285,32,0,0,998,0,0,,0.008924098196392786,0.0,0.0,E_scattered
mturkddm_recognition,item_response_warehouse,76908,284,2202,0,0,142,0,0,,0.0036927237738596766,0.0,0.0,E_scattered
rrca_mcneish_2025_exp,item_response_warehouse,3088,273,8,0,0,386,0,0,,0.08840673575129533,0.0,0.0,E_scattered
FACIT_YOUNT_2021_crqsasx,item_response_warehouse,12160,273,20,0,0,608,0,0,,0.022450657894736843,0.0,0.0,E_scattered
promispfue_2_0e_gershon_2019_promis,item_response_warehouse,20400,249,34,0,0,600,0,0,,0.012205882352941176,0.0,0.0,E_scattered
climatechange_geiger_2025,item_response_warehouse_2,51142,247,14,0,0,3653,0,0,,0.004829689883070666,0.0,0.0,E_scattered
PEMAIW_Qiu_2020_MEQ,item_response_warehouse,33510,246,30,0,0,1117,0,0,,0.007341092211280215,0.0,0.0,E_scattered
qol_islam_2025,item_response_warehouse,29822,238,26,0,0,1147,0,0,,0.007980685400040238,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_Psych_Proxy,item_response_warehouse,58432,230,64,0,0,913,0,0,,0.003936199342825849,0.0,0.0,E_scattered
mturkddm_by,item_response_warehouse,132800,230,20,0,0,166,0,0,,0.0017319277108433734,0.0,0.0,E_scattered
hexaco_silvia_2025,item_response_warehouse_2,53000,222,100,0,0,530,0,0,,0.0041886792452830186,0.0,0.0,E_scattered
bfi2_zhang_2025,item_response_warehouse_2,80100,212,60,0,0,1335,0,0,,0.0026466916354556803,0.0,0.0,E_scattered
rrca_mcneish_2025_use,item_response_warehouse,3088,203,8,0,0,386,0,0,,0.06573834196891191,0.0,0.0,E_scattered
paampsmartsud_saba_2023_pss,item_response_warehouse,2000,200,10,0,0,100,10,200,,0.1,0.0,1.0,B_whole_ids
SV-MAIA2_Randelovic_2021_hexaco60,item_response_warehouse,8280,199,60,0,0,138,0,0,,0.02403381642512077,0.0,0.0,E_scattered
sexual_compulsivity,item_response_warehouse,33760,195,10,0,0,3376,3,30,,0.0057760663507109,0.0,0.15384615384615385,E_scattered
HEARD_Roch_2022_COPE,item_response_warehouse,14400,193,24,0,0,600,0,0,,0.013402777777777777,0.0,0.0,E_scattered
selfcompassionscale_shortform_fuochi_2025,item_response_warehouse,24816,186,12,0,0,1816,0,0,,0.007495164410058027,0.0,0.0,E_scattered
EEN_Lacey_2024_Parent,item_response_warehouse,59640,184,24,0,0,2485,0,0,,0.003085177733065057,0.0,0.0,E_scattered
aappss_malpas_2019_scl,item_response_warehouse,54990,182,90,0,0,611,0,0,,0.003309692671394799,0.0,0.0,E_scattered
fisher_temperment,item_response_warehouse,437096,180,88,0,0,4967,0,0,,0.0004118088474843055,0.0,0.0,E_scattered
dumas_Organisciak_2022,item_response_warehouse,21960,178,10,0,0,92,0,0,,0.008105646630236794,0.0,0.0,E_scattered
MGSISGCLQ_Hollyhead_2018,item_response_warehouse,950,175,25,0,0,38,7,175,,0.18421052631578946,0.0,1.0,B_whole_ids
hpwt_bayona_2025_workcharacteristics,item_response_warehouse,38808,168,77,0,0,504,0,0,,0.004329004329004329,0.0,0.0,E_scattered
humor_styles,item_response_warehouse,34272,162,32,0,0,1071,1,32,,0.004726890756302521,0.0,0.19753086419753085,E_scattered
CQTMS_Hur_2023,item_response_warehouse,122720,157,160,0,0,767,0,0,,0.001279335071707953,0.0,0.0,E_scattered
gilbert_meta_76,item_response_warehouse,66768,155,78,0,0,428,0,0,,0.0023214713635274385,0.0,0.0,E_scattered
nature_relatedness,item_response_warehouse,48704,155,32,0,0,1522,0,0,,0.003182490144546649,0.0,0.0,E_scattered
anunciacao_2025_personality_exhibition,item_response_warehouse_2,2455605,150,9,0,0,272845,16,144,,6.108474286377492e-05,0.0,0.96,D_mostly_ids
psychotools_gratitude_gart,item_response_warehouse_2,22480,149,16,0,0,1405,0,0,,0.006628113879003559,0.0,0.0,E_scattered
spelling_assessment_study2,item_response_warehouse,56592,145,72,0,0,786,0,0,,0.002562199604184337,0.0,0.0,E_scattered
much_tte_2025_matrixreasoning,item_response_warehouse,24880,143,20,0,0,1244,1,20,,0.005747588424437299,0.0,0.13986013986013987,E_scattered
mindfulness_assessment,item_response_warehouse,23439,139,39,0,0,601,0,0,,0.005930287128290456,0.0,0.0,E_scattered
FACES_Spanish_Vegas_2022_FSS,item_response_warehouse,11960,136,10,0,0,1196,8,80,,0.01137123745819398,0.0,0.5882352941176471,D_mostly_ids
mturkddm_lexical,item_response_warehouse,68160,136,4588,0,0,142,0,0,,0.001995305164319249,0.0,0.0,E_scattered
anunciacao_2025_personality_deference,item_response_warehouse_2,2455605,131,9,0,0,272845,11,99,,5.334734210103009e-05,0.0,0.7557251908396947,D_mostly_ids
DART_Brysbaert_2020_3_4_5,item_response_warehouse,28908,124,158,2,124,219,0,0,,0.0042894700428947,1.0,0.0,A_whole_items
anunciacao_2025_personality_affiliation,item_response_warehouse_2,2455605,131,9,0,0,272845,11,99,,5.334734210103009e-05,0.0,0.7557251908396947,D_mostly_ids
anunciacao_2025_personality_achievement,item_response_warehouse_2,2455605,125,9,0,0,272845,11,99,,5.09039523864791e-05,0.0,0.792,D_mostly_ids
anunciacao_2025_personality_nurturance,item_response_warehouse_2,2182760,125,8,0,0,272845,11,88,,5.726694643478898e-05,0.0,0.704,D_mostly_ids
anunciacao_2025_personality_autonomy,item_response_warehouse_2,2455605,131,9,0,0,272845,11,99,,5.334734210103009e-05,0.0,0.7557251908396947,D_mostly_ids
SCS_Suh_2023_SIAPS,item_response_warehouse,4332,130,12,0,0,361,3,36,,0.030009233610341645,0.0,0.27692307692307694,E_scattered
PROMISPME_Forrest_2021_PosAff_Proxy,item_response_warehouse,48177,117,53,0,0,909,0,0,,0.0024285447412665793,0.0,0.0,E_scattered
stress_deboeck2012,item_response_warehouse,6897,116,11,0,0,185,0,0,,0.01681890677105988,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_LS_Proxy,item_response_warehouse,54040,115,56,0,0,964,0,0,,0.0021280532938564027,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_MP_Proxy,item_response_warehouse,51040,115,55,0,0,927,0,0,,0.0022531347962382446,0.0,0.0,E_scattered
protestant_workethic,item_response_warehouse,60750,114,45,0,0,1350,0,0,,0.0018765432098765433,0.0,0.0,E_scattered
grit,item_response_warehouse,37944,113,12,0,0,3162,4,48,,0.0029780729496099514,0.0,0.4247787610619469,E_scattered
SABFI2_Gallardo_Pujol_2018_ReligionScale,item_response_warehouse,7123,100,17,0,0,419,0,0,,0.014039028499227854,0.0,0.0,E_scattered
anunciacao_2025_personality_succorance,item_response_warehouse_2,1909915,102,7,0,0,272845,11,77,,5.340551804661464e-05,0.0,0.7549019607843137,D_mostly_ids
onecm_kay_2025,item_response_warehouse_2,984,103,1,0,0,492,0,0,,0.10467479674796748,0.0,0.0,E_scattered
anunciacao_2025_personality_intraception,item_response_warehouse_2,1909915,103,7,0,0,272845,11,77,,5.3929101556875565e-05,0.0,0.7475728155339806,D_mostly_ids
anunciacao_2025_personality_dominance,item_response_warehouse_2,1909915,105,7,0,0,272845,11,77,,5.497626857739743e-05,0.0,0.7333333333333333,D_mostly_ids
cud_stone2024,item_response_warehouse,71108,103,44,0,0,413,1,19,,0.0014485008719131462,0.0,0.18446601941747573,E_scattered
PROMISPME_Forrest_2021_Strength_Children,item_response_warehouse,45600,85,25,0,0,1824,0,0,,0.0018640350877192982,0.0,0.0,E_scattered
anunciacao_2025_personality_change,item_response_warehouse_2,1909915,99,7,0,0,272845,11,77,,5.1834767515831854e-05,0.0,0.7777777777777778,D_mostly_ids
anunciacao_2025_personality_persistence,item_response_warehouse_2,2182760,95,8,0,0,272845,11,88,,4.352287929043963e-05,0.0,0.9263157894736842,D_mostly_ids
PSR-P_Scale_Intimacy_Hakim_2018_Study3,item_response_warehouse,21528,95,24,0,0,897,0,0,,0.004412857673727239,0.0,0.0,E_scattered
anunciacao_2025_personality_order,item_response_warehouse_2,1637070,94,6,0,0,272845,13,78,,5.741965829194842e-05,0.0,0.8297872340425532,D_mostly_ids
paampsmartsud_saba_2023_pacs,item_response_warehouse,1000,100,5,0,0,100,10,100,,0.1,0.0,1.0,B_whole_ids
PTAM_Kretzschmar_2017_MicroFIN,item_response_warehouse,6984,80,24,0,0,253,0,0,,0.011454753722794959,0.0,0.0,E_scattered
socialstereotype_hughes_2025_judgement,item_response_warehouse,14604,77,12,0,0,312,0,0,,0.005272528074500137,0.0,0.0,E_scattered
anunciacao_2025_personality_aggression,item_response_warehouse_2,1364225,73,5,0,0,272845,13,65,,5.351023474866682e-05,0.0,0.8904109589041096,D_mostly_ids
gilbert_meta_74,item_response_warehouse,29400,73,12,0,0,1225,0,0,,0.0024829931972789117,0.0,0.0,E_scattered
gahps_korner_2021,item_response_warehouse_2,15946,70,14,0,0,1139,5,70,,0.004389815627743635,0.0,1.0,B_whole_ids
PEMAIW_Qiu_2020_PANAS,item_response_warehouse,21680,69,20,0,0,1084,0,0,,0.0031826568265682655,0.0,0.0,E_scattered
sat12_wilson_2003,item_response_warehouse,19200,69,32,0,0,600,0,0,,0.00359375,0.0,0.0,E_scattered
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,item_response_warehouse,10750,66,10,0,0,1075,0,0,,0.00613953488372093,0.0,0.0,E_scattered
SV-MAIA2_Randelovic_2021_SHS,item_response_warehouse,2076,64,4,0,0,449,16,64,,0.030828516377649325,0.0,1.0,B_whole_ids
