table,check,severity,message,n_rows,n_items,n_participants
CV_OASIS_ODSIS_PPE_Novak_2020_DSES,dup_id_item,error,7 duplicate id+item rows with no wave/timepoint/date column,17325,7,2474
CV_OASIS_ODSIS_PPE_Novak_2020_DSES,imputed_values*,warn,Item 'DSES_10' has one resp value accounting for 61% of responses — possible mean imputation.,17325,7,2474
CV_OASIS_ODSIS_PPE_Novak_2020_DSES,name_charset,warn,"table name 'CV_OASIS_ODSIS_PPE_Novak_2020_DSES' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",17325,7,2474
CV_OASIS_ODSIS_PPE_Novak_2020_PANAS,imputed_values*,warn,Item 'panas_13' has one resp value accounting for 78% of responses — possible mean imputation.,29160,20,1458
CV_OASIS_ODSIS_PPE_Novak_2020_PANAS,name_charset,warn,"table name 'CV_OASIS_ODSIS_PPE_Novak_2020_PANAS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",29160,20,1458
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,dup_id_item,error,10 duplicate id+item rows with no wave/timepoint/date column,23740,10,2373
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,imputed_values*,warn,Item 'RSES_1' has one resp value accounting for 61% of responses — possible mean imputation.,23740,10,2373
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,name_charset,warn,"table name 'CV_OASIS_ODSIS_PPE_Novak_2020_RSES' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",23740,10,2373
DART_Brysbaert_2020_1,imputed_values*,warn,Item 'Is de volgende persoon een auteur- [1mes Patterson]' has one resp value accounting for 68% of responses — possible mean imputation.,26268,132,199
DART_Brysbaert_2020_1,name_charset,warn,"table name 'DART_Brysbaert_2020_1' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",26268,132,199
DART_Brysbaert_2020_1,column_order,warn,"columns start ['id', 'gender', 'age']; datastandard.md step 7 writes [id, item, resp] + covariates.",26268,132,199
DART_Brysbaert_2020_3.4.5,resp_na,warn,resp has 124 NAs,28784,262,219
DART_Brysbaert_2020_3.4.5,imputed_values*,warn,Item 'AFTh_Van_der_Heijden' has one resp value accounting for 94% of responses — possible mean imputation.,28784,262,219
DART_Brysbaert_2020_3.4.5,name_charset,warn,"table name 'DART_Brysbaert_2020_3.4.5' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",28784,262,219
DEMOS,resp_ordinal*,warn,"2876 distinct resp values — confirm continuous, not mis-parsed",10656,4,2664
DEMOS,resp_scale_mixed,warn,"items span more than one response scale: 1 on 0.0-1.0 and 3 on ['3.61904761904762-8.61904761904762', '119.769-1121.863', '2.04761904761905-8.45238095238095']. IRW requires one table per construct; split before submitting.",10656,4,2664
DEMOS,composite_items*,warn,"every item label names a computed score (['accuracy_mean', 'intensity_mean', 'subj_move_mean', 'obj_move_mean']) — this looks like a summary/aggregate table, not raw item-level responses",10656,4,2664
DEMOS,name_charset,warn,"table name 'DEMOS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",10656,4,2664
DMCT_Addis_2020_MCT,imputed_values*,warn,Item 'MC10_acc' has one resp value accounting for 100% of responses — possible mean imputation.,4048,44,92
DMCT_Addis_2020_MCT,resp_scale_mixed,warn,items span more than one response scale: 24 on 1-1 and 20 on ['2-2']. IRW requires one table per construct; split before submitting.,4048,44,92
DMCT_Addis_2020_MCT,name_charset,warn,"table name 'DMCT_Addis_2020_MCT' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",4048,44,92
DMCT_Addis_2020_MCT,sample_floor,warn,"92 unique ids; datastandard.md sets a flat floor of 100 with no judgment call in between. Warn rather than block: the floor governs what to accept, not what is already published.",4048,44,92
DMCT_Addis_2020_PSYQ,multi_scale*,warn,"Item names suggest 2 subscales (['psyq', 'psiq']) — IRW requires separate tables per construct.",3220,35,92
DMCT_Addis_2020_PSYQ,resp_scale_mixed,warn,items span more than one response scale: 15 on 1-10 and 14 on ['0-10']. IRW requires one table per construct; split before submitting.,3220,35,92
DMCT_Addis_2020_PSYQ,name_charset,warn,"table name 'DMCT_Addis_2020_PSYQ' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",3220,35,92
DMCT_Addis_2020_PSYQ,sample_floor,warn,"92 unique ids; datastandard.md sets a flat floor of 100 with no judgment call in between. Warn rather than block: the floor governs what to accept, not what is already published.",3220,35,92
DMCT_Addis_2020_SUIS,name_charset,warn,"table name 'DMCT_Addis_2020_SUIS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",1656,18,92
DMCT_Addis_2020_SUIS,sample_floor,warn,"92 unique ids; datastandard.md sets a flat floor of 100 with no judgment call in between. Warn rather than block: the floor governs what to accept, not what is already published.",1656,18,92
DbdIFdM_Puga_2021,name_charset,warn,"table name 'DbdIFdM_Puga_2021' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7602,14,543
EEEDPRM_Bulut_2021,name_charset,warn,"table name 'EEEDPRM_Bulut_2021' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",9610,10,961
EEEDPRM_Bulut_2021,column_order,warn,"columns start ['id', 'gender', 'age']; datastandard.md step 7 writes [id, item, resp] + covariates.",9610,10,961
EEN_Lacey_2024_Children,imputed_values*,warn,Item 'anxiety_major' has one resp value accounting for 93% of responses — possible mean imputation.,30524,13,2348
EEN_Lacey_2024_Children,resp_scale_mixed,warn,items span more than one response scale: 5 on 1-5 and 4 on ['0-1']. IRW requires one table per construct; split before submitting.,30524,13,2348
EEN_Lacey_2024_Children,name_charset,warn,"table name 'EEN_Lacey_2024_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",30524,13,2348
EEN_Lacey_2024_Children,column_order,warn,"columns start ['id', 'treat', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",30524,13,2348
EEN_Lacey_2024_Parent,resp_na,warn,resp has 184 NAs,59456,24,2485
