table,ref,n_pairs,max_copies,share_singletons,modal_copies,repeated_pairs,conflicting_pairs,conflict_share,shape,histogram,error
non_parametric_mixture_modeling_exp1_Cleaned,datapages.item_response_warehouse:as2e:v46_0.non_parametric_mixture_modeling_exp1_cleaned:6mcj,57,994,0.0,800,57,57,1.0,repeated measurement: most pairs repeat,173:1|541:1|592:1|610:1|627:1|645:1|650:1|654:1|657:1|666:1|682:1|694:1|704:1|717:1|722:1|726:1|730:1|752:1|754:1|758:1|763:1|775:1|777:1|780:1|793:1|800:2|801:2|810:2|813:1|816:1|824:1|834:1|842:2|846:1|850:1|851:1|860:1|866:1|878:1|887:1|888:1|891:1|897:1|909:1|920:2|927:1|939:1|959:1|973:1|974:1|993:1|994:1,
number_pattern_game,datapages.item_response_warehouse:as2e:v46_0.number_pattern_game:tw2k,9089,60,0.0,30,9089,8456,0.93036,repeated measurement: most pairs repeat,30:9088|60:1,
pact_project,datapages.item_response_warehouse:as2e:v46_0.pact_project:akz7,846664,4,0.83697,1,138035,0,0.0,mixed: a tail beyond 2 with most pairs single,1:708629|2:110534|3:21318|4:6183,
PEPABAS2C_Kubicka_2024,datapages.item_response_warehouse:as2e:v46_0.pepabas2c_kubicka_2024:n8xy,4798,2,0.99,1,48,21,0.4375,duplication or id collision: a tail at 2 only,1:4750|2:48,
PROMISPME_Forrest_2021_Family_Children,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_family_children:9wq7,208485,2,0.99946,1,113,0,0.0,duplication or id collision: a tail at 2 only,1:208372|2:113,
PROMISPME_Forrest_2021_Family_Proxy,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_family_proxy:fnwt,208485,2,0.99946,1,113,0,0.0,duplication or id collision: a tail at 2 only,1:208372|2:113,
PROMISPME_Forrest_2021_LS_Children,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_ls_children:4gbp,111552,2,0.9995,1,56,0,0.0,duplication or id collision: a tail at 2 only,1:111496|2:56,
PROMISPME_Forrest_2021_LS_Proxy,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_ls_proxy:2agd,53984,2,0.99896,1,56,39,0.69643,duplication or id collision: a tail at 2 only,1:53928|2:56,
PROMISPME_Forrest_2021_MP_Children,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_mp_children:vr56,104225,2,0.99947,1,55,0,0.0,duplication or id collision: a tail at 2 only,1:104170|2:55,
PROMISPME_Forrest_2021_MP_Proxy,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_mp_proxy:z5zk,50985,2,0.99892,1,55,29,0.52727,duplication or id collision: a tail at 2 only,1:50930|2:55,
PROMISPME_Forrest_2021_Physical_Children,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_physical_children:2tsw,238118,2,0.99967,1,79,0,0.0,duplication or id collision: a tail at 2 only,1:238039|2:79,
PROMISPME_Forrest_2021_Physical_Proxy,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_physical_proxy:vp2v,121339,2,0.99935,1,79,38,0.48101,duplication or id collision: a tail at 2 only,1:121260|2:79,
PROMISPME_Forrest_2021_Strength_Children,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_strength_children:1qqx,45600,2,0.99945,1,25,0,0.0,duplication or id collision: a tail at 2 only,1:45575|2:25,
PROMISPME_Forrest_2021_Strength_Proxy,datapages.item_response_warehouse:as2e:v46_0.promispme_forrest_2021_strength_proxy:f065,22950,2,0.99891,1,25,8,0.32,duplication or id collision: a tail at 2 only,1:22925|2:25,
PTCI_Chinese_Zhan_2024,datapages.item_response_warehouse:as2e:v46_0.ptci_chinese_zhan_2024:j7ra,41811,4,0.44988,1,23001,16670,0.72475,repeated measurement: most pairs repeat,1:18810|2:11055|3:8316|4:3630,
ravens_deboeck2012,datapages.item_response_warehouse:as2e:v46_0.ravens_deboeck2012:53gy,5811,2,0.0,2,5811,2977,0.5123,design: every pair repeats exactly 2x,2:5811,
RD_EppSCQRK_Kipkemoi_2024_scq,datapages.item_response_warehouse:as2e:v46_0.rd_eppscqrk_kipkemoi_2024_scq:fjp4,9720,2,0.89712,1,1000,0,0.0,duplication or id collision: a tail at 2 only,1:8720|2:1000,
realpic_souza2021,datapages.item_response_warehouse:as2e:v46_0.realpic_souza2021:aaxy,4144,2,0.99324,1,28,28,1.0,duplication or id collision: a tail at 2 only,1:4116|2:28,
rr98_accuracy,datapages.item_response_warehouse:as2e:v46_0.rr98_accuracy:njtd,976,62,0.02561,4,951,653,0.68665,repeated measurement: most pairs repeat,1:25|2:52|3:60|4:84|5:47|6:28|7:37|8:44|9:38|10:42|11:23|12:21|13:40|14:27|15:34|16:56|17:25|18:59|19:37|20:31|21:30|22:29|23:24|24:26|25:8|26:11|27:13|28:3|29:2|30:3|31:3|32:2|34:4|37:1|38:2|42:1|45:1|46:1|51:1|62:1,
SAS_Deters_2022,datapages.item_response_warehouse:as2e:v46_0.sas_deters_2022:31ej,28994,14,0.17628,1,23883,18111,0.75832,repeated measurement: most pairs repeat,1:5111|2:3629|3:3895|4:4104|5:2470|6:1615|7:1843|8:1995|9:1862|10:1330|11:589|12:304|13:190|14:57,
smacof_pvq40,datapages.item_response_warehouse:as2e:v46_0.smacof_pvq40:s3mv,6024,6,0.99983,1,1,0,0.0,mixed: a tail beyond 2 with most pairs single,1:6023|6:1,
stress_deboeck2012,datapages.item_response_warehouse:as2e:v46_0.stress_deboeck2012:qm8m,2035,9,0.0,3,2035,774,0.38034,repeated measurement: most pairs repeat,3:1639|4:187|5:77|6:99|7:22|9:11,
Veterans_Affairs_SSVF_Survey_2016-17,datapages.item_response_warehouse:as2e:v46_0.veterans_affairs_ssvf_survey_2016_17:djqw,249680,2,0.63536,1,91043,39553,0.43444,duplication or id collision: a tail at 2 only,1:158637|2:91043,
florida_twins_cads,datapages.item_response_warehouse:as2e:v46_0.florida_twins_cads:jftc,71779,2,0.75061,1,17901,9232,0.51573,duplication or id collision: a tail at 2 only,1:53878|2:17901,
