"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"gilbert_meta_55","gilbert_meta_55_1","e1_item6","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Answer this English question: What is your name? | Level 2 (Grade 2): Answer this English question: How old are you? | Level 3 (Grade 3 & 4): Answer this English question: What month is it now?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item6","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Answer this English question: What is your name? | Level 2 (Grade 2): Answer this English question: How old are you? | Level 3 (Grade 3 & 4): Answer this English question: What month is it now?",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item7","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Say the English of Bangla word – (DOOR). | Level 2 (Grade 2): Say the English of Bangla word – (WINDOW). | Level 3 (Grade 3 & 4): Say the English of Bangla word – (FARMER).",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item7","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Say the English of Bangla word – (DOOR). | Level 2 (Grade 2): Say the English of Bangla word – (WINDOW). | Level 3 (Grade 3 & 4): Say the English of Bangla word – (FARMER).",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item8","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Say the English of Bangla word – (BOOK). | Level 2 (Grade 2): Say the English of Bangla word – (UMBRELLA). | Level 3 (Grade 3 & 4): Say the English of Bangla word – (WEDNESDAY).",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item8","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Say the English of Bangla word – (BOOK). | Level 2 (Grade 2): Say the English of Bangla word – (UMBRELLA). | Level 3 (Grade 3 & 4): Say the English of Bangla word – (WEDNESDAY).",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item9","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Say the English of Bangla word – (DOG). | Level 2 (Grade 2): Say the English of Bangla word – (BREAKFAST). | Level 3 (Grade 3 & 4): Say the English of Bangla word – (FLAG).",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item9","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Say the English of Bangla word – (DOG). | Level 2 (Grade 2): Say the English of Bangla word – (BREAKFAST). | Level 3 (Grade 3 & 4): Say the English of Bangla word – (FLAG).",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item10","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Spell your name in English. | Level 2 (Grade 2): Read and say the name of these shapes (picture of the square, circle, triangle, and rectangle). | Level 3 (Grade 3 & 4): Match the appropriate description with this picture (match from 4 options).",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item10","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Spell your name in English. | Level 2 (Grade 2): Read and say the name of these shapes (picture of the square, circle, triangle, and rectangle). | Level 3 (Grade 3 & 4): Match the appropriate description with this picture (match from 4 options).",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item11","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Which number comes after 6? Does it even or odd? | Level 2 (Grade 2): Name the even numbers between 1 and 10. | Level 3 (Grade 3 & 4): Sort these three numbers, smallest to the largest (20, 73, 10, 78).",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item11","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Which number comes after 6? Does it even or odd? | Level 2 (Grade 2): Name the even numbers between 1 and 10. | Level 3 (Grade 3 & 4): Sort these three numbers, smallest to the largest (20, 73, 10, 78).",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item12","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the result of 3+4=? | Level 2 (Grade 2): Sort these three numbers, smallest to largest (23, 17, 38). | Level 3 (Grade 3 & 4): There are 6 notes of 20 BDT. How much money is there?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item12","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the result of 3+4=? | Level 2 (Grade 2): Sort these three numbers, smallest to largest (23, 17, 38). | Level 3 (Grade 3 & 4): There are 6 notes of 20 BDT. How much money is there?",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item13","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the result of 8-3=? | Level 2 (Grade 2): In a class, there were 16 students. The teacher sends 5 of them for gardening. How many students are left in the classroom? | Level 3 (Grade 3 & 4): What is the result of 13+11=?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item13","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the result of 8-3=? | Level 2 (Grade 2): In a class, there were 16 students. The teacher sends 5 of them for gardening. How many students are left in the classroom? | Level 3 (Grade 3 & 4): What is the result of 13+11=?",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item14","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): How many minutes in 60 seconds? | Level 2 (Grade 2): How many sides a triangle has? | Level 3 (Grade 3 & 4): What is the result of 2/4+2/4=?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item14","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): How many minutes in 60 seconds? | Level 2 (Grade 2): How many sides a triangle has? | Level 3 (Grade 3 & 4): What is the result of 2/4+2/4=?",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item15","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the result of 6+0=? | Level 2 (Grade 2): There are three fruits on a plate. How many fruits there are in 4 plates? | Level 3 (Grade 3 & 4): The price of 5 eggs is BDT 30. How much does it cost to buy 2 eggs?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item15","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the result of 6+0=? | Level 2 (Grade 2): There are three fruits on a plate. How many fruits there are in 4 plates? | Level 3 (Grade 3 & 4): The price of 5 eggs is BDT 30. How much does it cost to buy 2 eggs?",NA,NA,1
