source,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
plos,10.1371/journal.pone.0101295,The Patient Health Questionnaire-9: Validation among Patients with Glaucoma,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0101295,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0240209,People with diabetes need a lower cut-off than others for depression screening with PHQ-9,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240209,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The data underlying the results presented in the study are available from the Association for the Improvement of Mental Health Programmes (AIMHP) and the collaborating institutions supported the INTERPRET-DD Study. The set data used in this study may be made available on request,  http://aim-mental-",,,,,,,
plos,10.1371/journal.pone.0223841,Speed of processing training and depression in assisted and independent living: A randomized controlled trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223841,cc-by,download_failed,"Excel file format cannot be determined, you must specify an engine manually.",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0223841_S1_Dataset.xls,,,,,
plos,10.1371/journal.pone.0221717,Valid group comparisons can be made with the Patient Health Questionnaire (PHQ-9): A measurement invariance study across groups by demographic characteristics,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221717,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The database is freely accessible from the website of the National Institute of Statistics of Peru, URL:  http://iinei.inei.gob.pe/microdatos/  The information can be obtained by entering the survey query tab and selecting the ENDES data using the health module data. Only cross-sectional information",,,,,,,
plos,10.1371/journal.pone.0244955,Screening accuracy of a 14-day smartphone ambulatory assessment of depression symptoms and mood dynamics in a general population sample: Comparison with the PHQ-9 depression screening,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244955,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.5281/zenodo.3384860,The data underlying the results is available from the Zenodo database (DOI:  10.5281/zenodo.3384860 ).,https://doi.org/10.5281/zenodo.3384860,,,,,,
plos,10.1371/journal.pone.0199235,Factorial validity and invariance of the Patient Health Questionnaire (PHQ)-9 among clinical and non-clinical populations,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0199235,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0199235.s001",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0199235_S1_Dataset.xlsx,65090,2,23,1415.0,0
plos,10.1371/journal.pone.0326169,"Factorial structure of the patient health questionnaire-9, generalized anxiety disorder-7 and berger HIV stigma scale-short form among adolescents living with HIV in Ghana",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0326169,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.17632/g2n474d3pt.2,"Data is available as “Mental health burden in adolescents living with HIV”, Mendeley Data, V2, doi:  10.17632/g2n474d3pt.2",https://doi.org/10.17632/g2n474d3pt.2,,,,,,
plos,10.1371/journal.pone.0259806,Changes in PHQ-9 depression scores in acute stroke patients shortly after returning home,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259806,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://osf.io/4hzdf/,https://osf.io/4hzdf/  DOI  10.17605/OSF.IO/4HZDF .,https://osf.io/4hzdf/,,,,,,
plos,10.1371/journal.pone.0193356,Factor structure and measurement invariance across various demographic groups and over time for the PHQ-9 in primary care patients in Spain,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0193356,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,These data have been collected as a sub-study of a large Randomized Clinical Trial conducted in Spanish primary care centers. This is a multi-center Randomized Clinical Trial with medication (No EUDRACT: 2013-001955-11 and Protocol Code: ISRCTN58437086) promoted by the Psicofundación and approved by,,,,,,,
plos,10.1371/journal.pone.0135131,"The Psychometric Properties of the Center for Epidemiologic Studies Depression Scale in Chinese Primary Care Patients: Factor Structure, Construct Validity, Reliability, Sensitivity and Responsiveness",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0135131,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The data cannot be made available in the manuscript, the supplemental files, or a public repository due to ethical restrictions. The data set contains patients’ personal information and clinical data. To request the data, please contact the corresponding author Dr. Weng Yee Chin (e-mail:  chinwy@hku",,,,,,,
plos,10.1371/journal.pone.0231743,Variability in engagement and progress in efficacious integrated collaborative care for primary care patients with obesity and depression: Within-treatment analysis in the RAINBOW trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231743,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"To comply with the study informed consent form, we would share de-identified data and associated data dictionary only under a formal data sharing and use agreement that provides for a commitment to the following: (1) using the data only for research purposes and not to identify any individual partic",,,,,,,
plos,10.1371/journal.pone.0208708,Acute post stroke depression at a Primary Stroke Center in the Middle East,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0208708,cc0,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Data acute post stroke depression middle east.   https://doi",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0208708_S1_Dataset.xls,17826,291,62,0.988,0
plos,10.1371/journal.pone.0052028,Are Scores on English and French Versions of the PHQ-9 Comparable? An Assessment of Differential Item Functioning,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0052028,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0166435,"Mind the Gap: Gaps in Antidepressant Treatment, Treatment Adjustments, and Outcomes among Patients in Routine HIV Care in a Multisite U.S. Clinical Cohort",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0166435,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The authors confirm that, for approved reasons, some access restrictions apply to the data underlying the findings. Data used in this study were collected through the NIH-funded CNICS cohort collaborative. CNICS provides open access to data for any investigator through its concept review process ( w",,,,,,,
plos,10.1371/journal.pone.0099658,Heterogeneity in Patient-Reported Outcomes following Low-Intensity Mental Health Interventions: A Multilevel Analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0099658,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0335272,Combined effect of nutritional inflammation as well as depression on mortality in middle-aged and elderly people with osteoporosis and osteopenia,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335272,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The data of this study are publicly available for free from the NHANES (National Health and Nutrition Examination Survey) database. The specific datasets utilized for this study can be accessed at the following links: 1) NHANES 2007-2008:  https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes/default.as,,,,,,,
plos,10.1371/journal.pone.0298787,Multi-modal analysis of inflammation as a potential mediator of depressive symptoms in young people with HIV: The GOLD depression study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0298787,cc-by,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | only 8 distinct ids (too few to be respondents) | 61% of responses are unique (real items reuse a small scale; this looks like a results table) | 62% of resp values are non-integer — ordinal item responses are almost always integer-valued | SI caption: Summary statistics for neuroimaging biomarkers.   https://do,Data generated in this study is available in processed and anonymised form via the Edinburgh DataShare service at  https://doi.org/10.7488/ds/7507 . R code used for statistical analysis is available at  https://github.com/arishmr/gold-depression-study .,https://doi.org/10.7488/ds/7507,journal.pone.0298787_S1_Table.xlsx,96,8,8,1.5,4
plos,10.1371/journal.pone.0201226,Cognitive behaviour treatment of co-occurring depression and generalised anxiety in routine clinical practice,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201226,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"NHS England has strict policies on data sharing with which the authors must be compliant. Patients did not provide explicit consent for their data to be publicly available online. Therefore, data may not be made publicly available due to ethical restrictions imposed by NHS England. The relevant anon",,,,,,,
plos,10.1371/journal.pone.0062873,Improving Adherence and Clinical Outcomes in Self-Guided Internet Treatment for Anxiety and Depression: Randomised Controlled Trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062873,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0302953,"Translation, cultural adaptation, and validation of the PHQ-9 and GAD-7 in Kinyarwanda for primary care in the United States",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0302953,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values* | SI caption: PHQ-9.   https://doi.org/10.1371/journal.pone.0302953.s004",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0302953_S1_Dataset.xlsx,912,4,8,28.5,1
plos,10.1371/journal.pone.0217412,New insights into the prevalence of depressive symptoms and depression in rheumatoid arthritis – Implications from the prospective multicenter VADERA II study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0217412,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: VADERA II—Raw data.   https://doi.org/10.1371/journal.pone.0",All relevant data are within the manuscript and its supporting information files.,,journal.pone.0217412_S1_Table.xlsx,66388,1005,67,0.9859,0
plos,10.1371/journal.pone.0218512,Diagnostic accuracy of depression questionnaires in adult patients with diabetes: A systematic review and meta-analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0218512,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its Supporting Information files.,,,,,,,
plos,10.1371/journal.pone.0202258,Association between subclinical thyroid dysfunction and depressive symptoms in the Korean adult population: The 2014 Korea National Health and Nutrition Examination Survey,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0202258,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Readers can access the dataset by registering an account with the Korean CDC website ( https://knhanes.cdc.go.kr/knhanes/index.do ). There is a blue bar on the top of the website. Click the third menu, written in Korean, “원시자료” (The content about the raw data) on the blue bar. There is a second subm",,,,,,,
plos,10.1371/journal.pone.0319813,The relationship between sleep disorder and mental health in athletes and its mediating role: a cross-sectional study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0319813,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting Information  files.,,,,,,,
plos,10.1371/journal.pone.0180067,Role of magnesium supplementation in the treatment of depression: A randomized clinical trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0180067,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Record ID', 'Age', 'Gender', 'Interested in participating?', 'Have you ever been told by your physician that you have any of the following? (choice=Kidney disease)', 'Have you ever been told by your physician that you have any of the following? (choice",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0180067_S4_File.xlsx,,,,,1
plos,10.1371/journal.pone.0257793,Predictors of social anxiety disorder with major depressive episodes among Japanese university students,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257793,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript.,,,,,,,
plos,10.1371/journal.pone.0010939,Internet Treatment for Depression: A Randomized Controlled Trial Comparing Clinician vs. Technician Assistance,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0010939,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0089591,Improving Adherence and Clinical Outcomes in Self-Guided Internet Treatment for Anxiety and Depression: A 12-Month Follow-Up of a Randomised Controlled Trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0089591,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0329978,"Association between sleep and physical activity data, and depressive symptoms in Thai elderly",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0329978,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting Information  files.,,,,,,,
plos,10.1371/journal.pone.0251503,"Character configuration, major depressive episodes, and suicide-related ideation among Japanese undergraduates",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0251503,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript.,,,,,,,
plos,10.1371/journal.pone.0158570,Comorbid Depression and Heart Failure: A Community Cohort Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158570,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Dataset.   https://doi.org/10.1371/journal.pone.0158570.s002",The de-identified dataset can be found in the Supporting Information files.,,journal.pone.0158570_S2_File.xlsx,6375,425,15,1.0,0
plos,10.1371/journal.pone.0131027,"Symptoms of Eating Disorders and Depression in Emerging Adults with Early-Onset, Long-Duration Type 1 Diabetes and Their Association with Metabolic Control",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131027,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The authors confirm that, for approved reasons, some access restrictions apply to the data underlying the findings. Data are subject to national data protection laws and only available upon formal request. The responsible contact person is Dr. Joachim Rosenbauer (German Diabetes Center, Institute fo",,,,,,,
plos,10.1371/journal.pone.0042916,Comparative Effectiveness of Cognitive Therapies Delivered Face-to-Face or over the Telephone: An Observational Study Using Propensity Methods,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0042916,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0224799,The household economic costs associated with depression symptoms: A cross-sectional household study conducted in the North West province of South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224799,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Dataset.   https://doi.org/10.1371/journal.pone.0224799.s002",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0224799_S2_File.xls,24426,534,46,0.9944,0
plos,10.1371/journal.pone.0179952,Association between suicide-related ideations and affective temperaments in the Japanese general adult population,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0179952,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper.,,,,,,,
plos,10.1371/journal.pone.0209121,"Grit is associated with lower level of depression and anxiety among university students in Chiang Mai, Thailand: A cross-sectional study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0209121,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Dataset of the study.   https://doi.org/10.1371/journal.pone",The data will be provided as Supporting Information files.,,journal.pone.0209121_S1_Dataset.sav,2400,800,3,1.0,0
plos,10.1371/journal.pone.0153132,"A Structured Protocol Model of Depression Care versus Clinical Acumen: A Cluster Randomized Trial of the Effects on Depression Screening, Diagnostic Evaluation, and Treatment Uptake in Ugandan HIV Clinics",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153132,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Due to IRB restrictions and the protection of patient privacy, data are not available.",,,,,,,
plos,10.1371/journal.pone.0343075,"Mental health, perceived social support, and sense of belonging among immigrants",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343075,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The dataset generated and analyzed during the current study is owned by Dalhousie University and was approved by the Nova Scotia Health Authority Research Ethics Board (Halifax, NS, Canada). Due to ethical restrictions, public sharing of the de-identified dataset is not permitted. Data access reques",,,,,,,
plos,10.1371/journal.pone.0281588,"Mental health, cancer risk, and the mediating role of lifestyle factors in the CARTaGENE cohort study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0281588,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The data underlying the results presented in the study are available from CARTaGENE,  https://www.cartagene.qc.ca/en/home .",,,,,,,
plos,10.1371/journal.pone.0181023,Effectiveness of a stepped-care intervention to prevent major depression in patients with type 2 diabetes mellitus and/or coronary heart disease and subthreshold depression: A pragmatic cluster randomized controlled trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0181023,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Data are uploaded to DataverseNL (URL:  https://dataverse.nl/dataset.xhtml?persistentId=hdl:10411/XNP5G4 ; DOI:  http://hdl.handle.net/10411/XNP5G4 ).,,,,,,,
plos,10.1371/journal.pone.0160738,Disparities in Depressive Symptoms and Antidepressant Treatment by Gender and Race/Ethnicity among People Living with HIV in the United States,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0160738,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Data used in the present analysis were collected by the Center for AIDS Research (CFAR) Network of Integrated Clinical Systems (CNICS) and are not owned by any of the authors. CNICS data is available to researchers who meet the criteria for access to confidential data (For information on CNICS, plea",,,,,,,
plos,10.1371/journal.pone.0272685,Deep learning for the prediction of clinical outcomes in internet-delivered CBT for depression and anxiety,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0272685,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Data cannot be shared publicly because SilverCloud had agreements with its customers to use this data in de-identified form for understanding usage and improving the service, and chose a research partner to work with on this project. The customer agreements, and reasonable expectations of the end us",,,,,,,
plos,10.1371/journal.pone.0300366,What predicts response to sertraline for people with depression in primary care? a secondary data analysis of moderators in the PANDA trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0300366,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Data contains sensitive patient information so cannot be shared publicly. Proposals for use of the data underlying the results presented in this study and requests for access should be directed to the data curator ( fphs.pa@ucl.ac.uk ) or the corresponding author ( charlotte.archer@bristol.ac.uk ). ,,,,,,,
plos,10.1371/journal.pone.0120183,Relationship between Trusting Behaviors and Psychometrics Associated with Social Network and Depression among Young Generation: A Pilot Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0120183,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The approval document of the present study by the IRB committee of Kyushu University mentions that researchers who would like to use the data of the current study secondarily must submit the required form to declare its purpose, method, and data administration, and the proposal must be approved by t",,,,,,,
plos,10.1371/journal.pone.0335897,Depressive episode and treatment outcomes in elderly individuals with tuberculosis: A prospective cohort study in Korea,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335897,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The ownership of the primary datasets lies with the Korea National Institute of Health (KNIH), Korea Disease Control and Prevention Agency (KDCA). The de-identified datasets generated and/or analyzed during the current study can be made available for replication purposes upon reasonable request. Int",,,,,,,
plos,10.1371/journal.pone.0231872,The impact of an integrated depression and HIV treatment program on mental health and HIV care outcomes among people newly initiating antiretroviral therapy in Malawi,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231872,cc0,no_usable_file,no tabular-format Supporting Information file on article page,The data underlying the results presented in the this manuscript will be available in a USAID-managed repository.,,,,,,,
plos,10.1371/journal.pone.0322536,Trends in prevalence and treatment of antepartum and postpartum depression in the United States: Data from the national health and nutrition examination survey (NHANES) 2007 to 2018,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0322536,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All data files used in this study are publicly available from the National Center for Health Statistics and can be accessed at  https://wwwn.cdc.gov/nchs/nhanes/Default.aspx .,,,,,,,
plos,10.1371/journal.pone.0258059,Effects of a group-based lifestyle medicine for depression: A pilot randomized controlled trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0258059,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The data underlying the findings of this study are restricted by the Institutional Review Board of the Chinese University of Hong Kong, who approved the participant consent. Data contain potentially identifying information including direct identifiers (contact information) and indirect identifiers (",,,,,,,
plos,10.1371/journal.pone.0239210,"The impact of impending / onset of vision loss on depression, anxiety, and vision-related quality of life in Birdshot-Retinochoroiditis and Serpiginous Choroiditis",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239210,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Anonymized data of the patients.   https://doi.org/10.1371/j",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0239210_S1_Data.xlsx,4866,72,66,1.024,0
plos,10.1371/journal.pone.0354032,Positive mental attitude and depressive symptoms among medical students and residents: a cross-sectional study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0354032,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data for this study are publicly available from the Mendeley Data repository ( https://data.mendeley.com/preview/vx7fdzkjj5 ).,,,,,,,
plos,10.1371/journal.pone.0236707,Factorial validity of the Twi versions of five measures of mental health and well-being in Ghana,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236707,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Data restrictions imposed by the North-West University’s Health Research Ethics Committee (HREC) prevent the uploading of participant data as it would constitute a violation of the approved procedure. Participants provided informed consent to participate in the current research and gave permission f,,,,,,,
plos,10.1371/journal.pone.0048396,Antepartum Depression and Anxiety Associated with Disability in African Women: Cross-Sectional Results from the CDS Study in Ghana and Côte d'Ivoire,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0048396,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0113391,Psychometric Properties of the Hebrew Translation of the Patient Activation Measure (PAM-13),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113391,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,10.1371/journal.pone.0221432,The prevalence of depression and associated risk factors among medical students: An untold story in Vietnam,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221432,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"According to our application to the Institutional Review Board of Hanoi University of Public Health, the data cannot be shared publicly because of ethical restrictions to protect the confidentiality of the participants. A de-identified dataset is available for researchers who meet the criteria for a",,,,,,,
plos,10.1371/journal.pone.0184210,The cost-effectiveness of PHQ screening and collaborative care for depression in New York City,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184210,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The data used are either within the paper or included in the Supporting Information files.,,,,,,,
plos,10.1371/journal.pone.0058436,Effects of Depressive Symptoms and Family Satisfaction on Health Related Quality of Life: The Hong Kong FAMILY Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0058436,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0136598,The Role of Self-Compassion in Buffering Symptoms of Depression in the General Population,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136598,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"In order to comply with the ethics approval of the study protocol, data cannot be made accessible through a public repository. However, data are fully available as SPSS file from the Health Psychology Research Group at McGill University, contact:  annett.korner@mcgill.ca , for researchers who consen",,,,,,,
