table,table.lower,Description,URL (for data),Reference,DOI (for paper),DOI (for data),Original License,Custom License (source),Public Reshare?,Derived License,Custom License (derived),Notes,Contributor,Date
promis1wave1_social,promis1wave1_social,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
promis1wave1_anxiety,promis1wave1_anxiety,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
promis1wave1_depression,promis1wave1_depression,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
promis1wave1_haq,promis1wave1_haq,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
promis1wave1_physicalfunction,promis1wave1_physicalfunction,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
bhs_floreskanter2021,bhs_floreskanter2021,,,,,10.17632/9mjg54kcwv.5,,,Public,CC BY 4.0,,,automated,9/6/2026
BAFACALO_Golino_2013_BVPS,bafacalo_golino_2013_bvps,,,,,10.7910/DVN/23150,,,Public,CC0 1.0,,,automated,9/6/2026
BAFACALO_Golino_2013_CIS,bafacalo_golino_2013_cis,,,,,10.7910/DVN/23150,,,Public,CC0 1.0,,,automated,9/6/2026
BAFACALO_Golino_2013_FIS,bafacalo_golino_2013_fis,,,,,10.7910/DVN/23150,,,Public,CC0 1.0,,,automated,9/6/2026
BAFACALO_Golino_2013_SMS,bafacalo_golino_2013_sms,,,,,10.7910/DVN/23150,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_1,gilbert_meta_1,,,,,10.7910/DVN/QARRYT,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_2,gilbert_meta_2,,,,,10.7910/DVN/LAWFFU,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_4,gilbert_meta_4,,,,,10.3886/E113056V1,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_6,gilbert_meta_6,,,,,10.3886/E116339V1,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_7,gilbert_meta_7,,,,,10.7910/DVN/RKBVKY,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_8,gilbert_meta_8,,,,,10.7910/DVN/RKBVKY,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_9,gilbert_meta_9,,,,,10.3886/E113634V1,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_10,gilbert_meta_10,,,,,10.7910/DVN/HQEMN6,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_11,gilbert_meta_11,,,,,10.7910/DVN/HQEMN6,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_12,gilbert_meta_12,,,,,10.7910/DVN/HQEMN6,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_13,gilbert_meta_13,,,,,10.7910/DVN/5OPIYU,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_14,gilbert_meta_14,,,,,10.7910/DVN/5OPIYU,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_15,gilbert_meta_15,,,,,10.7910/DVN/5OPIYU,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_20,gilbert_meta_20,,,,,10.7910/DVN/Z4WMFE,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_21,gilbert_meta_21,,,,,10.3886/E182542V1,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_22,gilbert_meta_22,,,,,10.7910/DVN/GDP2YP,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_25,gilbert_meta_25,,,,,10.7910/DVN/VNLWCB,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_26,gilbert_meta_26,,,,,10.7910/DVN/VNLWCB,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_27,gilbert_meta_27,,,,,10.7910/DVN/19PPE7,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_28,gilbert_meta_28,,,,,10.7910/DVN/19PPE7,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_29,gilbert_meta_29,,,,,10.7910/DVN/19PPE7,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_30,gilbert_meta_30,,,,,10.7910/DVN/19PPE7,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_31,gilbert_meta_31,,,,,10.7910/DVN/IS7YLY,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_33,gilbert_meta_33,,,,,10.7910/DVN/L3TSNX,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
gilbert_meta_34,gilbert_meta_34,,,,,10.3886/E191402V1,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_35,gilbert_meta_35,,,,,10.7910/DVN/UMRAM7,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_36,gilbert_meta_36,,,,,10.7910/DVN/UMRAM7,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_37,gilbert_meta_37,,,,,10.7910/DVN/EJ03JR,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_38,gilbert_meta_38,,,,,10.7910/DVN/EJ03JR,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_39,gilbert_meta_39,,,,,10.7910/DVN/FXL7JW,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_40,gilbert_meta_40,,,,,10.7910/DVN/FXL7JW,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_41,gilbert_meta_41,,,,,10.7910/DVN/RSUADW,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_42,gilbert_meta_42,,,,,10.3886/E174781V1,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_43,gilbert_meta_43,,,,,10.3886/E174781V1,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_45,gilbert_meta_45,,,,,10.7910/DVN/DIU6BU,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_46,gilbert_meta_46,,,,,10.17605/OSF.IO/4P8HZ,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_47,gilbert_meta_47,,,,,10.17605/OSF.IO/4P8HZ,,,Public,CC BY 4.0,,,automated,9/6/2026
gilbert_meta_48,gilbert_meta_48,,,,,10.7910/DVN/3SF36J,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_50,gilbert_meta_50,,,,,10.7910/DVN/XBGUUL,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_51,gilbert_meta_51,,,,,10.7910/DVN/XBGUUL,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_53,gilbert_meta_53,,,,,10.7910/DVN/0TS1LX,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_54,gilbert_meta_54,,,,,10.7910/DVN/0TS1LX,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_55,gilbert_meta_55,,,,,10.7910/DVN/GB61G4,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_56,gilbert_meta_56,,,,,10.7910/DVN/ZSRO4X,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_57,gilbert_meta_57,,,,,10.7910/DVN/IJE2PC,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_58,gilbert_meta_58,,,,,10.7910/DVN/IJE2PC,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_59,gilbert_meta_59,,,,,10.7910/DVN/IJE2PC,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_60,gilbert_meta_60,,,,,10.7910/DVN/AQHPTT,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_61,gilbert_meta_61,,,,,10.7910/DVN/AQHPTT,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_62,gilbert_meta_62,,,,,10.7910/DVN/SLUA08,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_63,gilbert_meta_63,,,,,10.7910/DVN/6PAHVM,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_64,gilbert_meta_64,,,,,10.7910/DVN/YTLX91,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_68,gilbert_meta_68,,,,,10.7910/DVN/DUBA3J,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_69,gilbert_meta_69,,,,,10.7910/DVN/DUBA3J,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_70,gilbert_meta_70,,,,,10.7910/DVN/DUBA3J,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_71,gilbert_meta_71,,,,,10.7910/DVN/DUBA3J,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_72,gilbert_meta_72,,,,,10.7910/DVN/DUBA3J,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_73,gilbert_meta_73,,,,,10.7910/DVN/DUBA3J,,,Public,CC0 1.0,,,automated,9/6/2026
VCISM_Polish_Trzcinska_2023,vcism_polish_trzcinska_2023,,,,,10.17605/OSF.IO/K2QEW,,,Public,CC BY 4.0,,,automated,9/6/2026
dass_Thiyagarajan2022,dass_thiyagarajan2022,,,,,10.7910/DVN/AJVLN6,,,Public,CC0 1.0,,,automated,9/6/2026
IJLS_Eersel_2024_Anxiety,ijls_eersel_2024_anxiety,,,,,10.34894/FDDFTJ,,,Public,CC0 1.0,,,automated,9/6/2026
IJLS_Eersel_2024_IJLSreaction,ijls_eersel_2024_ijlsreaction,,,,,10.34894/FDDFTJ,,,Public,CC0 1.0,,,automated,9/6/2026
IJLS_Eersel_2024_DenialAcceptance,ijls_eersel_2024_denialacceptance,,,,,10.34894/FDDFTJ,,,Public,CC0 1.0,,,automated,9/6/2026
IJLS_Eersel_2024_IUS,ijls_eersel_2024_ius,,,,,10.34894/FDDFTJ,,,Public,CC0 1.0,,,automated,9/6/2026
IJLS_Eersel_2024_Depression,ijls_eersel_2024_depression,,,,,10.34894/FDDFTJ,,,Public,CC0 1.0,,,automated,9/6/2026
IJLS_Eersel_2024_Optimism,ijls_eersel_2024_optimism,,,,,10.34894/FDDFTJ,,,Public,CC0 1.0,,,automated,9/6/2026
IJLS_Eersel_2024_ICECAP,ijls_eersel_2024_icecap,,,,,10.34894/FDDFTJ,,,Public,CC0 1.0,,,automated,9/6/2026
CFC_Balaji_2019,cfc_balaji_2019,,,,,10.7910/DVN/1KDJTZ,,,Public,CC0 1.0,,,automated,9/6/2026
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,psr-p_scale_intimacy_hakim_2018_study2_psi,,,,,10.7910/DVN/F3KS7M,,,Public,CC0 1.0,,,automated,9/6/2026
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,psr-p_scale_intimacy_hakim_2018_study2_psr,,,,,10.7910/DVN/F3KS7M,,,Public,CC0 1.0,,,automated,9/6/2026
PSR-P_Scale_Intimacy_Hakim_2018_Study3,psr-p_scale_intimacy_hakim_2018_study3,,,,,10.7910/DVN/F3KS7M,,,Public,CC0 1.0,,,automated,9/6/2026
FACES_Spanish_Vegas_2022_FACES,faces_spanish_vegas_2022_faces,,,,,10.7910/DVN/UA5GTO,,,Public,CC0 1.0,,,automated,9/6/2026
FACES_Spanish_Vegas_2022_FSS,faces_spanish_vegas_2022_fss,,,,,10.7910/DVN/UA5GTO,,,Public,CC0 1.0,,,automated,9/6/2026
RD_PPCSEDSOF_Afable_2023,rd_ppcsedsof_afable_2023,,,,,10.7910/DVN/UT9RVL,,,Public,CC0 1.0,,,automated,9/6/2026
gilbert_meta_74,gilbert_meta_74,,,,,10.7910/DVN/ZF1LKZ,,,Public,CC BY-NC-SA 4.0,,,automated,9/6/2026
MotAcademica_Ribeiro_2019,motacademica_ribeiro_2019,,,,,10.7910/DVN/KWTMWT,,,Public,CC0 1.0,,,automated,9/6/2026
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,rd_ppcvdos_padconacns_jinbo_2019_dos,,,,,10.7910/DVN/F4UYZQ,,,Public,CC0 1.0,,,automated,9/6/2026
RD_EppSCQRK_Kipkemoi_2024_scq,rd_eppscqrk_kipkemoi_2024_scq,,,,,10.7910/DVN/NJHSAC,,,Public,CC BY 4.0,,,automated,9/6/2026
movac_pakpour2022,movac_pakpour2022,,,,,10.7910/DVN/U8ZYDF,,,Public,CC0 1.0,,,automated,9/6/2026
RD_PpSL7as_Ghasemy_2024_SL,rd_ppsl7as_ghasemy_2024_sl,,,,,10.7910/DVN/FDDY2N,,,Public,CC0 1.0,,,automated,9/6/2026
PPPSSAPIS_Figlova_2021_PSS10,pppssapis_figlova_2021_pss10,,,,,10.17632/k8zk3xhcjf.1,,,Public,CC BY 4.0,,,automated,9/6/2026
OSCE_Hejri_2017,osce_hejri_2017,,,,,10.7910/DVN/VG1AJW,,,Public,CC0 1.0,,,automated,9/6/2026
FACIT_YOUNT_2021_clinic10,facit_yount_2021_clinic10,,,,,10.7910/DVN/IBFK5H,,,Public,CC0 1.0,,,automated,9/6/2026
FACIT_YOUNT_2021_hadsx,facit_yount_2021_hadsx,,,,,10.7910/DVN/IBFK5H,,,Public,CC0 1.0,,,automated,9/6/2026
FACIT_YOUNT_2021_crqsasx,facit_yount_2021_crqsasx,,,,,10.7910/DVN/IBFK5H,,,Public,CC0 1.0,,,automated,9/6/2026
FACIT_YOUNT_2021_limitations,facit_yount_2021_limitations,,,,,10.7910/DVN/IBFK5H,,,Public,CC0 1.0,,,automated,9/6/2026
Adherence_Zissette_2018_SDB,adherence_zissette_2018_sdb,,,,,10.7910/DVN/5W9HXM,,,Public,CC0 1.0,,,automated,9/6/2026
KoreanNursing_Park_2017,koreannursing_park_2017,,,,,10.7910/DVN/ECDLXG,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Family_Children,promispme_forrest_2021_family_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Physical_Children,promispme_forrest_2021_physical_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Family_Proxy,promispme_forrest_2021_family_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Physical_Proxy,promispme_forrest_2021_physical_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_GHGlobal_Children,promispme_forrest_2021_ghglobal_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_PosAff_Children,promispme_forrest_2021_posaff_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_GHGlobal_Proxy,promispme_forrest_2021_ghglobal_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_PosAff_Proxy,promispme_forrest_2021_posaff_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_LS_Children,promispme_forrest_2021_ls_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Psych_Children,promispme_forrest_2021_psych_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_LS_Proxy,promispme_forrest_2021_ls_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Psych_Proxy,promispme_forrest_2021_psych_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_MP_Children,promispme_forrest_2021_mp_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Strength_Children,promispme_forrest_2021_strength_children,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_MP_Proxy,promispme_forrest_2021_mp_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPME_Forrest_2021_Strength_Proxy,promispme_forrest_2021_strength_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
PROMISPFUE_2_0E_Gershon_2019_PROMIS,promispfue_2_0e_gershon_2019_promis,,,,,10.7910/DVN/IHNIRH,,,Public,CC0 1.0,,,automated,9/6/2026
EMSC_Kuan-chin_2023,emsc_kuan-chin_2023,,,,,10.7910/DVN/IFMDCC,,,Public,CC0 1.0,,,automated,9/6/2026
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,fh_okcsr_roos_2022_study1_feeling_heard,,,,,10.34894/IHNKUN,,,Public,CC0 1.0,,,automated,9/6/2026
Fh_Okcsr_Roos_2022_study2_Feeling_Heard,fh_okcsr_roos_2022_study2_feeling_heard,,,,,10.34894/IHNKUN,,,Public,CC0 1.0,,,automated,9/6/2026
QaSLU_Prado_2024,qaslu_prado_2024,,,,,10.7910/DVN/LUUDQC,,,Public,CC0 1.0,,,automated,9/6/2026
CSE_Bayazit_2022,cse_bayazit_2022,,,,,10.7910/DVN/M0NJIQ,,,Public,CC0 1.0,,,automated,9/6/2026
CQTMS_Hur_2023,cqtms_hur_2023,,,,,10.7910/DVN/UE55JT,,,Public,CC0 1.0,,,automated,9/6/2026
K-PCQ_Huh_2022,k-pcq_huh_2022,,,,,10.7910/DVN/SHCUI4,,,Public,CC0 1.0,,,automated,9/6/2026
NSR-FC_Youhasan_2021,nsr-fc_youhasan_2021,,,,,10.7910/DVN/IKRPCP,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_ADL,coach_chen_2022_adl,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_PHQ9,coach_chen_2022_phq9,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_CSQ,coach_chen_2022_csq,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_SNS,coach_chen_2022_sns,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_HDRS,coach_chen_2022_hdrs,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_treatmentStigma,coach_chen_2022_treatmentstigma,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_IADL,coach_chen_2022_iadl,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_WHOQOL_BREF,coach_chen_2022_whoqol_bref,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
COACH_Chen_2022_MOS_SSS_C,coach_chen_2022_mos_sss_c,,,,,10.7910/DVN/6RWH41,,,Public,CC0 1.0,,,automated,9/6/2026
EOAQ-EST_Silveira_2024,eoaq-est_silveira_2024,,,,,10.7910/DVN/FCBOGB,,,Public,CC0 1.0,,,automated,9/6/2026
VSOCFP_Sebo_2024,vsocfp_sebo_2024,,,,,10.17605/OSF.IO/PJ5MR,,,Public,CC BY 4.0,,,automated,9/6/2026
PEPABAS2C_Kubicka_2024,pepabas2c_kubicka_2024,,,,,10.7910/DVN/LGXP5A,,,Public,CC0 1.0,,,automated,9/6/2026
FPAS_Silva_2022,fpas_silva_2022,,,,,10.7910/DVN/3UHKUM,,,Public,CC0 1.0,,,automated,9/6/2026
RvKDCS_Romiacg_Miroshnik_2020_BFI,rvkdcs_romiacg_miroshnik_2020_bfi,,,,,10.17605/OSF.IO/G5BK4,,,Public,CC BY 4.0,,,automated,9/6/2026
RvKDCS_Romiacg_Miroshnik_2020_CBI,rvkdcs_romiacg_miroshnik_2020_cbi,,,,,10.17605/OSF.IO/G5BK4,,,Public,CC BY 4.0,,,automated,9/6/2026
RvKDCS_Romiacg_Miroshnik_2020_KDOCS,rvkdcs_romiacg_miroshnik_2020_kdocs,,,,,10.17605/OSF.IO/G5BK4,,,Public,CC BY 4.0,,,automated,9/6/2026
PEMAIW_Qiu_2020_FFMQ,pemaiw_qiu_2020_ffmq,,,,,10.17605/OSF.IO/PH6KS,,,Public,CC BY 4.0,,,automated,9/6/2026
PEMAIW_Qiu_2020_MEQ,pemaiw_qiu_2020_meq,,,,,10.17605/OSF.IO/PH6KS,,,Public,CC BY 4.0,,,automated,9/6/2026
PEMAIW_Qiu_2020_DASS,pemaiw_qiu_2020_dass,,,,,10.17605/OSF.IO/PH6KS,,,Public,CC BY 4.0,,,automated,9/6/2026
PEMAIW_Qiu_2020_PANAS,pemaiw_qiu_2020_panas,,,,,10.17605/OSF.IO/PH6KS,,,Public,CC BY 4.0,,,automated,9/6/2026
PEMAIW_Qiu_2020_MLQ,pemaiw_qiu_2020_mlq,,,,,10.17605/OSF.IO/PH6KS,,,Public,CC BY 4.0,,,automated,9/6/2026
PEMAIW_Qiu_2020_SWLS,pemaiw_qiu_2020_swls,,,,,10.17605/OSF.IO/PH6KS,,,Public,CC BY 4.0,,,automated,9/6/2026
PEMAIW_Qiu_2020_BWSS,pemaiw_qiu_2020_bwss,,,,,10.17605/OSF.IO/PH6KS,,,Public,CC BY 4.0,,,automated,9/6/2026
FIVPEI_Perrig_2023_PXI,fivpei_perrig_2023_pxi,,,,,10.17605/OSF.IO/8XUHR,,,Public,CC BY 4.0,,,automated,9/6/2026
FIVPEI_Perrig_2023_AttDiff,fivpei_perrig_2023_attdiff,,,,,10.17605/OSF.IO/8XUHR,,,Public,CC BY 4.0,,,automated,9/6/2026
FIVPEI_Perrig_2023_IMI,fivpei_perrig_2023_imi,,,,,10.17605/OSF.IO/8XUHR,,,Public,CC BY 4.0,,,automated,9/6/2026
FIVPEI_Perrig_2023_PENS,fivpei_perrig_2023_pens,,,,,10.17605/OSF.IO/8XUHR,,,Public,CC BY 4.0,,,automated,9/6/2026
SPQVS_Barnby_2017_OEQ,spqvs_barnby_2017_oeq,,,,,10.17605/OSF.IO/FECGZ,,,Public,CC BY 4.0,,,automated,9/6/2026
SPQVS_Barnby_2017_WHO,spqvs_barnby_2017_who,,,,,10.17605/OSF.IO/FECGZ,,,Public,CC BY 4.0,,,automated,9/6/2026
SPQVS_Barnby_2017_OLIFE,spqvs_barnby_2017_olife,,,,,10.17605/OSF.IO/FECGZ,,,Public,CC BY 4.0,,,automated,9/6/2026
SPQVS_Barnby_2017_DSE,spqvs_barnby_2017_dse,,,,,10.17605/OSF.IO/FECGZ,,,Public,CC BY 4.0,,,automated,9/6/2026
SPQVS_Barnby_2017_SENPQ,spqvs_barnby_2017_senpq,,,,,10.17605/OSF.IO/FECGZ,,,Public,CC BY 4.0,,,automated,9/6/2026
SPQVS_Barnby_2017_SIAS,spqvs_barnby_2017_sias,,,,,10.17605/OSF.IO/FECGZ,,,Public,CC BY 4.0,,,automated,9/6/2026
PrEPAdherence_Zissette_2021,prepadherence_zissette_2021,,,,,10.7910/DVN/NI4ZQA,,,Public,CC0 1.0,,,automated,9/6/2026
MMF_Solis_2020,mmf_solis_2020,,,,,10.7910/DVN/ENOEQS,,,Public,CC0 1.0,,,automated,9/6/2026
SBD_Smith_2020,sbd_smith_2020,,,,,10.17605/OSF.IO/C4V7G,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_CPS,alsecypiamh_wu_2022_cps,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_Empathy,alsecypiamh_wu_2022_empathy,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_MIL,alsecypiamh_wu_2022_mil,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_PEI,alsecypiamh_wu_2022_pei,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_SDQ,alsecypiamh_wu_2022_sdq,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_NEI,alsecypiamh_wu_2022_nei,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_PHQ,alsecypiamh_wu_2022_phq,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
ALSECYPIAMH_WU_2022_SWEMWBS,alsecypiamh_wu_2022_swemwbs,,,,,10.17605/OSF.IO/JQZBX,,,Public,CC BY 4.0,,,automated,9/6/2026
