_key,source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,license,refined_flag,refined_reason
10.6084/m9.figshare.25719909.v1,figshare,"Dataset for the research article "" <b>Association of Maternal Depression with Short-Chain Fatty Acid-Producing Gut Microbiota and the Japanese Diet’s Influence</b>""",https://figshare.com/articles/dataset/Dataset_for_the_research_article_b_Association_of_Maternal_Depression_with_Short-Chain_Fatty_Acid-Producing_Gut_Microbiota_and_the_Japanese_Diet_s_Influence_b_/25719909,10.6084/m9.figshare.25719909.v1,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",27114.0,344.0,79.0,0.9977,Mombiome_BDI_dataset_N344.xlsx,0.0,cc-by,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
10.6084/m9.figshare.28723568.v1,figshare,"data set for study titled <b>Personality, Mental Wellbeing, and Resilience as Predictors of ProQOL in Mental Health Nurses</b>",https://figshare.com/articles/dataset/data_set_for_study_titled_b_Personality_Mental_Wellbeing_and_Resilience_as_Predictors_of_ProQOL_in_Mental_Health_Nurses_b_/28723568,10.6084/m9.figshare.28723568.v1,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*",3432.0,286.0,12.0,1.0,finaldatasetnursing.csv,0.0,,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
10.1371/journal.pone.0344975.s001,figshare,<p>Dataset for the longitudinal analyses examining the reciprocal influence between dating violence victimization and perceptions of partners’ personality traits.</p>,https://plos.figshare.com/articles/dataset/_p_Dataset_for_the_longitudinal_analyses_examining_the_reciprocal_influence_between_dating_violence_victimization_and_perceptions_of_partners_personality_traits_p_/31793210,10.1371/journal.pone.0344975.s001,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*",33372.0,12.0,162.0,17.1667,pone.0344975.s001.xlsx,0.0,,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
10.6084/m9.figshare.22779302.v3,figshare,"<strong>Quality of Life among Patients with Chronic Heart Failure in Nam Dinh Province, VietNam</strong>",https://figshare.com/articles/dataset/_strong_Quality_of_Life_among_Patients_with_Chronic_Heart_Failure_in_Nam_Dinh_Province_VietNam_strong_/22779302,10.6084/m9.figshare.22779302.v3,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",6675.0,42.0,75.0,2.119,QoL HF - Underlying Data.xlsx,1.0,cc-by,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
https://osf.io/qc7bj/,osf,Assessing the use of the PDQ-39 in Cognitive Impairment,https://osf.io/qc7bj/,,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | license_unknown* — license 'unknown' not recognised as open; verify before submission",16787.0,2.0,76.0,110.4408,PDQvalidityData.xlsx,0.0,unknown,not_item_response,"n_participants=2 but n_responses=16787 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=110×)"
10.7910/dvn/jhzdlr,dataverse,"Contributions of psychological needs, self-compassion, leisure-time exercise, and achievement goals to academic engagement and exhaustion of Canadian medical students",https://doi.org/10.7910/DVN/JHZDLR,10.7910/dvn/jhzdlr,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction*, imputed_values*, multi_scale*",12600.0,2.0,63.0,100.0,Jeehp_15_2_raw data.xlsx,0.0,cc0,not_item_response,"n_participants=2 but n_responses=12600 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=100×)"
10.6084/m9.figshare.29098985.v1,figshare,<b>Cross Cultural Adaptation of Leibowitz Social Anxiety Scale into Arabic Language through Translation Validation</b>,https://figshare.com/articles/dataset/_b_Cross_Cultural_Adaptation_of_Leibowitz_Social_Anxiety_Scale_into_Arabic_Language_through_Translation_Validation_b_/29098985,10.6084/m9.figshare.29098985.v1,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction*, imputed_values*",17127.0,2.0,38.0,225.3553,Data for Repository.xlsx,0.0,,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
10.6084/m9.figshare.27896733.v1,figshare,The Impact of Big Five Personality Traits on Z-Generation Designers' Subscription to Paid AI Drawing Tools,https://figshare.com/articles/dataset/The_Impact_of_Big_Five_Personality_Traits_on_Z-Generation_Designers_Subscription_to_Paid_AI_Drawing_Tools/27896733,10.6084/m9.figshare.27896733.v1,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, multi_scale*",15264.0,5.0,32.0,95.4,Survey Data.csv,0.0,,not_item_response,"n_participants=5 but n_responses=15264 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=95×)"
,figshare,<b>Is Cognitive-Motor Training with Unspecific Visual Stimuli Appropriate for Improving Neuromuscular Performance? A Study on Volleyball Athletes' Jumping Ability</b>,https://figshare.com/articles/dataset/_b_Is_Cognitive-Motor_Training_with_Unspecific_Visual_Stimuli_Appropriate_for_Improving_Neuromuscular_Performance_A_Study_on_Volleyball_Athletes_Jumping_Ability_b_/28652201,10.6084/m9.figshare.28652201.v1,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",4125.0,11.0,5.0,75.0,opendata.xlsx,0.0,cc-by,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
10.6084/m9.figshare.30404356.v1,figshare,<i>The Gesture-Related Personality of a Virtual Character</i>,https://figshare.com/articles/dataset/_i_The_Gesture-Related_Personality_of_a_Virtual_Character_i_/30404356,10.6084/m9.figshare.30404356.v1,human_assistance,QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*,19096.0,7.0,44.0,62.0,DATAset.csv,1.0,,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
10.7910/dvn/ggktmc,dataverse,The job competency of radiological technologists in Korea based on specialists opinion and questionnaire survey,https://doi.org/10.7910/DVN/GGKTMC,10.7910/dvn/ggktmc,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",38471.0,3.0,267.0,48.0287,Jeehp_14_9_1_coding data.xlsx,1.0,cc0,not_item_response,"n_participants=3 but n_responses=38471 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=48×)"
10.7910/dvn/rcj1yc,dataverse,Replication data for: Community-wide Support for Primary Students to Improve Foundational Literacy and Numeracy: Empirical Evidence from Madagascar,https://doi.org/10.7910/DVN/RCJ1YC,10.7910/dvn/rcj1yc,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable name', 'Variable label', 'Value label']",,,,,codebook_dta file.xlsx,2.0,cc0,not_item_response,"Column names match a data dictionary / codebook (Variable Name, Variable Label, etc.) — this file describes the dataset, it is not the data itself"
https://osf.io/s86fy/,osf,Where a psychopathic personality matters at work: Cross-industry differences in the relation of Dark Triad and Psychological Capital,https://osf.io/s86fy/,,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Construct', 'Sub scale', 'Variable name', 'Items (items marked with R are reverse coded)', 'Coded value'] | license_unknown* — license 'unknown' not recognised as open; verify before submission",,,,,variable overview.xlsx,1.0,unknown,not_item_response,"Column names match a data dictionary / codebook (Variable Name, Variable Label, etc.) — this file describes the dataset, it is not the data itself"
10.6084/m9.figshare.21151075.v1,figshare,"Parasitic manipulation, or side-effects? The effects of past Toxoplasma and Borrelia infections on personality and cognitive performance of humans are not mediated by impaired health - Data set",https://figshare.com/articles/dataset/Parasitic_manipulation_or_side-effects_The_effects_of_past_Toxoplasma_and_Borrelia_infections_on_personality_and_cognitive_performance_of_humans_are_not_mediated_by_impaired_health_-_Data_set/21151075,10.6084/m9.figshare.21151075.v1,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['ID;toxo;borreliosis;physSickness;mentalSickness;education;Iq;memoryYesNo;timeStroop;precisionStroop;Extroversion;Agreeableness;Conscientiousness;EmotionalStability;OpennessExperiences;PathogenDisgust;SexualDisgust;MoralDisgust;InjuryDisgust;Machiavelli,,,,,rawDataPerfToxoBorr.csv,0.0,cc-by,not_item_response,"File is semicolon-delimited but read as CSV; columns appear to be non-item metadata (['ID', 'toxo', 'borreliosis', 'physSickness', 'mentalSickness'])"
10.3389/fpsyg.2019.02591.s001,figshare,"Data_Sheet_1_What Does Our Personality Say About Our Dietary Choices? Insights on the Associations Between Dietary Habits, Primary Emotional Systems and the Dark Triad of Personality.xlsx",https://frontiersin.figshare.com/articles/dataset/Data_Sheet_1_What_Does_Our_Personality_Say_About_Our_Dietary_Choices_Insights_on_the_Associations_Between_Dietary_Habits_Primary_Emotional_Systems_and_the_Dark_Triad_of_Personality_xlsx/10750421,10.3389/fpsyg.2019.02591.s001,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",18204.0,2.0,41.0,222.0,"Data_Sheet_1_What Does Our Personality Say About Our Dietary Choices? Insights on the Associations Between Dietary Habits, Primary Emotional Systems a.xlsx",0.0,cc-by,not_item_response,"n_participants=2 but n_responses=18204 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=222×)"
10.6084/m9.figshare.13636379.v1,figshare,Cyberbullying and the Dark Triad,https://figshare.com/articles/dataset/Cyberbullying_and_the_Dark_Triad/13636379,10.6084/m9.figshare.13636379.v1,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Sex;Age;Country;Education;Student;Emotional_intelligence;Empathy;Primary_psychopathy;Secondary_psychopathy;Leadership;Entitlement_an_Exhibitionism;Vulnerable_narcissism;MACH*;GAIT;ECIPQ_total'],,,,,Analysis data.csv,0.0,cc-by,not_item_response,"File is semicolon-delimited but read as CSV; columns appear to be non-item metadata (['Sex', 'Age', 'Country', 'Education', 'Student'])"
10.7910/dvn/8rghk6,dataverse,Bidirectional Relationship Between Perceived Work Ability and Burnout,https://doi.org/10.7910/DVN/8RGHK6,10.7910/dvn/8rghk6,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",33261.0,3.0,39.0,284.2821,APWH_Dataset.xlsx,0.0,,not_item_response,"n_participants=3 but n_responses=33261 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=284×)"
10.7910/dvn/sxzb6g,dataverse,"Data for the Study: The Roles of Burnout, Self-Rated Health, and Teacher Self-Efficacy in Fostering Perceived Teacher Work Ability",https://doi.org/10.7910/DVN/SXZB6G,10.7910/dvn/sxzb6g,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",5965.0,3.0,7.0,284.0476,pub_data.xlsx,0.0,,not_item_response,"n_responses/n_participants/n_items ratio=284× — strongly suggests a long aggregate table, not individual responses"
10.7910/dvn/ycxdbi,dataverse,Dataset for “The Teacher Work Ability Scale: Development and Validation of a Multidimensional Measure of Perceived Work Ability in the Teaching Profession”,https://doi.org/10.7910/DVN/YCXDBI,10.7910/dvn/ycxdbi,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*",31117.0,3.0,38.0,272.9561,Sample_D.xlsx,3.0,cc0,not_item_response,"n_participants=3 but n_responses=31117 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=273×)"
10.7910/dvn/ju6k33,dataverse,Replication Data for: The Relationship between Stress-is-enhancing Mindset and Academic  Achievement: Evidence from Variable- centered and Person- centered Analyses,https://doi.org/10.7910/DVN/JU6K33,10.7910/dvn/ju6k33,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",20126.0,2.0,58.0,173.5,raw data.xlsx,0.0,,not_item_response,"n_participants=2 but n_responses=20126 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=174×)"
10.1371/journal.pone.0320059.s003,figshare,Experimental questionnaire results.,https://plos.figshare.com/articles/dataset/Experimental_questionnaire_results_/28654414,10.1371/journal.pone.0320059.s003,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",12852.0,2.0,36.0,178.5,pone.0320059.s003.xlsx,0.0,,not_item_response,"n_participants=2 but n_responses=12852 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=178×)"
10.6084/m9.figshare.31522393.v1,figshare,<b>Cognitive Resources and Training Regimens: How Working Memory modulates Advanced Learners’ Acquisition of Japanese Vowel</b> <b>Length Contrasts</b>,https://figshare.com/articles/dataset/_b_Cognitive_Resources_and_Training_Regimens_How_Working_Memory_modulates_Advanced_Learners_Acquisition_of_Japanese_Vowel_b_b_Length_Contrasts_b_/31522393,10.6084/m9.figshare.31522393.v1,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",49916.0,20.0,13.0,191.9846,AccuracyAnalysis.xlsx,1.0,,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
10.7910/dvn/gol8cg,dataverse,Replication Data for: Seasonal Allergies and Mental Health:  Do Small Health Shocks Affect Suicidality?,https://doi.org/10.7910/DVN/GOL8CG,10.7910/dvn/gol8cg,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",5391214.0,54.0,12.0,8319.7747,daily_88101_2017.csv,131.0,,not_item_response,"n_responses/n_participants/n_items ratio=8320× — strongly suggests a long aggregate table, not individual responses"
10.6084/m9.figshare.96542.v3,figshare,IPIP big five personality test answers,https://figshare.com/articles/dataset/data_csv/96542,10.6084/m9.figshare.96542.v3,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",515719.0,6.0,57.0,1507.9503,data.csv,0.0,cc-by,not_item_response,"n_responses/n_participants/n_items ratio=1508× — strongly suggests a long aggregate table, not individual responses"
10.7910/dvn/w8ppdh,dataverse,The irtQ R Package: a user-friendly tool for item response theory-based test data analysis and calibration,https://doi.org/10.7910/DVN/W8PPDH,10.7910/dvn/w8ppdh,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*",57971.0,2.0,29.0,999.5,SIMDAT30.csv,1.0,cc0,not_item_response,"n_participants=2 but n_responses=57971 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=1000×)"
10.6084/m9.figshare.30581267.v1,figshare,Validation of Online Histrionic Personality Scale Indonesian version,https://figshare.com/articles/dataset/Validation_of_Online_Histrionic_Personality_Scale_Indonesian_version/30581267,10.6084/m9.figshare.30581267.v1,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",49442.0,5.0,59.0,167.6,OHPS validation dataset.xlsx,0.0,cc-by,not_item_response,"n_participants=5 but n_responses=49442 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=168×)"
https://osf.io/ephcj/,osf,The Cognitive Reflection Test is robust to multiple exposures,https://osf.io/ephcj/,,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | license_unknown* — license '563c1cf88c5e4a3877f9e96a' not recognised as open; verify before submission",141584.0,3.0,286.0,165.0163,Pennycook et al. (2016) BRM.csv,5.0,563c1cf88c5e4a3877f9e96a,not_item_response,"n_participants=3 but n_responses=141584 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=165×)"
10.7910/dvn/nhqlmq,dataverse,"Answer Changing, Cognitive Load and Examination Cheating Tendency",https://doi.org/10.7910/DVN/NHQLMQ,10.7910/dvn/nhqlmq,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*",10438.0,2.0,34.0,153.5,Cheating Tendency Complete Data.xlsx,0.0,,not_item_response,"n_participants=2 but n_responses=10438 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=154×)"
10.7910/dvn/aex8pp,dataverse,Replication Data for: Data base of Validation and Analysis of the metric Properties of the Leadership Questionnaire,https://doi.org/10.7910/DVN/AEX8PP,10.7910/dvn/aex8pp,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*",13662.0,5.0,18.0,151.8,Data base of Validation and analysis of the metric properties of the Leadership Virtues Questionnaire.xlsx,0.0,cc0,not_item_response,"n_participants=5 but n_responses=13662 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=152×)"
10.6084/m9.figshare.5047690.v1,figshare,Dataset for the paper Hyperbolic Discounting and Personality,https://figshare.com/articles/dataset/Dataset_for_the_paper_Hyperbolic_Discounting_and_Personality/5047690,10.6084/m9.figshare.5047690.v1,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",30732.0,5.0,52.0,118.2,DatasetForThePaperHyperbolicDiscountingAndPersonality.xlsx,0.0,cc-by,not_item_response,"n_participants=5 but n_responses=30732 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=118×)"
https://osf.io/2ncm3/,osf,Thinking inside the box - Manipulation of working memory contents (Rotating Grid Task),https://osf.io/2ncm3/,,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['ID;Gender;Age_months ;Age_Group;Age.group;Occlusion;Occlusion_numeric;Condition;Rotation;Trial_Nr;Success;Mistake_Box_chosen;TotalNr_Mistakes;Box_chosen;ScrambledBox_Efficiency'] | license_unknown* — license 'unknown' not recognised as open; verify bef,,,,,Data Thinking Inside the Box.csv,3.0,unknown,not_item_response,"File is semicolon-delimited but read as CSV; columns appear to be non-item metadata (['ID', 'Gender', 'Age_months', 'Age_Group', 'Age.group'])"
10.7910/dvn/29467,dataverse,Replication data for: Replication and Extension of Fulmer et al.'s (2010) Finding that Individual and Culture-Level Extroversion Interact to Enhance Subjective Well-Being,https://doi.org/10.7910/DVN/29467,10.7910/dvn/29467,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['code', 'gdp']",,,,,2005 World Bank GDP.csv,5.0,cc0,not_item_response,"Only 2 label-style columns (['code', 'gdp']) — likely a reference list or name table, not person×item data"
,figshare,Standard multiple regression analyses with the reading comprehension of a story as dependent variable and variables of interest in P1 and P2 as predictors (for decoding skills: fluency for pseudoword reading).,https://plos.figshare.com/articles/dataset/_Standard_multiple_regression_analyses_with_the_reading_comprehension_of_a_story_as_dependent_variable_and_variables_of_interest_in_P1_and_P2_as_predictors_for_decoding_skills_fluency_for_pseudoword_reading_/845386,10.1371/journal.pone.0078608.t006,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>R<sup>2</sup></b>', '<b>Predictor variables</b>', '<b><i>&#946;</i></b>', '<b>Proportion of variance accounted by</b>', '<b><i>p</i></b>']",,,,,Table_6.xls,0.0,cc-by,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
,figshare,Standard multiple regression analyses with the reading comprehension of utterances as dependent variable and variables of interest at P1 and P2 as predictors (for decoding skills: fluency in pseudoword reading).,https://plos.figshare.com/articles/dataset/_Standard_multiple_regression_analyses_with_the_reading_comprehension_of_utterances_as_dependent_variable_and_variables_of_interest_at_P1_and_P2_as_predictors_for_decoding_skills_fluency_in_pseudoword_reading_/845389,10.1371/journal.pone.0078608.t004,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>R<sup>2</sup></b>', '<b>Predictor variables</b>', '<b><i>&#946;</i></b>', '<b>Proportion of variance accounted by</b>', '<b><i>P</i></b>']",,,,,Table_4.xls,0.0,cc-by,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
,figshare,"Linear regression analyses predicting Math Fluency raw scores with chronological age, Reading Fluency, visual spatial working memory, verbal working memory, IQ, symbolic scores and nonsymbolic scores as predictors.",https://plos.figshare.com/articles/dataset/_Linear_regression_analyses_predicting_Math_Fluency_raw_scores_with_chronological_age_Reading_Fluency_visual_spatial_working_memory_verbal_working_memory_IQ_symbolic_scores_and_nonsymbolic_scores_as_predictors_/737693,10.1371/journal.pone.0067918.t007,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Math Fluency</b>', '<b></b>', '<b></b>.1']",,,,,Table_7.xls,0.0,cc-by,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
