doi,flag,license,title,src,verdict,pii,shape,blocks,biggest_block,triage_flag,n_ids,n_items
10.7910/dvn/xpuru1,worth_retrying,CC BY 4.0,"Cognitive Dissonance, Political Participation, and Changes in Policy Preferences - Data fi",backlog_recovered_leads_2026-08-25.csv,thin,,1203x45,,0,human_assistance,1201,39
10.7910/dvn/kx1byc,worth_retrying,CC BY 4.0,Quantifying Cognitive Decline through Driving Behavior: The DRIVES Project's Multidimensio,backlog_recovered_leads_2026-08-25.csv,thin,,1658x25,,0,human_assistance,1619,17
10.7910/dvn/d7fvfl,worth_retrying,CC0 1.0,Data for: Family support buffers the post-intervention decline in physical activity and me,backlog_recovered_leads_2026-08-25.csv,thin,,2524x15,,0,human_assistance,2524,13
10.3389/fgwh.2022.996501.s001,worth_retrying,CC BY 4.0,Table1_Cross-continental collaboration for understanding postpartum major depression with ,backlog_recovered_leads_2026-08-25.csv,thin,,279x101,,0,human_assistance,223,62
10.3389/fphar.2021.731377.s003,worth_retrying,CC BY 4.0,"Table2_Integrating Network Pharmacology, Transcriptome and Artificial Intelligence for Inv",backlog_recovered_leads_2026-08-25.csv,thin,,1610x15,,0,human_assistance,1252,9
10.7910/dvn/25730,worth_retrying,CC0 1.0,Inflated Expectations: How government partisanship shapes bureaucrats' inflation expectati,backlog_recovered_leads_2026-08-25.csv,thin,,156x61,,0,human_assistance,156,51
10.1371/journal.pone.0227877,worth_retrying,CC BY 4.0,"An atlas of personality, emotion and behaviour",backlog_recovered_leads_2026-08-25.csv,thin,,1593x7,,0,human_assistance,1290,4
10.1371/journal.pone.0170891,worth_retrying,CC BY 4.0,Longitudinal changes in health related quality of life in children with migrant background,backlog_recovered_leads_2026-08-25.csv,thin,,700x11,,0,human_assistance,350,8
10.6084/m9.figshare.30400276.v1,worth_retrying,CC BY 4.0,"Ecological Momentary Assessment Data for Project Titled: ""Temporal associations between so",backlog_recovered_leads_2026-08-25.csv,thin,,1680x14,,0,human_assistance,1309,3
10.3389/fcvm.2023.1150432.s001,worth_retrying,CC BY 4.0,Table1_Mendelian randomization study reveals a causal relationship between coronary artery,backlog_recovered_leads_2026-08-25.csv,thin,,618x14,,0,human_assistance,580,8
10.60593/ur.d.31390701.v1,worth_retrying,CC BY 4.0,Social Cognitive Domain Differences in Adolescent Information Management,backlog_recovered_leads_2026-08-25.csv,thin,,214x27,,0,human_assistance,214,27
10.7910/dvn/mttfjr,worth_retrying,CC0 1.0,"European Panel Data: Quality of Life, Governance, Economy, Education, and Health (2012–201",backlog_recovered_leads_2026-08-25.csv,thin,,182x21,,0,human_assistance,160,19
10.7910/dvn/o4cx4d,worth_retrying,CC0 1.0,Replication Data For: Presidential Moral Rhetoric and the Public's Policy Mood,backlog_recovered_leads_2026-08-25.csv,thin,,196x16,,0,human_assistance,196,16
10.3389/fphar.2021.731377.s004,worth_retrying,CC BY 4.0,"Table3_Integrating Network Pharmacology, Transcriptome and Artificial Intelligence for Inv",backlog_recovered_leads_2026-08-25.csv,thin,,254x15,,0,human_assistance,202,10
10.6084/m9.figshare.30317692.v1,worth_retrying,CC BY 4.0,"Abeysekera, I. (2025). Cognitive Complexity, Judgement Flexibility, and Moral Reasoning in",backlog_recovered_leads_2026-08-25.csv,thin,,300x9,,0,human_assistance,300,9
10.1371/journal.pone.0337641.s004,worth_retrying,CC BY 4.0,Participant responses on HEMLEM questionnaire.,backlog_recovered_leads_2026-08-25.csv,thin,,633x17,,0,human_assistance,628,4
10.6084/m9.figshare.24948046.v1,worth_retrying,CC BY 4.0,Effects of task switching and emotional stimuli on memory selectivity,backlog_recovered_leads_2026-08-25.csv,thin,,152x11,,0,human_assistance,145,9
10.7910/dvn/yyjjhn,worth_retrying,CC0 1.0,"Mapping indicators of food security, human well-being, ecosystem services, and climate sol",backlog_recovered_leads_2026-08-25.csv,thin,,320x4,,0,human_assistance,320,4
10.6084/m9.figshare.32594169.v1,worth_retrying,CC BY 4.0,Raw data from study on cognitive mapping accuracy versus state and trait anxiety.,backlog_recovered_leads_2026-08-25.csv,thin,,142x15,,0,human_assistance,128,7
10.3389/fpsyg.2022.799769.s003,worth_retrying,CC BY 4.0,Table_3_The Depression Anxiety Stress Scale 8-Items Expresses Robust Psychometric Properti,backlog_recovered_leads_2026-08-25.csv,thin,,136x25,,0,human_assistance,114,5
10.7910/dvn/wsvnmm,worth_retrying,CC0 1.0,Replication Data for: You’re Making Us Look Bad: Can Partisan Embarrassment Dampen Partisa,backlog_recovered_leads_2026-08-25.csv,thin,,1000x14,,0,human_assistance,,
10.17632/hj5jknzww5,worth_retrying,CC BY 4.0,Stress and passion as predictors of athletic burnout,mendeley_leads_2026-08-25.csv,PII,IPAddress,345x75,,0,,,
10.6084/m9.figshare.29857874.v1,good,CC BY 4.0,Questionnaire Response (722 Respondent) - Doomscrolling and Information Overload on Genera,backlog_recovered_leads_2026-08-25.csv,PII,Respondent's Name (Real Name/Initial),722x48,,0,,,
10.6084/m9.figshare.28979105.v1,good,CC BY 4.0,1.2. Questionnaire Response (Underlying Data) - Doomscrolling and Information Overload on ,backlog_recovered_leads_2026-08-25.csv,PII,Respondent's Name (Real Name/Initial),202x48,,0,,,
10.7910/dvn/7cyiqg,worth_retrying,CC0 1.0,Replication Data for: How does parental early maladaptive schema affect children's social ,backlog_recovered_leads_2026-08-25.csv,PII,身份证号; 学生姓名; 你的身份证号; 你的姓名,201x267,,0,,,
10.7910/dvn/l6g8ul,worth_retrying,CC0 1.0,Supplemental Data—Negative online word-of-mouth and consumers’ product attitude: A nonline,backlog_recovered_leads_2026-08-25.csv,PII,IP,1107x49,,0,,,
10.6084/m9.figshare.27211839.v1,worth_retrying,CC BY 4.0,Assessing Online-Related Addiction in Chinese Primary School Students: An Item Response Th,backlog_recovered_leads_2026-08-25.csv,PII,birthdate,1108x27,,0,,,
10.7910/dvn/llppie,worth_retrying,CC0 1.0,"Finalised results of Knowledge, Attitude and Practices of PPR Kampung Limau on Dengue (Jul",backlog_recovered_leads_2026-08-25.csv,PII,HouseNumberUnitrumahsertatingkat; PhoneNumberNomborTelefon; FloorNumberUnitrumahsertatingkat; BlockNumberUnitrumahsertatingkat,355x116,,0,,,
10.15131/shef.data.29095214.v1,worth_retrying,cc-by,Participants scores on ADHD/ASD/Anxiety/Sensory processing questionnaires collected throug,backlog_recovered_leads_2026-08-25.csv,no_usable_file,,,,0,,,
10.3389/fevo.2022.892752.s002,worth_retrying,CC BY 4.0,Data_Sheet_2_Does Living in Human-Altered Environments Affect Life-History and Personality,backlog_recovered_leads_2026-08-25.csv,PII,birthdate,366x11,,0,,,
