"term","hits","relevant","with_suppl","new","journals","run_2026_09_20","run_2026_09_22"
"Difficulties in Emotion Regulation Scale","500","182","55","13","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","","yes"
"Illness Attitude Scales","500","141","54","13","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","","yes"
"Need for Cognition Scale","500","188","51","13","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","","yes"
"Perceived Organizational Support Scale","500","134","34","13","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"attachment style questionnaire","500","123","47","13","Behav Sci (Basel); Heliyon; Sci Rep","","yes"
"dual-task performance","500","104","31","13","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","","yes"
"marital satisfaction scale","500","164","65","13","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"mental rotation test","500","192","68","13","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"national assessment","500","131","40","13","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","","yes"
"sf-36 health survey","500","130","62","13","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"social desirability scale","500","174","46","13","BMC Public Health; Behav Sci (Basel); J Intell","","yes"
"Body Shape Questionnaire","500","137","42","12","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","","yes"
"Corsi block-tapping task","98","52","27","12","Heliyon; Sci Rep","","yes"
"Meaning in Life Questionnaire","500","170","57","12","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","","yes"
"Sensation Seeking Scale","500","114","56","12","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","","yes"
"acculturation scale","450","69","30","12","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","","yes"
"fatigue severity scale","500","110","64","12","BMC Public Health; J Intell; Sci Rep","","yes"
"health literacy questionnaire","500","180","82","12","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"personality questionnaire","500","238","73","12","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"religiosity scale","500","82","39","12","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","","yes"
"response resolution rating scale","500","82","34","12","Behav Sci (Basel); Sci Rep","","yes"
"Basic Psychological Need Satisfaction Scale","500","185","55","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"Compassion Scale","500","147","56","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"Fear of COVID-19 Scale","500","95","46","11","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep","","yes"
"Insomnia Severity Index","500","99","50","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"Kessler Psychological Distress Scale","500","98","48","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"Ruminative Response Scale","216","90","42","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"attentional bias task","500","141","44","11","Behav Sci (Basel); J Intell; Sci Rep","","yes"
"cognitive ability test","500","235","56","11","BMC Public Health; Behav Sci (Basel); J Intell","","yes"
"continuous performance task","500","120","31","11","Behav Sci (Basel); J Intell; Sci Rep","","yes"
"food neophobia scale","177","23","19","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"graphic rating scale","446","60","24","11","Behav Sci (Basel); Sci Rep","","yes"
"impulsivity scale","500","151","71","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"medication adherence scale","500","81","49","11","BMC Public Health; Sci Rep","","yes"
"resilience scale","500","151","42","11","BMC Public Health; Behav Sci (Basel); Heliyon; J Intell","","yes"
"rumination response scale","500","188","72","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"self-efficacy scale","500","206","51","11","BMC Public Health; Behav Sci (Basel); J Intell; J Open Psychol Data","","yes"
"sleep quality index","500","98","47","11","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"stop signal task","500","61","29","11","Sci Rep","","yes"
"student engagement scale","500","181","42","11","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","","yes"
"technology acceptance model questionnaire","500","132","42","11","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"Continuous-Performance-Test","500","114","30","10","Behav Sci (Basel); J Intell; Sci Rep","",""
"Job Satisfaction Survey","500","190","60","10","BMC Public Health; Behav Sci (Basel)","",""
"Trail Making Test","500","89","50","10","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","",""
"algebra assessment","495","68","30","10","Sci Rep","",""
"envy scale","207","45","18","10","Behav Sci (Basel); Heliyon; Sci Rep","",""
"intergroup contact scale","473","60","26","10","Sci Rep","",""
"national identity scale","500","99","35","10","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","",""
"number sense assessment","500","168","37","10","Appl Psychol Meas; BMC Public Health; Behav Sci (Basel); J Intell","",""
"reading comprehension test","500","197","62","10","BMC Public Health; Behav Sci (Basel); J Open Psychol Data; Sci Rep","",""
"rumination scale","500","201","73","10","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"spiritual wellbeing scale","387","88","34","10","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"sport confidence inventory","325","91","33","10","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Academic Motivation Scale","500","225","47","9","BMC Med Res Methodol; Behav Sci (Basel); J Intell","",""
"Copenhagen Burnout Inventory","103","38","17","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Emotion Regulation Questionnaire","500","198","46","9","Behav Sci (Basel); J Intell; Sci Rep","",""
"Experiences in Close Relationships Scale","500","156","49","9","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","",""
"Five Facet Mindfulness Questionnaire","155","55","31","9","Sci Rep","",""
"Flourishing Scale","500","128","47","9","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","",""
"Social Value Orientation Scale","500","136","39","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"State-Trait Anger Expression Inventory","167","53","21","9","Sci Rep","",""
"Trait Emotional Intelligence Questionnaire","500","253","69","9","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","",""
"curiosity scale","500","156","56","9","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","",""
"financial literacy test","500","116","52","9","BMC Public Health; Behav Sci (Basel)","",""
"grammar test","500","90","36","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"gratitude scale","500","101","37","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"health belief model questionnaire","500","104","46","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"loneliness scale","500","152","51","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"n-back task","500","134","53","9","Behav Sci (Basel); Sci Rep","",""
"parenting stress index","500","132","50","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"prejudice scale","500","84","38","9","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"stereotype content questionnaire","251","48","22","9","Behav Sci (Basel); Heliyon; Sci Rep","",""
"Brief COPE","500","134","46","8","BMC Public Health; Behav Sci (Basel); Heliyon","",""
"Cognitive Emotion Regulation Questionnaire","500","205","56","8","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","",""
"Coping Self-Efficacy Scale","500","198","49","8","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Dysfunctional Attitudes Scale","398","108","35","8","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Eating Disorder Examination Questionnaire","500","93","48","8","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Gratitude Questionnaire","500","105","46","8","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Symptom Checklist-90","500","77","44","8","BMC Public Health; Sci Rep","",""
"Tower of London Task","215","39","22","8","Behav Sci (Basel); Heliyon; Sci Rep","",""
"aphasia battery","117","32","15","8","Sci Rep","",""
"gaming disorder scale","500","112","40","8","BMC Public Health; Heliyon; Sci Rep","",""
"language proficiency test","500","188","54","8","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","",""
"mindfulness scale","500","192","65","8","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"reading span task","500","162","61","8","Behav Sci (Basel); Heliyon; J Intell; Sci Rep","",""
"temperament questionnaire infant","130","27","18","8","Sci Rep","",""
"vaccine hesitancy scale","500","42","25","8","BMC Public Health; Heliyon; PeerJ; Sci Rep","",""
"visual search task","500","75","35","8","Behav Sci (Basel); J Intell; Sci Rep","",""
"Cognitive Reflection Test","500","181","44","7","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","",""
"Psychological Capital Questionnaire","500","125","40","7","BMC Public Health; Sci Rep","",""
"Rejection Sensitivity Questionnaire","500","129","47","7","Behav Sci (Basel); Sci Rep","",""
"Social Provisions Scale","500","65","20","7","BMC Public Health; Heliyon; Sci Rep","",""
"Utrecht Work Engagement Scale","264","60","22","7","BMC Public Health; Behav Sci (Basel)","",""
"bullying victimization questionnaire","367","66","22","7","BMC Public Health; Heliyon; Sci Rep","",""
"covid anxiety scale","500","137","64","7","BMC Public Health; Behav Sci (Basel)","",""
"critical thinking test","500","171","47","7","BMC Public Health; Behav Sci (Basel); J Intell; J Open Psychol Data","",""
"cyberbullying scale","408","110","30","7","BMC Public Health; Heliyon; Sci Rep","",""
"death anxiety scale","500","115","59","7","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"delay discounting questionnaire","147","28","13","7","Sci Rep","",""
"digital literacy scale","500","185","56","7","BMC Public Health; Behav Sci (Basel); J Intell","",""
"dot-probe task","500","84","46","7","Sci Rep","",""
"force concept inventory","489","76","24","7","BMC Public Health; Sci Rep","",""
"kindergarten assessment","500","104","31","7","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"locus of control scale","500","60","24","7","Behav Sci (Basel); Sci Rep","",""
"motor skills assessment","500","107","38","7","Behav Sci (Basel); J Intell; Sci Rep","",""
"numeric rating scale","500","49","24","7","Behav Sci (Basel); Sci Rep","",""
"optimism scale","500","162","50","7","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"parenting style questionnaire","500","125","41","7","BMC Public Health; Heliyon; Sci Rep","",""
"school belonging scale","500","140","42","7","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Alcohol Use Disorders Identification Test","500","65","39","6","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Cyberbullying Victimization Scale","185","51","16","6","BMC Public Health; Heliyon; Sci Rep","",""
"Fear of Missing Out Scale","500","137","54","6","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Liebowitz Social Anxiety Scale","58","30","22","6","Behav Sci (Basel); Sci Rep","",""
"Short Health Anxiety Inventory","500","207","102","6","BMC Public Health; Behav Sci (Basel); Heliyon; J Intell","",""
"body image questionnaire","500","113","40","6","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"classroom climate questionnaire","500","141","41","6","BMC Public Health; Heliyon","",""
"climate change belief scale","500","83","34","6","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","",""
"developmental screening questionnaire","500","127","43","6","Behav Sci (Basel); Sci Rep","",""
"line marking task","500","51","16","6","Behav Sci (Basel); Sci Rep","",""
"mobile-based continuous assessment","500","58","21","6","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Impact of Event Scale","500","73","24","5","Behav Sci (Basel); Sci Rep","",""
"Implicit Association Test","500","98","29","5","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Internet Addiction Test","500","136","36","5","BMC Public Health; Heliyon; Sci Rep","",""
"Multi-Source Interference Task","500","43","13","5","Behav Sci (Basel); J Intell; Sci Rep","",""
"Multidimensional Assessment of Interoceptive Awareness","95","20","12","5","Sci Rep","",""
"Operation Span Task","500","58","15","5","Behav Sci (Basel); Sci Rep","",""
"Pain Catastrophizing Scale","309","51","25","5","Heliyon; Sci Rep","",""
"Snaith-Hamilton Pleasure Scale","34","13","11","5","BMC Public Health; PeerJ; Sci Rep","",""
"Social Connectedness Scale","500","153","65","5","BMC Public Health; Behav Sci (Basel)","",""
"Social Phobia Inventory","251","99","55","5","Sci Rep","",""
"Three-Factor Eating Questionnaire","500","102","52","5","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"academic achievement test","500","248","58","5","BMC Public Health; Behav Sci (Basel)","",""
"alexithymia scale","299","83","37","5","BMC Public Health; Heliyon; J Intell; Sci Rep","",""
"environmental attitudes scale","500","113","27","5","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"exercise motivation scale","500","126","42","5","BMC Public Health; Behav Sci (Basel)","",""
"fraction knowledge assessment","500","23","9","5","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"grit scale","500","72","22","5","Sci Rep","",""
"scientific reasoning test","500","98","30","5","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","",""
"smartphone addiction scale","500","138","39","5","BMC Public Health; Heliyon; Sci Rep","",""
"task-switching","500","129","44","5","Behav Sci (Basel); Sci Rep","",""
"teacher self-efficacy scale","500","184","44","5","BMC Public Health; Behav Sci (Basel)","",""
"thermometer scale","500","15","8","5","BMC Public Health; Sci Rep","",""
"transformational leadership questionnaire","311","56","15","5","BMC Public Health; Behav Sci (Basel); Heliyon","",""
"Balloon Analogue Risk Task","67","14","8","4","Sci Rep","",""
"Barratt Impulsiveness Scale","186","37","17","4","Sci Rep","",""
"Eating Attitudes Test","500","89","46","4","BMC Public Health; Behav Sci (Basel)","",""
"Empathy Quotient","204","57","20","4","Sci Rep","",""
"Fear of Negative Evaluation Scale","500","171","46","4","Behav Sci (Basel); J Intell; Sci Rep","",""
"HEXACO Personality Inventory","67","35","19","4","Heliyon; Sci Rep","",""
"Iowa Gambling Task","123","27","9","4","Sci Rep","",""
"Multidimensional Anxiety Scale for Children","500","151","57","4","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Right-Wing Authoritarianism Scale","54","12","8","4","Heliyon; Sci Rep","",""
"Sport Anxiety Scale","500","167","53","4","Behav Sci (Basel); Sci Rep","",""
"Toronto Empathy Questionnaire","84","23","15","4","Behav Sci (Basel); Sci Rep","",""
"aggression scale","500","115","39","4","BMC Public Health; Sci Rep","",""
"authoritarianism scale","129","32","16","4","Heliyon; Sci Rep","",""
"computational thinking test","500","99","24","4","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"customer satisfaction questionnaire","500","60","16","4","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"empathy scale","500","155","36","4","Behav Sci (Basel); Sci Rep","",""
"implicit association test data","500","95","29","4","Behav Sci (Basel); Sci Rep","",""
"job insecurity scale","500","103","42","4","BMC Public Health","",""
"mathematics test","500","137","42","4","BMC Public Health; Behav Sci (Basel); J Intell; J Open Psychol Data","",""
"organizational commitment questionnaire","500","105","34","4","BMC Public Health; Behav Sci (Basel); Heliyon","",""
"preschool assessment","500","83","22","4","Behav Sci (Basel); Sci Rep","",""
"psychopathy scale","279","120","50","4","Sci Rep","",""
"regulatory focus questionnaire","500","136","33","4","BMC Public Health; Behav Sci (Basel)","",""
"trust in government scale","500","47","19","4","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel)","",""
"Adverse Childhood Experiences Questionnaire","500","113","47","3","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Columbia Suicide Severity Rating Scale","97","26","12","3","BMC Public Health; Sci Rep","",""
"Conflict Tactics Scale","500","61","16","3","Heliyon; Sci Rep","",""
"De Jong Gierveld Loneliness Scale","97","22","10","3","BMC Public Health; Sci Rep","",""
"Interpersonal Support Evaluation List","500","92","35","3","BMC Public Health; Heliyon; Sci Rep","",""
"Need for Closure Scale","500","35","13","3","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Parental Bonding Instrument","205","38","16","3","Sci Rep","",""
"Penn State Worry Questionnaire","59","23","17","3","Sci Rep","",""
"Physical Activity Enjoyment Scale","500","132","51","3","Behav Sci (Basel); Sci Rep","",""
"Problem Gambling Severity Index","143","22","8","3","BMC Public Health; Sci Rep","",""
"Short Dark Triad","351","63","29","3","Sci Rep","",""
"System Justification Scale","500","65","20","3","Behav Sci (Basel); Sci Rep","",""
"UPPS Impulsive Behavior Scale","78","16","10","3","Behav Sci (Basel); Sci Rep","",""
"biology concept inventory","301","36","14","3","Behav Sci (Basel); Sci Rep","",""
"conners rating scale","107","13","7","3","BMC Public Health; Sci Rep","",""
"creativity scale","500","156","37","3","BMC Public Health; Behav Sci (Basel)","",""
"genetics concept assessment","500","36","24","3","BMC Public Health; Sci Rep","",""
"global-local task","500","41","9","3","Behav Sci (Basel)","",""
"metacognitive awareness inventory","130","56","19","3","Sci Rep","",""
"spelling assessment","500","90","35","3","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"symptom checklist","500","83","47","3","BMC Public Health; Behav Sci (Basel); Sci Rep","",""
"Body Appreciation Scale","500","81","29","2","BMC Public Health; Sci Rep","",""
"Buss-Perry Aggression Questionnaire","71","15","3","2","Behav Sci (Basel); Heliyon","",""
"Cognitive Failures Questionnaire","500","149","47","2","Sci Rep","",""
"Oxford Happiness Questionnaire","73","19","6","2","Sci Rep","",""
"Prisoner's Dilemma Game","171","20","4","2","Sci Rep","",""
"Toronto Alexithymia Scale","151","44","21","2","J Intell; Sci Rep","",""
"brand loyalty scale","471","51","11","2","Behav Sci (Basel); Heliyon","",""
"forgiveness scale","220","52","18","2","Heliyon; Sci Rep","",""
"geometry test","500","17","6","2","Behav Sci (Basel); Sci Rep","",""
"political efficacy scale","500","78","24","2","BMC Public Health; Behav Sci (Basel)","",""
"pro-environmental behavior scale","500","51","21","2","BMC Public Health; Sci Rep","",""
"Child Behavior Checklist","500","54","23","1","Behav Sci (Basel)","",""
"Moral Foundations Questionnaire","223","43","15","1","Heliyon","",""
"Navon task","47","11","4","1","Sci Rep","",""
"Need to Belong Scale","500","87","29","1","Behav Sci (Basel)","",""
"Posner cueing task","57","10","5","1","Sci Rep","",""
"Schutte Self-Report Emotional Intelligence Test","40","33","9","1","Heliyon","",""
"athlete burnout questionnaire","65","26","13","1","Sci Rep","",""
"career adaptability scale","500","133","31","1","Behav Sci (Basel)","",""
"chemistry concept inventory","158","18","6","1","Sci Rep","",""
"listening test toefl","25","14","3","1","J Intell","",""
"phonological awareness test","291","108","41","1","Behav Sci (Basel)","",""
"physics concept inventory","154","23","11","1","Sci Rep","",""
"self-regulated learning questionnaire","500","156","42","1","Sci Rep","",""
"Hewitt Multidimensional Perfectionism Scale","20","8","3","0","","",""
"Katastrophisieren von Schmerz","0","0","0","0","","",""
"Machiavellianism Scale","150","86","32","0","","",""
"Multigroup Ethnic Identity Measure","30","4","2","0","","",""
"Padua Inventory","54","13","5","0","","",""
"Raven's Progressieve Matrijzen","0","0","0","0","","",""
"Raven-Matrizen-Test","3","2","1","0","","",""
"Rotter Locus of Control Scale","32","12","2","0","","",""
"Schweregrad der Insomnie","0","0","0","0","","",""
"Test d'association implicite","0","0","0","0","","",""
"Vertrauen in die Regierung","0","0","0","0","","",""
"Whiteley Index","41","5","1","0","","",""
"cognitieve test","2","1","0","0","","",""
"entrepreneurial intention questionnaire","129","26","7","0","","",""
"kognitiver Test","3","3","1","0","","",""
"narcissism scale","267","115","37","0","","",""
"nomophobia questionnaire","49","11","5","0","","",""
"servant leadership scale","128","20","3","0","","",""
"test cognitif","2","0","0","0","","",""
"workplace incivility scale","74","20","3","0","","",""
