source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,irw_file,n_other_files
figshare,Evaluating Cognitive Behavioural Therapy Outcomes for Depression and Anxiety:Adapting the Improving Access to Psychological Therapies Model for Japan,https://figshare.com/articles/dataset/Evaluating_Cognitive_Behavioural_Therapy_Outcomes_for_Depression_and_Anxiety_Adapting_the_Improving_Access_to_Psychological_Therapies_Model_for_Japan/28706669,10.6084/m9.figshare.28706669.v1,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,2892,241,12,1.0,Evaluating Cognitive Behavioural Therapy Outcomes for Depression and Anxiety.xlsx,irw_output/good/figshare__10.6084_m9.figshare.28706669.v1.csv,0.0
dataverse,The study on the relationship between mobile phone addiction and social anxiety in college students：The moderating effects of student club participation,https://doi.org/10.7910/DVN/WEY2CA,10.7910/dvn/wey2ca,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,11984,214,56,1.0,MobilePhobeAddiction-ENG20250123.xlsx,irw_output/good/dataverse__10.7910_dvn_wey2ca.csv,0.0
dataverse,"Replication data for ""Effectiveness of therapeutic massage for the reduction of pre-exam anxiety in nursing students""",https://doi.org/10.7910/DVN/5FZO3F,10.7910/dvn/5fzo3f,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,11481,129,89,1.0,Dataset relaxing tecniche.xlsx,irw_output/good/dataverse__10.7910_dvn_5fzo3f.csv,0.0
dataverse,"The Association of Smartphone Addiction with Depression and Anxiety among the Public Housing Community in Cheras, Malaysia",https://doi.org/10.7910/DVN/DBTXRK,10.7910/dvn/dbtxrk,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,4350,145,30,1.0,GRP 1 RESEARCH DATA FINAL.xlsx,irw_output/good/dataverse__10.7910_dvn_dbtxrk.csv,0.0
dataverse,Replication Data for: Border Anxiety in International Discourse,https://doi.org/10.7910/DVN/HDESR3,10.7910/dvn/hdesr3,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,21508,5377,4,1.0,keyword_filtered_tiles.csv,irw_output/good/dataverse__10.7910_dvn_hdesr3.csv,6.0
dataverse,"Depression, anxiety and stress among the medical graduates in Bangladesh: An online-based cross- sectional survey",https://doi.org/10.7910/DVN/NZ7VFL,10.7910/dvn/nz7vfl,good,"Confident mapping, all checks clean.",4389,209,21,1.0,DASS_21_Data_file_Samia_Orthi.xlsx,irw_output/good/dataverse__10.7910_dvn_nz7vfl.csv,0.0
dataverse,Improvement of anti-depressant effect of Catalpol with NF-kb inhibitor in a rat model of depression,https://doi.org/10.7910/DVN/OEIKZG,10.7910/dvn/oeikzg,good,"Confident mapping, all checks clean.",22,11,2,1.0,Original dataset of Figures 1-5.xls,irw_output/good/dataverse__10.7910_dvn_oeikzg.csv,0.0
dataverse,Depression & Concussion-Like Symptoms in Adolescent Athletes in the Absence of Recent Injury,https://doi.org/10.7910/DVN/5YF5XJ,10.7910/dvn/5yf5xj,good,"Confident mapping, all checks clean.",11005,155,71,1.0,Normative Athlete Data - PCSS & MFQ.xlsx,irw_output/good/dataverse__10.7910_dvn_5yf5xj.csv,0.0
dataverse,Psychometric evaluation of Neurotology patients,https://doi.org/10.7910/DVN/WRCDSS,10.7910/dvn/wrcdss,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,15024,2505,6,0.9996,Neurotology questionnaire.xlsx,irw_output/good/dataverse__10.7910_dvn_wrcdss.csv,0.0
dataverse,Replication Data for: Coronavirus Perceptions and Economic Anxiety,https://doi.org/10.7910/DVN/NGHYPI,10.7910/dvn/nghypi,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,42237,1006,42,0.9996,finalcluster.csv,irw_output/good/dataverse__10.7910_dvn_nghypi.csv,1.0
dataverse,"The Correlation between Nutrients Supplementation, Dietary Factors and the Depression in the First Trimester of Pregnancy",https://doi.org/10.7910/DVN/ZX2VB7,10.7910/dvn/zx2vb7,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,32296,404,80,0.9993,early pregnancy and depression data.xlsx,irw_output/good/dataverse__10.7910_dvn_zx2vb7.csv,0.0
dataverse,"Duraj Anna & Trusz Sławomir. Expectancies of Significant Others, Students’ Mathematics Anxiety, and Their Mathematics Achievement: A Longitudinal Study - Dataset",https://doi.org/10.7910/DVN/XOPDQ5,10.7910/dvn/xopdq5,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,62281,524,119,0.9988,Expectancies_Anxiety_LongitudinalSt_N524.xlsx,irw_output/good/dataverse__10.7910_dvn_xopdq5.csv,0.0
dataverse,"The database used in the paper Trusz, S., & Demeshkant, N. 2025. Teachers’ Technological, Pedagogical, and Content Knowledge related to Artificial Intelligence as a Protective Factor Against Technostress and Techno-anxiety",https://doi.org/10.7910/DVN/GTJZQA,10.7910/dvn/gtjzqa,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,25923,419,62,0.9979,"Trusz & Demeshkant2025_Techno-anxiety, Technostress & AI-TPACK_Data_160425-2.xlsx",irw_output/good/dataverse__10.7910_dvn_gtjzqa.csv,0.0
dataverse,Replication data for Running Away with Imagination: More Frequent Imagination is Linked with Increased Anxiety During COVID-19 Pandemic in Socially Isolated People,https://doi.org/10.7910/DVN/ALRI5W,10.7910/dvn/alri5w,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,1397,100,14,0.9979,Zabelina et al.-2020-Running away with imagination study 1.xlsx,irw_output/good/dataverse__10.7910_dvn_alri5w.csv,0.0
figshare,"Table 1_Safety and preliminary efficacy of Aurora: a pilot, non-randomized clinical trial of a culturally adapted digital cognitive behavioral therapy intervention for anxiety and depression in Mexico.xlsx",https://frontiersin.figshare.com/articles/dataset/Table_1_Safety_and_preliminary_efficacy_of_Aurora_a_pilot_non-randomized_clinical_trial_of_a_culturally_adapted_digital_cognitive_behavioral_therapy_intervention_for_anxiety_and_depression_in_Mexico_xlsx/32111098,10.3389/fpsyt.2026.1824079.s001,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,7326,34,216,0.9975,"Table 1_Safety and preliminary efficacy of Aurora: a pilot, non-randomized clinical trial of a culturally adapted digital cognitive behavioral therapy.xlsx",irw_output/good/figshare__10.3389_fpsyt.2026.1824079.s001.csv,0.0
dataverse,Quantifying Risk for Anxiety Disorders in Preschool Children:  A Machine Learning Approach,https://doi.org/10.7910/DVN/N42LWG,10.7910/dvn/n42lwg,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,7655,307,25,0.9974,Testing Data.xlsx,irw_output/good/dataverse__10.7910_dvn_n42lwg.csv,1.0
dataverse,"Replication Data for: When Do Renters Behave Like Homeowners? High Rent, Price Anxiety, and NIMBYism",https://doi.org/10.7910/DVN/CRPAA8,10.7910/dvn/crpaa8,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,477860,30190,16,0.9893,conjointDataAPSR.csv,irw_output/good/dataverse__10.7910_dvn_crpaa8.csv,5.0
figshare,Longitudinal associations between disgust sensitivity and state anxiety across all three trimesters of pregnancy,https://figshare.com/articles/dataset/Longitudinal_associations_between_disgust_sensitivity_and_state_anxiety_across_all_three_trimesters_of_pregnancy/25039721,10.6084/m9.figshare.25039721.v1,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,52867,261,210,0.9646,Disgust and Anxiety in pregnancy.xlsx,irw_output/good/figshare__10.6084_m9.figshare.25039721.v1.csv,0.0
figshare,Sleep Patterns and Cognitive Assessment Data from the China Health and Retirement Longitudinal Study (CHARLS): 2011-2020,https://figshare.com/articles/dataset/Sleep_Patterns_and_Cognitive_Assessment_Data_from_the_China_Health_and_Retirement_Longitudinal_Study_CHARLS_2011-2020/32204007,10.6084/m9.figshare.32204007.v1,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,613508,6403,102,0.9394,data_45.csv,irw_output/good/figshare__10.6084_m9.figshare.32204007.v1.csv,1.0
dataverse,Factors related to the Depression of Regular and Shift Women Workers : Using the Korea National Health and Nutrition Examination Survey (KNHANES) 2018,https://doi.org/10.7910/DVN/FVEQHE,10.7910/dvn/fveqhe,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,4364716,7992,584,0.9352,KNHANES 2018_Depression_shift work (2018).xlsx,irw_output/good/dataverse__10.7910_dvn_fveqhe.csv,0.0
dataverse,"From ""Black Box"" to Trusted Partner: The Role of Explainability and User Control in Digital Interventions for Postpartum Depression",https://doi.org/10.7910/DVN/WRETZM,10.7910/dvn/wretzm,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: id_na, resp_ordinal*",2253,152,16,0.9264,dates.xlsx,irw_output/good/dataverse__10.7910_dvn_wretzm.csv,0.0
figshare,<p>Construct validity results (n = 1055).</p>,https://plos.figshare.com/articles/dataset/_p_Construct_validity_results_n_1055_p_/32570040,10.1371/journal.pone.0349504.t005,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Component and category</b>', 'Unnamed: 1', 'Unnamed: 2', '<b>Factor loading coefficient</b>', 'Unnamed: 4', '<b>Common factor variance</b>']",,,,,Table 5.xls,,0.0
dataverse,Bachpan Study of Maternal Depression and Child Development: Data from the First Three Years,https://doi.org/10.7910/DVN/IJE2PC,10.7910/dvn/ije2pc,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['\xa0', 'Variable Name', 'Variable Label', 'Response Category', 'Value Label Format', 'Notes', 'Generated variable', 'Baseline/Screening', '3 mo', '6 mo', '12 mo', '24 mo', '36 mo']",,,,,Bachpan Data Dictionary Sharing.xlsx,,0.0
figshare,<p>Association with anxiety.</p>,https://plos.figshare.com/articles/dataset/_p_Association_with_anxiety_p_/32027585,10.1371/journal.pmen.0000523.t006,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Variable</b>', 'Unnamed: 1', '<b>Crude OR (95% CI)</b>', '<b><i>p</i>-value</b>', '<b>Adjusted OR (95% CI)</b>', '<b><i>p</i>-value</b>.1']",,,,,Table 6.xls,,0.0
figshare,<p>Association with depression.</p>,https://plos.figshare.com/articles/dataset/_p_Association_with_depression_p_/32027582,10.1371/journal.pmen.0000523.t005,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Variable</b>', 'Unnamed: 1', '<b>Crude OR (95% CI)</b>', '<b><i>p</i>-value</b>', '<b>Adjusted OR (95% CI)</b>', '<b><i>p</i>-value</b>.1']",,,,,Table 5.xls,,0.0
figshare,<p>Depression characteristics and clinical outcomes by CSD status (N = 274).</p>,https://plos.figshare.com/articles/dataset/_p_Depression_characteristics_and_clinical_outcomes_by_CSD_status_N_274_p_/31905935,10.1371/journal.pgph.0005969.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Characteristic</b>', '<b>No CSD (N\u2009=\u2009225)</b>', '<b>CSD (N\u2009=\u200949)</b>', '<b>p-value</b>']",,,,,Table 2.xls,,0.0
figshare,<p>Model fit index of confirmatory factor analysis.</p>,https://plos.figshare.com/articles/dataset/_p_Model_fit_index_of_confirmatory_factor_analysis_p_/31823793,10.1371/journal.pone.0345505.t005,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Goodness-of-fit indices</b>', '<b>Model Value</b>', '<b>Recommended Value</b>']",,,,,Table 5.xls,,0.0
figshare,"<p>Empathy and clinical scores of the three groups: without alexithymia (NA), and with affective (AA) and cognitive alexithymia (CA). IRI = Interpersonal Reactivity Index, IRI sub-scales: IRI-FS = Fantasy, IRI-PD = Personal Distress, IRI-PT = Perspective Taking, and IRI-EC = Empathic Concern; SP = Social Phobia; STAI = State-Trait Anxiety Inventory; BDI-II = Beck Depression Inventory-II, SD = standard deviation. Values in the same row not sharing the same index differ significantly at p < .05 in the bilateral equality test for column means. The tests are adjusted for all pairwise comparisons within a row using Bonferroni correction.</p>",https://plos.figshare.com/articles/dataset/_p_Empathy_and_clinical_scores_of_the_three_groups_without_alexithymia_NA_and_with_affective_AA_and_cognitive_alexithymia_CA_IRI_Interpersonal_Reactivity_Index_IRI_sub-scales_IRI-FS_Fantasy_IRI-PD_Personal_Distress_IRI-PT_Perspective_Taking/31823313,10.1371/journal.pone.0341921.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>NA<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>N&#8201;=&#8201;16<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>mean (SD",,,,,Table 1.xls,,0.0
figshare,"<p>Descriptive statistics for anxiety and depression of study participants (N = 172), according to the Hospital Anxiety Depression Scale (HADS).</p>",https://plos.figshare.com/articles/dataset/_p_Descriptive_statistics_for_anxiety_and_depression_of_study_participants_N_172_according_to_the_Hospital_Anxiety_Depression_Scale_HADS_p_/31335292,10.1371/journal.pone.0342492.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b><i>Variables</i></b>', '<b>Mean\u2009±\u2009SD (Range), Min-Max</b>', 'Unnamed: 2', '<b></b>']",,,,,Table 1.xls,,0.0
figshare,"<p>Baseline demographic, clinical, psychosocial, and quality of life characteristics of participants (N = 309).</p>",https://plos.figshare.com/articles/dataset/_p_Baseline_demographic_clinical_psychosocial_and_quality_of_life_characteristics_of_participants_N_309_p_/31107561,10.1371/journal.pone.0341221.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Demographics</b>', 'Unnamed: 1']",,,,,Table 1.xls,,0.0
figshare,"Based on endometrial sampling results; Comparison of changes in bleeding pattern, treatment continuation rate, and Beck depression inventory after LNG-IUD insertion.",https://plos.figshare.com/articles/dataset/Based_on_endometrial_sampling_results_Comparison_of_changes_in_bleeding_pattern_treatment_continuation_rate_and_Beck_depression_inventory_after_LNG-IUD_insertion_/30863590,10.1371/journal.pone.0338480.t003,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Endometrial Sampling Result</b>', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7']",,,,,Table 3.xls,,0.0
figshare,"Changes in SF-36, MMAS questionnaires and Beck Depression Inventory after LNG-IUD insertion.",https://plos.figshare.com/articles/dataset/Changes_in_SF-36_MMAS_questionnaires_and_Beck_Depression_Inventory_after_LNG-IUD_insertion_/30863587,10.1371/journal.pone.0338480.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b></b>.1', '<b>Pre - LNG-IUD<sup>&#8224;</sup></b>', 'Unnamed: 3', 'Unnamed: 4', '<b>Post - LNG-IUD</b>', 'Unnamed: 6', 'Unnamed: 7', '<b></b>.2', '<b></b>.3']",,,,,Table 2.xls,,0.0
figshare,Table 1_Neuro-functional correlates of personality dimensions in Parkinson’s disease.xlsx,https://frontiersin.figshare.com/articles/dataset/Table_1_Neuro-functional_correlates_of_personality_dimensions_in_Parkinson_s_disease_xlsx/30562895,10.3389/fphar.2025.1705937.s001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Supplementary Table S1. Correlations between clusters of connectivity and clinical variables', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4']",,,,,Table 1_Neuro-functional correlates of personality dimensions in Parkinson’s disease.xlsx,,0.0
figshare,"The participants’ average scores of cyclic mastalgia, body image, depression, and trait anxiety (n = 335).",https://plos.figshare.com/articles/dataset/The_participants_average_scores_of_cyclic_mastalgia_body_image_depression_and_trait_anxiety_n_335_/30357003,10.1371/journal.pone.0330468.t006,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Variables</b>', '<b>Mean ± SD/ N (%)</b>', 'Unnamed: 2']",,,,,Table 6.xls,,0.0
figshare,MBI characteristics.,https://plos.figshare.com/articles/dataset/MBI_characteristics_/30348097,10.1371/journal.pone.0333386.t005,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Gender</b>', '<b>MBI</b>', '<b>n (%)</b>']",,,,,Table 5.xls,,0.0
figshare,Summarises the participants’ HADS-D scores.,https://plos.figshare.com/articles/dataset/Summarises_the_participants_HADS-D_scores_/30348094,10.1371/journal.pone.0333386.t004,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Gender mean (SD)</b>', '<b>HADS-D</b>', '<b>Total<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>N (%)</b>']",,,,,Table 4.xls,,0.0
figshare,Distribution of participants’ HADS-A scores.,https://plos.figshare.com/articles/dataset/Distribution_of_participants_HADS-A_scores_/30348091,10.1371/journal.pone.0333386.t003,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Gender mean (SD)</b>', '<b>HADS-A</b>', '<b>Total<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>N (%)</b>']",,,,,Table 3.xls,,0.0
figshare,"Participants’ EQ5D5L, HADS, RLOC, and MBI scores.",https://plos.figshare.com/articles/dataset/Participants_EQ5D5L_HADS_RLOC_and_MBI_scores_/30348088,10.1371/journal.pone.0333386.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Variable</b>', '<b>Mean (SD) Score</b>']",,,,,Table 2.xls,,0.0
figshare,"Depression, IPV and service satisfaction.",https://plos.figshare.com/articles/dataset/Depression_IPV_and_service_satisfaction_/30248122,10.1371/journal.pgph.0005204.t003,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Variable</b>', '<b>Total</b>', ""<b>Resident<a target='_blank' href='/article/info:doi/10.1371/journal.pgph.0005204#t003fn001'><sup>1</sup></a></b>"", '<b>Displaced</b>', '<b><break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://ww",,,,,Table 3.xls,,0.0
figshare,Evaluation of self-esteem as a moderator of predictor-mediator and predictor-criterion associations.,https://plos.figshare.com/articles/dataset/Evaluation_of_self-esteem_as_a_moderator_of_predictor-mediator_and_predictor-criterion_associations_/30160456,10.1371/journal.pmen.0000283.t004,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b></b>.1', '<b>White Sample</b>', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', '<b></b>.2', '<b>South Asian Sample</b>', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12']",,,,,Table 4.xls,,0.0
figshare,Comparison of HRV and STAI between intervention and control at Pre-CRI:SIS and Post-CRI-SIS shifts from linear mixed model for repeated measures.,https://plos.figshare.com/articles/dataset/Comparison_of_HRV_and_STAI_between_intervention_and_control_at_Pre-CRI_SIS_and_Post-CRI-SIS_shifts_from_linear_mixed_model_for_repeated_measures_/30044797,10.1371/journal.pone.0331488.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Heart Rate Variability (HRV)</b>', 'Unnamed: 1', '<b></b>', '<b></b>.1', '<b>95% CI</b>', '<b></b>.2', '<b></b>.3']",,,,,Table 2.xls,,0.0
figshare,"Characterisation of burnout in participants on D0. A. Psychopathological parameters of burnout. Results are expressed as mean ± SEM. Results with p < 0.10 for analysis of variance are highlighted in bold. B. Factorial analysis of studied variables on day 0. Factorial weights are displayed. Factorial weights with absolute value higher than 0.50 are in bold. C. Pearson correlation data between D0 BMS scores and the factorial analysis’s factors and variables. r<sup>2</sup> higher or equal to 0.10 are in bold. BMS, Burnout Measure, Short Version; D, day; Flexcop, coping flexibility; FMI, Freiburg Mindfulness Inventory; HADS, Hospital Anxiety and Depression Scale; PCL-5, Post-Traumatic Stress Disorder Checklist for DSM-5; PSS, Perceived Stress Scale.",https://plos.figshare.com/articles/dataset/Characterisation_of_burnout_in_participants_on_D0_A_Psychopathological_parameters_of_burnout_Results_are_expressed_as_mean_SEM_Results_with_p_0_10_for_analysis_of_variance_are_highlighted_in_bold_B_Factorial_analysis_of_studied_variables_on/29962310,10.1371/journal.pone.0328064.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>A.</b>', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3']",,,,,Table 1.xls,,0.0
figshare,"Selected variables and their associations with a moderate to severe level of anxiety, as measured by the GAD-7. São Paulo, 2021.",https://plos.figshare.com/articles/dataset/Selected_variables_and_their_associations_with_a_moderate_to_severe_level_of_anxiety_as_measured_by_the_GAD-7_S_o_Paulo_2021_/29934369,10.1371/journal.pmen.0000380.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Selected variables</b>', '<b>n (%)</b>', '<b>Moderate to severe level of anxiety (GAD-7)</b>', 'Unnamed: 3', '<b>OR [95%CI]</b>', '<b>p-value</b>', '<b>Binary Logistic Models</b>', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9']",,,,,Table 2.xls,,0.0
