"term","hits","relevant","with_suppl","new","journals","run_2026_09_25"
"discrimination","500","135","58","12","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep",""
"religiosity","500","94","49","12","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"rumination","500","220","80","12","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"grief","500","116","38","11","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"health behavior","500","142","44","11","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ",""
"health behaviour","500","87","42","11","BMC Public Health; Sci Rep",""
"critical thinking","500","196","50","11","Behav Sci (Basel); Heliyon; J Intell; PeerJ",""
"attentional control","500","184","53","11","Behav Sci (Basel); Sci Rep",""
"nicotine dependence","500","68","34","11","BMC Med Res Methodol; Heliyon; Sci Rep",""
"impulsivity","500","170","73","10","BMC Public Health; Heliyon; Sci Rep",""
"self-compassion","500","177","62","10","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep",""
"stress resilience","500","150","46","10","Sci Rep",""
"job satisfaction","500","232","64","10","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"transformational leadership","478","109","30","10","Behav Sci (Basel); Heliyon; Sci Rep",""
"smartphone addiction","500","160","46","10","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ",""
"fluid intelligence","500","163","57","10","Sci Rep",""
"sustained attention","500","178","41","10","Behav Sci (Basel); PeerJ; Sci Rep",""
"schizotypy","90","43","24","10","PeerJ; Sci Rep",""
"absorption","500","45","15","10","Behav Sci (Basel); PeerJ; Sci Rep",""
"reactive aggression","459","62","27","10","Sci Rep",""
"presenteeism","361","59","32","10","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"STAI","500","192","94","10","Sci Rep",""
"patient satisfaction","500","111","51","10","BMC Public Health; PeerJ; Sci Rep",""
"sexual harassment","500","78","33","10","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"conspiracy beliefs","375","50","28","10","BMC Public Health; Sci Rep",""
"job stress","500","194","52","9","BMC Public Health; Heliyon; PeerJ; Sci Rep",""
"risk taking","500","104","44","9","BMC Public Health; Behav Sci (Basel); Psychometrika; Sci Rep",""
"interoceptive awareness","394","78","42","9","Behav Sci (Basel); Heliyon; PeerJ; Sci Rep",""
"non-suicidal self-injury","500","145","45","9","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep",""
"cross-cultural adaptation","500","211","66","9","BMC Public Health; Heliyon; PeerJ; Sci Rep",""
"intercultural","500","100","41","9","BMC Public Health; Heliyon; Sci Rep",""
"social comparison","500","179","49","9","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"pro-environmental behavior","500","69","23","9","Behav Sci (Basel); Heliyon; PeerJ; Sci Rep",""
"psychological resilience","500","214","56","9","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"neuroticism","500","267","117","8","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"self-concept","500","178","42","8","Behav Sci (Basel); Heliyon; Sci Rep",""
"bereavement","500","82","39","8","BMC Public Health; Sci Rep",""
"relationship quality","500","170","40","8","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"acculturation","500","80","36","8","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"functional disability","500","82","41","8","BMC Public Health; Heliyon; Sci Rep",""
"dissociation","500","73","24","8","Sci Rep",""
"vitality","500","107","42","8","Heliyon; Sci Rep",""
"awe","445","60","31","8","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"cyberbullying","493","161","38","8","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"social dominance","500","100","50","8","Sci Rep",""
"phobia","500","159","84","8","Heliyon; Sci Rep",""
"suicide risk","500","106","55","8","BMC Med Res Methodol; Sci Rep",""
"mini-mental state examination","500","153","93","8","Sci Rep",""
"math anxiety","487","177","70","7","Sci Rep",""
"panic disorder","500","168","69","7","Behav Sci (Basel); Sci Rep",""
"occupational stress","500","127","41","7","BMC Public Health; PeerJ",""
"eating disorder","500","113","51","7","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep",""
"autism spectrum quotient","500","83","40","7","Sci Rep",""
"job performance","500","186","49","7","Behav Sci (Basel); Heliyon; Sci Rep",""
"gaming disorder","500","129","43","7","Behav Sci (Basel); PeerJ; Sci Rep",""
"divergent thinking","500","148","44","7","J Intell; PeerJ; Sci Rep",""
"attentional blink","388","64","20","7","PeerJ; Sci Rep",""
"delay discounting","333","66","37","7","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"temporal discounting","361","60","36","7","BMC Public Health; Sci Rep",""
"job demands","500","179","51","7","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"PHQ-9","500","157","100","7","BMC Public Health; Heliyon; Sci Rep",""
"PROM","500","40","26","7","PeerJ; Sci Rep",""
"computerized adaptive testing","500","113","51","7","BMC Med Res Methodol; Psychometrika; Sci Rep",""
"student engagement","500","187","40","7","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"psychological capital","500","165","39","7","BMC Public Health; Heliyon; Sci Rep",""
"Simon task","500","111","47","7","Heliyon; Sci Rep",""
"spatial Stroop","500","199","114","7","Sci Rep",""
"Stroop spatial","500","199","114","7","Sci Rep",""
"shyness","368","82","45","7","Behav Sci (Basel); Sci Rep",""
"purchase intention","500","92","19","7","Heliyon",""
"psychopathy","301","133","56","6","Sci Rep",""
"narcissism","298","143","48","6","Behav Sci (Basel); Heliyon; Sci Rep",""
"PTSD","500","103","46","6","Behav Sci (Basel); Sci Rep",""
"reaction time","500","101","43","6","Behav Sci (Basel); Sci Rep",""
"knowledge sharing","500","94","31","6","Heliyon; Sci Rep",""
"early numeracy","327","105","54","6","BMC Public Health; Sci Rep",""
"prejudice","500","79","33","6","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"crystallized intelligence","380","203","59","6","Sci Rep",""
"mental rotation","500","199","72","6","PeerJ; Sci Rep",""
"print awareness","500","57","28","6","BMC Public Health; Sci Rep",""
"dissociative symptoms","275","53","25","6","Sci Rep",""
"paranoia","289","48","23","6","PeerJ; Sci Rep",""
"self-determination","500","186","47","6","BMC Public Health; Heliyon; Sci Rep",""
"co-rumination","500","146","72","6","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"craving","500","88","33","6","Sci Rep",""
"physical literacy","500","182","83","6","BMC Public Health",""
"patient-reported outcome measures","500","73","44","6","BMC Med Res Methodol; PeerJ; Sci Rep",""
"moral judgment","500","103","37","6","Heliyon; Sci Rep",""
"spatial stimulus-response compatibility","270","31","14","6","Sci Rep",""
"dictator game","206","19","15","6","Behav Sci (Basel); Sci Rep",""
"slider-based measure","500","47","27","6","Sci Rep",""
"eating behavior","599","116","50","6","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"executive function","500","261","106","5","Behav Sci (Basel); Sci Rep",""
"numeracy","500","165","76","5","BMC Public Health; Sci Rep",""
"voting behavior","500","41","16","5","Sci Rep",""
"happiness","500","204","73","5","Behav Sci (Basel); J Open Psychol Data; Sci Rep",""
"subjective wellbeing","500","172","91","5","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"obsessive compulsive","500","133","50","5","BMC Public Health; Heliyon; Sci Rep",""
"work engagement","500","205","43","5","Behav Sci (Basel); Heliyon",""
"psychological safety","500","128","30","5","BMC Med Res Methodol; Behav Sci (Basel); Heliyon; Sci Rep",""
"sexual function","500","63","28","5","Sci Rep",""
"enculturation","72","11","6","5","Sci Rep",""
"somatic symptoms","500","165","82","5","BMC Public Health; Sci Rep",""
"self-regulated learning","599","190","46","5","Behav Sci (Basel); Heliyon",""
"academic engagement","500","201","39","5","Behav Sci (Basel); Heliyon; Sci Rep",""
"processing speed","500","94","32","5","Sci Rep",""
"hoarding","298","42","18","5","Heliyon; Sci Rep",""
"trait mindfulness","500","205","73","5","Behav Sci (Basel); Sci Rep",""
"proactive aggression","319","43","22","5","Sci Rep",""
"hope","500","105","37","5","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"marijuana use","500","39","18","5","BMC Public Health; Sci Rep",""
"language development","500","162","43","5","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"SF-36","500","117","57","5","BMC Med Res Methodol; Behav Sci (Basel); Sci Rep",""
"eco-anxiety","321","52","24","5","Sci Rep",""
"emotional eating","599","144","61","5","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"psychological flexibility","500","194","57","5","Behav Sci (Basel); PeerJ; Sci Rep",""
"orthorexia","40","16","8","5","BMC Public Health; Heliyon; PeerJ; Sci Rep",""
"curiosity","500","142","47","5","Behav Sci (Basel); J Intell; Sci Rep",""
"internet gaming","500","119","31","5","Behav Sci (Basel); PeerJ; Sci Rep",""
"anchored continuous scales","500","62","30","5","BMC Public Health; Sci Rep",""
"bipolar continuous scales","500","96","46","5","Sci Rep",""
"cognitive ability","500","244","65","5","Behav Sci (Basel); Sci Rep",""
"arithmetic","500","107","31","4","Sci Rep",""
"soledad","206","12","5","4","BMC Public Health; PeerJ; Sci Rep",""
"ptsd symptom","500","117","49","4","Sci Rep",""
"guilt","500","124","42","4","Behav Sci (Basel); Heliyon; Sci Rep",""
"organizational commitment","599","136","40","4","Behav Sci (Basel); Heliyon",""
"problematic social media use","500","120","32","4","BMC Public Health; PeerJ; Sci Rep",""
"internet gaming disorder","426","106","31","4","Behav Sci (Basel); PeerJ; Sci Rep",""
"problematic internet use","500","144","38","4","BMC Public Health; Behav Sci (Basel); PeerJ",""
"civic engagement","500","86","38","4","BMC Public Health",""
"intergroup contact","500","59","23","4","Heliyon; PeerJ; Sci Rep",""
"metacognition","500","176","48","4","PeerJ; Sci Rep",""
"need for cognition","500","199","61","4","Behav Sci (Basel); Sci Rep",""
"cognitive aging","500","143","72","4","BMC Public Health; Sci Rep",""
"perfectionism","396","162","59","4","Behav Sci (Basel); Sci Rep",""
"cognitive rigidity","500","94","37","4","Sci Rep",""
"intolerance of uncertainty","412","90","36","4","Sci Rep",""
"spirituality","500","114","42","4","BMC Public Health; PeerJ",""
"sexual satisfaction","500","112","40","4","Sci Rep",""
"caffeine dependence","370","22","13","4","Sci Rep",""
"alcohol expectancies","298","26","12","4","BMC Public Health; Heliyon; Sci Rep",""
"weight stigma","599","79","34","4","BMC Public Health; Heliyon; PeerJ",""
"eating competence","599","123","57","4","BMC Public Health; Behav Sci (Basel)",""
"home learning environment","500","87","22","4","Behav Sci (Basel); Heliyon",""
"cultural values","500","169","47","4","Behav Sci (Basel); Sci Rep",""
"BDI","500","165","83","4","Sci Rep",""
"economic games","500","75","29","4","Sci Rep",""
"trust game","500","55","17","4","PeerJ; Sci Rep",""
"response bias","500","165","50","4","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Sci Rep",""
"religious beliefs","500","56","22","4","BMC Public Health; Heliyon",""
"spiritual wellbeing","500","102","39","4","BMC Public Health",""
"trust in artificial intelligence","500","145","39","4","Sci Rep",""
"economic inequality","500","41","18","4","BMC Public Health; Sci Rep",""
"PHQ-15","500","150","94","4","BMC Public Health; Sci Rep",""
"psychometric properties VAS","149","40","26","4","BMC Public Health; PeerJ; Sci Rep",""
"analog measurement psychology","337","58","31","4","Sci Rep",""
"authenticity","500","81","23","4","Heliyon; Sci Rep",""
"well-being","500","448","184","4","BMC Public Health; Behav Sci (Basel)",""
"political attitudes","500","73","31","3","Sci Rep",""
"values","500","172","51","3","BMC Med Res Methodol; Behav Sci (Basel)",""
"bienestar","116","10","3","3","Sci Rep",""
"emotional exhaustion","500","232","60","3","Behav Sci (Basel); Sci Rep",""
"hostility","500","101","33","3","BMC Public Health; Heliyon; Sci Rep",""
"positive and negative affect","500","185","56","3","Behav Sci (Basel); Sci Rep",""
"academic self-efficacy","500","219","48","3","Behav Sci (Basel); Sci Rep",""
"organizational citizenship behavior","435","93","24","3","Behav Sci (Basel); Heliyon",""
"leader-member exchange","500","48","13","3","Heliyon; Sci Rep",""
"servant leadership","164","36","7","3","Heliyon; Sci Rep",""
"social media addiction","500","141","44","3","Sci Rep",""
"physical self-concept","500","125","34","3","Behav Sci (Basel); Sci Rep",""
"couple satisfaction","500","97","34","3","BMC Public Health; Sci Rep",""
"partner aggression","500","45","22","3","Sci Rep",""
"child temperament","432","102","49","3","Sci Rep",""
"post-traumatic growth","500","69","27","3","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"cognitive load","500","237","64","3","Sci Rep",""
"probabilistic reversal learning","157","26","16","3","Sci Rep",""
"decision making under uncertainty","500","60","11","3","PeerJ; Sci Rep",""
"reading disability","500","120","54","3","PeerJ; Sci Rep",""
"print motivation","500","53","30","3","BMC Public Health",""
"eating pathology","500","52","30","3","BMC Public Health; Sci Rep",""
"tic severity","298","20","9","3","Sci Rep",""
"trait anxiety","500","227","78","3","Behav Sci (Basel); Sci Rep",""
"sensation seeking","500","113","52","3","Sci Rep",""
"positive psychology","500","213","69","3","Behav Sci (Basel); Sci Rep",""
"forgiveness","294","69","21","3","Behav Sci (Basel); Sci Rep",""
"economic inequality attitudes","500","59","26","3","Sci Rep",""
"animal attitudes","500","71","37","3","BMC Public Health; Sci Rep",""
"moral foundations","457","83","25","3","Heliyon; Sci Rep",""
"stereotype threat","192","41","19","3","Sci Rep",""
"cooperative learning","500","74","18","3","Sci Rep",""
"tobacco dependence","500","38","18","3","Heliyon; Sci Rep",""
"body dissatisfaction","500","97","34","3","Behav Sci (Basel); Sci Rep",""
"social-emotional development","500","171","38","3","Behav Sci (Basel)",""
"peer acceptance","500","108","32","3","Behav Sci (Basel); Sci Rep",""
"Holland types","500","41","23","3","Heliyon; Sci Rep",""
"distributive justice","170","21","7","3","BMC Public Health; Sci Rep",""
"trust in science","500","80","24","3","BMC Public Health; Sci Rep",""
"work-life balance","500","116","36","3","BMC Public Health; Behav Sci (Basel); Heliyon",""
"future time perspective","500","181","36","3","Behav Sci (Basel); Heliyon",""
"microaggressions","126","21","5","3","BMC Public Health; Behav Sci (Basel)",""
"sense of coherence","500","147","37","3","BMC Public Health; Sci Rep",""
"job crafting","308","73","21","3","BMC Public Health; Behav Sci (Basel); Heliyon",""
"optimism","500","146","46","3","Behav Sci (Basel); Heliyon; Sci Rep",""
"Simon effect","500","80","35","3","Sci Rep",""
"congruency effect","500","98","46","3","PeerJ; Sci Rep",""
"reliability visual analogue","500","73","39","3","BMC Public Health; Sci Rep",""
"computerized rating scales","255","63","25","3","Sci Rep",""
"youth development","500","90","29","3","BMC Public Health; Behav Sci (Basel)",""
"psychometric validation","500","278","113","3","Sci Rep",""
"patient activation measure","500","57","29","3","BMC Public Health; Sci Rep",""
"raven progressive matrices","189","102","28","3","Sci Rep",""
"digit span","500","226","106","3","Sci Rep",""
"patient reported outcomes","500","61","37","2","Sci Rep",""
"depression","500","161","64","2","Behav Sci (Basel)",""
"anxiety","500","212","63","2","Behav Sci (Basel)",""
"stop signal","500","42","22","2","Sci Rep",""
"Angst","104","14","9","2","Sci Rep",""
"generalized anxiety disorder","500","197","98","2","Behav Sci (Basel); Sci Rep",""
"social anxiety","500","222","68","2","Behav Sci (Basel)",""
"health anxiety","500","190","60","2","Behav Sci (Basel)",""
"mood disorder","500","138","68","2","Behav Sci (Basel); Sci Rep",""
"interpersonal competence","500","164","38","2","Behav Sci (Basel)",""
"emotional intelligence","500","304","61","2","Behav Sci (Basel); Sci Rep",""
"anger","500","117","33","2","Behav Sci (Basel); Sci Rep",""
"parenting style","500","132","40","2","PeerJ; Sci Rep",""
"work values","500","169","53","2","Behav Sci (Basel)",""
"transactional leadership","308","52","19","2","Heliyon; Sci Rep",""
"organizational justice","500","84","23","2","Behav Sci (Basel); Heliyon",""
"organizational learning","599","148","41","2","Behav Sci (Basel); Sci Rep",""
"problematic smartphone use","500","130","33","2","Heliyon; Sci Rep",""
"nomophobia","60","23","8","2","Heliyon",""
"relationship satisfaction","500","188","52","2","Behav Sci (Basel)",""
"school readiness","500","101","30","2","Behav Sci (Basel)",""
"developmental screening","500","120","40","2","Behav Sci (Basel); PeerJ",""
"acculturative stress","125","32","10","2","BMC Public Health; Sci Rep",""
"multicultural competence","230","49","20","2","Sci Rep",""
"pain catastrophizing","333","59","27","2","PeerJ; Sci Rep",""
"somatization","500","115","48","2","Sci Rep",""
"social dominance orientation","500","86","38","2","Sci Rep",""
"implicit bias","500","76","23","2","Behav Sci (Basel); Sci Rep",""
"reading self-concept","500","128","37","2","Behav Sci (Basel)",""
"morphological awareness","500","46","11","2","Sci Rep",""
"mathematical reasoning","500","107","34","2","Sci Rep",""
"number sense","500","153","32","2","Heliyon; Sci Rep",""
"mathematical fluency","338","113","41","2","Sci Rep",""
"STEM attitudes","500","106","28","2","Behav Sci (Basel); Sci Rep",""
"emotion dysregulation","500","177","77","2","Sci Rep",""
"moral distress","500","103","42","2","BMC Public Health; Sci Rep",""
"selective mutism","29","16","4","2","Behav Sci (Basel); Sci Rep",""
"agreeableness","500","281","120","2","Sci Rep",""
"boredom proneness","57","18","10","2","Sci Rep",""
"egalitarianism","117","20","10","2","Sci Rep",""
"environmental attitudes","500","99","31","2","Behav Sci (Basel); Sci Rep",""
"fathering","71","7","6","2","Sci Rep",""
"father involvement","500","76","28","2","BMC Public Health; Behav Sci (Basel)",""
"family cohesion","500","91","32","2","Behav Sci (Basel)",""
"academic help-seeking","500","118","33","2","Behav Sci (Basel)",""
"academic dishonesty","124","26","12","2","Sci Rep",""
"teacher-student relationship","500","168","36","2","Behav Sci (Basel); Sci Rep",""
"role conflict","500","146","36","2","Behav Sci (Basel)",""
"turnover intention","500","101","30","2","BMC Public Health; Heliyon",""
"organizational identification","599","115","37","2","Behav Sci (Basel); Heliyon",""
"proactive behavior","500","115","32","2","Behav Sci (Basel); Sci Rep",""
"entrepreneurial intention","206","48","12","2","Heliyon; Sci Rep",""
"physical activity enjoyment","500","116","45","2","BMC Public Health",""
"sports injury","500","87","23","2","Sci Rep",""
"injury anxiety","500","207","49","2","Behav Sci (Basel)",""
"flow state","500","48","20","2","Sci Rep",""
"sport flow","599","72","37","2","Sci Rep",""
"coach behavior","500","87","32","2","Sci Rep",""
"play behavior","500","138","27","2","Behav Sci (Basel)",""
"school adjustment","500","121","31","2","Behav Sci (Basel)",""
"national identity","500","84","29","2","Sci Rep",""
"individualism collectivism","321","57","26","2","Sci Rep",""
"independent self-construal","181","40","16","2","Sci Rep",""
"work readiness","500","101","29","2","Heliyon",""
"professional identity","500","112","22","2","Behav Sci (Basel); Sci Rep",""
"acquiescence bias","158","40","23","2","BMC Public Health; Sci Rep",""
"item difficulty","500","221","88","2","Behav Sci (Basel)",""
"satisfaction du patient","176","21","11","2","BMC Public Health; Sci Rep",""
"psychological entitlement","282","60","26","2","BMC Public Health; Sci Rep",""
"work passion","500","98","31","2","Sci Rep",""
"anxiety sensitivity","500","167","66","2","Behav Sci (Basel)",""
"flow experience","500","86","32","2","Heliyon; Sci Rep",""
"help-seeking attitudes","500","93","41","2","Behav Sci (Basel); Sci Rep",""
"stress parental","599","151","48","2","Sci Rep",""
"social desirability","500","146","36","2","Behav Sci (Basel); Heliyon",""
"body appreciation","599","88","31","2","BMC Public Health; Behav Sci (Basel)",""
"intuitive eating","468","46","24","2","Sci Rep",""
"envy","265","59","20","2","Behav Sci (Basel); Sci Rep",""
"gender role","500","169","36","2","Behav Sci (Basel); Sci Rep",""
"conflict adaptation","500","121","34","2","Behav Sci (Basel)",""
"Simon-effect","500","77","34","2","Sci Rep",""
"response format bounded continuous","335","20","5","2","Heliyon; Sci Rep",""
"interval response measures","500","138","41","2","Behav Sci (Basel); Sci Rep",""
"touch-screen measures","500","71","30","2","Sci Rep",""
"personality","500","244","76","2","Behav Sci (Basel)",""
"positive affect","500","191","59","2","Behav Sci (Basel); Sci Rep",""
"flanker","483","162","77","2","Sci Rep",""
"functional limitation","500","108","28","2","Behav Sci (Basel)",""
"n-back accuracy","500","81","36","2","Sci Rep",""
"lexical decision","500","79","27","1","Sci Rep",""
"reading comprehension","500","192","58","1","Behav Sci (Basel)",""
"wellbeing","500","138","68","1","Behav Sci (Basel)",""
"consumer sentiment","500","29","4","1","Sci Rep",""
"response style","500","119","37","1","Sci Rep",""
"uso de sustancias","1","1","1","1","Sci Rep",""
"Schmerz","5","1","1","1","Sci Rep",""
"douleur","39","4","2","1","Sci Rep",""
"coparenting","26","16","5","1","Behav Sci (Basel)",""
"drug use disorder","500","56","28","1","BMC Public Health",""
"racial identity","500","73","21","1","Sci Rep",""
"fatigue severity","500","97","57","1","Sci Rep",""
"organisational commitment","500","48","18","1","Heliyon",""
"workplace bullying","415","78","26","1","BMC Public Health",""
"organisational justice","285","29","8","1","BMC Public Health",""
"technostress","122","59","13","1","Sci Rep",""
"phubbing","58","27","5","1","BMC Public Health",""
"online gaming addiction","491","115","36","1","Sci Rep",""
"exercise self-efficacy","500","129","45","1","Behav Sci (Basel)",""
"sport motivation","599","153","53","1","BMC Public Health",""
"marital satisfaction","500","155","61","1","Sci Rep",""
"relationship commitment","500","125","27","1","Behav Sci (Basel)",""
"romantic jealousy","76","20","9","1","Sci Rep",""
"dyadic adjustment","285","46","17","1","Sci Rep",""
"parental sensitivity","599","120","36","1","Behav Sci (Basel)",""
"cultural competence","500","173","36","1","Heliyon",""
"immigrant adaptation","399","46","21","1","Sci Rep",""
"moral injury","500","110","29","1","Sci Rep",""
"illness perception","500","94","39","1","BMC Public Health",""
"pain acceptance","500","82","40","1","Sci Rep",""
"authoritarianism","142","36","18","1","Sci Rep",""
"climate change attitudes","500","90","32","1","Sci Rep",""
