table,DOI__for_paper_,Reference_x,URL__for_data_,Derived_License,Description,BibTex
close_relationships,NA,(2018). Experiences in Close Relationships Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,"Data from an interactive version of the Experinces in Close Relationships Scale by Kelly Brennan, Catherine Clark and Phillip Shaver.","@misc{ECR2018,
  title = {Experiences in Close Relationships Scale [dataset and codebook]},
  year = {2018},
  url = {http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
face_memory_test,NA,Exposure Based Face Memory Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/EBFMT.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Data from test where participants were shown pictures of peoples' faces and asked to recall whether they had already seen it,"@misc{EBFMT,
  title = {Exposure Based Face Memory Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/EBFMT.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
sexual_selfconcept,10.13140/RG.2.1.5057.1928,"""The Multidimensional Sexual Self-Concept Questionnaire"" (MSSCQ) by Dr. William E. Snell, Jr. http://www4.semo.edu/snell/scales/MSSCQ.HTM
///Snell Jr., W. The Multidimensional Sexual Self-Concept Questionnaire"" (MSSCQ) [dataset and codebook]. http://openpsychometrics.org/_rawdata/MSSCQ.zip",http://openpsychometrics.org/_rawdata/,CC BY 4.0,Data on participants' feelings about and self-concept of sexual activities,"@misc{https://doi.org/10.13140/rg.2.1.5057.1928,
  doi = {10.13140/RG.2.1.5057.1928},
  url = {http://rgdoi.net/10.13140/RG.2.1.5057.1928},
  author = {Snell, William E.},
  language = {en},
  title = {Multidimensional Sexual Self-Concept Questionnaire},
  publisher = {Unpublished},
  year = {2016}
}
"
bhs_floreskanter2021,10.17632/9mjg54kcwv.5,"Flores-Kanter, Pablo Ezequiel (2021), “Datset for Internal structure of Beck Hopelessness Scale: An analysis of method effects using the CT-C(M–1) model”, Mendeley Data, V5, doi: 10.17632/9mjg54kcwv.5",https://data.mendeley.com/datasets/9mjg54kcwv/5,CC BY 4.0,Beck Hopelessness Scale (BHS) and suicidal ideation (SI) in an Argentine population.,"@misc{https://doi.org/10.17632/9mjg54kcwv.5,
  doi = {10.17632/9MJG54KCWV.5},
  url = {https://data.mendeley.com/datasets/9mjg54kcwv/5},
  author = {Flores-Kanter, Pablo Ezequiel},
  keywords = {Psychology, FOS: Psychology, FOS: Psychology, Assessment, Psychometrics},
  title = {Datset for Internal structure of Beck Hopelessness Scale: An analysis of method effects using the CT-C(M–1) model},
  publisher = {Mendeley},
  year = {2021}
}
"
PPPSSAPIS_Figlova_2021_PSS10,10.17632/k8zk3xhcjf.1,"Figalová, Nikol; Charvát, Miroslav (2021), “Psychometric Properties of the Perceived Stress Scale in an Adult Psychiatric Inpatient Sample: Dataset And the Analytic Script for R”, Mendeley Data, V1, doi: 10.17632/k8zk3xhcjf.1",https://data.mendeley.com/datasets/k8zk3xhcjf/1,CC BY 4.0,Perceived Stress Scale (PSS-10),"@misc{https://doi.org/10.17632/k8zk3xhcjf.1,
  doi = {10.17632/K8ZK3XHCJF.1},
  url = {https://data.mendeley.com/datasets/k8zk3xhcjf/1},
  author = {Figalová, Nikol},
  keywords = {Psychology, FOS: Psychology, FOS: Psychology, Psychometrics},
  title = {Psychometric Properties of the Perceived Stress Scale in an Adult Psychiatric Inpatient Sample: Dataset And the Analytic Script for R},
  publisher = {Mendeley},
  year = {2021}
}
"
mental_health_malawi,10.17632/xbfbcy5bhv.3,"Mwakilama, Elias; Jamu, Edister; Senganimalunje, Limbika ; Manda, Tiwonge (2022), “Data on Internet Addiction and Mental Health among university students in Malawi”, Mendeley Data, V3, doi: 10.17632/xbfbcy5bhv.3",https://data.mendeley.com/datasets/xbfbcy5bhv/3,CC BY 4.0,Survey data on public and private university students' mental health symptoms as a consequence of internet usage,"@misc{https://doi.org/10.17632/xbfbcy5bhv.3,
  doi = {10.17632/XBFBCY5BHV.3},
  url = {https://data.mendeley.com/datasets/xbfbcy5bhv/3},
  author = {{elias mwakilama}},
  title = {Data on Internet Addiction and Mental Health among university students in Malawi},
  publisher = {Mendeley},
  year = {2022},
  copyright = {Creative Commons Attribution 4.0 International}
}
"
number_pattern_game,10.7910/DVN/A8ZWLF,"Bigelow, E., & Piantadosi, S. T. (2016). A large dataset of generalization patterns in the number game. Journal of Open Psychology Data, 4(1), e4-e4.

Tenenbaum, J. (1999). Rules and similarity in concept learning. Advances in neural information processing systems, 12.

Bigelow, Eric J.; Piantadosi, Steven T., 2018, ""Large Dataset of Generalization Patterns in the Number Game"", https://doi.org/10.7910/DVN/A8ZWLF, Harvard Dataverse, V1, UNF:6:zUgVtjc9CKvWc4pB//Qp6A== [fileUNF]",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A8ZWLF,CC BY 4.0,606 Amazon Mechanical Turk were shown a set of numbers and asked what other numbers are likely to belong to the set,"@misc{https://doi.org/10.7910/dvn/a8zwlf,
  doi = {10.7910/DVN/A8ZWLF},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/A8ZWLF},
  author = {Bigelow, Eric J. and Piantadosi, Steven T.},
  keywords = {Social Sciences, Generalization; Bayesian inference; Structured cognitive model; Numerical cognition; Concept learning},
  title = {Large Dataset of Generalization Patterns in the Number Game},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
icar_sapa,10.7910/DVN/AD9RVY,"Condon, D. M., & Revelle, W. (2016). Selected ICAR data from the SAPA-Project: Development and initial validation of a public-domain measure.

Condon, David; Revelle, William, 2015, ""Selected ICAR data from the SAPA-Project: Development and initial validation of a public-domain measure"", https://doi.org/10.7910/DVN/AD9RVY, Harvard Dataverse, V2, UNF:6:73sL85mhjMM9L1xA7R6JTA== [fileUNF]",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AD9RVY,CC BY 4.0,Sixty items from 4 cognitive ability tests,"@misc{https://doi.org/10.7910/dvn/ad9rvy,
  doi = {10.7910/DVN/AD9RVY},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/AD9RVY},
  author = {Condon, David and Revelle, William},
  keywords = {Social Sciences, cognitive ability, intelligence, international cognitive ability resource, ICAR, cognitive ability structure},
  title = {Selected ICAR data from the SAPA-Project: Development and initial validation of a public-domain measure},
  publisher = {Harvard Dataverse},
  year = {2015}
}
"
RD_EppSCQRK_Kipkemoi_2024_scq,10.7910/DVN/NJHSAC,"Kipkemoi, Patricia; Kipkoech, Collins, 2024, ""Replication Data for: Evaluation of the psychometric properties of the Social Communication Questionnaire in Rural Kenya"", https://doi.org/10.7910/DVN/NJHSAC, Harvard Dataverse, V1, UNF:6:BGoEytC8iWGwL91uQnBjkQ== [fileUNF]


Kipkemoi, P., Savage, J. E., Gona, J., Rimba, K., Kombe, M., Mwangi, P., ... & Abubakar, A. (2024). Evaluation of the psychometric properties of the social communication questionnaire in rural Kenya. Journal of Autism and Developmental Disorders, 1-19.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/NJHSAC,CC BY 4.0,Social Communication Questionnaire,"@misc{https://doi.org/10.7910/dvn/njhsac,
  doi = {10.7910/DVN/NJHSAC},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/NJHSAC},
  author = {Kipkemoi, Patricia and Kipkoech, Collins},
  keywords = {Medicine, Health and Life Sciences, autism, diagnosis, Africa, SCQ, psychometrics, reliability},
  title = {Replication Data for: Evaluation of the psychometric properties of the Social Communication Questionnaire in Rural Kenya},
  publisher = {Harvard Dataverse},
  year = {2024}
}
"
content_literacy_intervention_g1,10.7910/DVN/RVJIMX,"Kim, J. S., Burkhauser, M. A., Mesite, L. M., Asher, C. A., Relyea, J. E., Fitzgerald, J., & Elmore, J. (2021). Improving reading comprehension, science domain knowledge, and reading engagement through a first-grade content literacy intervention. Journal of Educational Psychology, 113(1), 3.

Kim, James S.; Burkhauser, Mary; Mesite, Laura; Asher, Catherine A.; Relyea, Jackie Eunjung; Fitzgerald, Jill; Elmore, Jeff, 2021, ""Replication data for: Improving Reading Comprehension, Science Domain Knowledge, and Reading Engagement through a First-Grade Content Literacy Intervention"", https://doi.org/10.7910/DVN/RVJIMX, Harvard Dataverse, V1, UNF:6:BSUJnLmkvmj0YSTQr3MZAA== [fileUNF]",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RVJIMX,CC BY 4.0,"Items from a randomized trial to improve reading comprehension, science domain knowledge, and reading engagement via literacy inteventions in 1st grade","@misc{https://doi.org/10.7910/dvn/rvjimx,
  doi = {10.7910/DVN/RVJIMX},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/RVJIMX},
  author = {Kim, James S. and Burkhauser, Mary and Mesite, Laura and Asher, Catherine A. and Relyea, Jackie Eunjung and Fitzgerald, Jill and Elmore, Jeff},
  keywords = {Social Sciences, content literacy intervention, science domain knowledge, reading comprehension, reading engagement, randomized controlled trial},
  title = {Replication data for: Improving Reading Comprehension, Science Domain Knowledge, and Reading Engagement through a First-Grade Content Literacy Intervention},
  publisher = {Harvard Dataverse},
  year = {2021}
}
"
sapa_personality,10.7910/DVN/SD7SVE,"Condon, D. M., & Revelle, W. (2015). Selected personality data from the SAPA-Project: 08dec2013 to 26jul2014.

Condon, David M.; Revelle, William, 2015, ""Selected personality data from the SAPA-Project: 08Dec2013 to 26Jul2014"", https://doi.org/10.7910/DVN/SD7SVE, Harvard Dataverse, V4, UNF:6:9B60JNIFXXKXmyLhABjoUA== [fileUNF]",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SD7SVE,CC BY 4.0,Personality data from the SAPA project,"@misc{https://doi.org/10.7910/dvn/sd7sve,
  doi = {10.7910/DVN/SD7SVE},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/SD7SVE},
  author = {Condon, David M. and Revelle, William},
  keywords = {Social Sciences, Personality, temperament, personality structure, Big Five},
  title = {Selected personality data from the SAPA-Project: 08Dec2013 to 26Jul2014},
  publisher = {Harvard Dataverse},
  year = {2015}
}
"
parental_text_intervention,10.7910/DVN/XUEU90,"Asher, C. A., Scherer, E., & Kim, J. S. (2022). Using a factorial design to maximize the effectiveness of a parental text messaging intervention. Journal of Research on Educational Effectiveness, 15(3), 532-557.

Scherer, Ethan; Catherine Asher; Kim, James, 2021, ""Replication Data for: Using a Factorial Design to Maximize the Effectiveness of a Parental Text Messaging Intervention"", https://doi.org/10.7910/DVN/XUEU90, Harvard Dataverse, V1, UNF:6:yfNiyfKzlJz+tCM15Lo+DQ== [fileUNF]",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XUEU90,CC BY 4.0,Survey items from dataset used to assess effectiveness of parental text message intervention,"@misc{https://doi.org/10.7910/dvn/xueu90,
  doi = {10.7910/DVN/XUEU90},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/XUEU90},
  author = {Scherer, Ethan and Asher, Catherine and Kim, James},
  keywords = {Social Sciences, factorial design, parental text messaging, experimental design, literacy, replication},
  title = {Replication Data for: Using a Factorial Design to Maximize the Effectiveness of a Parental Text Messaging Intervention},
  publisher = {Harvard Dataverse},
  year = {2021}
}
"
spanishmegastudy,10.6084/m9.figshare.14073899,"Buades-Sitjar, F., Boada, R., Guasch, M., Ferré, P., Hinojosa, J. A., & Duñabeitia, J. A. (2022). The predictors of general knowledge: Data from a Spanish megastudy. Behavior Research Methods, 54(2), 898-909.",https://figshare.com/articles/dataset/Supplementary_files_for_The_predictors_of_general_knowledge_data_from_a_Spanish_megastudy/14073899,CC BY 4.0,General knowledge items,"@misc{https://doi.org/10.6084/m9.figshare.14073899,
  doi = {10.6084/M9.FIGSHARE.14073899},
  url = {https://figshare.com/articles/dataset/Supplementary_files_for_The_predictors_of_general_knowledge_data_from_a_Spanish_megastudy/14073899},
  author = {Duñabeitia, Jon Andoni},
  keywords = {170199 Psychology not elsewhere classified, FOS: Psychology, FOS: Psychology, 209999 Language, Communication and Culture not elsewhere classified, FOS: Languages and literature, FOS: Languages and literature, 170103 Educational Psychology},
  title = {Supplementary files for The predictors of general knowledge: data from a Spanish megastudy},
  publisher = {figshare},
  year = {2021},
  copyright = {Creative Commons Attribution 4.0 International}
}
"
tdri,NA,"Golino, H. F., & Gomes, C. M. (2015). Investigando estágios de desenvolvimento do raciocínio indutivo usando a análise fatorial confimatória, o Modelo Logístico Simples de Rasch e o modelo de teste logístico linear (Rasch Estendido). In H. F. Golino, C. M. Gomes, A. Amantes, & G. Coelho, Psicometria Contemporânea: Compreendendo os Modelos Rasch (pp. 283-331). São Paulo: Casa do Psicólogo/Pearson.",https://figshare.com/articles/dataset/TDRI_dataset_csv/3142321,CC BY 4.0,Measure of inductive reasoning,"@incollection{golino2015investigando,
  author = {Golino, Hudson F. and Gomes, Cristiano M.},
  title = {Investigando est{\\'a}gios de desenvolvimento do racioc{\\'\\i}nio indutivo usando a an{\\'a}lise fatorial confimat{\\'o}ria, o Modelo Log{\\'\\i}stico Simples de Rasch e o modelo de teste log{\\'\\i}stico linear (Rasch Estendido)},
  booktitle = {Psicometria Contempor{\\^a}nea: Compreendendo os Modelos Rasch},
  editor = {Golino, Hudson F. and Gomes, Cristiano M. and Amantes, Amanda and Coelho, Gabriel},
  year = {2015},
  pages = {283--331},
  publisher = {Casa do Psic{\\'o}logo/Pearson},
  address = {S{\\~a}o Paulo},
  url = {https://figshare.com/articles/dataset/TDRI_dataset_csv/3142321}
}"
phq_insomnia_wang2025,10.1177/183449092413107,"Wang, W., Shen, X., Guo, X., Liu, S., Chen, Q., Ma, S., & Jian, Y. (2025). Psychometric evaluation of the insomnia severity index in 570,295 Chinese adolescents: A bifactor item-response theory analysis. Journal of Pacific Rim Psychology, 19, 18344909241310783.",https://figshare.com/s/59a2c9e849bc019da6e4?file=48176917,CC BY 4.0,The Patient Health Questionnaire (PHQ-9),"@article{phq_insomnia_wang2025,
  author = {Wang, W. and Shen, X. and Guo, X. and Liu, S. and Chen, Q. and Ma, S. and Jian, Y.},
  title = {Psychometric evaluation of the insomnia severity index in 570,295 Chinese adolescents: A bifactor item-response theory analysis},
  journal = {Journal of Pacific Rim Psychology},
  year = {2025},
  volume = {19},
  pages = {18344909241310783}
}
"
aslec_insomnia_wang2025,10.1177/183449092413107,"Wang, W., Shen, X., Guo, X., Liu, S., Chen, Q., Ma, S., & Jian, Y. (2025). Psychometric evaluation of the insomnia severity index in 570,295 Chinese adolescents: A bifactor item-response theory analysis. Journal of Pacific Rim Psychology, 19, 18344909241310783.",https://figshare.com/s/59a2c9e849bc019da6e4?file=48176917,CC BY 4.0,The Adolescent Self-rating Life Events Checklist (ASLEC),"@article{aslec_insomnia_wang2025,
  author = {Wang, W. and Shen, X. and Guo, X. and Liu, S. and Chen, Q. and Ma, S. and Jian, Y.},
  title = {Psychometric evaluation of the insomnia severity index in 570,295 Chinese adolescents: A bifactor item-response theory analysis},
  journal = {Journal of Pacific Rim Psychology},
  year = {2025},
  volume = {19},
  pages = {18344909241310783}
}
"
isi_insomnia_wang2025,10.1177/183449092413107,"Wang, W., Shen, X., Guo, X., Liu, S., Chen, Q., Ma, S., & Jian, Y. (2025). Psychometric evaluation of the insomnia severity index in 570,295 Chinese adolescents: A bifactor item-response theory analysis. Journal of Pacific Rim Psychology, 19, 18344909241310783.",https://figshare.com/s/59a2c9e849bc019da6e4?file=48176917,CC BY 4.0,The Insomnia Severity Index (ISI),"@article{isi_insomnia_wang2025,
  author = {Wang, W. and Shen, X. and Guo, X. and Liu, S. and Chen, Q. and Ma, S. and Jian, Y.},
  title = {Psychometric evaluation of the insomnia severity index in 570,295 Chinese adolescents: A bifactor item-response theory analysis},
  journal = {Journal of Pacific Rim Psychology},
  year = {2025},
  volume = {19},
  pages = {18344909241310783}
}
"
figure_skating,NA,"Singer-Vine, J. & Templon, J. (2021). ISU Figure Skating Score Sheets as Structured Data [data set]. BuzzFeed News. https://github.com/BuzzFeedNews/figure-skating-scores",https://github.com/BuzzFeedNews/figure-skating-scores,CC BY 4.0,Judges scores for different aspects of international figure skaters' performances (2016-17 and 2017-18 seasons),"@misc{singer2021isu,
  author = {Singer-Vine, Jeremy and Templon, John},
  title = {ISU Figure Skating Score Sheets as Structured Data},
  year = {2021},
  publisher = {BuzzFeed News},
  howpublished = {\\url{https://github.com/BuzzFeedNews/figure-skating-scores}},
  note = {[data set]}
}"
ieswriting_molloy_2022,NA,"Educational Testing Service. (n.d.). IES Writing Achievement Study Data. GitHub. Retrieved January 6, 2025, from https://github.com/EducationalTestingService/ies-writing-achievement-study-data",https://github.com/EducationalTestingService/ies-writing-achievement-study-data,CC BY 4.0,IES Writing Achievement Study,"@misc{ets_ies_writing_achievement_data,
  author       = {{Educational Testing Service}},
  title        = {IES Writing Achievement Study Data},
  year         = {2025},
  url          = {https://github.com/EducationalTestingService/ies-writing-achievement-study-data},
  note         = {Accessed: 2025-01-06}
}
"
florida_twins_behavior_friends,NA,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,CC BY 4.0,Friends scale evaluates both positive and negative characteristics of peer relationships.,NA
florida_twins_behavior_cadsyv,NA,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,CC BY 4.0,"The Child and Adolescent Dispositions Scale Youth Version (CADSYV) assesses temperament and personality traits, including dimensions such as Prosociality (with facets like Sympathy, Respect for Rules, and Sociability), Negative Emotionality, and Daring.",NA
florida_twins_behavior_ecs,NA,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,CC BY 4.0,The Effortful Control Scale (ECS) evaluates traits related to impulsivity and behavioral regulation.,NA
florida_twins_behavior_tas,NA,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,CC BY 4.0,The Test Attitude Survey measures levels of test anxiety.,NA
florida_twins_behavior_cads,NA,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,CC BY 4.0,"The Child and Adolescent Dispositions Scale (CADS) assesses temperament and personality traits, such as Prosociality (including facets like Sympathy, Respect for Rules, and Sociability), Negative Emotionality, and Daring.",NA
florida_twins_behavior_panas,NA,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,CC BY 4.0,Positive and Negative Affect Scale (PANAS) measures the trait levels of both positive and negative emotional states.,NA
florida_twins_behavior_rcads,NA,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,CC BY 4.0,The Revised Child Anxiety and Depression Scale (RCADS) is a clinical tool used to assess dimensions of anxiety and depression.,NA
