table,columns,contributor,generated
bicb-j_ishiguro_2025,Notes,automated,2026-09-07
cure_data,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_27,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_28,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_29,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_30,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_31,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_33,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_34,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_35,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_36,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_37,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_38,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_39,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_40,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_41,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_42,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_43,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_45,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_46,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_47,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_48,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_50,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_51,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_53,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_54,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_55,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_56,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_57,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_58,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_59,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_60,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_61,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_62,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_63,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_64,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_68,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_69,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_70,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_71,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_72,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_73,-DOI (for paper); DOI (for data),automated,2026-09-07
VCISM_Polish_Trzcinska_2023,-DOI (for paper); DOI (for data),automated,2026-09-07
dass_Thiyagarajan2022,-DOI (for paper); DOI (for data),automated,2026-09-07
IJLS_Eersel_2024_Anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
IJLS_Eersel_2024_IJLSreaction,-DOI (for paper); DOI (for data),automated,2026-09-07
IJLS_Eersel_2024_DenialAcceptance,-DOI (for paper); DOI (for data),automated,2026-09-07
IJLS_Eersel_2024_IUS,-DOI (for paper); DOI (for data),automated,2026-09-07
IJLS_Eersel_2024_Depression,-DOI (for paper); DOI (for data),automated,2026-09-07
IJLS_Eersel_2024_Optimism,-DOI (for paper); DOI (for data),automated,2026-09-07
IJLS_Eersel_2024_ICECAP,-DOI (for paper); DOI (for data),automated,2026-09-07
CFC_Balaji_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,-DOI (for paper); DOI (for data),automated,2026-09-07
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,-DOI (for paper); DOI (for data),automated,2026-09-07
PSR-P_Scale_Intimacy_Hakim_2018_Study3,-DOI (for paper); DOI (for data),automated,2026-09-07
FACES_Spanish_Vegas_2022_FACES,-DOI (for paper); DOI (for data),automated,2026-09-07
FACES_Spanish_Vegas_2022_FSS,-DOI (for paper); DOI (for data),automated,2026-09-07
RD_PPCSEDSOF_Afable_2023,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_74,-DOI (for paper); DOI (for data),automated,2026-09-07
MotAcademica_Ribeiro_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,-DOI (for paper); DOI (for data),automated,2026-09-07
RD_EppSCQRK_Kipkemoi_2024_scq,-DOI (for paper); DOI (for data),automated,2026-09-07
movac_pakpour2022,-DOI (for paper); DOI (for data),automated,2026-09-07
RD_PpSL7as_Ghasemy_2024_SL,-DOI (for paper); DOI (for data),automated,2026-09-07
PPPSSAPIS_Figlova_2021_PSS10,-DOI (for paper); DOI (for data),automated,2026-09-07
OSCE_Hejri_2017,-DOI (for paper); DOI (for data),automated,2026-09-07
FACIT_YOUNT_2021_clinic10,-DOI (for paper); DOI (for data),automated,2026-09-07
FACIT_YOUNT_2021_hadsx,-DOI (for paper); DOI (for data),automated,2026-09-07
FACIT_YOUNT_2021_crqsasx,-DOI (for paper); DOI (for data),automated,2026-09-07
FACIT_YOUNT_2021_limitations,-DOI (for paper); DOI (for data),automated,2026-09-07
Adherence_Zissette_2018_SDB,-DOI (for paper); DOI (for data),automated,2026-09-07
KoreanNursing_Park_2017,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Family_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Physical_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Family_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Physical_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_GHGlobal_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_PosAff_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_GHGlobal_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_PosAff_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_LS_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Psych_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_LS_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Psych_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_MP_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Strength_Children,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_MP_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPME_Forrest_2021_Strength_Proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
PROMISPFUE_2_0E_Gershon_2019_PROMIS,-DOI (for paper); DOI (for data),automated,2026-09-07
EMSC_Kuan-chin_2023,-DOI (for paper); DOI (for data),automated,2026-09-07
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,-DOI (for paper); DOI (for data),automated,2026-09-07
Fh_Okcsr_Roos_2022_study2_Feeling_Heard,-DOI (for paper); DOI (for data),automated,2026-09-07
QaSLU_Prado_2024,-DOI (for paper); DOI (for data),automated,2026-09-07
CSE_Bayazit_2022,-DOI (for paper); DOI (for data),automated,2026-09-07
CQTMS_Hur_2023,-DOI (for paper); DOI (for data),automated,2026-09-07
K-PCQ_Huh_2022,-DOI (for paper); DOI (for data),automated,2026-09-07
NSR-FC_Youhasan_2021,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_ADL,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_PHQ9,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_CSQ,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_SNS,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_HDRS,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_treatmentStigma,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_IADL,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_WHOQOL_BREF,-DOI (for paper); DOI (for data),automated,2026-09-07
COACH_Chen_2022_MOS_SSS_C,-DOI (for paper); DOI (for data),automated,2026-09-07
EOAQ-EST_Silveira_2024,-DOI (for paper); DOI (for data),automated,2026-09-07
VSOCFP_Sebo_2024,-DOI (for paper); DOI (for data),automated,2026-09-07
PEPABAS2C_Kubicka_2024,-DOI (for paper); DOI (for data),automated,2026-09-07
FPAS_Silva_2022,-DOI (for paper); DOI (for data),automated,2026-09-07
RvKDCS_Romiacg_Miroshnik_2020_BFI,-DOI (for paper); DOI (for data),automated,2026-09-07
RvKDCS_Romiacg_Miroshnik_2020_CBI,-DOI (for paper); DOI (for data),automated,2026-09-07
RvKDCS_Romiacg_Miroshnik_2020_KDOCS,-DOI (for paper); DOI (for data),automated,2026-09-07
PEMAIW_Qiu_2020_FFMQ,-DOI (for paper); DOI (for data),automated,2026-09-07
PEMAIW_Qiu_2020_MEQ,-DOI (for paper); DOI (for data),automated,2026-09-07
PEMAIW_Qiu_2020_DASS,-DOI (for paper); DOI (for data),automated,2026-09-07
PEMAIW_Qiu_2020_PANAS,-DOI (for paper); DOI (for data),automated,2026-09-07
PEMAIW_Qiu_2020_MLQ,-DOI (for paper); DOI (for data),automated,2026-09-07
PEMAIW_Qiu_2020_SWLS,-DOI (for paper); DOI (for data),automated,2026-09-07
PEMAIW_Qiu_2020_BWSS,-DOI (for paper); DOI (for data),automated,2026-09-07
FIVPEI_Perrig_2023_PXI,-DOI (for paper); DOI (for data),automated,2026-09-07
FIVPEI_Perrig_2023_AttDiff,-DOI (for paper); DOI (for data),automated,2026-09-07
FIVPEI_Perrig_2023_IMI,-DOI (for paper); DOI (for data),automated,2026-09-07
FIVPEI_Perrig_2023_PENS,-DOI (for paper); DOI (for data),automated,2026-09-07
SPQVS_Barnby_2017_OEQ,-DOI (for paper); DOI (for data),automated,2026-09-07
SPQVS_Barnby_2017_WHO,-DOI (for paper); DOI (for data),automated,2026-09-07
SPQVS_Barnby_2017_OLIFE,-DOI (for paper); DOI (for data),automated,2026-09-07
SPQVS_Barnby_2017_DSE,-DOI (for paper); DOI (for data),automated,2026-09-07
SPQVS_Barnby_2017_SENPQ,-DOI (for paper); DOI (for data),automated,2026-09-07
SPQVS_Barnby_2017_SIAS,-DOI (for paper); DOI (for data),automated,2026-09-07
PrEPAdherence_Zissette_2021,-DOI (for paper); DOI (for data),automated,2026-09-07
MMF_Solis_2020,-DOI (for paper); DOI (for data),automated,2026-09-07
SBD_Smith_2020,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_CPS,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_Empathy,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_MIL,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_PEI,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_SDQ,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_NEI,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_PHQ,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_SWEMWBS,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_PIL,-DOI (for paper); DOI (for data),automated,2026-09-07
ALSECYPIAMH_WU_2022_SWLS,-DOI (for paper); DOI (for data),automated,2026-09-07
MGSISGCLQ_Hollyhead_2018,-DOI (for paper); DOI (for data),automated,2026-09-07
CHEXI_Lin_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_75,-DOI (for paper); DOI (for data),automated,2026-09-07
FGSIS_Berzeviczy_2018,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_ctopp,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_ap,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_qc,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_kbit,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_lwid_grade,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_sa,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_told_grade,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_lwid_wave,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_spell_grade,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_told_wave,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_mf,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_spell_wave,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_topel,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_pc_grade,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_wa_grade,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_tosrec,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_pc_wave,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_wa_wave,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_ak_grade,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_pv_grade,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_wf,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_ak_wave,-DOI (for paper); DOI (for data),automated,2026-09-07
project_kids_wj_pv_wave,-DOI (for paper); DOI (for data),automated,2026-09-07
preschool_sel_akt,-DOI (for paper); DOI (for data),automated,2026-09-07
preschool_sel_emt,-DOI (for paper); DOI (for data),automated,2026-09-07
preschool_sel_pl,-DOI (for paper); DOI (for data),automated,2026-09-07
preschool_sel_box,-DOI (for paper); DOI (for data),automated,2026-09-07
preschool_sel_dn,-DOI (for paper); DOI (for data),automated,2026-09-07
preschool_sel_htks,-DOI (for paper); DOI (for data),automated,2026-09-07
preschool_sel_wj,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_auth,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_game,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_leq,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_panas,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_tech,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_cads,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_dbi,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_grades,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_media,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_par,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_chaos,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_dweck,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_grit,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_nes,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_read,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_class,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_friends,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_hwk,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_pals,-DOI (for paper); DOI (for data),automated,2026-09-07
florida_twins_sch,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_en_es__reverse_translate,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_en_es__reverse_tap,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_en_es__listen,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_es_en__reverse_translate,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_es_en__reverse_tap,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_es_en__listen,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_fr_en__reverse_translate,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_fr_en__reverse_tap,-DOI (for paper); DOI (for data),automated,2026-09-07
duolingo_fr_en__listen,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_83,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_84,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_85,-DOI (for paper); DOI (for data),automated,2026-09-07
afps_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
aip_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
aps_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
gps_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
ips_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
mbps_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
pass_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
pps_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
tpi_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
ups_vangsness_2019,-DOI (for paper); DOI (for data),automated,2026-09-07
ilearnathome_regalado_2025,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_97,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_98,-DOI (for paper); DOI (for data),automated,2026-09-07
parc_balaji_2017,-DOI (for paper); DOI (for data),automated,2026-09-07
potocnik_2024_diabetes,-DOI (for paper); DOI (for data),automated,2026-09-07
conrad_2013_exploitation_staff_psychology,-DOI (for paper); DOI (for data),automated,2026-09-07
conrad_2013_exploitation_staff_financial,-DOI (for paper); DOI (for data),automated,2026-09-07
conrad_2013_exploitation_client_psychology,-DOI (for paper); DOI (for data),automated,2026-09-07
conrad_2013_exploitation_client_financial,-DOI (for paper); DOI (for data),automated,2026-09-07
thomeczek2025_les,-DOI (for paper); DOI (for data),automated,2026-09-07
friedman_2018_risks_government,-DOI (for paper); DOI (for data),automated,2026-09-07
friedman_2018_risks_discrimination,-DOI (for paper); DOI (for data),automated,2026-09-07
zhang-eye-2022,-DOI (for paper); DOI (for data),automated,2026-09-07
jian-wen-low-sepsis-and-trauma-resuscitation-2024,-DOI (for paper); DOI (for data),automated,2026-09-07
mental_health_wang_2024_gad,-DOI (for paper); DOI (for data),automated,2026-09-07
mental_health_wang_2024_phq,-DOI (for paper); DOI (for data),automated,2026-09-07
test_taking_much_2025_ao,-DOI (for paper); DOI (for data),automated,2026-09-07
test_taking_much_2025_cm,-DOI (for paper); DOI (for data),automated,2026-09-07
test_taking_much_2025_ct,-DOI (for paper); DOI (for data),automated,2026-09-07
test_taking_much_2025_ef,-DOI (for paper); DOI (for data),automated,2026-09-07
test_taking_much_2025_mr,-DOI (for paper); DOI (for data),automated,2026-09-07
rfq_wozniakprus_2021,-DOI (for paper); DOI (for data),automated,2026-09-07
assessment_time_fournier_2025_upps,-DOI (for paper); DOI (for data),automated,2026-09-07
assessment_time_fournier_2025_bscs,-DOI (for paper); DOI (for data),automated,2026-09-07
assessment_time_fournier_2025_gad,-DOI (for paper); DOI (for data),automated,2026-09-07
assessment_time_fournier_2025_phq,-DOI (for paper); DOI (for data),automated,2026-09-07
assessment_time_fournier_2025_pmpuq,-DOI (for paper); DOI (for data),automated,2026-09-07
johansson-swedish-pss-rasch-analysis-2024,-DOI (for paper); DOI (for data),automated,2026-09-07
karim2022_tmoca_mci,-DOI (for paper); DOI (for data),automated,2026-09-07
karim2022_tmoca_subscales_longitudinal,-DOI (for paper); DOI (for data),automated,2026-09-07
karim2022_tmoca_subscales_single,-DOI (for paper); DOI (for data),automated,2026-09-07
spalex_aguasvivas_2020,-DOI (for paper); DOI (for data),automated,2026-09-07
coh_goodman_2023_health_literacy,-DOI (for paper); DOI (for data),automated,2026-09-07
coh_goodman_2023_racial_comp,-DOI (for paper); DOI (for data),automated,2026-09-07
coh_goodman_2023_causal_beliefs,-DOI (for paper); DOI (for data),automated,2026-09-07
coh_goodman_2023_general_survey,-DOI (for paper); DOI (for data),automated,2026-09-07
cognitive_load_klimova_2023_masr,-DOI (for paper); DOI (for data),automated,2026-09-07
cognitive_load_klimova_2023_mlq,-DOI (for paper); DOI (for data),automated,2026-09-07
cognitive_load_klimova_2023_paas,-DOI (for paper); DOI (for data),automated,2026-09-07
cognitive_load_klimova_2023_know,-DOI (for paper); DOI (for data),automated,2026-09-07
cognitive_load_klimova_2023_pwi,-DOI (for paper); DOI (for data),automated,2026-09-07
cognitive_load_klimova_2023_stomp,-DOI (for paper); DOI (for data),automated,2026-09-07
cognitive_load_klimova_2023_tbzsg,-DOI (for paper); DOI (for data),automated,2026-09-07
dass21_depression_anxiety_stress,-DOI (for paper); DOI (for data),automated,2026-09-07
dass21_medical_graduates_bangladesh,-DOI (for paper); DOI (for data),automated,2026-09-07
burnout_assessment_tool_teachers,-DOI (for paper); DOI (for data),automated,2026-09-07
conspiracy_asd__cognitive_flexibility,-DOI (for paper); DOI (for data),automated,2026-09-07
conspiracy_asd__asd_aq10,-DOI (for paper); DOI (for data),automated,2026-09-07
conspiracy_asd__conspiracy_gcbs,-DOI (for paper); DOI (for data),automated,2026-09-07
conspiracy_asd__schizotypy,-DOI (for paper); DOI (for data),automated,2026-09-07
quarter_life_crisis__iuc,-DOI (for paper); DOI (for data),automated,2026-09-07
quarter_life_crisis__mwb,-DOI (for paper); DOI (for data),automated,2026-09-07
quarter_life_crisis__cd,-DOI (for paper); DOI (for data),automated,2026-09-07
dpt_noncog__intolerance_of_uncertainty,-DOI (for paper); DOI (for data),automated,2026-09-07
weber2026_name_knowledge,-DOI (for paper); DOI (for data),automated,2026-09-07
feng2026_perceived_usefulness,-DOI (for paper); DOI (for data),automated,2026-09-07
feng2026_perceived_ease_of_use,-DOI (for paper); DOI (for data),automated,2026-09-07
feng2026_autonomy,-DOI (for paper); DOI (for data),automated,2026-09-07
feng2026_competence,-DOI (for paper); DOI (for data),automated,2026-09-07
feng2026_ec,-DOI (for paper); DOI (for data),automated,2026-09-07
feng2026_intrinsic_motivation,-DOI (for paper); DOI (for data),automated,2026-09-07
feng2026_behavioral_intention,-DOI (for paper); DOI (for data),automated,2026-09-07
cordova2019_clinical_edu_environment,-DOI (for paper); DOI (for data),automated,2026-09-07
chatton2024_honos13,-DOI (for paper); DOI (for data),automated,2026-09-07
lee2024_relative_clause,-DOI (for paper); DOI (for data),automated,2026-09-07
arora2025_blueq_pedagogical,-DOI (for paper); DOI (for data),automated,2026-09-07
arora2025_blueq_synchronous,-DOI (for paper); DOI (for data),automated,2026-09-07
arora2025_blueq_asynchronous,-DOI (for paper); DOI (for data),automated,2026-09-07
yandun2026_attention,-DOI (for paper); DOI (for data),automated,2026-09-07
yandun2026_memory,-DOI (for paper); DOI (for data),automated,2026-09-07
yandun2026_language,-DOI (for paper); DOI (for data),automated,2026-09-07
yandun2026_logical_thinking,-DOI (for paper); DOI (for data),automated,2026-09-07
xu2024_noncompliance,-DOI (for paper); DOI (for data),automated,2026-09-07
xu2024_self_efficacy,-DOI (for paper); DOI (for data),automated,2026-09-07
xu2024_emotional_exhaust,-DOI (for paper); DOI (for data),automated,2026-09-07
xu2024_turnover_intent,-DOI (for paper); DOI (for data),automated,2026-09-07
xu2024_unethical_behav,-DOI (for paper); DOI (for data),automated,2026-09-07
karajko2025_ai_benefit,-DOI (for paper); DOI (for data),automated,2026-09-07
karajko2025_ai_risk,-DOI (for paper); DOI (for data),automated,2026-09-07
karajko2025_ai_governance,-DOI (for paper); DOI (for data),automated,2026-09-07
karajko2025_ai_trust,-DOI (for paper); DOI (for data),automated,2026-09-07
merlo2025_eet,-DOI (for paper); DOI (for data),automated,2026-09-07
merlo2025_eng_emotional,-DOI (for paper); DOI (for data),automated,2026-09-07
merlo2025_eng_comprehensive,-DOI (for paper); DOI (for data),automated,2026-09-07
merlo2025_eng_cognitive,-DOI (for paper); DOI (for data),automated,2026-09-07
